stock_id,name,period,market,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
2801,彰銀,2021Q3,twse,15101774,6540481,1394960,12461082,7786213,1011738,6774475,,,6774475,157488,,6931963,6774475,,,6931963,,,0.65
2812,台中銀,2021Q3,twse,6911343,3066565,696120,5115208,4166580,599736,3566844,,,3566844,299788,,3866632,3566844,,,3866632,,,0.82
2820,華票,2021Q3,twse,948035,1247150,-8042,389426,1813801,369662,1444139,0,0,1444139,-314802,,1129337,,,,,,,1.08
2834,臺企銀,2021Q3,twse,13241345,4834375,4021240,9628818,4425662,528526,3897136,,,3897136,-537478,,3359658,3897136,,,3359658,,,0.50
2836,高雄銀,2021Q3,twse,2088423,971452,384491,1891016,784368,88625,695743,,,695743,-17950,,677793,,,,,,,0.60
2838,聯邦銀,2021Q3,twse,6435977,5973950,609522,7727345,4073060,502694,3570366,,,3570366,543078,,4113444,3570333,,33,4113408,,36,0.94
2845,遠東銀,2021Q3,twse,4951921,3440536,866914,5022808,2502735,287656,2215079,,,2215079,-483083,,1731996,2215079,,,1731996,,,0.63
2849,安泰銀,2021Q3,twse,2739942,1718237,136064,2178357,2143758,280078,1863680,0,,1863680,-407062,,1456618,,,,,,,0.95
2897,王道銀行,2021Q3,twse,3463735,3575532,292113,3414401,3332753,816679,2516074,-4509,,2511565,-639103,,1872462,1454678,,1056887,1053102,,819360,0.49
5876,上海商銀,2021Q3,twse,19942484,9385552,955651,11329803,17042582,2692414,14350168,,,14350168,-4191767,,10158401,10899052,,3451116,8288447,,1869954,2.44
