stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1240,茂生農經,2022Q2,tpex,1636960,1489489,348,22061,169880,,,169880,127127,,42753,-6406,36347,13465,22882,,,22882,-15510,,7372,35325,,-12443,19815,,-12443,0.92
1259,安心,2022Q2,tpex,2745832,2054212,,,691620,,,691620,646256,,45364,-9651,35713,5086,30627,,,30627,-98486,,-67859,36776,,-6149,-62412,,-5447,1.14
1264,德麥,2022Q2,tpex,2448990,1574241,,,874749,,,874749,413607,,461142,2785,463927,107446,356481,,,356481,42031,,398512,315047,,41434,341603,,56909,8.50
1268,漢來美食,2022Q2,tpex,1574218,966963,,,607255,,,607255,711494,,-104239,26343,-77896,-18349,-59547,,,-59547,-117996,,-177543,-59547,,,-177543,,,-1.41
1294,漢田生技,2022Q2,tpex,110071,67648,,,42423,,,42423,30980,,11443,232,11675,2571,9104,,,9104,,,9104,10279,,-1175,10279,,-1175,0.71
1336,台翰,2022Q2,tpex,1150500,958588,,,191912,,,191912,92636,,99276,14374,113650,42827,70823,,,70823,22497,,93320,70823,,,93320,,,0.92
1565,精華,2022Q2,tpex,2571002,1815476,,,755526,,,755526,194603,,560923,119271,680194,141808,538386,,,538386,6381,,544767,538386,,,544767,,,10.68
1569,濱川,2022Q2,tpex,2843016,2270803,,,572213,,,572213,322707,,249506,103447,352953,63363,289590,,,289590,83675,,373265,286671,,2919,368572,,4693,2.36
1570,力肯,2022Q2,tpex,324989,235201,,,89788,,,89788,35899,,53889,18122,72011,17522,54489,,,54489,-9311,,45178,54489,,0,45178,,0,1.06
1580,新麥,2022Q2,tpex,1840929,1200744,,,640185,,,640185,417845,,222340,48745,271085,88177,182908,,,182908,53588,,236496,178641,,4267,231165,,5331,3.56
1584,精剛,2022Q2,tpex,748448,628282,,,120166,,,120166,49476,,70690,6246,76936,187,76749,,,76749,1174,,77923,,,,,,,0.63
1586,和勤,2022Q2,tpex,1345541,1118909,,,226632,,,226632,189485,,37147,24701,61848,510,61338,,,61338,31288,,92626,61338,,,92626,,,0.74
1591,駿吉-KY,2022Q2,tpex,381141,299276,,,81865,,,81865,27541,,54324,2981,57305,15497,41808,,,41808,7128,,48936,41808,,,48936,,,1.28
1593,祺驊,2022Q2,tpex,293686,225275,,,68411,,,68411,68745,,-334,35136,34802,4754,30048,,,30048,18408,,48456,29020,,1028,47428,,1028,0.82
1595,川寶,2022Q2,tpex,1026019,773467,,,252552,,,252552,182224,,70328,118190,188518,49748,138770,,,138770,1678,,140448,140742,,-1972,142420,,-1972,3.00
1599,宏佳騰,2022Q2,tpex,1739936,1351313,,,388623,,,388623,234218,,154405,26177,180582,38968,141614,,,141614,-913,,140701,141614,,,140701,,,1.94
1742,台蠟,2022Q2,tpex,267395,217742,,,49653,,,49653,35244,,14409,33999,48408,2315,46093,,,46093,9829,,55922,46093,,,55922,,,0.58
1777,生泰,2022Q2,tpex,368610,254043,,,114567,,,114567,45066,,69501,59354,128855,25791,103064,,,103064,701,,103765,,,,,,,2.57
1780,立弘,2022Q2,tpex,359771,233808,,,125963,,,125963,81009,,44954,35536,80490,17398,63092,,,63092,-670,,62422,63092,,,62422,,,0.66
1781,合世,2022Q2,tpex,327331,292704,,,34627,,,34627,70857,,-36230,19036,-17194,-6073,-11121,,,-11121,-1902,,-13023,-11121,,,-13023,,,-0.23
