stock_id,name,period,market,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1101,台泥,2025Q1,twse,34956255,29062547,,,5893708,,,5893708,3592238,,2301470,-409288,1892182,1123790,768392,,,768392,9114377,,9882769,527294,,241098,7153262,,2729507,0.07
1102,亞泥,2025Q1,twse,16594707,14222297,,,2372410,,,2372410,776260,,1596150,163927,1760077,373541,1386536,,,1386536,2924919,,4311455,1364290,,22246,3961951,,349504,0.41
1103,嘉泥,2025Q1,twse,752475,631715,,,120760,,,120760,128918,,-8158,103243,95085,9938,85147,,,85147,212662,,297809,83170,,1977,289291,,8518,0.13
1104,環泥,2025Q1,twse,1928654,1536947,,,391707,,,391707,124497,,267210,80710,347920,53127,294793,,,294793,22676,,317469,285118,,9675,307786,,9683,0.42
1108,幸福,2025Q1,twse,1212710,975687,,,237023,,,237023,65562,0,171461,-7158,164303,32953,131350,,,131350,2897,,134247,131350,,,134247,,,0.32
1109,信大,2025Q1,twse,987534,884554,,,102980,,,102980,71424,,31556,67136,98692,17373,81319,,,81319,100275,,181594,84490,,-3171,151209,,30385,0.25
1110,東泥,2025Q1,twse,740524,636946,,,103578,,,103578,38905,,64673,10420,75093,16496,58597,,,58597,-19381,,39216,45810,,12787,26471,,12745,0.08
1201,味全,2025Q1,twse,5206860,3749353,,,1457507,,,1457507,1296375,,161132,1170,162302,52320,109982,,,109982,47806,,157788,109783,,199,157589,,199,0.22
1203,味王,2025Q1,twse,1543194,969284,,,573910,0,0,573910,258108,,315802,17794,333596,92849,240747,,,240747,40289,,281036,138249,,102498,155437,,125599,0.58
1210,大成,2025Q1,twse,25466623,21548574,,,3918049,,,3918049,2571658,,1346391,-59706,1286685,249920,1036765,,,1036765,397367,,1434132,882716,,154049,1183047,,251085,1.05
