stock_id,period,report,alt,taxonomy,rd_q,rd_ytd,rev_q,rev_ytd
1101,2016Q1,cr,,fr1,5503000,5503000,17724112000,17724112000
1102,2016Q1,cr,,fr1,,,13038960000,13038960000
1103,2016Q1,cr,,fr1,,,541218000,541218000
1104,2016Q1,cr,,fr1,14530000,14530000,1105803000,1105803000
1108,2016Q1,cr,,fr1,,,995636000,995636000
1109,2016Q1,cr,,fr1,,,875999000,875999000
1110,2016Q1,cr,,fr1,,,383670000,383670000
1201,2016Q1,cr,,fr2,60529000,60529000,3518095000,3518095000
1203,2016Q1,cr,,fr1,1942000,1942000,1547878000,1547878000
1210,2016Q1,cr,,fr1,24914000,24914000,17743529000,17743529000
1213,2016Q1,cr,,fr1,,,152465000,152465000
1215,2016Q1,cr,,fr1,,,4255524000,4255524000
1216,2016Q1,cr,,fr1,237853000,237853000,106667516000,106667516000
1217,2016Q1,cr,,fr1,10591000,10591000,906830000,906830000
1218,2016Q1,cr,,fr1,,,1821955000,1821955000
1219,2016Q1,cr,,fr1,7706000,7706000,2633013000,2633013000
1220,2016Q1,cr,,fr1,,,646025000,646025000
1225,2016Q1,cr,,fr1,5666000,5666000,2554434000,2554434000
1227,2016Q1,cr,,fr1,30470000,30470000,7422008000,7422008000
1229,2016Q1,cr,,fr1,7132000,7132000,1310566000,1310566000
1231,2016Q1,cr,,fr1,18945000,18945000,1691729000,1691729000
1232,2016Q1,cr,,fr1,1145000,1145000,3927503000,3927503000
1233,2016Q1,cr,,fr1,1127000,1127000,558307000,558307000
1234,2016Q1,cr,,fr1,14244000,14244000,1754858000,1754858000
1235,2016Q1,cr,,fr1,151000,151000,19119000,19119000
1236,2016Q1,cr,,fr1,,,604459000,604459000
1256,2016Q1,cr,,fr1,7026000,7026000,535660000,535660000
1258,2016Q1,cr,,fr1,,,608031000,608031000
1259,2016Q1,cr,,fr1,,,1112922000,1112922000
1262,2016Q1,cr,,fr1,9090000,9090000,1504891000,1504891000
1264,2016Q1,cr,,fr1,10880000,10880000,941946000,941946000
1301,2016Q1,cr,,fr1,173391000,173391000,42782369000,42782369000
1303,2016Q1,cr,,fr1,,,65469083000,65469083000
1304,2016Q1,cr,,fr1,97366000,97366000,12738367000,12738367000
1305,2016Q1,cr,,fr1,11357000,11357000,3765844000,3765844000
1307,2016Q1,cr,,fr1,96958000,96958000,3071065000,3071065000
1308,2016Q1,cr,,fr1,1687000,1687000,1333909000,1333909000
1309,2016Q1,cr,,fr1,4323000,4323000,3689655000,3689655000
1310,2016Q1,cr,,fr1,3802000,3802000,3517882000,3517882000
1312,2016Q1,cr,,fr1,10795000,10795000,4570011000,4570011000
1313,2016Q1,cr,,fr1,,,9067638000,9067638000
1314,2016Q1,cr,,fr1,46024000,46024000,5310386000,5310386000
1315,2016Q1,cr,,fr1,,,710957000,710957000
1316,2016Q1,cr,,fr1,2848000,2848000,123423000,123423000
1319,2016Q1,cr,,fr1,131777000,131777000,5961500000,5961500000
1321,2016Q1,cr,,fr1,2091000,2091000,1002255000,1002255000
1323,2016Q1,cr,,fr1,10355000,10355000,732152000,732152000
1324,2016Q1,cr,,fr1,6158000,6158000,284076000,284076000
1325,2016Q1,cr,,fr1,2209000,2209000,259931000,259931000
1326,2016Q1,cr,,fr1,,,75799504000,75799504000
1333,2016Q1,cr,,fr1,2535000,2535000,144352000,144352000
1336,2016Q1,cr,,fr1,,,446486000,446486000
1337,2016Q1,cr,,fr1,16205000,16205000,1234329000,1234329000
1338,2016Q1,cr,,fr1,49827000,49827000,1881133000,1881133000
1339,2016Q1,cr,,fr1,9947000,9947000,581580000,581580000
1340,2016Q1,cr,,fr1,6039000,6039000,666825000,666825000
1402,2016Q1,cr,,fr1,209146000,209146000,51595906000,51595906000
1410,2016Q1,cr,,fr1,2101000,2101000,149850000,149850000
1413,2016Q1,cr,,fr1,,,465683000,465683000
1414,2016Q1,ir,,fr1,,,197066000,197066000
1416,2016Q1,cr,,fr1,,,2021470000,2021470000
1417,2016Q1,cr,,fr1,,,893036000,893036000
1418,2016Q1,cr,,fr1,2421000,2421000,499280000,499280000
1419,2016Q1,cr,,fr1,,,304243000,304243000
1423,2016Q1,ir,,fr1,,,162036000,162036000
1432,2016Q1,cr,,fr1,,,136443000,136443000
1434,2016Q1,cr,,fr1,13020000,13020000,10429595000,10429595000
1435,2016Q1,cr,,fr1,,,5513000,5513000
1436,2016Q1,cr,,fr1,,,75959000,75959000
1437,2016Q1,cr,,fr1,0,0,166401000,166401000
1438,2016Q1,ir,,fr1,,,49000,49000
1439,2016Q1,ir,,fr1,,,105613000,105613000
1440,2016Q1,cr,,fr1,6603000,6603000,4202145000,4202145000
1441,2016Q1,cr,,fr1,,,424735000,424735000
1442,2016Q1,cr,,fr1,,,191135000,191135000
1443,2016Q1,cr,,fr1,,,266860000,266860000
1444,2016Q1,cr,,fr1,10512000,10512000,2407514000,2407514000
1445,2016Q1,cr,,fr1,2416000,2416000,394594000,394594000
1446,2016Q1,cr,,fr1,,,224242000,224242000
1447,2016Q1,cr,,fr1,24483000,24483000,3195263000,3195263000
1449,2016Q1,cr,,fr1,14266000,14266000,647448000,647448000
1451,2016Q1,cr,,fr1,8251000,8251000,3071091000,3071091000
1452,2016Q1,ir,,fr1,1970000,1970000,499511000,499511000
1453,2016Q1,cr,,fr1,,,10635000,10635000
1454,2016Q1,cr,,fr1,1157000,1157000,416455000,416455000
1455,2016Q1,cr,,fr1,19626000,19626000,2991825000,2991825000
1456,2016Q1,cr,,fr1,,,109237000,109237000
1457,2016Q1,cr,,fr1,,,1186632000,1186632000
1459,2016Q1,cr,,fr1,,,769048000,769048000
1460,2016Q1,cr,,fr1,74632000,74632000,2126259000,2126259000
1463,2016Q1,cr,,fr1,3185000,3185000,129079000,129079000
1464,2016Q1,cr,,fr1,42385000,42385000,1853720000,1853720000
1465,2016Q1,cr,,fr1,2087000,2087000,439188000,439188000
1466,2016Q1,cr,,fr1,11812000,11812000,867981000,867981000
1467,2016Q1,cr,,fr1,,,1671550000,1671550000
1468,2016Q1,cr,,fr1,1191000,1191000,151961000,151961000
1469,2016Q1,cr,,fr1,,,98745000,98745000
1470,2016Q1,ir,,fr1,,,183270000,183270000
1471,2016Q1,cr,,fr1,1344000,1344000,285303000,285303000
1472,2016Q1,cr,,fr1,555000,555000,137863000,137863000
1473,2016Q1,cr,,fr1,24700000,24700000,2849152000,2849152000
1474,2016Q1,cr,,fr1,4610000,4610000,848203000,848203000
1475,2016Q1,cr,,fr1,1739000,1739000,46580000,46580000
1476,2016Q1,cr,,fr1,33717000,33717000,5590471000,5590471000
1477,2016Q1,cr,,fr1,,,6309426000,6309426000
1503,2016Q1,cr,,fr1,115779000,115779000,4926396000,4926396000
1504,2016Q1,cr,,fr1,348283000,348283000,11678422000,11678422000
