stock_id,name,period,market,報表日期,出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1101,台泥,2026-08,twse,1150912,1150912,11508,1101,台泥,水泥工業,13515534,13744103,12214776,-1.6630332295967223,10.649053245020621,98726969,96131621,2.699785952844798,-
1102,亞泥,2026-08,twse,1150912,1150912,11508,1102,亞泥,水泥工業,5590320,5398231,5663764,3.558369399160577,-1.2967348215780177,43694999,46760798,-6.556344483257107,-
1103,嘉泥,2026-08,twse,1150912,1150912,11508,1103,嘉泥,水泥工業,230872,242322,236882,-4.725117818439927,-2.537128190407038,1828907,2009771,-8.999234241115033,-
1104,環泥,2026-08,twse,1150912,1150912,11508,1104,環泥,水泥工業,517521,663235,603054,-21.97019156106056,-14.183306967535245,4740038,5075610,-6.611461479506897,-
1108,幸福,2026-08,twse,1150912,1150912,11508,1108,幸福,水泥工業,290125,309786,344143,-6.34663929293125,-15.696382027238677,2503880,3074851,-18.569062370827073,-
1109,信大,2026-08,twse,1150912,1150912,11508,1109,信大,水泥工業,268621,292047,365337,-8.021311638195222,-26.473091967142665,2418514,2955412,-18.16660418242871,-
1110,東泥,2026-08,twse,1150912,1150912,11508,1110,東泥,水泥工業,169661,261007,236226,-34.997528801909525,-28.178523955872766,1697994,1915787,-11.368330612954363,-
1201,味全,2026-08,twse,1150912,1150912,11508,1201,味全,食品工業,2000571,1991488,1974741,0.45609112382299066,1.3080196339671886,14437677,14557137,-0.8206283969162342,-
1203,味王,2026-08,twse,1150912,1150912,11508,1203,味王,食品工業,460482,431017,470431,6.8361572745390555,-2.1148691306482776,3502289,3853876,-9.122945315313725,-
1210,大成,2026-08,twse,1150912,1150912,11508,1210,大成,食品工業,9704420,9639463,8556083,0.673865338764203,13.42129336519994,73025213,66964322,9.050925655605084,-
1213,大飲,2026-08,twse,1150912,1150912,11508,1213,大飲,食品工業,40028,32555,34176,22.954999232068808,17.12312734082397,223170,192655,15.839194414886714,-
1215,卜蜂,2026-08,twse,1150912,1150912,11508,1215,卜蜂,食品工業,2363683,2562688,2333191,-7.7654790594875385,1.3068797196628994,19328014,18462943,4.6854447852652745,-
1216,統一,2026-08,twse,1150912,1150912,11508,1216,統一,食品工業,63101242,62168637,60796560,1.5001213554030468,3.7908098747692303,475247869,456749367,4.050033417999241,-
1217,愛之味,2026-08,twse,1150912,1150912,11508,1217,愛之味,食品工業,680053,505906,591972,34.42279791107439,14.879251045657565,3539508,3506670,0.9364439767642806,-
1218,泰山,2026-08,twse,1150912,1150912,11508,1218,泰山,食品工業,531098,563843,1021563,-5.807467681606405,-48.01123376629733,6127206,6851356,-10.569440560379581,-
1219,福壽,2026-08,twse,1150912,1150912,11508,1219,福壽,食品工業,984933,882904,1150184,11.556069516051576,-14.367353397369465,8944101,9394745,-4.796766703087737,-
1220,台榮,2026-08,twse,1150912,1150912,11508,1220,台榮,食品工業,361183,279357,280352,29.29083574064727,28.831968382604725,2144655,2110539,1.6164591130512158,-
1225,福懋油,2026-08,twse,1150912,1150912,11508,1225,福懋油,食品工業,715560,903312,939446,-20.784845103352993,-23.831705068732,8047973,8177723,-1.5866274756432812,-
1227,佳格,2026-08,twse,1150912,1150912,11508,1227,佳格,食品工業,2624457,2077948,2370684,26.300417527291348,10.7046320808678,18636102,17354367,7.385662640417827,-
1229,聯華,2026-08,twse,1150912,1150912,11508,1229,聯華,食品工業,883894,2104623,1017481,-58.00226453858957,-13.12918865315421,8022524,8528092,-5.928266252287147,-
