stock_id,name,period,market,產業別,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1101,台泥,2021-03,twse,水泥工業,9779716,4536849,8672879,115.56,12.76,22037652,19800812,11.29
1102,亞泥,2021-03,twse,水泥工業,7006606,3450204,5077457,103.07,37.99,17893141,13138881,36.18
1103,嘉泥,2021-03,twse,水泥工業,203954,145091,179493,40.56,13.62,544527,495334,9.93
1104,環泥,2021-03,twse,水泥工業,575019,354013,479717,62.42,19.86,1440498,1253758,14.89
1108,幸福,2021-03,twse,水泥工業,349527,279071,418037,25.24,-16.38,1045953,1104720,-5.31
1109,信大,2021-03,twse,水泥工業,882786,190339,488590,363.79,80.68,1812351,1165081,55.55
1110,東泥,2021-03,twse,水泥工業,146368,103108,146412,41.95,-0.03,387342,387944,-0.15
1201,味全,2021-03,twse,食品工業,1507135,1401435,1423557,7.54,5.87,4369688,3974342,9.94
1203,味王,2021-03,twse,食品工業,500102,442622,564047,12.98,-11.33,1487992,1583090,-6.00
1210,大成,2021-03,twse,食品工業,8072006,5817609,6233854,38.75,29.48,22372328,18256726,22.54
1213,大飲,2021-03,twse,食品工業,30196,39520,24268,-23.59,24.42,102266,80066,27.72
1215,卜蜂,2021-03,twse,食品工業,2030023,1651502,1911231,22.91,6.21,5718985,5241193,9.11
1216,統一,2021-03,twse,食品工業,38463882,31769464,35948254,21.07,6.99,115428161,108264865,6.61
1217,愛之味,2021-03,twse,食品工業,367154,317669,444287,15.57,-17.36,1095839,1152481,-4.91
1218,泰山,2021-03,twse,食品工業,799575,629161,661552,27.08,20.86,2274492,1904167,19.44
1219,福壽,2021-03,twse,食品工業,1257299,1134676,1060891,10.80,18.51,3718059,2989739,24.36
1220,台榮,2021-03,twse,食品工業,269619,176717,222238,52.57,21.31,708760,601910,17.75
1225,福懋油,2021-03,twse,食品工業,1125109,893451,886030,25.92,26.98,3095539,2521292,22.77
1227,佳格,2021-03,twse,食品工業,1938626,1740003,2246948,11.41,-13.72,8264616,6671433,23.88
1229,聯華,2021-03,twse,食品工業,864164,599791,786115,44.07,9.92,2225293,2047029,8.70
1231,聯華食,2021-03,twse,食品工業,705431,718678,700011,-1.84,0.77,2373553,2098046,13.13
1232,大統益,2021-03,twse,食品工業,1805442,1377370,1364616,31.07,32.30,4842731,4073682,18.87
1233,天仁,2021-03,twse,食品工業,148313,163783,117999,-9.44,25.69,482671,489451,-1.38
1234,黑松,2021-03,twse,食品工業,733787,646038,593417,13.58,23.65,2214899,1949283,13.62
1235,興泰,2021-03,twse,食品工業,1009,979,1562,3.06,-35.40,3821,4197,-8.95
1236,宏亞,2021-03,twse,食品工業,115293,95806,142868,20.34,-19.30,540612,437389,23.59
1702,南僑,2021-03,twse,食品工業,1712334,1205199,1276297,42.07,34.16,4664954,3616096,29.00
1737,臺鹽,2021-03,twse,食品工業,290340,219142,260465,32.48,11.46,790085,724457,9.05
1301,台塑,2021-03,twse,塑膠工業,25018934,16367396,15400468,52.85,62.45,60601937,42019180,44.22
1303,南亞,2021-03,twse,塑膠工業,34372304,25991621,23244809,32.24,47.87,89710690,65557509,36.84
1304,台聚,2021-03,twse,塑膠工業,6209704,4669544,4154619,32.98,49.46,16196176,11356370,42.61
1305,華夏,2021-03,twse,塑膠工業,1823567,1551446,1279672,17.53,42.50,4978684,3591215,38.63
1307,三芳,2021-03,twse,塑膠工業,932378,706825,1074419,31.91,-13.22,2589090,2657270,-2.56
1308,亞聚,2021-03,twse,塑膠工業,679625,519823,499915,30.74,35.94,1852692,1314054,40.99
1309,台達化,2021-03,twse,塑膠工業,1845569,1233649,1033774,49.60,78.52,4535681,2958353,53.31
1310,台苯,2021-03,twse,塑膠工業,677091,730574,419530,-7.32,61.39,2137707,1698252,25.87
1312,國喬,2021-03,twse,塑膠工業,1835254,1660203,1107724,10.54,65.67,5235131,3608357,45.08
1313,聯成,2021-03,twse,塑膠工業,7215445,3932791,3767808,83.46,91.50,17119947,8888435,92.60
1314,中石化,2021-03,twse,塑膠工業,2915031,1979742,1568761,47.24,85.81,7436525,5301075,40.28
1315,達新,2021-03,twse,塑膠工業,183809,170163,192450,8.01,-4.48,539319,518209,4.07
1321,大洋,2021-03,twse,塑膠工業,633433,437107,394797,44.91,60.44,1534831,1096066,40.03
1323,永裕,2021-03,twse,塑膠工業,306780,244003,309627,25.72,-0.91,830227,766261,8.34
1324,地球,2021-03,twse,塑膠工業,111375,58498,105320,90.39,5.74,251888,282887,-10.95
1325,恆大,2021-03,twse,塑膠工業,139477,112368,262200,24.12,-46.80,470661,428099,9.94
1326,台化,2021-03,twse,塑膠工業,32179323,25225711,20766240,27.56,54.95,84154251,64444053,30.58
4306,炎洲,2021-03,twse,塑膠工業,1624079,1036147,1268994,56.74,27.98,3948939,3181483,24.12
1402,遠東新,2021-03,twse,紡織纖維,19757228,17332331,18696616,13.99,5.67,56244212,52235614,7.67
1409,新纖,2021-03,twse,紡織纖維,4214077,2695907,2639257,56.31,59.66,10055281,7610727,32.11
1410,南染,2021-03,twse,紡織纖維,43164,29102,38973,48.31,10.75,108330,97263,11.37
1413,宏洲,2021-03,twse,紡織纖維,242906,174641,142094,39.08,70.94,620108,458225,35.32
1414,東和,2021-03,twse,紡織纖維,71482,62318,67930,14.70,5.22,202939,210102,-3.40
1417,嘉裕,2021-03,twse,紡織纖維,97834,93957,55200,4.12,77.23,318747,282224,12.94
1418,東華,2021-03,twse,紡織纖維,3669,2740,12667,33.90,-71.03,12880,34054,-62.17
1419,新紡,2021-03,twse,紡織纖維,213510,143826,222376,48.45,-3.98,549888,566280,-2.89
1423,利華,2021-03,twse,紡織纖維,22269,14184,19015,57.00,17.11,53920,57328,-5.94
1434,福懋,2021-03,twse,紡織纖維,3284511,2283006,3068838,43.86,7.02,8159917,8571381,-4.80
1440,南紡,2021-03,twse,紡織纖維,2176174,1435743,1704740,51.57,27.65,5333105,5037884,5.86
1441,大東,2021-03,twse,紡織纖維,142941,76911,172867,85.85,-17.31,372024,479145,-22.35
1444,力麗,2021-03,twse,紡織纖維,817402,634910,888025,28.74,-7.95,2202305,2443699,-9.87
1445,大宇,2021-03,twse,紡織纖維,100235,90150,101647,11.18,-1.38,268568,317536,-15.42
1446,宏和,2021-03,twse,紡織纖維,23483,29999,70954,-21.72,-66.90,83192,126521,-34.24
1447,力鵬,2021-03,twse,紡織纖維,2298590,1875926,967469,22.53,137.58,5878347,2890587,103.36
1449,佳和,2021-03,twse,紡織纖維,248198,201706,158417,23.04,56.67,589453,420342,40.23
1451,年興,2021-03,twse,紡織纖維,723142,472016,615361,53.20,17.51,1737738,1873660,-7.25
1452,宏益,2021-03,twse,紡織纖維,201142,141746,112721,41.90,78.44,513362,373345,37.50
1454,台富,2021-03,twse,紡織纖維,127728,118548,134983,7.74,-5.37,367005,392304,-6.44
1455,集盛,2021-03,twse,紡織纖維,825740,708790,746898,16.49,10.55,2363278,2144335,10.21
1457,宜進,2021-03,twse,紡織纖維,362143,257456,299830,40.66,20.78,936626,890789,5.14
1459,聯發,2021-03,twse,紡織纖維,256290,184018,201379,39.27,27.26,674591,561247,20.19
1460,宏遠,2021-03,twse,紡織纖維,733251,617249,651733,18.79,12.50,2142155,1870937,14.49
1463,強盛新,2021-03,twse,紡織纖維,40940,29312,45905,39.66,-10.81,106948,204077,-47.59
1464,得力,2021-03,twse,紡織纖維,918042,642542,980301,42.87,-6.35,2428879,2539429,-4.35
1465,偉全,2021-03,twse,紡織纖維,28521,17796,53883,60.26,-47.06,73380,128096,-42.71
1466,聚隆,2021-03,twse,紡織纖維,315388,218592,275237,44.28,14.58,782502,785975,-0.44
1467,南緯,2021-03,twse,紡織纖維,542767,618261,381970,-12.21,42.09,1625835,1207281,34.66
1468,昶和,2021-03,twse,紡織纖維,84514,32907,94163,156.82,-10.24,240471,243559,-1.26
1470,大統新創,2021-03,twse,紡織纖維,81307,55216,83204,47.25,-2.27,201729,206234,-2.18
1473,台南,2021-03,twse,紡織纖維,610081,480887,523620,26.86,16.51,1703421,1980954,-14.01
1474,弘裕,2021-03,twse,紡織纖維,328823,187312,302680,75.54,8.63,789530,679351,16.21
1475,業旺,2021-03,twse,紡織纖維,18677,15339,1640,21.76,1038.84,44377,6997,534.22
1476,儒鴻,2021-03,twse,紡織纖維,3111846,2324451,1902480,33.87,63.56,8219476,6010927,36.74
1477,聚陽,2021-03,twse,紡織纖維,2628521,1806671,2344774,45.48,12.10,6816799,6130884,11.18
4414,如興,2021-03,twse,紡織纖維,1382808,1670267,1251347,-17.21,10.50,4276750,3905469,9.50
4426,利勤,2021-03,twse,紡織纖維,84314,53901,122989,56.42,-31.44,223455,399135,-44.01
4438,廣越,2021-03,twse,紡織纖維,523018,446068,582639,17.25,-10.23,1569231,1843895,-14.89
4440,宜新實業,2021-03,twse,紡織纖維,138955,107314,98945,29.48,40.43,377422,332467,13.52
1503,士電,2021-03,twse,電機機械,2519443,1784924,2309826,41.15,9.07,7115146,6419763,10.83
1504,東元,2021-03,twse,電機機械,4157489,3362861,3693406,23.62,12.56,11459850,10513291,9.00
1506,正道,2021-03,twse,電機機械,101710,66984,91882,51.84,10.69,255566,247190,3.38
1513,中興電,2021-03,twse,電機機械,2204727,973424,1160807,126.49,89.93,4682713,3043164,53.87
1514,亞力,2021-03,twse,電機機械,419387,411153,468388,2.00,-10.46,1230455,1211384,1.57
1515,力山,2021-03,twse,電機機械,1302442,1155559,454220,12.71,186.74,4038815,1418539,184.71
1517,利奇,2021-03,twse,電機機械,405341,248668,189779,63.00,113.58,1009359,523253,92.90
1519,華城,2021-03,twse,電機機械,709451,417358,516662,69.98,37.31,1595992,1676712,-4.81
1526,日馳,2021-03,twse,電機機械,149344,79389,84706,88.11,76.30,342419,235916,45.14
1527,鑽全,2021-03,twse,電機機械,433439,335250,310571,29.28,39.56,1112782,871337,27.70
1528,恩德,2021-03,twse,電機機械,344820,198296,325884,73.89,5.81,759760,838826,-9.42
1529,樂事綠能,2021-03,twse,電機機械,15852,8934,76114,77.43,-79.17,30381,185940,-83.66
1530,亞崴,2021-03,twse,電機機械,412591,141357,244352,191.87,68.85,803987,591116,36.01
1531,高林股,2021-03,twse,電機機械,265125,115925,156697,128.70,69.19,624196,336136,85.69
1532,勤美,2021-03,twse,電機機械,1655763,835083,867494,98.27,90.86,3655470,2267907,61.18
1535,中宇,2021-03,twse,電機機械,722161,798706,815449,-9.58,-11.44,2173956,2018180,7.71
1537,廣隆,2021-03,twse,電機機械,646022,433990,630694,48.85,2.43,1695973,1705033,-0.53
1538,正峰,2021-03,twse,電機機械,28964,15187,20187,90.71,43.47,61275,55437,10.53
1539,巨庭,2021-03,twse,電機機械,217037,189094,189668,14.77,14.42,615378,455136,35.20
1540,喬福,2021-03,twse,電機機械,40439,32908,26825,22.88,50.75,118604,99770,18.87
1541,錩泰,2021-03,twse,電機機械,474909,315416,368476,50.56,28.88,1279384,1113113,14.93
1558,伸興,2021-03,twse,電機機械,933640,630647,491547,48.04,89.93,2545221,1169190,117.69
1560,中砂,2021-03,twse,電機機械,521795,470114,420382,10.99,24.12,1464737,1227863,19.29
1583,程泰,2021-03,twse,電機機械,693407,324817,458899,113.47,51.10,1506666,1045616,44.09
1597,直得,2021-03,twse,電機機械,154057,129093,119633,19.33,28.77,418654,290490,44.11
2049,上銀,2021-03,twse,電機機械,2160488,1865920,1356937,15.78,59.21,5992050,3614067,65.79
2371,大同,2021-03,twse,電機機械,2288969,1829442,3541243,25.11,-35.36,6568089,9083912,-27.69
3167,大量,2021-03,twse,電機機械,364680,261572,131909,39.41,176.46,958003,323055,196.54
4526,東台,2021-03,twse,電機機械,792628,466933,697255,69.75,13.67,1845357,1758314,4.95
4532,瑞智,2021-03,twse,電機機械,2232338,1703814,1698443,31.02,31.43,5828006,4237742,37.52
4540,全球傳動,2021-03,twse,電機機械,293560,209859,251213,39.88,16.85,644817,543659,18.60
4555,氣立,2021-03,twse,電機機械,171354,122547,145733,39.82,17.58,446565,291861,53.00
4562,穎漢,2021-03,twse,電機機械,58119,57274,51041,1.47,13.86,178608,154105,15.90
4564,元翎,2021-03,twse,電機機械,207631,167832,183057,23.71,13.42,581905,514333,13.13
4566,時碩工業,2021-03,twse,電機機械,405499,274884,327590,47.51,23.78,1132691,945082,19.85
4572,駐龍,2021-03,twse,電機機械,31864,20480,37363,55.58,-14.71,73365,118786,-38.23
4576,大銀微系統,2021-03,twse,電機機械,285713,195856,252738,45.87,13.04,694980,557439,24.67
4583,台灣精銳,2021-03,twse,電機機械,288823,253559,270603,13.90,6.73,779564,697082,11.83
6606,建德工業,2021-03,twse,電機機械,86564,28717,47007,201.43,84.15,189697,110617,71.48
8222,寶一,2021-03,twse,電機機械,28223,30730,54536,-8.15,-48.24,79351,179573,-55.81
8374,羅昇,2021-03,twse,電機機械,330271,213200,304865,54.91,8.33,878085,632795,38.76
8996,高力,2021-03,twse,電機機械,187579,146096,246253,28.39,-23.82,503733,548160,-8.10
1603,華電,2021-03,twse,電器電纜,327643,145291,212014,125.50,54.53,738424,656146,12.53
1604,聲寶,2021-03,twse,電器電纜,670122,591817,573093,13.23,16.93,2108570,1808221,16.61
1605,華新,2021-03,twse,電器電纜,11422132,7251245,9160981,57.51,24.68,28854377,24195199,19.25
1608,華榮,2021-03,twse,電器電纜,915976,662515,674058,38.25,35.88,2249784,1710800,31.50
1609,大亞,2021-03,twse,電器電纜,2410381,1534532,1694021,57.07,42.28,6080849,3957011,53.67
1611,中電,2021-03,twse,電器電纜,150794,127187,180126,18.56,-16.28,460847,563642,-18.23
1612,宏泰,2021-03,twse,電器電纜,613523,415232,444449,47.75,38.04,1459148,1165016,25.24
1614,三洋電,2021-03,twse,電器電纜,383729,459545,368332,-16.49,4.18,1321673,1169957,12.96
1615,大山,2021-03,twse,電器電纜,354433,170999,230966,107.27,53.45,786897,556777,41.33
1616,億泰,2021-03,twse,電器電纜,264305,161672,232330,63.48,13.76,627204,619181,1.29
1617,榮星,2021-03,twse,電器電纜,438642,221979,272053,97.60,61.23,1033489,635696,62.57
1618,合機,2021-03,twse,電器電纜,203031,352009,176162,-42.32,15.25,812470,436279,86.22
