stock_id,name,period,market,產業別,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%)
1264,德麥,2023-06,tpex,食品工業,441417,469659,385242,-6.01,14.58,2705012,2431670,11.24
1294,漢田生技,2023-06,tpex,食品工業,63374,58400,22632,8.51,180.01,247309,110071,124.68
1295,生合,2023-06,tpex,食品工業,66686,86986,60823,-23.33,9.63,389112,377844,2.98
1780,立弘,2023-06,tpex,食品工業,64789,52335,72672,23.79,-10.84,379352,359771,5.44
1796,金穎生技,2023-06,tpex,食品工業,74093,77367,51790,-4.23,43.06,415655,297630,39.65
4205,中華食,2023-06,tpex,食品工業,163420,162183,145394,0.76,12.39,936149,864208,8.32
4207,環泰,2023-06,tpex,食品工業,426416,557215,427443,-23.47,-0.24,2680765,2454481,9.21
6846,綠茵,2023-06,tpex,食品工業,74717,61059,54364,22.36,37.43,387421,336823,15.02
4303,信立,2023-06,tpex,塑膠工業,9571,9343,28108,2.44,-65.94,90854,185082,-50.91
4304,勝昱,2023-06,tpex,塑膠工業,48772,65490,28965,-25.52,68.38,302300,178468,69.38
4305,世坤,2023-06,tpex,塑膠工業,69071,86077,81013,-19.75,-14.74,433668,521627,-16.86
9950,萬國通,2023-06,tpex,塑膠工業,264880,296068,172050,-10.53,53.95,1468948,1037807,41.54
4401,東隆興,2023-06,tpex,紡織纖維,260251,218502,421900,19.10,-38.31,1293830,2412750,-46.37
4402,郡都開發,2023-06,tpex,紡織纖維,5432,3308,15451,64.20,-64.84,36788,91341,-59.72
4406,新昕纖,2023-06,tpex,紡織纖維,36710,24336,51268,50.84,-28.39,198804,280321,-29.07
4413,飛寶企業,2023-06,tpex,紡織纖維,46815,16771,72091,179.14,-35.06,230277,401945,-42.70
4417,金洲,2023-06,tpex,紡織纖維,242283,269400,279213,-10.06,-13.22,1428940,1401454,1.96
4420,光明,2023-06,tpex,紡織纖維,45624,56451,75308,-19.17,-39.41,323142,474183,-31.85
4432,銘旺實,2023-06,tpex,紡織纖維,111465,81480,187815,36.80,-40.65,585115,788680,-25.81
4433,興采,2023-06,tpex,紡織纖維,180797,190954,235820,-5.31,-23.33,1266603,1744502,-27.39
6506,雙邦,2023-06,tpex,紡織纖維,115404,105694,165116,9.18,-30.10,812303,1237291,-34.34
1570,力肯,2023-06,tpex,電機機械,29017,24340,52633,19.21,-44.86,235832,325240,-27.48
1580,新麥,2023-06,tpex,電機機械,395391,372654,368382,6.10,7.33,2044542,1841206,11.04
1586,和勤,2023-06,tpex,電機機械,160389,175660,272472,-8.69,-41.13,1026198,1342788,-23.57
1599,宏佳騰,2023-06,tpex,電機機械,117212,83438,310045,40.47,-62.19,721455,1739936,-58.53
2066,世德,2023-06,tpex,電機機械,239722,241642,238235,-0.79,0.62,1429685,1383196,3.36
2067,嘉鋼,2023-06,tpex,電機機械,107187,111519,94992,-3.88,12.83,628269,574458,9.36
2070,精湛,2023-06,tpex,電機機械,54043,42273,65808,27.84,-17.87,266742,258067,3.36
