date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price,valid_bar
2015-01-05,00632R,元大台灣50反1,twse,19.15,19.28,19.08,19.12,5644000,108153060,0.07,,100149000,551,,,1
2015-01-06,00632R,元大台灣50反1,twse,19.33,19.58,19.31,19.53,10199100,198273600,0.41,,100149000,1272,,,1
2015-01-07,00632R,元大台灣50反1,twse,19.53,19.56,19.44,19.49,6164410,120168370,-0.04,,100149000,538,,,1
2015-01-08,00632R,元大台灣50反1,twse,19.25,19.33,19.12,19.12,13061000,250556150,-0.37,,84149000,1288,,,1
2015-01-09,00632R,元大台灣50反1,twse,19.00,19.19,18.99,19.17,3771000,72088280,0.05,,84149000,490,,,1
2015-01-12,00632R,元大台灣50反1,twse,19.27,19.30,19.16,19.25,4123000,79300010,0.08,,86149000,390,,,1
2015-01-13,00632R,元大台灣50反1,twse,19.25,19.30,19.07,19.16,8025000,153595270,-0.09,,105149000,857,,,1
2015-01-14,00632R,元大台灣50反1,twse,19.19,19.31,19.14,19.27,6469000,124601670,0.11,,129149000,385,,,1
2015-01-15,00632R,元大台灣50反1,twse,19.18,19.36,19.17,19.27,6903013,133113691,0.0,,130149000,418,,,1
2015-01-16,00632R,元大台灣50反1,twse,19.14,19.47,19.14,19.40,14133477,274113563,0.13,,132149000,1069,,,1
2015-01-19,00632R,元大台灣50反1,twse,19.18,19.35,19.12,19.31,9907000,190829110,-0.09,,136649000,805,,,1
2015-01-20,00632R,元大台灣50反1,twse,19.23,19.26,19.11,19.12,12827000,245754060,-0.19,,144149000,980,,,1
2015-01-21,00632R,元大台灣50反1,twse,19.07,19.07,19.00,19.03,16200000,308144560,-0.09,,152649000,1506,,,1
2015-01-22,00632R,元大台灣50反1,twse,18.99,18.99,18.83,18.89,14742000,278355370,-0.14,,164149000,1422,,,1
2015-01-23,00632R,元大台灣50反1,twse,18.70,18.73,18.67,18.70,14862000,277822050,-0.19,,172149000,1641,,,1
2015-01-26,00632R,元大台灣50反1,twse,18.77,18.77,18.69,18.71,11415000,213662890,0.01,,175149000,689,,,1
2015-01-27,00632R,元大台灣50反1,twse,18.61,18.67,18.55,18.60,6516000,121289280,-0.11,,179649000,951,,,1
2015-01-28,00632R,元大台灣50反1,twse,18.68,18.68,18.58,18.59,11519000,214363900,-0.01,,189649000,928,,,1
2015-01-29,00632R,元大台灣50反1,twse,18.66,18.77,18.64,18.75,8441156,158053482,0.16,,195149000,1052,,,1
2015-01-30,00632R,元大台灣50反1,twse,18.73,18.82,18.71,18.82,6813013,127845055,0.07,,195149000,565,,,1
2015-02-02,00632R,元大台灣50反1,twse,18.85,18.89,18.77,18.82,5573000,104918240,0.0,,197649000,756,,,1
2015-02-03,00632R,元大台灣50反1,twse,18.73,18.81,18.65,18.71,8608055,161040655,-0.11,,197649000,769,,,1
2015-02-04,00632R,元大台灣50反1,twse,18.58,18.61,18.53,18.60,9913000,184079220,-0.11,,183149000,1031,,,1
2015-02-05,00632R,元大台灣50反1,twse,18.60,18.67,18.60,18.61,2157011,40202604,0.01,,186649000,311,,,1
2015-02-06,00632R,元大台灣50反1,twse,18.60,18.70,18.58,18.69,3084000,57538420,0.08,,186649000,354,,,1
2015-02-09,00632R,元大台灣50反1,twse,18.75,18.77,18.69,18.73,2615000,49000110,0.04,,186649000,292,,,1
2015-02-10,00632R,元大台灣50反1,twse,18.75,18.77,18.70,18.77,3638260,68211600,0.04,,186649000,405,,,1
2015-02-11,00632R,元大台灣50反1,twse,18.70,18.71,18.62,18.63,3101004,57818255,-0.14,,188149000,488,,,1
2015-02-12,00632R,元大台灣50反1,twse,18.63,18.69,18.62,18.66,2168200,40436230,0.03,,188649000,213,,,1
2015-02-13,00632R,元大台灣50反1,twse,18.60,18.60,18.52,18.58,6527096,121091414,-0.08,,188649000,831,,,1
2015-02-24,00632R,元大台灣50反1,twse,18.46,18.46,18.37,18.39,11183240,205867419,-0.19,,199149000,1508,,,1
2015-02-25,00632R,元大台灣50反1,twse,18.31,18.34,18.28,18.28,8133100,148815510,-0.11,,199149000,1257,,,1
2015-02-26,00632R,元大台灣50反1,twse,18.33,18.38,18.31,18.34,2518000,46185100,0.06,,201649000,473,,,1
2015-03-02,00632R,元大台灣50反1,twse,18.35,18.40,18.28,18.39,3708114,68030040,0.05,,204149000,417,,,1
2015-03-03,00632R,元大台灣50反1,twse,18.31,18.47,18.31,18.40,1694100,31193559,0.01,,204149000,433,,,1
2015-03-04,00632R,元大台灣50反1,twse,18.45,18.49,18.37,18.41,2212000,40721750,0.01,,204149000,432,,,1
2015-03-05,00632R,元大台灣50反1,twse,18.40,18.52,18.39,18.42,2769150,51080586,0.01,,204149000,403,,,1
2015-03-06,00632R,元大台灣50反1,twse,18.45,18.49,18.38,18.40,2972000,54735130,-0.02,,205649000,464,,,1
2015-03-09,00632R,元大台灣50反1,twse,18.48,18.53,18.45,18.47,4008000,74076290,0.07,,205649000,538,,,1
2015-03-10,00632R,元大台灣50反1,twse,18.53,18.60,18.47,18.56,4954000,91917870,0.09,,207149000,758,,,1
2015-03-11,00632R,元大台灣50反1,twse,18.70,18.71,18.54,18.59,5409000,100733490,0.03,,208149000,761,,,1
2015-03-12,00632R,元大台灣50反1,twse,18.59,18.60,18.44,18.45,4905000,90661200,-0.14,,211149000,735,,,1
2015-03-13,00632R,元大台灣50反1,twse,18.45,18.47,18.37,18.47,5063050,93259414,0.02,,211649000,638,,,1
2015-03-16,00632R,元大台灣50反1,twse,18.47,18.53,18.45,18.53,2040161,37724894,0.06,,215649000,283,,,1
2015-03-17,00632R,元大台灣50反1,twse,18.45,18.52,18.36,18.52,5964100,109870890,-0.01,,219649000,684,,,1
2015-03-18,00632R,元大台灣50反1,twse,18.50,18.50,18.35,18.39,7890100,145088920,-0.13,,222149000,1721,,,1
2015-03-19,00632R,元大台灣50反1,twse,18.30,18.30,18.14,18.19,14030050,255436310,-0.2,,234649000,2342,,,1
2015-03-20,00632R,元大台灣50反1,twse,18.20,18.21,18.15,18.18,2844000,51718710,-0.01,,234649000,437,,,1
2015-03-23,00632R,元大台灣50反1,twse,18.19,18.21,18.15,18.18,2880000,52340630,0.0,,237649000,428,,,1
2015-03-24,00632R,元大台灣50反1,twse,18.19,18.28,18.16,18.24,2537000,46257020,0.06,,237649000,350,,,1
2015-03-25,00632R,元大台灣50反1,twse,18.25,18.32,18.23,18.28,2220000,40608500,0.04,,264649000,459,,,1
2015-03-26,00632R,元大台灣50反1,twse,18.41,18.48,18.38,18.42,7588163,139956647,0.14,,264649000,831,,,1
