date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2015-12-14,00647L,元大S&P500正2,twse,19.25,19.37,19.10,19.32,695000,13426230,-0.68,,,173,
2015-12-15,00647L,元大S&P500正2,twse,19.50,19.51,19.40,19.40,805000,15647410,0.08,,,129,
2015-12-16,00647L,元大S&P500正2,twse,19.86,19.93,19.78,19.90,562000,11150180,0.5,,,150,
2015-12-17,00647L,元大S&P500正2,twse,20.29,20.30,20.08,20.24,2823000,57164120,0.34,,,485,
2015-12-18,00647L,元大S&P500正2,twse,19.71,19.74,19.47,19.56,2382000,46649240,-0.68,,,421,
2015-12-21,00647L,元大S&P500正2,twse,19.04,19.22,19.02,19.21,2561000,49071320,-0.35,,,418,
2015-12-22,00647L,元大S&P500正2,twse,19.46,19.48,19.38,19.45,1943001,37758889,0.24,,,263,
2015-12-23,00647L,元大S&P500正2,twse,19.59,19.75,19.59,19.72,1045000,20606510,0.27,,,190,
2015-12-24,00647L,元大S&P500正2,twse,20.09,20.16,20.04,20.04,1991000,40020020,0.32,,,229,
2015-12-25,00647L,元大S&P500正2,twse,20.01,20.03,20.00,20.02,407000,8147230,-0.02,,,37,
2015-12-28,00647L,元大S&P500正2,twse,20.02,20.08,20.02,20.03,593000,11890660,0.01,,,44,
2015-12-29,00647L,元大S&P500正2,twse,20.00,20.07,20.00,20.05,420000,8411570,0.02,,,52,
2015-12-30,00647L,元大S&P500正2,twse,20.45,20.47,20.38,20.40,1943000,39699650,0.35,,,298,
2015-12-31,00647L,元大S&P500正2,twse,20.11,20.19,20.11,20.18,856015,17257136,-0.22,,,82,
2016-01-04,00647L,元大S&P500正2,twse,20.04,20.04,19.49,19.53,2654000,52352290,-0.65,,,178,
2016-01-05,00647L,元大S&P500正2,twse,19.42,19.53,19.39,19.40,1354000,26321090,-0.13,,,195,
2016-01-06,00647L,元大S&P500正2,twse,19.46,19.46,19.00,19.16,2949000,56434880,-0.24,,,234,
2016-01-07,00647L,元大S&P500正2,twse,19.05,19.09,18.56,18.62,4154000,78239120,-0.54,,,270,
2016-01-08,00647L,元大S&P500正2,twse,18.19,18.54,18.10,18.40,8044000,147429000,-0.22,,,610,
2016-01-11,00647L,元大S&P500正2,twse,17.60,17.72,17.41,17.66,2685000,47159840,-0.74,,,422,
2016-01-12,00647L,元大S&P500正2,twse,17.84,17.84,17.56,17.58,1943000,34365180,-0.08,,,210,
2016-01-13,00647L,元大S&P500正2,twse,18.01,18.27,18.01,18.23,1673000,30338760,0.65,,,324,
2016-01-14,00647L,元大S&P500正2,twse,17.13,17.26,17.00,17.25,2440000,41778330,-0.98,,,361,
2016-01-15,00647L,元大S&P500正2,twse,17.71,17.75,17.40,17.45,1439000,25320360,0.2,,,246,
2016-01-18,00647L,元大S&P500正2,twse,17.00,17.19,16.97,17.19,2086000,35679230,-0.26,,,375,
2016-01-19,00647L,元大S&P500正2,twse,17.22,17.39,17.13,17.39,1835000,31688600,0.2,,,246,
2016-01-20,00647L,元大S&P500正2,twse,16.85,16.97,16.44,16.50,4999000,83544890,-0.89,,,674,
2016-01-21,00647L,元大S&P500正2,twse,16.70,17.08,16.68,16.81,2776000,46847740,0.31,,,434,
2016-01-22,00647L,元大S&P500正2,twse,17.00,17.10,16.77,17.06,3097000,52417540,0.25,,,266,
2016-01-25,00647L,元大S&P500正2,twse,17.45,17.53,17.38,17.50,2383000,41661140,0.44,,,327,
2016-01-26,00647L,元大S&P500正2,twse,17.00,17.01,16.84,16.91,4716000,79888430,-0.59,,,321,
2016-01-27,00647L,元大S&P500正2,twse,17.21,17.31,17.13,17.28,1391000,23949170,0.37,,,182,
2016-01-28,00647L,元大S&P500正2,twse,17.12,17.30,17.04,17.18,2909000,50039500,-0.1,,,137,
2016-01-29,00647L,元大S&P500正2,twse,17.20,17.51,17.10,17.43,5558196,96143305,0.25,,,305,
2016-01-30,00647L,元大S&P500正2,twse,17.92,18.01,17.81,18.00,1169000,20954210,0.57,,,268,
2016-02-01,00647L,元大S&P500正2,twse,17.97,17.97,17.83,17.88,1817000,32525730,-0.12,,,126,
