date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2016-07-14,00664R,國泰臺灣加權反1,twse,20.02,20.05,19.90,19.95,6755000,134927650,-0.04,,,1237,
2016-07-15,00664R,國泰臺灣加權反1,twse,19.91,19.92,19.72,19.74,8158015,161739640,-0.21,,,894,
2016-07-18,00664R,國泰臺灣加權反1,twse,19.69,19.69,19.55,19.57,6735000,131953760,-0.17,,,570,
2016-07-19,00664R,國泰臺灣加權反1,twse,19.52,19.63,19.49,19.51,6361000,124321060,-0.06,,,586,
2016-07-20,00664R,國泰臺灣加權反1,twse,19.54,19.60,19.45,19.53,5102000,99616310,0.02,,,602,
2016-07-21,00664R,國泰臺灣加權反1,twse,19.44,19.45,19.27,19.34,4575000,88476410,-0.19,,,733,
2016-07-22,00664R,國泰臺灣加權反1,twse,19.38,19.44,19.34,19.43,6822000,132336000,0.09,,,367,
2016-07-25,00664R,國泰臺灣加權反1,twse,19.34,19.70,19.24,19.52,14977000,292494620,0.09,,,966,
2016-07-26,00664R,國泰臺灣加權反1,twse,19.52,19.59,19.40,19.40,6287000,122413870,-0.12,,,639,
2016-07-27,00664R,國泰臺灣加權反1,twse,19.29,19.38,19.22,19.32,8270000,159574230,-0.08,,,817,
2016-07-28,00664R,國泰臺灣加權反1,twse,19.36,19.44,19.23,19.31,6790000,131203490,-0.01,,,583,
2016-07-29,00664R,國泰臺灣加權反1,twse,19.32,19.44,19.28,19.43,5770000,111827060,0.12,,,508,
2016-08-01,00664R,國泰臺灣加權反1,twse,19.39,19.39,19.22,19.25,6074000,117056960,-0.18,,,998,
2016-08-02,00664R,國泰臺灣加權反1,twse,19.24,19.30,19.22,19.26,3647000,70215110,0.01,,,290,
2016-08-03,00664R,國泰臺灣加權反1,twse,19.52,19.56,19.33,19.40,6096000,118618750,0.14,,,891,
2016-08-04,00664R,國泰臺灣加權反1,twse,19.33,19.50,19.32,19.34,4498000,87254110,-0.06,,,492,
2016-08-05,00664R,國泰臺灣加權反1,twse,19.27,19.33,19.12,19.14,8709000,166921580,-0.2,,,1261,
2016-08-08,00664R,國泰臺灣加權反1,twse,19.03,19.13,18.98,19.04,6846000,130506180,-0.1,,,780,
2016-08-09,00664R,國泰臺灣加權反1,twse,19.03,19.05,18.97,18.99,4543000,86346620,-0.05,,,736,
2016-08-10,00664R,國泰臺灣加權反1,twse,18.99,19.06,18.92,18.93,5926000,112467730,-0.06,,,715,
2016-08-11,00664R,國泰臺灣加權反1,twse,19.01,19.26,18.93,19.09,7853000,149969030,0.16,,,767,
2016-08-12,00664R,國泰臺灣加權反1,twse,19.02,19.05,18.95,18.98,6695000,127124270,-0.11,,,567,
2016-08-15,00664R,國泰臺灣加權反1,twse,18.98,19.06,18.94,19.00,4318215,81999325,0.02,,,353,
2016-08-16,00664R,國泰臺灣加權反1,twse,18.99,19.15,18.95,19.06,6328000,120647680,0.06,,,497,
2016-08-17,00664R,國泰臺灣加權反1,twse,19.08,19.15,19.05,19.08,8671000,165615400,0.02,,,565,
2016-08-18,00664R,國泰臺灣加權反1,twse,19.08,19.09,19.00,19.02,6753000,128518450,-0.06,,,486,
2016-08-19,00664R,國泰臺灣加權反1,twse,19.01,19.20,18.91,19.19,12443500,237514700,0.17,,,1382,
2016-08-22,00664R,國泰臺灣加權反1,twse,19.26,19.42,19.22,19.34,9658000,186636870,0.15,,,1272,
2016-08-23,00664R,國泰臺灣加權反1,twse,19.28,19.29,19.14,19.15,11210000,215165330,-0.19,,,1093,
2016-08-24,00664R,國泰臺灣加權反1,twse,19.11,19.21,19.11,19.20,3781000,72463760,0.05,,,472,
2016-08-25,00664R,國泰臺灣加權反1,twse,19.18,19.18,18.99,19.00,13641000,259754560,-0.2,,,1705,
2016-08-26,00664R,國泰臺灣加權反1,twse,19.00,19.02,18.92,18.94,12584000,238581920,-0.06,,,5946,
2016-08-29,00664R,國泰臺灣加權反1,twse,19.02,19.19,18.95,19.01,8701000,166046580,0.07,,,776,
2016-08-30,00664R,國泰臺灣加權反1,twse,18.97,19.06,18.95,19.02,4341000,82454350,0.01,,,536,
2016-08-31,00664R,國泰臺灣加權反1,twse,19.04,19.18,18.99,19.12,8125100,155078808,0.1,,,793,
2016-09-01,00664R,國泰臺灣加權反1,twse,19.16,19.34,19.15,19.22,12687000,244188880,0.1,,,1128,
2016-09-02,00664R,國泰臺灣加權反1,twse,19.20,19.30,19.16,19.25,6079000,116964100,0.03,,,712,
2016-09-05,00664R,國泰臺灣加權反1,twse,19.08,19.08,18.96,18.97,12087000,229773880,-0.28,,,1499,
2016-09-06,00664R,國泰臺灣加權反1,twse,18.95,18.95,18.78,18.80,14791000,278553050,-0.17,,,1976,
2016-09-07,00664R,國泰臺灣加權反1,twse,18.74,18.74,18.56,18.57,12757000,237610070,-0.23,,,1983,
2016-09-08,00664R,國泰臺灣加權反1,twse,18.58,18.64,18.57,18.59,4363000,81150890,0.02,,,441,
2016-09-09,00664R,國泰臺灣加權反1,twse,18.77,18.84,18.75,18.80,25781000,484455480,0.21,,,929,
2016-09-10,00664R,國泰臺灣加權反1,twse,19.14,19.17,19.08,19.12,14548000,278160840,0.32,,,1341,
2016-09-12,00664R,國泰臺灣加權反1,twse,19.12,19.25,19.11,19.24,15674000,301027220,0.12,,,1287,
2016-09-13,00664R,國泰臺灣加權反1,twse,19.15,19.44,19.15,19.28,13063500,251595485,0.04,,,1295,
2016-09-14,00664R,國泰臺灣加權反1,twse,19.36,19.36,19.20,19.33,8964000,172986860,0.05,,,829,
2016-09-19,00664R,國泰臺灣加權反1,twse,19.06,19.06,18.76,18.76,19672000,371347790,-0.57,,,2733,
2016-09-20,00664R,國泰臺灣加權反1,twse,18.81,18.81,18.71,18.75,8647000,162358890,-0.01,,,504,
2016-09-21,00664R,國泰臺灣加權反1,twse,18.81,18.81,18.64,18.64,10976000,205327930,-0.11,,,1158,
2016-09-22,00664R,國泰臺灣加權反1,twse,18.48,18.64,18.45,18.59,8203000,152174390,-0.05,,,965,
2016-09-23,00664R,國泰臺灣加權反1,twse,18.55,18.59,18.48,18.49,7921000,146646120,-0.1,,,1243,
2016-09-26,00664R,國泰臺灣加權反1,twse,18.55,18.66,18.55,18.66,9185200,171108318,0.17,,,695,
2016-09-29,00664R,國泰臺灣加權反1,twse,18.46,18.53,18.36,18.45,10574000,194812980,-0.21,,,1848,
2016-09-30,00664R,國泰臺灣加權反1,twse,18.58,18.68,18.54,18.64,11692000,217835600,0.19,,,2215,
2016-10-03,00664R,國泰臺灣加權反1,twse,18.56,18.62,18.50,18.58,4258400,79051562,-0.06,,,362,
2016-10-04,00664R,國泰臺灣加權反1,twse,18.53,18.57,18.45,18.45,8166000,150973710,-0.13,,,939,
2016-10-05,00664R,國泰臺灣加權反1,twse,18.51,18.52,18.43,18.47,11455000,211392240,0.02,,,413,
2016-10-06,00664R,國泰臺灣加權反1,twse,18.44,18.52,18.43,18.44,10615000,196119560,-0.03,,,405,
2016-10-07,00664R,國泰臺灣加權反1,twse,18.45,18.47,18.43,18.44,6705000,123684680,0.0,,,346,
2016-10-11,00664R,國泰臺灣加權反1,twse,18.30,18.65,18.29,18.57,9804000,181552480,0.13,,,951,
2016-10-12,00664R,國泰臺灣加權反1,twse,18.58,18.60,18.40,18.41,17381000,321421980,-0.16,,,1067,
2016-10-13,00664R,國泰臺灣加權反1,twse,18.43,18.57,18.41,18.52,9131005,169117310,0.11,,,689,
2016-10-14,00664R,國泰臺灣加權反1,twse,18.59,18.63,18.49,18.59,10263005,190483130,0.07,,,761,
2016-10-17,00664R,國泰臺灣加權反1,twse,18.62,18.81,18.55,18.60,12884009,240648535,0.01,,,1406,
2016-10-18,00664R,國泰臺灣加權反1,twse,18.61,18.63,18.48,18.50,7037000,130447980,-0.1,,,762,
2016-10-19,00664R,國泰臺灣加權反1,twse,18.47,18.47,18.36,18.40,7893000,145099940,-0.1,,,1142,
2016-10-20,00664R,國泰臺灣加權反1,twse,18.41,18.41,18.31,18.33,9016000,165397500,-0.07,,,816,
2016-10-21,00664R,國泰臺灣加權反1,twse,18.36,18.41,18.26,18.35,7844000,143764150,0.02,,,920,
2016-10-24,00664R,國泰臺灣加權反1,twse,18.28,18.35,18.25,18.30,14126000,258469680,-0.05,,,673,
2016-10-25,00664R,國泰臺灣加權反1,twse,18.26,18.27,18.11,18.12,12342000,224598080,-0.18,,,1606,
2016-10-26,00664R,國泰臺灣加權反1,twse,18.20,18.23,18.17,18.22,5179000,94259300,0.1,,,398,
2016-10-27,00664R,國泰臺灣加權反1,twse,18.22,18.36,18.20,18.30,10385000,189771540,0.08,,,588,
2016-10-28,00664R,國泰臺灣加權反1,twse,18.28,18.36,18.27,18.33,4608000,84387850,0.03,,,509,
2016-10-31,00664R,國泰臺灣加權反1,twse,18.41,18.52,18.28,18.30,9052000,166622250,-0.03,,,1132,
2016-11-01,00664R,國泰臺灣加權反1,twse,18.38,18.42,18.29,18.32,4252000,77969600,0.02,,,491,
2016-11-02,00664R,國泰臺灣加權反1,twse,18.47,18.56,18.43,18.55,18454000,341692530,0.23,,,2243,
2016-11-03,00664R,國泰臺灣加權反1,twse,18.58,18.70,18.54,18.67,12393014,230920951,0.12,,,1490,
2016-11-04,00664R,國泰臺灣加權反1,twse,18.71,18.75,18.67,18.73,11093300,207646218,0.06,,,950,
2016-11-07,00664R,國泰臺灣加權反1,twse,18.60,18.61,18.46,18.48,9049401,167609442,-0.25,,,809,
2016-11-08,00664R,國泰臺灣加權反1,twse,18.43,18.53,18.41,18.43,6694000,123632210,-0.05,,,609,
2016-11-09,00664R,國泰臺灣加權反1,twse,18.31,19.02,18.27,18.97,37388500,700668805,0.54,,,3340,
2016-11-10,00664R,國泰臺灣加權反1,twse,18.49,18.52,18.42,18.45,12602000,232664500,-0.52,,,3619,
2016-11-11,00664R,國泰臺灣加權反1,twse,18.75,18.89,18.67,18.87,21153000,398009720,0.42,,,4484,
2016-11-14,00664R,國泰臺灣加權反1,twse,18.87,19.04,18.82,18.90,12801000,242662450,0.03,,,967,
2016-11-15,00664R,國泰臺灣加權反1,twse,18.95,18.96,18.86,18.91,7119000,134541040,0.01,,,493,
2016-11-16,00664R,國泰臺灣加權反1,twse,18.82,18.86,18.77,18.86,6111000,114986330,-0.05,,,575,
2016-11-17,00664R,國泰臺灣加權反1,twse,18.88,18.96,18.85,18.86,5345000,101002630,0.0,,,411,
2016-11-18,00664R,國泰臺灣加權反1,twse,18.86,18.91,18.76,18.79,6479000,122051010,-0.07,,,376,
2016-11-21,00664R,國泰臺灣加權反1,twse,18.80,18.82,18.71,18.72,6320099,118414626,-0.07,,,2767,
2016-11-22,00664R,國泰臺灣加權反1,twse,18.64,18.65,18.43,18.49,11579000,214356070,-0.23,,,3578,
2016-11-23,00664R,國泰臺灣加權反1,twse,18.46,18.48,18.37,18.41,7688000,141558130,-0.08,,,758,
2016-11-24,00664R,國泰臺灣加權反1,twse,18.44,18.52,18.43,18.46,7101004,131149396,0.05,,,2397,
2016-11-25,00664R,國泰臺灣加權反1,twse,18.48,18.48,18.37,18.43,7637000,140628560,-0.03,,,2808,
2016-11-28,00664R,國泰臺灣加權反1,twse,18.44,18.44,18.27,18.32,8669796,158832750,-0.11,,,907,
2016-11-29,00664R,國泰臺灣加權反1,twse,18.32,18.37,18.29,18.34,5273999,96654750,0.02,,,378,
2016-11-30,00664R,國泰臺灣加權反1,twse,18.33,18.40,18.27,18.32,5120000,93924160,-0.02,,,533,
2016-12-01,00664R,國泰臺灣加權反1,twse,18.31,18.31,18.20,18.25,5732000,104582350,-0.07,,,772,
2016-12-02,00664R,國泰臺灣加權反1,twse,18.42,18.45,18.38,18.42,6461000,118975480,0.17,,,664,
2016-12-05,00664R,國泰臺灣加權反1,twse,18.45,18.51,18.39,18.45,4557000,84103810,0.03,,,391,
2016-12-06,00664R,國泰臺灣加權反1,twse,18.29,18.29,18.19,18.24,7919000,144382020,-0.21,,,942,
2016-12-07,00664R,國泰臺灣加權反1,twse,18.18,18.26,18.15,18.24,4476000,81516440,0.0,,,420,
2016-12-08,00664R,國泰臺灣加權反1,twse,18.08,18.14,18.06,18.08,13999000,253320550,-0.16,,,1400,
2016-12-09,00664R,國泰臺灣加權反1,twse,18.05,18.06,17.99,18.01,8041000,144845000,-0.07,,,770,
2016-12-12,00664R,國泰臺灣加權反1,twse,17.96,18.08,17.92,18.07,4119000,74197730,0.06,,,619,
2016-12-13,00664R,國泰臺灣加權反1,twse,18.07,18.10,18.02,18.02,4141000,74774430,-0.05,,,328,
2016-12-14,00664R,國泰臺灣加權反1,twse,18.00,18.07,17.97,18.04,5488000,98946580,0.02,,,326,
2016-12-15,00664R,國泰臺灣加權反1,twse,18.12,18.15,18.02,18.02,7795000,141066870,-0.02,,,583,
2016-12-16,00664R,國泰臺灣加權反1,twse,18.05,18.12,18.04,18.12,4195000,75823660,0.1,,,298,
2016-12-19,00664R,國泰臺灣加權反1,twse,18.17,18.25,18.13,18.23,6496000,118209540,0.11,,,709,
2016-12-20,00664R,國泰臺灣加權反1,twse,18.23,18.30,18.23,18.26,6942000,126859390,0.03,,,610,
2016-12-21,00664R,國泰臺灣加權反1,twse,18.22,18.28,18.22,18.25,3709000,67669470,-0.01,,,243,
2016-12-22,00664R,國泰臺灣加權反1,twse,18.28,18.43,18.28,18.42,7906000,145333050,0.17,,,849,
2016-12-23,00664R,國泰臺灣加權反1,twse,18.49,18.52,18.41,18.49,7324000,135275670,0.07,,,668,
2016-12-26,00664R,國泰臺灣加權反1,twse,18.49,18.53,18.45,18.45,4500000,83223730,-0.04,,,338,
2016-12-27,00664R,國泰臺灣加權反1,twse,18.46,18.49,18.45,18.47,2940000,54313780,0.02,,,301,
2016-12-28,00664R,國泰臺灣加權反1,twse,18.46,18.46,18.28,18.28,13064384,239414539,-0.19,,,587,
