date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2017-10-24,00668K,國泰美國道瓊+U,twse,8.15,8.16,8.15,8.16,200,1631,-0.02,,,2,
2017-10-25,00668K,國泰美國道瓊+U,twse,8.18,8.18,8.18,8.18,100,818,0.02,up,,1,
2017-10-26,00668K,國泰美國道瓊+U,twse,8.14,8.14,8.14,8.14,100,814,-0.04,down,,1,
2017-10-27,00668K,國泰美國道瓊+U,twse,8.16,8.16,8.16,8.16,100,816,0.02,up,,1,
2017-10-30,00668K,國泰美國道瓊+U,twse,8.20,8.20,8.20,8.20,200,1640,0.04,up,,1,
2017-11-01,00668K,國泰美國道瓊+U,twse,8.32,8.32,8.32,8.32,500,4160,0.0,down,,1,
2017-11-03,00668K,國泰美國道瓊+U,twse,8.21,8.21,8.21,8.21,100,821,0.0,down,,1,
2017-11-10,00668K,國泰美國道瓊+U,twse,8.19,8.19,8.18,8.18,2300,18817,0.0,,,5,
2017-11-13,00668K,國泰美國道瓊+U,twse,8.19,8.19,8.18,8.18,81100,663409,0.0,,,4,
2017-11-14,00668K,國泰美國道瓊+U,twse,8.19,8.19,8.18,8.18,80100,655219,0.0,,,3,
2017-11-15,00668K,國泰美國道瓊+U,twse,8.16,8.16,8.16,8.16,80000,652800,-0.02,down,,2,
2017-11-16,00668K,國泰美國道瓊+U,twse,8.12,8.15,8.12,8.15,98800,802556,-0.01,,,22,
2017-11-17,00668K,國泰美國道瓊+U,twse,8.19,8.19,8.19,8.19,80000,655200,0.04,up,,2,
2017-11-20,00668K,國泰美國道瓊+U,twse,8.14,8.14,8.14,8.14,80100,652014,-0.05,down,,3,
2017-11-21,00668K,國泰美國道瓊+U,twse,8.19,8.19,8.19,8.19,80000,655200,0.05,up,,2,
2017-11-22,00668K,國泰美國道瓊+U,twse,8.24,8.24,8.24,8.24,80000,659200,0.05,up,,2,
2017-11-23,00668K,國泰美國道瓊+U,twse,8.22,8.22,8.22,8.22,80000,657600,-0.02,down,,2,
2017-11-24,00668K,國泰美國道瓊+U,twse,8.22,8.22,8.22,8.22,80000,657600,0.0,down,,2,
2017-11-27,00668K,國泰美國道瓊+U,twse,8.23,8.23,8.23,8.23,80000,658400,0.01,up,,2,
2017-11-28,00668K,國泰美國道瓊+U,twse,8.21,8.21,8.21,8.21,80000,656800,-0.02,down,,2,
2017-11-29,00668K,國泰美國道瓊+U,twse,8.31,8.31,8.31,8.31,80000,664800,0.1,up,,2,
2017-11-30,00668K,國泰美國道瓊+U,twse,8.34,8.37,8.34,8.37,80200,669671,0.06,,,4,
2017-12-01,00668K,國泰美國道瓊+U,twse,8.46,8.46,8.46,8.46,80000,676800,0.09,up,,2,
2017-12-04,00668K,國泰美國道瓊+U,twse,8.48,8.48,8.48,8.48,80000,678400,0.02,up,,2,
2017-12-05,00668K,國泰美國道瓊+U,twse,8.49,8.49,8.49,8.49,80000,679200,0.01,up,,2,
2017-12-06,00668K,國泰美國道瓊+U,twse,8.43,8.43,8.43,8.43,120000,1011600,-0.06,down,,4,
2017-12-07,00668K,國泰美國道瓊+U,twse,8.42,8.42,8.42,8.42,120000,1010400,-0.01,down,,4,
