date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2016-10-07,00673R,期元大S&P原油反1,twse,19.61,19.76,19.61,19.69,2350000,46296280,-0.32,,30703000,318,,
2016-10-11,00673R,期元大S&P原油反1,twse,19.40,19.45,19.40,19.43,2380000,46214000,-0.26,,30703000,163,,
2016-10-12,00673R,期元大S&P原油反1,twse,19.62,19.62,19.57,19.59,841000,16480380,0.16,,30703000,125,,
2016-10-13,00673R,期元大S&P原油反1,twse,19.96,20.09,19.96,20.06,2174000,43579310,0.47,,30703000,233,,
2016-10-14,00673R,期元大S&P原油反1,twse,19.83,19.83,19.68,19.73,1376000,27164950,-0.33,,30703000,151,,
2016-10-17,00673R,期元大S&P原油反1,twse,19.88,19.94,19.86,19.89,1277000,25398040,0.16,,30703000,73,,
2016-10-18,00673R,期元大S&P原油反1,twse,19.83,19.89,19.83,19.89,255000,5068970,0.0,,30703000,38,,
2016-10-19,00673R,期元大S&P原油反1,twse,19.71,19.71,19.61,19.69,1092000,21474220,-0.2,,30703000,82,,
2016-10-20,00673R,期元大S&P原油反1,twse,19.42,19.49,19.40,19.49,917000,17825650,-0.2,,30703000,114,,
2016-10-21,00673R,期元大S&P原油反1,twse,19.83,19.95,19.82,19.93,2072000,41241120,0.44,,30703000,143,,
2016-10-24,00673R,期元大S&P原油反1,twse,19.88,19.91,19.80,19.84,1052000,20893740,-0.09,,30703000,64,,
2016-10-25,00673R,期元大S&P原油反1,twse,19.95,19.95,19.88,19.89,709000,14117910,0.05,,30703000,53,,
2016-10-26,00673R,期元大S&P原油反1,twse,20.28,20.37,20.28,20.36,1962000,39859080,0.47,,30203000,169,,
2016-10-27,00673R,期元大S&P原油反1,twse,20.45,20.45,20.34,20.37,1454000,29631210,0.01,,30203000,105,,
2016-10-28,00673R,期元大S&P原油反1,twse,20.20,20.20,20.15,20.17,869000,17528680,-0.2,,30203000,49,,
2016-10-31,00673R,期元大S&P原油反1,twse,20.70,20.71,20.63,20.65,672000,13890380,0.48,,30203000,96,,
2016-11-01,00673R,期元大S&P原油反1,twse,21.32,21.36,21.29,21.31,2540000,54140630,0.66,,30203000,136,,
2016-11-02,00673R,期元大S&P原油反1,twse,21.49,21.62,21.49,21.59,927000,19984300,0.28,,30203000,84,,
2016-11-03,00673R,期元大S&P原油反1,twse,21.82,21.84,21.76,21.82,1016000,22148160,0.23,,30203000,112,,
2016-11-04,00673R,期元大S&P原油反1,twse,22.28,22.32,22.26,22.29,731000,16293190,0.47,,30203000,94,,
2016-11-07,00673R,期元大S&P原油反1,twse,22.42,22.47,22.33,22.33,992000,22222490,0.04,,30203000,92,,
2016-11-08,00673R,期元大S&P原油反1,twse,22.20,22.31,22.20,22.21,460000,10232600,-0.12,,30203000,58,,
2016-11-09,00673R,期元大S&P原油反1,twse,22.12,23.12,22.07,22.84,3344000,75363090,0.63,,30203000,184,,
2016-11-10,00673R,期元大S&P原油反1,twse,22.18,22.18,22.04,22.04,847000,18737600,-0.8,,30203000,80,,
2016-11-11,00673R,期元大S&P原油反1,twse,22.62,22.62,22.40,22.42,714000,16044260,0.38,,30203000,74,,
2016-11-14,00673R,期元大S&P原油反1,twse,22.73,23.05,22.73,23.02,425000,9767430,0.6,,30203000,94,,
2016-11-15,00673R,期元大S&P原油反1,twse,22.87,22.92,22.60,22.68,921000,20972020,-0.34,,30203000,73,,
2016-11-16,00673R,期元大S&P原油反1,twse,21.95,21.95,21.73,21.73,1105000,24140320,-0.95,,30203000,161,,
2016-11-17,00673R,期元大S&P原油反1,twse,22.03,22.07,21.95,22.00,806000,17744650,0.27,,30203000,69,,
2016-11-18,00673R,期元大S&P原油反1,twse,22.20,22.29,22.14,22.18,334000,7431520,0.18,,30203000,69,,
2016-11-21,00673R,期元大S&P原油反1,twse,21.64,21.69,21.51,21.56,913000,19734430,-0.62,,30203000,149,,
2016-11-22,00673R,期元大S&P原油反1,twse,20.81,20.81,20.63,20.66,3522000,72945310,-0.9,,30203000,328,,
2016-11-23,00673R,期元大S&P原油反1,twse,20.98,21.12,20.91,21.09,1793000,37718600,0.43,,30203000,212,,
