date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2016-12-30,00677U,期富邦VIX,twse,19.99,20.02,19.93,19.93,3834000,76647710,-0.09,,32708000,812,,
2017-01-03,00677U,期富邦VIX,twse,20.05,20.16,20.03,20.04,3421000,68855490,0.11,,32708000,384,,
2017-01-04,00677U,期富邦VIX,twse,19.09,19.09,18.89,18.92,2486000,47088870,-1.12,,32708000,281,,
2017-01-05,00677U,期富邦VIX,twse,18.26,18.26,18.07,18.07,3053000,55391290,-0.85,,32708000,470,,
2017-01-06,00677U,期富邦VIX,twse,17.85,17.85,17.77,17.84,3898000,69384790,-0.23,,32708000,522,,
2017-01-09,00677U,期富邦VIX,twse,17.70,17.70,17.65,17.69,3597000,63547570,-0.15,,32708000,399,,
2017-01-10,00677U,期富邦VIX,twse,17.70,17.70,17.62,17.67,3150000,55620200,-0.02,,32708000,338,,
2017-01-11,00677U,期富邦VIX,twse,17.59,17.63,17.55,17.60,2709000,47641910,-0.07,,32708000,306,,
2017-01-12,00677U,期富邦VIX,twse,17.28,17.37,17.14,17.30,4414000,76057950,-0.3,,32708000,588,,
2017-01-13,00677U,期富邦VIX,twse,17.10,17.13,17.08,17.08,4039000,69117860,-0.22,,32708000,394,,
2017-01-16,00677U,期富邦VIX,twse,17.11,17.29,17.10,17.22,5096000,87601440,0.14,,32708000,489,,
2017-01-17,00677U,期富邦VIX,twse,17.16,17.20,17.09,17.16,3787000,64876040,-0.06,,34208000,456,,
2017-01-18,00677U,期富邦VIX,twse,16.98,16.98,16.79,16.79,5557000,93923960,-0.37,,35208000,893,,
2017-01-19,00677U,期富邦VIX,twse,16.90,16.93,16.88,16.93,2079000,35143250,0.14,,35208000,292,,
2017-01-20,00677U,期富邦VIX,twse,17.06,17.10,17.00,17.09,3577000,60959050,0.16,,35208000,377,,
2017-01-23,00677U,期富邦VIX,twse,16.58,16.64,16.56,16.60,3915000,65010880,-0.49,,35708000,527,,
2017-01-24,00677U,期富邦VIX,twse,16.26,16.26,16.13,16.15,5580000,90171040,-0.45,,35708000,889,,
2017-02-02,00677U,期富邦VIX,twse,15.36,15.39,15.16,15.39,3969000,60580030,-0.76,,36208000,723,,
2017-02-03,00677U,期富邦VIX,twse,15.36,15.43,15.30,15.38,2529000,38845880,-0.01,,38708000,373,,
2017-02-06,00677U,期富邦VIX,twse,14.96,14.96,14.85,14.86,4390008,65396758,-0.52,,38708000,682,,
2017-02-07,00677U,期富邦VIX,twse,14.88,14.93,14.88,14.92,2279034,33982817,0.06,,38708000,286,,
2017-02-08,00677U,期富邦VIX,twse,14.94,15.06,14.94,14.99,2717158,40799609,0.07,,38708000,303,,
2017-02-09,00677U,期富邦VIX,twse,14.98,15.02,14.94,14.94,2460000,36864860,-0.05,,39708000,257,,
