date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2017-03-14,00683L,期元大美元指正2,twse,20.00,20.00,19.93,19.98,2386000,47612820,0.0,,10934000,92,,
2017-03-15,00683L,期元大美元指正2,twse,20.04,20.06,20.03,20.05,925000,18542380,0.07,,10934000,50,,
2017-03-16,00683L,期元大美元指正2,twse,19.63,19.63,19.57,19.61,965000,18926430,-0.44,,10934000,69,,
2017-03-17,00683L,期元大美元指正2,twse,19.54,19.54,19.47,19.49,583000,11359760,-0.12,,10934000,47,,
2017-03-20,00683L,期元大美元指正2,twse,19.50,19.50,19.44,19.44,171000,3326350,-0.05,,10934000,28,,
2017-03-21,00683L,期元大美元指正2,twse,19.48,19.49,19.42,19.49,451000,8784210,0.05,,10934000,26,,
2017-03-22,00683L,期元大美元指正2,twse,19.30,19.32,19.26,19.27,743000,14329910,-0.22,,10934000,64,,
2017-03-23,00683L,期元大美元指正2,twse,19.26,19.27,19.26,19.27,605000,11652330,0.0,,10934000,37,,
2017-03-24,00683L,期元大美元指正2,twse,19.34,19.36,19.33,19.35,480000,9288270,0.08,,10934000,24,,
2017-03-27,00683L,期元大美元指正2,twse,19.15,19.15,19.09,19.11,675000,12892850,-0.24,,10934000,42,,
2017-03-28,00683L,期元大美元指正2,twse,19.08,19.08,19.04,19.05,61000,1162070,-0.06,,10934000,26,,
2017-03-29,00683L,期元大美元指正2,twse,19.27,19.30,19.24,19.30,616000,11863580,0.25,,10934000,47,,
2017-03-30,00683L,期元大美元指正2,twse,19.40,19.42,19.38,19.40,733000,14214650,0.1,,10934000,51,,
2017-03-31,00683L,期元大美元指正2,twse,19.57,19.61,19.56,19.59,482000,9437130,0.19,,10934000,69,,
2017-04-05,00683L,期元大美元指正2,twse,19.70,19.70,19.56,19.60,48000,940080,0.01,,10934000,17,,
2017-04-06,00683L,期元大美元指正2,twse,19.54,19.60,19.54,19.60,45000,880410,0.0,,10934000,19,,
2017-04-07,00683L,期元大美元指正2,twse,19.69,19.69,19.64,19.68,55000,1082140,0.08,,10934000,24,,
2017-04-10,00683L,期元大美元指正2,twse,19.90,19.93,19.89,19.91,110000,2189490,0.23,,10934000,31,,
2017-04-11,00683L,期元大美元指正2,twse,19.84,19.84,19.79,19.82,65000,1288390,-0.09,,10934000,25,,
2017-04-12,00683L,期元大美元指正2,twse,19.70,19.72,19.67,19.70,844000,16634530,-0.12,,10934000,27,,
2017-04-13,00683L,期元大美元指正2,twse,19.46,19.46,19.42,19.44,69000,1342130,-0.26,,10934000,25,,
2017-04-14,00683L,期元大美元指正2,twse,19.51,19.64,19.51,19.64,12000,234660,0.2,,10934000,8,,
2017-04-17,00683L,期元大美元指正2,twse,19.54,19.55,19.52,19.55,813000,15869860,-0.09,,10934000,22,,
2017-04-18,00683L,期元大美元指正2,twse,19.53,19.53,19.50,19.53,448000,8736310,-0.02,,10934000,14,,
2017-04-19,00683L,期元大美元指正2,twse,19.23,19.26,19.22,19.24,250000,4808390,-0.29,,10934000,49,,
2017-04-20,00683L,期元大美元指正2,twse,19.29,19.33,19.29,19.29,299000,5774610,0.05,,10934000,26,,
2017-04-21,00683L,期元大美元指正2,twse,19.30,19.30,19.28,19.29,368000,7097830,0.0,,10934000,14,,
2017-04-24,00683L,期元大美元指正2,twse,19.03,19.10,19.01,19.03,467000,8886580,-0.26,,10934000,93,,
2017-04-25,00683L,期元大美元指正2,twse,18.78,19.01,18.78,19.00,1037000,19640080,-0.03,,10934000,43,,
2017-04-26,00683L,期元大美元指正2,twse,18.87,18.88,18.83,18.83,644000,12134820,-0.17,,10934000,73,,
2017-04-27,00683L,期元大美元指正2,twse,18.92,18.92,18.85,18.89,790000,14917980,0.06,,10934000,30,,
2017-04-28,00683L,期元大美元指正2,twse,18.98,19.01,18.96,19.01,215000,4082700,0.12,,10934000,38,,
2017-05-02,00683L,期元大美元指正2,twse,19.01,19.01,18.89,18.92,939000,17751510,-0.09,,10934000,43,,
2017-05-03,00683L,期元大美元指正2,twse,18.87,18.90,18.85,18.90,289000,5456700,-0.02,,10934000,27,,
2017-05-04,00683L,期元大美元指正2,twse,19.08,19.08,19.04,19.06,192000,3660640,0.16,,10934000,54,,
2017-05-05,00683L,期元大美元指正2,twse,18.87,18.87,18.81,18.81,890000,16763760,-0.25,,10934000,129,,
2017-05-08,00683L,期元大美元指正2,twse,18.81,18.86,18.81,18.85,169000,3185910,0.04,,10934000,13,,
2017-05-09,00683L,期元大美元指正2,twse,18.98,19.00,18.98,19.00,148000,2811640,0.15,,10934000,70,,
2017-05-10,00683L,期元大美元指正2,twse,19.12,19.14,19.11,19.14,84000,1605790,0.14,,10934000,50,,
2017-05-11,00683L,期元大美元指正2,twse,19.17,19.23,19.16,19.23,195000,3744290,0.09,,10934000,28,,
2017-05-12,00683L,期元大美元指正2,twse,19.22,19.23,19.17,19.18,1052000,20222080,-0.05,,10934000,37,,
2017-05-15,00683L,期元大美元指正2,twse,19.07,19.07,18.99,18.99,176000,3347880,-0.19,,10934000,27,,
2017-05-16,00683L,期元大美元指正2,twse,18.87,18.91,18.87,18.88,47000,887270,-0.11,,10434000,25,,
2017-05-17,00683L,期元大美元指正2,twse,18.63,18.63,18.55,18.57,611000,11352230,-0.31,,10434000,127,,
2017-05-18,00683L,期元大美元指正2,twse,18.38,18.45,18.35,18.45,354000,6511890,-0.12,,10434000,76,,
2017-05-19,00683L,期元大美元指正2,twse,18.48,18.53,18.48,18.52,71000,1313930,0.07,,10434000,27,,
2017-05-22,00683L,期元大美元指正2,twse,18.34,18.37,18.32,18.35,855000,15682610,-0.17,,10434000,118,,
2017-05-23,00683L,期元大美元指正2,twse,18.23,18.23,18.17,18.21,365000,6640760,-0.14,,10434000,98,,
2017-05-24,00683L,期元大美元指正2,twse,18.35,18.43,18.35,18.40,278000,5113960,0.19,,10434000,94,,
2017-05-25,00683L,期元大美元指正2,twse,18.31,18.31,18.22,18.24,392000,7157820,-0.16,,10434000,86,,
2017-05-26,00683L,期元大美元指正2,twse,18.32,18.37,18.32,18.37,351000,6442660,0.13,,10434000,131,,
2017-05-31,00683L,期元大美元指正2,twse,18.42,18.42,18.40,18.42,78000,1436310,0.05,,10434000,41,,
2017-06-01,00683L,期元大美元指正2,twse,18.31,18.31,18.23,18.29,194000,3544170,-0.13,,10434000,54,,
2017-06-02,00683L,期元大美元指正2,twse,18.32,18.42,18.32,18.39,302000,5550690,0.1,,10434000,158,,
2017-06-03,00683L,期元大美元指正2,twse,18.30,18.30,18.20,18.22,98000,1786240,-0.17,,10434000,71,,
2017-06-05,00683L,期元大美元指正2,twse,18.22,18.26,18.18,18.26,184000,3355060,0.04,,10434000,50,,
2017-06-06,00683L,期元大美元指正2,twse,18.25,18.26,18.18,18.19,175000,3186010,-0.07,,10434000,42,,
2017-06-07,00683L,期元大美元指正2,twse,18.20,18.22,18.18,18.19,224000,4075910,0.0,,10434000,32,,
2017-06-08,00683L,期元大美元指正2,twse,18.28,18.30,18.18,18.18,942000,17190260,-0.01,,10934000,70,,
2017-06-09,00683L,期元大美元指正2,twse,18.40,18.42,18.32,18.33,773000,14190900,0.15,,10934000,91,,
2017-06-12,00683L,期元大美元指正2,twse,18.34,18.36,18.30,18.36,175000,3211390,0.03,,10934000,117,,
2017-06-13,00683L,期元大美元指正2,twse,18.38,18.39,18.36,18.39,153000,2811360,0.03,,10934000,35,,
2017-06-14,00683L,期元大美元指正2,twse,18.28,18.28,18.22,18.24,174000,3173290,-0.15,,10934000,35,,
2017-06-15,00683L,期元大美元指正2,twse,18.20,18.24,18.18,18.22,193000,3517000,-0.02,,10934000,41,,
2017-06-16,00683L,期元大美元指正2,twse,18.40,18.50,18.40,18.50,222000,4091990,0.28,,10934000,90,,
2017-06-19,00683L,期元大美元指正2,twse,18.40,18.40,18.33,18.35,95000,1744530,-0.15,,10934000,41,,
2017-06-20,00683L,期元大美元指正2,twse,18.53,18.53,18.43,18.46,87000,1605330,0.11,,10934000,37,,
2017-06-21,00683L,期元大美元指正2,twse,18.54,18.54,18.50,18.54,134000,2481590,0.08,,10934000,46,,
2017-06-22,00683L,期元大美元指正2,twse,18.43,18.43,18.39,18.39,69000,1269900,-0.15,,10934000,25,,
2017-06-23,00683L,期元大美元指正2,twse,18.42,18.42,18.39,18.42,19000,349660,0.03,,10934000,9,,
2017-06-26,00683L,期元大美元指正2,twse,18.38,18.38,18.30,18.31,238000,4361460,-0.11,,10934000,31,,
2017-06-27,00683L,期元大美元指正2,twse,18.35,18.35,18.35,18.35,1000,18350,0.04,up,10934000,1,,
2017-06-28,00683L,期元大美元指正2,twse,18.07,18.07,17.95,18.03,251000,4517750,-0.32,,10934000,95,,
2017-06-29,00683L,期元大美元指正2,twse,17.99,17.99,17.82,17.84,278000,4974870,-0.19,,10934000,79,,
2017-06-30,00683L,期元大美元指正2,twse,17.84,17.84,17.73,17.84,331000,5889270,0.0,,10934000,54,,
