date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price,valid_bar
2017-04-25,00693U,期街口S&P黃豆,twse,20.03,20.04,20.00,20.02,4333000,86768250,0.03,,27166000,376,,,1
2017-04-26,00693U,期街口S&P黃豆,twse,20.04,20.05,19.93,19.93,2075000,41492860,-0.09,,27166000,90,,,1
2017-04-27,00693U,期街口S&P黃豆,twse,19.90,19.90,19.84,19.87,1233000,24484800,-0.06,,27166000,48,,,1
2017-04-28,00693U,期街口S&P黃豆,twse,19.84,19.88,19.82,19.88,1275000,25302440,0.01,,27166000,56,,,1
2017-05-02,00693U,期街口S&P黃豆,twse,20.05,20.21,20.04,20.19,2086000,42002020,0.31,,27166000,205,,,1
2017-05-03,00693U,期街口S&P黃豆,twse,20.10,20.13,20.05,20.08,1437000,28875790,-0.11,,27166000,65,,,1
2017-05-04,00693U,期街口S&P黃豆,twse,20.20,20.22,20.18,20.18,1191000,24055670,0.1,,27166000,64,,,1
2017-05-05,00693U,期街口S&P黃豆,twse,20.18,20.19,20.13,20.16,2005000,40426250,-0.02,,27166000,60,,,1
2017-05-08,00693U,期街口S&P黃豆,twse,20.16,20.16,20.04,20.05,1265000,25399020,-0.11,,27166000,45,,,1
2017-05-09,00693U,期街口S&P黃豆,twse,20.02,20.03,19.98,19.98,899000,17979840,-0.07,,27166000,43,,,1
2017-05-10,00693U,期街口S&P黃豆,twse,20.18,20.19,20.14,20.15,3291000,66344020,0.17,,27166000,108,,,1
2017-05-11,00693U,期街口S&P黃豆,twse,20.10,20.10,19.98,20.04,884000,17713100,-0.11,,27166000,33,,,1
2017-05-12,00693U,期街口S&P黃豆,twse,19.98,19.98,19.94,19.95,1052000,20986710,-0.09,,27166000,46,,,1
2017-05-15,00693U,期街口S&P黃豆,twse,19.97,19.99,19.96,19.96,865000,17282360,0.01,,27166000,37,,,1
2017-05-16,00693U,期街口S&P黃豆,twse,19.98,19.98,19.96,19.96,1002000,20017010,0.0,,27166000,28,,,1
2017-05-17,00693U,期街口S&P黃豆,twse,20.17,20.27,20.15,20.27,1996000,40314340,0.31,,27166000,138,,,1
