date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price,valid_bar
2018-10-31,00753L,中信中國50正2,twse,19.32,19.88,19.32,19.88,2744000,53819440,-0.12,,11157000,754,,,1
2018-11-01,00753L,中信中國50正2,twse,19.91,21.61,19.91,21.61,3502000,72229860,1.73,,10157000,634,,,1
2018-11-02,00753L,中信中國50正2,twse,21.64,23.55,21.64,23.45,1698000,38795700,1.84,,10157000,340,,,1
2018-11-05,00753L,中信中國50正2,twse,23.54,23.54,22.30,22.56,1275000,28941820,-0.89,,9157000,367,,,1
2018-11-06,00753L,中信中國50正2,twse,22.80,22.86,22.21,22.30,1556000,34996090,-0.26,,9157000,438,,,1
2018-11-07,00753L,中信中國50正2,twse,22.65,23.55,22.50,23.18,2582000,59359990,0.88,,9157000,703,,,1
2018-11-08,00753L,中信中國50正2,twse,23.53,23.70,23.31,23.31,2112000,49632010,0.13,,9157000,579,,,1
2018-11-09,00753L,中信中國50正2,twse,23.17,23.17,21.87,21.95,1716000,38203770,-1.36,,9157000,653,,,1
2018-11-12,00753L,中信中國50正2,twse,21.88,22.12,21.50,21.70,948000,20650960,-0.25,,9157000,414,,,1
2018-11-13,00753L,中信中國50正2,twse,21.42,21.45,20.65,21.45,1466000,30910330,-0.25,,9157000,576,,,1
2018-11-14,00753L,中信中國50正2,twse,21.67,21.73,21.41,21.59,1644000,35460010,0.14,,9157000,275,,,1
2018-11-15,00753L,中信中國50正2,twse,21.67,22.05,21.67,22.01,1111000,24304890,0.42,,9657000,284,,,1
2018-11-16,00753L,中信中國50正2,twse,22.26,22.70,22.17,22.53,1078000,24111850,0.52,,9657000,283,,,1
2018-11-19,00753L,中信中國50正2,twse,22.73,22.75,22.52,22.70,854000,19335530,0.17,,9657000,183,,,1
2018-11-20,00753L,中信中國50正2,twse,22.59,22.59,21.81,21.92,897000,19873760,-0.78,,9157000,270,,,1
2018-11-21,00753L,中信中國50正2,twse,21.60,21.93,21.32,21.88,743000,16080190,-0.04,,9157000,191,,,1
2018-11-22,00753L,中信中國50正2,twse,21.95,22.08,21.90,22.00,632000,13887690,0.12,,9157000,84,,,1
2018-11-23,00753L,中信中國50正2,twse,21.97,22.01,21.56,21.65,541000,11716850,-0.35,,8657000,104,,,1
2018-11-26,00753L,中信中國50正2,twse,21.80,22.40,21.64,22.32,847000,18795550,0.67,,8657000,225,,,1
2018-11-27,00753L,中信中國50正2,twse,22.30,22.51,22.16,22.41,789000,17637920,0.09,,8657000,139,,,1
2018-11-28,00753L,中信中國50正2,twse,22.31,23.05,22.31,23.05,900000,20582940,0.64,,8657000,227,,,1
2018-11-29,00753L,中信中國50正2,twse,23.69,23.70,23.17,23.17,1046000,24576880,0.12,,8657000,231,,,1
2018-11-30,00753L,中信中國50正2,twse,23.09,23.39,22.95,23.35,938000,21766190,0.18,,8657000,182,,,1
2018-12-03,00753L,中信中國50正2,twse,24.60,24.94,23.68,24.54,1547000,37769850,1.19,,8157000,278,,,1
2018-12-04,00753L,中信中國50正2,twse,24.21,24.57,24.17,24.17,459000,11201930,-0.37,,8157000,102,,,1
2018-12-05,00753L,中信中國50正2,twse,24.00,24.45,23.83,23.90,1537000,36905310,-0.27,,8157000,544,,,1
2018-12-06,00753L,中信中國50正2,twse,23.92,23.92,22.35,22.41,1703000,38939490,-1.49,,8157000,580,,,1
2018-12-07,00753L,中信中國50正2,twse,22.44,22.61,22.40,22.45,1184000,26668450,0.04,,8157000,419,,,1
2018-12-10,00753L,中信中國50正2,twse,21.95,21.99,21.62,21.66,733000,15945540,-0.79,,8157000,198,,,1
2018-12-11,00753L,中信中國50正2,twse,21.74,21.94,21.43,21.69,645000,13981450,0.03,,8157000,132,,,1
2018-12-12,00753L,中信中國50正2,twse,22.00,22.53,22.00,22.49,1146000,25682610,0.8,,8157000,268,,,1
2018-12-13,00753L,中信中國50正2,twse,22.60,23.13,22.52,23.03,845000,19377660,0.54,,8157000,251,,,1
2018-12-14,00753L,中信中國50正2,twse,23.03,23.03,22.24,22.36,750000,16839510,-0.67,,8157000,184,,,1
2018-12-17,00753L,中信中國50正2,twse,22.44,22.44,21.89,22.16,457100,10125069,-0.2,,8157000,120,,,1
2018-12-18,00753L,中信中國50正2,twse,22.00,22.00,21.13,21.17,580000,12486240,-0.99,,8157000,267,,,1
2018-12-19,00753L,中信中國50正2,twse,21.20,21.36,20.99,21.00,496000,10467220,-0.17,,8157000,144,,,1
2018-12-20,00753L,中信中國50正2,twse,20.90,20.90,20.07,20.08,681000,13842730,-0.92,,8157000,213,,,1
2018-12-21,00753L,中信中國50正2,twse,20.08,20.25,19.60,20.15,688000,13774110,0.07,,8157000,177,,,1
2018-12-22,00753L,中信中國50正2,twse,20.30,20.30,20.00,20.06,358100,7169290,-0.09,,8157000,62,,,1
2018-12-24,00753L,中信中國50正2,twse,20.48,20.48,19.85,19.96,520000,10390400,-0.1,,8157000,134,,,1
2018-12-25,00753L,中信中國50正2,twse,20.05,20.05,19.50,19.67,414000,8139410,-0.29,,8157000,90,,,1
2018-12-26,00753L,中信中國50正2,twse,19.71,19.91,19.31,19.31,524000,10279220,-0.36,,8157000,128,,,1
2018-12-27,00753L,中信中國50正2,twse,20.55,20.80,20.08,20.08,601000,12220700,0.77,,8157000,150,,,1
2018-12-28,00753L,中信中國50正2,twse,20.28,20.28,19.92,20.25,571000,11467420,0.17,,8157000,90,,,1
2019-01-02,00753L,中信中國50正2,twse,20.40,20.41,19.24,19.34,877000,17077690,-0.91,,8157000,193,,,1
2019-01-03,00753L,中信中國50正2,twse,19.39,19.72,19.03,19.10,837000,16133510,-0.24,,8157000,151,,,1
2019-01-04,00753L,中信中國50正2,twse,19.24,19.56,18.90,19.56,814000,15691000,0.46,,8157000,227,,,1
2019-01-07,00753L,中信中國50正2,twse,20.34,20.43,19.95,20.29,1040000,21021980,0.73,,8157000,252,,,1
2019-01-08,00753L,中信中國50正2,twse,20.29,20.58,20.25,20.48,723000,14769660,0.19,,8157000,162,,,1
2019-01-09,00753L,中信中國50正2,twse,20.89,21.67,20.68,21.67,1021000,21769480,1.19,,8157000,352,,,1
2019-01-10,00753L,中信中國50正2,twse,21.65,21.98,21.34,21.66,468000,10182740,-0.01,,8157000,103,,,1
2019-01-11,00753L,中信中國50正2,twse,21.66,22.05,21.66,21.93,697100,15239240,0.27,,8157000,139,,,1
2019-01-14,00753L,中信中國50正2,twse,22.04,22.04,21.20,21.42,431000,9246710,-0.51,,8157000,91,,,1
2019-01-15,00753L,中信中國50正2,twse,21.60,22.12,21.52,22.00,408000,8953230,0.58,,8157000,97,,,1
2019-01-16,00753L,中信中國50正2,twse,22.05,22.37,22.00,22.18,596200,13217622,0.18,,8157000,100,,,1
2019-01-17,00753L,中信中國50正2,twse,22.30,22.79,22.20,22.68,634000,14341170,0.5,,8157000,183,,,1
2019-01-18,00753L,中信中國50正2,twse,22.77,22.88,22.65,22.81,509100,11589474,0.13,,8157000,89,,,1
2019-01-21,00753L,中信中國50正2,twse,23.05,23.49,22.89,23.19,603000,13992840,0.38,,8157000,170,,,1
2019-01-22,00753L,中信中國50正2,twse,23.29,23.40,22.48,22.48,435000,9872160,-0.71,,8157000,92,,,1
2019-01-23,00753L,中信中國50正2,twse,22.45,22.75,22.33,22.62,630000,14264530,0.14,,8157000,88,,,1
2019-01-24,00753L,中信中國50正2,twse,22.69,22.69,22.34,22.58,471000,10640480,-0.04,,8157000,76,,,1
2019-01-25,00753L,中信中國50正2,twse,22.89,23.45,22.69,23.40,907000,21071990,0.82,,8157000,253,,,1
2019-01-28,00753L,中信中國50正2,twse,23.55,24.10,23.46,23.84,452097,10797510,0.44,,8157000,204,,,1
2019-01-29,00753L,中信中國50正2,twse,23.54,23.60,23.24,23.55,495000,11583970,-0.29,,8157000,121,,,1
2019-01-30,00753L,中信中國50正2,twse,23.63,23.65,23.37,23.55,348000,8185910,0.0,,8157000,68,,,1
2019-02-11,00753L,中信中國50正2,twse,23.93,24.61,23.93,24.60,748000,18293970,1.05,,8157000,241,,,1
2019-02-12,00753L,中信中國50正2,twse,24.86,25.00,24.60,24.89,434000,10813280,0.29,,8157000,155,,,1
2019-02-13,00753L,中信中國50正2,twse,25.11,25.50,25.00,25.50,424000,10695150,0.61,,8157000,133,,,1
2019-02-14,00753L,中信中國50正2,twse,25.80,25.80,25.27,25.50,576000,14645220,0.0,,8157000,119,,,1
2019-02-15,00753L,中信中國50正2,twse,25.60,25.60,24.47,24.50,464000,11485580,-1.0,,8157000,163,,,1
2019-02-18,00753L,中信中國50正2,twse,24.99,25.16,24.81,25.08,542097,13576984,0.58,,8157000,69,,,1
2019-02-19,00753L,中信中國50正2,twse,25.47,25.47,25.00,25.00,555000,13998180,-0.08,,8157000,88,,,1
2019-02-20,00753L,中信中國50正2,twse,24.80,25.47,24.80,25.23,321000,8090140,0.23,,8157000,102,,,1
2019-02-21,00753L,中信中國50正2,twse,25.45,26.03,25.26,25.90,431000,11068130,0.67,,7657000,207,,,1
2019-02-22,00753L,中信中國50正2,twse,25.74,25.81,25.41,25.66,331000,8474450,-0.24,,7657000,93,,,1
2019-02-25,00753L,中信中國50正2,twse,26.48,27.01,26.48,27.00,351000,9404300,1.34,,7657000,162,,,1
2019-02-26,00753L,中信中國50正2,twse,27.60,27.92,27.00,27.17,521000,14258380,0.17,,7657000,173,,,1
2019-02-27,00753L,中信中國50正2,twse,27.13,27.28,26.59,27.28,474097,12830627,0.11,,7657000,174,,,1
2019-03-04,00753L,中信中國50正2,twse,27.31,28.15,27.12,27.89,466000,12887320,0.61,,7657000,163,,,1
2019-03-05,00753L,中信中國50正2,twse,27.12,27.78,27.12,27.76,226000,6225750,-0.13,,7657000,106,,,1
2019-03-06,00753L,中信中國50正2,twse,27.88,28.43,27.88,28.21,482000,13585640,0.45,,7657000,119,,,1
2019-03-07,00753L,中信中國50正2,twse,28.21,28.22,27.54,27.56,566000,15736090,-0.65,,7657000,189,,,1
2019-03-08,00753L,中信中國50正2,twse,27.34,27.34,26.00,26.00,401000,10641790,-1.56,,7657000,152,,,1
2019-03-11,00753L,中信中國50正2,twse,25.92,26.30,25.31,26.17,619000,16163740,0.17,,7657000,76,,,1
