date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2019-02-15,00775B,台新投等債15+,twse,39.80,39.84,39.80,39.84,65000,2589000,0.18,,,3,
2019-02-18,00775B,台新投等債15+,twse,39.84,39.87,39.84,39.87,60000,2390700,0.03,,,3,
2019-02-19,00775B,台新投等債15+,twse,39.89,39.89,39.88,39.88,52000,2073770,0.01,,,4,
2019-02-20,00775B,台新投等債15+,twse,39.93,40.01,39.91,39.95,56000,2237280,0.07,,,7,
2019-02-21,00775B,台新投等債15+,twse,39.87,39.87,39.80,39.82,99000,3943530,-0.13,,,12,
2019-02-22,00775B,台新投等債15+,twse,39.75,39.75,39.60,39.60,52000,2059500,-0.22,,,3,
2019-02-25,00775B,台新投等債15+,twse,39.60,39.60,39.60,39.60,50000,1980000,0.0,down,,3,
2019-02-26,00775B,台新投等債15+,twse,39.65,39.72,39.65,39.72,51000,2022220,0.12,,,3,
2019-02-27,00775B,台新投等債15+,twse,39.65,39.65,39.65,39.65,50000,1982500,-0.07,down,,2,
2019-03-04,00775B,台新投等債15+,twse,39.09,39.09,39.05,39.05,51000,1991590,-0.6,,,3,
2019-03-05,00775B,台新投等債15+,twse,39.55,39.55,39.55,39.55,50000,1977500,0.5,up,,2,
2019-03-06,00775B,台新投等債15+,twse,39.60,39.60,39.60,39.60,50000,1980000,0.05,up,,2,
2019-03-07,00775B,台新投等債15+,twse,39.55,39.60,39.55,39.60,51000,2019550,0.0,,,3,
2019-03-08,00775B,台新投等債15+,twse,38.80,39.86,38.80,39.75,111000,4392710,0.15,,,18,
2019-03-11,00775B,台新投等債15+,twse,39.85,39.85,39.85,39.85,50000,1992500,0.1,up,,2,
2019-03-12,00775B,台新投等債15+,twse,39.80,39.80,39.80,39.80,51000,2029800,-0.05,down,,3,
2019-03-13,00775B,台新投等債15+,twse,40.05,40.05,40.05,40.05,66000,2643300,0.25,up,,5,
2019-03-14,00775B,台新投等債15+,twse,39.90,39.90,39.90,39.90,50000,1995000,-0.15,down,,2,
2019-03-15,00775B,台新投等債15+,twse,39.90,39.90,39.90,39.90,50000,1995000,0.0,down,,2,
2019-03-18,00775B,台新投等債15+,twse,39.90,39.90,39.90,39.90,52000,2074800,0.0,down,,3,
2019-03-19,00775B,台新投等債15+,twse,39.85,39.85,39.85,39.85,50000,1992500,-0.05,down,,3,
2019-03-20,00775B,台新投等債15+,twse,39.95,39.95,39.95,39.95,50000,1997500,0.1,up,,2,
2019-03-21,00775B,台新投等債15+,twse,40.10,40.10,40.10,40.10,50000,2005000,0.15,up,,2,
2019-03-22,00775B,台新投等債15+,twse,40.25,40.25,40.25,40.25,50000,2012500,0.15,up,,2,
2019-03-25,00775B,台新投等債15+,twse,40.80,40.84,40.80,40.80,83000,3387400,0.55,,,12,
2019-03-26,00775B,台新投等債15+,twse,40.79,40.79,40.69,40.69,115000,4683800,-0.11,,,16,
2019-03-27,00775B,台新投等債15+,twse,40.80,40.80,40.80,40.80,50000,2040000,0.11,up,,2,
2019-03-28,00775B,台新投等債15+,twse,41.20,41.20,41.20,41.20,52000,2142400,0.4,up,,3,
2019-03-29,00775B,台新投等債15+,twse,41.15,41.15,41.15,41.15,50000,2057500,-0.05,down,,2,
2019-04-01,00775B,台新投等債15+,twse,41.09,41.09,41.00,41.00,51000,2091090,-0.15,,,3,
2019-04-02,00775B,台新投等債15+,twse,40.89,40.90,40.89,40.90,51000,2085890,-0.1,,,3,
2019-04-03,00775B,台新投等債15+,twse,40.60,40.60,40.60,40.60,50000,2030000,-0.3,down,,2,
2019-04-08,00775B,台新投等債15+,twse,40.75,40.75,40.75,40.75,50000,2037500,0.15,up,,2,
2019-04-09,00775B,台新投等債15+,twse,40.70,40.70,40.70,40.70,50000,2035000,-0.05,down,,2,
2019-04-10,00775B,台新投等債15+,twse,40.90,40.90,40.90,40.90,50000,2045000,0.2,up,,2,
2019-04-11,00775B,台新投等債15+,twse,41.10,41.10,41.05,41.05,51000,2093600,0.15,,,3,
2019-04-12,00775B,台新投等債15+,twse,41.05,41.05,41.05,41.05,50000,2052500,0.0,down,,2,
2019-04-15,00775B,台新投等債15+,twse,40.95,40.95,40.95,40.95,50000,2047500,-0.1,down,,2,
2019-04-16,00775B,台新投等債15+,twse,41.05,41.05,41.05,41.05,50000,2052500,0.1,up,,2,
2019-04-17,00775B,台新投等債15+,twse,40.80,40.80,40.80,40.80,50000,2040000,-0.25,down,,2,
2019-04-18,00775B,台新投等債15+,twse,40.90,40.90,40.90,40.90,50000,2045000,0.1,up,,2,
2019-04-19,00775B,台新投等債15+,twse,40.90,40.90,40.90,40.90,50000,2045000,0.0,down,,2,
2019-04-22,00775B,台新投等債15+,twse,40.95,40.95,40.95,40.95,50000,2047500,0.05,up,,2,
2019-04-23,00775B,台新投等債15+,twse,40.85,40.85,40.85,40.85,50000,2042500,-0.1,down,,2,
2019-04-24,00775B,台新投等債15+,twse,40.90,40.90,40.90,40.90,50000,2045000,0.05,up,,2,
2019-04-25,00775B,台新投等債15+,twse,41.15,41.15,41.15,41.15,50000,2057500,0.25,up,,2,
2019-04-26,00775B,台新投等債15+,twse,41.20,41.20,41.20,41.20,50000,2060000,0.05,up,,2,
2019-04-29,00775B,台新投等債15+,twse,41.25,41.25,41.25,41.25,50000,2062500,0.05,up,,2,
2019-04-30,00775B,台新投等債15+,twse,41.20,41.20,41.20,41.20,50000,2060000,-0.05,down,,2,
2019-05-02,00775B,台新投等債15+,twse,41.30,41.35,41.30,41.35,51000,2108800,0.15,,,3,
2019-05-03,00775B,台新投等債15+,twse,41.20,41.20,41.20,41.20,50000,2060000,-0.15,down,,2,
2019-05-06,00775B,台新投等債15+,twse,41.50,41.50,41.50,41.50,1000,41500,0.3,up,,1,
2019-05-08,00775B,台新投等債15+,twse,41.42,41.42,41.42,41.42,2000,82840,0.0,down,,2,
2019-05-09,00775B,台新投等債15+,twse,41.40,41.40,41.40,41.40,1000,41400,-0.02,down,,1,
2019-05-10,00775B,台新投等債15+,twse,41.35,41.35,41.35,41.35,1000,41350,-0.05,down,,1,
2019-05-13,00775B,台新投等債15+,twse,41.45,41.45,41.45,41.45,2000,82900,0.1,up,,2,
2019-05-14,00775B,台新投等債15+,twse,41.55,41.55,41.55,41.55,10000,415500,0.1,up,,1,
2019-05-15,00775B,台新投等債15+,twse,41.63,41.63,41.63,41.63,1000,41630,0.08,up,,1,
2019-05-16,00775B,台新投等債15+,twse,41.93,41.93,41.93,41.93,1000,41930,0.3,up,,1,
2019-05-17,00775B,台新投等債15+,twse,42.21,42.21,42.21,42.21,2000,84420,0.28,up,,2,
2019-05-20,00775B,台新投等債15+,twse,42.14,42.14,42.14,42.14,1000,42140,-0.07,down,,1,
2019-05-21,00775B,台新投等債15+,twse,42.11,42.11,42.11,42.11,1000,42110,-0.03,down,,1,
2019-05-22,00775B,台新投等債15+,twse,42.18,42.18,42.18,42.18,5000,210900,0.07,up,,1,
2019-05-23,00775B,台新投等債15+,twse,42.23,42.23,42.23,42.23,1000,42230,0.0,down,,1,
2019-05-24,00775B,台新投等債15+,twse,42.17,42.23,42.17,42.23,3000,126630,0.0,,,3,
2019-05-27,00775B,台新投等債15+,twse,42.26,42.26,42.26,42.26,1000,42260,0.03,up,,1,
2019-05-28,00775B,台新投等債15+,twse,42.38,42.38,42.38,42.38,2000,84760,0.12,up,,2,
2019-05-29,00775B,台新投等債15+,twse,42.52,42.52,42.52,42.52,1000,42520,0.14,up,,1,
2019-05-30,00775B,台新投等債15+,twse,42.45,42.45,42.45,42.45,1000,42450,-0.07,down,,1,
2019-05-31,00775B,台新投等債15+,twse,43.11,43.11,43.11,43.11,2000,86220,0.66,up,,1,
2019-06-03,00775B,台新投等債15+,twse,43.10,43.10,43.10,43.10,1000,43100,-0.01,down,,1,
2019-06-04,00775B,台新投等債15+,twse,43.11,43.11,43.11,43.11,1000,43110,0.01,up,,1,
2019-06-05,00775B,台新投等債15+,twse,42.93,42.93,42.93,42.93,1000,42930,-0.18,down,,1,
2019-06-06,00775B,台新投等債15+,twse,42.70,42.70,42.70,42.70,1000,42700,-0.23,down,,1,
