date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price,valid_bar
2024-05-02,00945B,凱基美國非投等債,twse,14.96,14.98,14.95,14.96,21799099,326136616,-0.03,,162318000,1415,,,1
2024-05-03,00945B,凱基美國非投等債,twse,14.98,14.98,14.93,14.94,11351961,169623047,-0.02,,162318000,1370,,,1
2024-05-06,00945B,凱基美國非投等債,twse,14.98,14.98,14.95,14.98,14381513,215241066,0.04,,162818000,2290,,,1
2024-05-07,00945B,凱基美國非投等債,twse,14.99,15.02,14.98,15.00,13686895,205335068,0.02,,156318000,1890,,,1
2024-05-08,00945B,凱基美國非投等債,twse,15.00,15.04,15.00,15.03,13990685,210211452,0.03,,152318000,1355,,,1
2024-05-09,00945B,凱基美國非投等債,twse,15.00,15.01,15.00,15.00,6189065,92865737,-0.03,,154318000,745,,,1
2024-05-10,00945B,凱基美國非投等債,twse,15.01,15.03,14.99,15.01,9232545,138617591,0.01,,154818000,588,,,1
2024-05-13,00945B,凱基美國非投等債,twse,15.01,15.02,14.99,15.01,6218483,93300869,0.0,,155318000,485,,,1
2024-05-14,00945B,凱基美國非投等債,twse,15.01,15.01,14.99,14.99,3623108,54343881,-0.02,,155318000,405,,,1
2024-05-15,00945B,凱基美國非投等債,twse,14.99,14.99,14.93,14.94,15265827,228227596,-0.05,,156318000,2205,,,1
2024-05-16,00945B,凱基美國非投等債,twse,14.95,14.95,14.91,14.92,10946746,163349708,-0.02,,157818000,1453,,,1
2024-05-17,00945B,凱基美國非投等債,twse,14.95,14.98,14.95,14.96,7148112,106976731,0.04,,157818000,389,,,1
2024-05-20,00945B,凱基美國非投等債,twse,14.96,14.97,14.95,14.97,6143368,91900659,0.01,,157818000,456,,,1
2024-05-21,00945B,凱基美國非投等債,twse,14.97,15.00,14.97,14.99,4233089,63445488,0.02,,158818000,300,,,1
2024-05-22,00945B,凱基美國非投等債,twse,15.00,15.00,14.98,14.99,5179537,77636396,0.0,,158818000,425,,,1
2024-05-23,00945B,凱基美國非投等債,twse,14.98,14.99,14.96,14.97,6071288,90920325,-0.02,,158818000,616,,,1
2024-05-24,00945B,凱基美國非投等債,twse,14.96,14.98,14.94,14.95,8577247,128271604,-0.02,,158818000,569,,,1
2024-05-27,00945B,凱基美國非投等債,twse,14.95,14.95,14.91,14.93,6914897,103193108,-0.02,,158818000,1052,,,1
2024-05-28,00945B,凱基美國非投等債,twse,14.93,14.93,14.91,14.92,5184735,77350174,-0.01,,160818000,474,,,1
2024-05-29,00945B,凱基美國非投等債,twse,14.95,14.95,14.92,14.93,8504466,127003870,0.01,,164818000,302,,,1
2024-05-30,00945B,凱基美國非投等債,twse,14.94,14.97,14.93,14.95,7746808,115834172,0.02,,164818000,325,,,1
2024-05-31,00945B,凱基美國非投等債,twse,14.96,15.00,14.96,15.00,11704894,175408119,0.05,,165818000,335,,,1
2024-06-03,00945B,凱基美國非投等債,twse,15.00,15.03,14.99,15.01,12040002,180721142,0.01,,163818000,452,,,1
2024-06-04,00945B,凱基美國非投等債,twse,15.02,15.04,15.01,15.03,9461768,142186884,0.02,,166318000,444,,,1
2024-06-05,00945B,凱基美國非投等債,twse,15.03,15.04,15.02,15.03,6545557,98369659,0.0,,166318000,452,,,1
2024-06-06,00945B,凱基美國非投等債,twse,15.03,15.04,15.00,15.01,5200941,78100518,-0.02,,162818000,511,,,1
2024-06-07,00945B,凱基美國非投等債,twse,15.01,15.02,15.00,15.01,2774675,41632525,0.0,,162818000,318,,,1
2024-06-11,00945B,凱基美國非投等債,twse,15.02,15.04,15.01,15.02,5829848,87594044,0.01,,163318000,326,,,1
