date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price
2025-02-11,009801,中信美國創新科技,twse,10.00,10.02,10.00,10.00,18679804,186938616,0.01,,125119000,3657,,
2025-02-12,009801,中信美國創新科技,twse,10.00,10.00,9.97,9.97,10422826,104107477,-0.03,,132119000,2029,,
2025-02-13,009801,中信美國創新科技,twse,9.96,9.97,9.94,9.96,6477889,64468213,-0.01,,134119000,1446,,
2025-02-14,009801,中信美國創新科技,twse,10.00,10.02,9.99,10.00,7538595,75410691,0.04,,135119000,1243,,
2025-02-17,009801,中信美國創新科技,twse,10.02,10.06,10.02,10.06,12865053,129174773,0.06,,135119000,1807,,
2025-02-18,009801,中信美國創新科技,twse,10.06,10.09,10.05,10.09,7233313,72842839,0.03,,138619000,1250,,
2025-02-19,009801,中信美國創新科技,twse,10.07,10.08,10.06,10.06,7279350,73286095,-0.03,,141619000,1389,,
2025-02-20,009801,中信美國創新科技,twse,10.00,10.00,9.97,9.98,8335964,83199726,-0.08,,151119000,2667,,
2025-02-21,009801,中信美國創新科技,twse,9.94,9.94,9.92,9.92,9676797,96067560,-0.06,,156119000,3508,,
2025-02-24,009801,中信美國創新科技,twse,9.69,9.70,9.66,9.69,13328533,128946471,-0.23,,170119000,4995,,
2025-02-25,009801,中信美國創新科技,twse,9.46,9.46,9.42,9.44,13256100,125060554,-0.25,,179619000,4641,,
2025-02-26,009801,中信美國創新科技,twse,9.31,9.36,9.31,9.36,18098246,168725370,-0.08,,196619000,4289,,
2025-02-27,009801,中信美國創新科技,twse,9.43,9.47,9.41,9.47,10805450,101972846,0.11,,199119000,1757,,
2025-03-03,009801,中信美國創新科技,twse,9.33,9.33,9.25,9.26,11925716,110544212,-0.21,,209119000,5095,,
2025-03-04,009801,中信美國創新科技,twse,8.98,8.99,8.94,8.97,18856118,168931571,-0.29,,219619000,6812,,
2025-03-05,009801,中信美國創新科技,twse,8.98,8.99,8.94,8.98,14388909,129068938,0.01,,231619000,3405,,
2025-03-06,009801,中信美國創新科技,twse,9.01,9.04,9.01,9.04,7276982,65728671,0.06,,235119000,1234,,
2025-03-07,009801,中信美國創新科技,twse,8.81,8.82,8.79,8.80,12450781,109621232,-0.24,,244119000,4199,,
2025-03-10,009801,中信美國創新科技,twse,8.78,8.79,8.73,8.76,10207256,89405952,-0.04,,249119000,2305,,
2025-03-11,009801,中信美國創新科技,twse,8.36,8.45,8.30,8.44,16843671,141028933,-0.32,,256619000,3855,,
2025-03-12,009801,中信美國創新科技,twse,8.52,8.55,8.52,8.54,7706310,65745772,0.1,,258119000,1195,,
2025-03-13,009801,中信美國創新科技,twse,8.74,8.76,8.66,8.69,8186417,71391115,0.15,,260119000,1165,,
2025-03-14,009801,中信美國創新科技,twse,8.66,8.68,8.63,8.67,6724727,58189541,-0.02,,259119000,962,,
2025-03-17,009801,中信美國創新科技,twse,8.78,8.82,8.77,8.79,7729192,68024531,0.12,,263119000,988,,
2025-03-18,009801,中信美國創新科技,twse,8.81,8.85,8.80,8.82,6035856,53250314,0.03,,263119000,817,,
2025-03-19,009801,中信美國創新科技,twse,8.71,8.71,8.67,8.69,4221742,36697473,-0.13,,266119000,1518,,
2025-03-20,009801,中信美國創新科技,twse,8.85,8.87,8.83,8.87,5788057,51244357,0.18,,266119000,784,,
2025-03-21,009801,中信美國創新科技,twse,8.81,8.81,8.78,8.79,5876020,51686305,-0.08,,267119000,1162,,
2025-03-24,009801,中信美國創新科技,twse,8.89,8.89,8.86,8.88,4543089,40344991,0.09,,269119000,858,,
2025-03-25,009801,中信美國創新科技,twse,9.03,9.03,9.01,9.02,9053074,81656963,0.14,,271119000,1291,,
2025-03-26,009801,中信美國創新科技,twse,9.09,9.12,9.08,9.10,9431178,85812124,0.08,,272119000,1137,,
2025-03-27,009801,中信美國創新科技,twse,8.80,8.84,8.79,8.83,7879959,69459530,-0.27,,274119000,1851,,
2025-03-28,009801,中信美國創新科技,twse,8.73,8.74,8.71,8.74,4103996,35803585,-0.09,,274119000,1278,,
2025-03-31,009801,中信美國創新科技,twse,8.37,8.39,8.34,8.39,12122804,101440044,-0.35,,278119000,2877,,
2025-04-01,009801,中信美國創新科技,twse,8.36,8.42,8.35,8.42,4161467,34900990,0.03,,281119000,1216,,
2025-04-02,009801,中信美國創新科技,twse,8.52,8.52,8.49,8.50,4297038,36547585,0.08,,281119000,742,,
2025-04-07,009801,中信美國創新科技,twse,7.24,7.26,7.08,7.15,21300996,153042742,-1.35,,281119000,4296,,
2025-04-08,009801,中信美國創新科技,twse,7.68,7.79,7.66,7.71,10702396,82770337,0.56,,282619000,2080,,
2025-04-09,009801,中信美國創新科技,twse,7.30,7.53,7.30,7.37,16483221,122089210,-0.34,,286119000,1908,,
2025-04-10,009801,中信美國創新科技,twse,8.49,8.50,8.35,8.40,14348275,120661802,1.03,,287119000,2198,,
2025-04-11,009801,中信美國創新科技,twse,7.96,8.15,7.88,8.15,14007703,112815058,-0.25,,288119000,2002,,
2025-04-14,009801,中信美國創新科技,twse,8.28,8.29,8.19,8.26,11592931,95655091,0.11,,287119000,1270,,
2025-04-15,009801,中信美國創新科技,twse,8.17,8.17,8.13,8.15,5537256,45108964,-0.11,,289119000,1546,,
2025-04-16,009801,中信美國創新科技,twse,8.00,8.03,7.94,7.94,7626756,61016858,-0.21,,289619000,2059,,
2025-04-17,009801,中信美國創新科技,twse,7.90,7.99,7.90,7.98,8658642,68775427,0.04,,290619000,1074,,
2025-04-18,009801,中信美國創新科技,twse,7.89,7.93,7.88,7.93,2486559,19648874,-0.05,,290619000,944,,
2025-04-21,009801,中信美國創新科技,twse,7.85,7.85,7.74,7.75,8437385,65555929,-0.18,,293619000,1598,,
2025-04-22,009801,中信美國創新科技,twse,7.64,7.66,7.61,7.62,7664625,58522893,-0.13,,299119000,1558,,
2025-04-23,009801,中信美國創新科技,twse,7.95,7.99,7.92,7.93,6669581,53033701,0.31,,303619000,871,,
2025-04-24,009801,中信美國創新科技,twse,8.05,8.07,7.99,8.00,5415925,43462820,0.07,,301619000,901,,
2025-04-25,009801,中信美國創新科技,twse,8.42,8.45,8.38,8.41,11957719,100626086,0.41,,300619000,1567,,
2025-04-28,009801,中信美國創新科技,twse,8.43,8.45,8.41,8.43,3608729,30433437,0.02,,299619000,874,,
2025-04-29,009801,中信美國創新科技,twse,8.47,8.47,8.41,8.41,4008451,33842383,-0.02,,298619000,921,,
2025-04-30,009801,中信美國創新科技,twse,8.40,8.40,8.28,8.28,4353657,36304917,-0.13,,298619000,1215,,
2025-05-02,009801,中信美國創新科技,twse,8.53,8.62,8.38,8.43,7928244,67394063,0.15,,298619000,1229,,
2025-05-05,009801,中信美國創新科技,twse,8.43,8.44,7.97,8.03,11539005,92972701,-0.4,,296619000,1936,,
2025-05-06,009801,中信美國創新科技,twse,7.92,8.19,7.92,8.14,8767867,71153698,0.11,,293619000,918,,
2025-05-07,009801,中信美國創新科技,twse,8.17,8.26,8.17,8.23,4794839,39455943,0.09,,292619000,737,,
2025-05-08,009801,中信美國創新科技,twse,8.37,8.40,8.33,8.39,2892152,24188212,0.16,,294619000,772,,
2025-05-09,009801,中信美國創新科技,twse,8.37,8.41,8.34,8.37,7877142,65934300,-0.02,,294619000,978,,
2025-05-12,009801,中信美國創新科技,twse,8.50,8.55,8.50,8.54,4256699,36308798,0.17,,294619000,933,,
2025-05-13,009801,中信美國創新科技,twse,8.76,8.76,8.70,8.71,4415721,38498312,0.17,,294619000,1037,,
2025-05-14,009801,中信美國創新科技,twse,8.92,8.93,8.89,8.92,6147347,54770525,0.21,,292619000,1340,,
2025-05-15,009801,中信美國創新科技,twse,8.94,8.97,8.92,8.93,8267299,73843918,0.01,,288619000,1268,,
2025-05-16,009801,中信美國創新科技,twse,8.93,8.93,8.89,8.91,2798151,24913490,-0.02,,286619000,843,,
2025-05-19,009801,中信美國創新科技,twse,8.82,8.86,8.80,8.81,5506043,48574619,-0.1,,285619000,1022,,
2025-05-20,009801,中信美國創新科技,twse,8.92,8.95,8.90,8.92,2559217,22840652,0.11,,284119000,744,,
2025-05-21,009801,中信美國創新科技,twse,8.91,8.91,8.85,8.87,3527156,31269726,-0.05,,283619000,852,,
2025-05-22,009801,中信美國創新科技,twse,8.81,8.81,8.72,8.74,4575640,40008342,-0.13,,283119000,917,,
2025-05-23,009801,中信美國創新科技,twse,8.80,8.80,8.74,8.76,3035443,26577690,0.02,,282619000,582,,
