date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price,valid_bar
2025-09-24,00981T,平衡凱基雙核收息,twse,9.99,10.01,9.99,9.99,53933343,539288276,0.0,,227761000,4332,,,1
2025-09-25,00981T,平衡凱基雙核收息,twse,9.99,10.01,9.98,9.99,11435831,114286775,0.0,,224761000,1855,,,1
2025-09-26,00981T,平衡凱基雙核收息,twse,9.98,9.99,9.92,9.93,10184378,101244695,-0.06,,225261000,2262,,,1
2025-09-30,00981T,平衡凱基雙核收息,twse,9.97,9.99,9.96,9.96,7502613,74839374,0.03,,225261000,718,,,1
2025-10-01,00981T,平衡凱基雙核收息,twse,10.00,10.01,9.98,9.98,13852442,138521989,0.02,,222261000,723,,,1
2025-10-02,00981T,平衡凱基雙核收息,twse,10.02,10.04,10.01,10.03,28372319,284446872,0.05,,206761000,1033,,,1
2025-10-03,00981T,平衡凱基雙核收息,twse,10.03,10.11,10.03,10.09,15328617,154467910,0.06,,185261000,916,,,1
2025-10-07,00981T,平衡凱基雙核收息,twse,10.10,10.16,10.10,10.14,14862138,150606954,0.05,,182261000,684,,,1
2025-10-08,00981T,平衡凱基雙核收息,twse,10.14,10.16,10.13,10.15,3926740,39834404,0.01,,172261000,371,,,1
2025-10-09,00981T,平衡凱基雙核收息,twse,10.20,10.23,10.19,10.20,10206999,104189672,0.05,,169761000,569,,,1
2025-10-13,00981T,平衡凱基雙核收息,twse,10.10,10.17,10.09,10.17,4788061,48566307,-0.03,,169761000,577,,,1
2025-10-14,00981T,平衡凱基雙核收息,twse,10.27,10.29,10.21,10.21,8320729,85264239,0.04,,166761000,515,,,1
2025-10-15,00981T,平衡凱基雙核收息,twse,10.23,10.27,10.23,10.27,3674652,37677429,0.06,,162261000,319,,,1
2025-10-16,00981T,平衡凱基雙核收息,twse,10.28,10.37,10.28,10.37,6216082,64259574,0.1,,162261000,447,,,1
2025-10-17,00981T,平衡凱基雙核收息,twse,10.37,10.37,10.33,10.34,3510097,36321085,-0.03,,159761000,472,,,1
2025-10-20,00981T,平衡凱基雙核收息,twse,10.35,10.40,10.34,10.35,4559334,47269195,0.01,,160261000,403,,,1
2025-10-21,00981T,平衡凱基雙核收息,twse,10.37,10.41,10.37,10.40,3954068,41107685,0.05,,160261000,359,,,1
2025-10-22,00981T,平衡凱基雙核收息,twse,10.42,10.42,10.37,10.40,3001696,31182686,0.0,,160261000,375,,,1
2025-10-23,00981T,平衡凱基雙核收息,twse,10.39,10.40,10.35,10.39,2628114,27266755,-0.01,,160261000,352,,,1
2025-10-27,00981T,平衡凱基雙核收息,twse,10.41,10.43,10.40,10.42,3430870,35733648,0.03,,159261000,388,,,1
2025-10-28,00981T,平衡凱基雙核收息,twse,10.45,10.45,10.40,10.41,3037550,31648339,-0.01,,159261000,355,,,1
2025-10-29,00981T,平衡凱基雙核收息,twse,10.42,10.47,10.42,10.45,2173122,22695829,0.04,,158261000,304,,,1
2025-10-30,00981T,平衡凱基雙核收息,twse,10.44,10.45,10.41,10.44,3467292,36169562,-0.01,,158261000,479,,,1
2025-10-31,00981T,平衡凱基雙核收息,twse,10.44,10.44,10.42,10.43,2836403,29588185,-0.01,,158261000,336,,,1
2025-11-03,00981T,平衡凱基雙核收息,twse,10.43,10.43,10.36,10.39,5154509,53528014,-0.04,,158261000,582,,,1
2025-11-04,00981T,平衡凱基雙核收息,twse,10.39,10.42,10.35,10.37,3588858,37244539,-0.02,,152261000,365,,,1
2025-11-05,00981T,平衡凱基雙核收息,twse,10.33,10.36,10.32,10.36,3028934,31328020,-0.01,,150761000,359,,,1
2025-11-06,00981T,平衡凱基雙核收息,twse,10.37,10.37,10.33,10.34,2110368,21833370,-0.02,,150761000,255,,,1
2025-11-07,00981T,平衡凱基雙核收息,twse,10.32,10.34,10.31,10.32,1914307,19778290,-0.02,,150761000,264,,,1
2025-11-10,00981T,平衡凱基雙核收息,twse,10.32,10.35,10.31,10.34,2663597,27551191,0.02,,150761000,195,,,1
2025-11-11,00981T,平衡凱基雙核收息,twse,10.36,10.38,10.33,10.33,2124394,21986790,-0.01,,150761000,237,,,1
2025-11-12,00981T,平衡凱基雙核收息,twse,10.37,10.37,10.33,10.35,2210408,22887549,0.02,,149761000,175,,,1
2025-11-13,00981T,平衡凱基雙核收息,twse,10.36,10.36,10.34,10.35,4341067,44941747,0.0,,149261000,308,,,1
2025-11-14,00981T,平衡凱基雙核收息,twse,10.32,10.32,10.27,10.27,3077063,31660191,-0.08,,147261000,480,,,1
2025-11-17,00981T,平衡凱基雙核收息,twse,10.28,10.29,10.23,10.27,2663599,27332192,0.0,,147261000,275,,,1
2025-11-18,00981T,平衡凱基雙核收息,twse,10.27,10.27,10.22,10.23,2747415,28158596,-0.04,,146261000,337,,,1
2025-11-19,00981T,平衡凱基雙核收息,twse,10.21,10.24,10.20,10.21,3112264,31790053,-0.02,,144261000,237,,,1
2025-11-20,00981T,平衡凱基雙核收息,twse,10.28,10.32,10.28,10.30,5338904,54994010,0.09,,141761000,207,,,1
2025-11-21,00981T,平衡凱基雙核收息,twse,10.27,10.27,10.21,10.22,3076701,31473359,-0.08,,141761000,265,,,1
2025-11-24,00981T,平衡凱基雙核收息,twse,10.24,10.27,10.24,10.25,1755718,18010723,0.03,,140261000,203,,,1
2025-11-25,00981T,平衡凱基雙核收息,twse,10.34,10.34,10.33,10.33,724164,7482462,0.08,,140261000,147,,,1
2025-11-26,00981T,平衡凱基雙核收息,twse,10.38,10.41,10.37,10.39,2635269,27381135,0.06,,137761000,249,,,1
2025-11-27,00981T,平衡凱基雙核收息,twse,10.43,10.46,10.42,10.43,5789665,60420797,0.04,,137761000,286,,,1
2025-11-28,00981T,平衡凱基雙核收息,twse,10.42,10.46,10.42,10.45,2147675,22440216,0.02,,137761000,227,,,1
2025-12-01,00981T,平衡凱基雙核收息,twse,10.47,10.47,10.41,10.41,1854242,19334267,-0.04,,135761000,200,,,1
2025-12-02,00981T,平衡凱基雙核收息,twse,10.41,10.43,10.40,10.40,2395724,24955414,-0.01,,135761000,147,,,1
2025-12-03,00981T,平衡凱基雙核收息,twse,10.44,10.45,10.43,10.43,1159198,12098243,0.03,,131761000,130,,,1
2025-12-04,00981T,平衡凱基雙核收息,twse,10.43,10.43,10.41,10.42,2168769,22612780,-0.01,,130261000,153,,,1
2025-12-05,00981T,平衡凱基雙核收息,twse,10.43,10.45,10.43,10.45,1960544,20462349,0.03,,126261000,122,,,1
2025-12-08,00981T,平衡凱基雙核收息,twse,10.45,10.46,10.43,10.46,1099576,11484390,0.01,,126261000,170,,,1
2025-12-09,00981T,平衡凱基雙核收息,twse,10.46,10.47,10.44,10.44,1145647,11970618,-0.02,,126261000,170,,,1
2025-12-10,00981T,平衡凱基雙核收息,twse,10.46,10.48,10.45,10.47,1345030,14078813,0.03,,126261000,158,,,1
2025-12-11,00981T,平衡凱基雙核收息,twse,10.50,10.51,10.46,10.46,3561899,37353200,-0.01,,126261000,186,,,1
2025-12-12,00981T,平衡凱基雙核收息,twse,10.46,10.48,10.45,10.47,1074601,11256939,0.01,,126261000,129,,,1
