date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2025-12-26,00982T,平衡兆豐台美動能,twse,10.00,10.09,10.00,10.07,26217424,263061915,0.07,,,1743,
2025-12-29,00982T,平衡兆豐台美動能,twse,10.08,10.19,10.06,10.19,14379596,145522970,0.12,,,1186,
2025-12-30,00982T,平衡兆豐台美動能,twse,10.17,10.17,10.12,10.16,9067981,91989313,-0.03,,,708,
2025-12-31,00982T,平衡兆豐台美動能,twse,10.15,10.26,10.15,10.25,8153968,83338658,0.09,,,489,
2026-01-02,00982T,平衡兆豐台美動能,twse,10.25,10.41,10.25,10.41,6801258,70334807,0.16,,,555,
2026-01-05,00982T,平衡兆豐台美動能,twse,10.46,10.63,10.46,10.60,8734898,92435280,0.19,,,676,
2026-01-06,00982T,平衡兆豐台美動能,twse,10.60,10.72,10.60,10.71,7381012,78626493,0.11,,,587,
2026-01-07,00982T,平衡兆豐台美動能,twse,10.71,10.79,10.68,10.72,8937054,96027958,0.01,,,564,
2026-01-08,00982T,平衡兆豐台美動能,twse,10.75,10.75,10.60,10.60,8521398,90921069,-0.12,,,661,
2026-01-09,00982T,平衡兆豐台美動能,twse,10.55,10.63,10.46,10.57,8504968,89847762,-0.03,,,564,
2026-01-12,00982T,平衡兆豐台美動能,twse,10.80,10.80,10.62,10.65,3214521,34276812,0.08,,,262,
2026-01-13,00982T,平衡兆豐台美動能,twse,10.65,10.79,10.64,10.68,4043324,43222132,0.03,,,273,
2026-01-14,00982T,平衡兆豐台美動能,twse,10.71,10.80,10.71,10.77,4161017,44862591,0.09,,,221,
2026-01-15,00982T,平衡兆豐台美動能,twse,10.77,10.78,10.70,10.78,3564375,38242860,0.01,,,194,
2026-01-16,00982T,平衡兆豐台美動能,twse,10.85,10.92,10.80,10.89,3549741,38566738,0.11,,,205,
2026-01-19,00982T,平衡兆豐台美動能,twse,10.90,10.94,10.82,10.90,3541512,38533431,0.01,,,209,
2026-01-20,00982T,平衡兆豐台美動能,twse,10.85,10.92,10.81,10.90,2071803,22590995,0.0,,,215,
2026-01-21,00982T,平衡兆豐台美動能,twse,10.82,10.87,10.68,10.73,6903152,74523615,-0.17,,,393,
2026-01-22,00982T,平衡兆豐台美動能,twse,10.88,10.95,10.88,10.90,6173462,67447125,0.17,,,176,
2026-01-23,00982T,平衡兆豐台美動能,twse,10.99,11.09,10.96,11.00,2223812,24507607,0.1,,,223,
2026-01-26,00982T,平衡兆豐台美動能,twse,11.05,11.17,11.05,11.17,7796807,86881897,0.17,,,335,
2026-01-27,00982T,平衡兆豐台美動能,twse,11.20,11.29,11.15,11.28,3572989,40283877,0.11,,,201,
2026-01-28,00982T,平衡兆豐台美動能,twse,11.32,11.36,11.31,11.35,3581888,40569549,0.07,,,169,
2026-01-29,00982T,平衡兆豐台美動能,twse,11.35,11.36,11.19,11.22,5542567,62382026,-0.13,,,434,
2026-01-30,00982T,平衡兆豐台美動能,twse,11.19,11.19,10.98,11.04,2565711,28284905,-0.18,,,310,
2026-02-02,00982T,平衡兆豐台美動能,twse,10.99,10.99,10.77,10.84,4516094,48781738,-0.2,,,394,
2026-02-03,00982T,平衡兆豐台美動能,twse,11.02,11.04,10.89,11.04,2106630,23105972,0.2,,,194,
2026-02-04,00982T,平衡兆豐台美動能,twse,11.03,11.09,10.92,11.08,3700846,40815297,0.04,,,189,
2026-02-05,00982T,平衡兆豐台美動能,twse,11.02,11.02,10.86,10.93,5265102,57385957,-0.15,,,329,
2026-02-06,00982T,平衡兆豐台美動能,twse,10.85,10.94,10.73,10.87,2389399,25974491,-0.06,,,203,
2026-02-09,00982T,平衡兆豐台美動能,twse,10.96,11.17,10.96,11.15,4357765,48559899,0.28,,,220,
2026-02-10,00982T,平衡兆豐台美動能,twse,11.53,11.53,11.24,11.27,5915134,66790469,0.12,,,198,
2026-02-11,00982T,平衡兆豐台美動能,twse,11.35,11.50,11.33,11.50,10695008,121899431,0.23,,,268,
2026-02-23,00982T,平衡兆豐台美動能,twse,11.52,11.61,11.48,11.48,5914395,68544585,-0.02,,,225,
2026-02-24,00982T,平衡兆豐台美動能,twse,11.50,11.83,11.50,11.82,2656738,31265421,0.34,,,236,
2026-02-25,00982T,平衡兆豐台美動能,twse,11.92,12.06,11.91,12.03,2477459,29696407,0.21,,,215,
2026-02-26,00982T,平衡兆豐台美動能,twse,12.00,12.06,11.90,12.01,2088272,25119205,-0.02,,,211,
2026-03-02,00982T,平衡兆豐台美動能,twse,11.86,11.94,11.68,11.92,2418507,28802931,-0.09,,,212,
2026-03-03,00982T,平衡兆豐台美動能,twse,11.92,11.92,11.60,11.60,2368308,27675828,-0.32,,,317,
2026-03-04,00982T,平衡兆豐台美動能,twse,11.56,11.56,11.08,11.12,2453510,27440381,-0.48,,,306,
2026-03-05,00982T,平衡兆豐台美動能,twse,11.32,11.54,11.32,11.41,2253323,25782948,0.29,,,174,
2026-03-06,00982T,平衡兆豐台美動能,twse,11.31,11.44,11.30,11.37,1971850,22419644,-0.04,,,133,
