date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2025-08-27,00986A,主動台新龍頭成長,twse,10.03,10.05,10.02,10.04,40226939,403545116,0.01,,,4496,
2025-08-28,00986A,主動台新龍頭成長,twse,10.05,10.06,10.04,10.04,12026742,120858684,0.0,,,1729,
2025-08-29,00986A,主動台新龍頭成長,twse,10.10,10.18,10.10,10.18,11620341,118129166,0.14,,,1755,
2025-09-01,00986A,主動台新龍頭成長,twse,10.13,10.13,10.07,10.08,8201272,82791294,-0.1,,,1934,
2025-09-02,00986A,主動台新龍頭成長,twse,10.10,10.11,10.07,10.07,5816926,58644117,-0.01,,,1025,
2025-09-03,00986A,主動台新龍頭成長,twse,10.06,10.06,10.02,10.04,5101171,51220402,-0.03,,,904,
2025-09-04,00986A,主動台新龍頭成長,twse,10.11,10.13,10.10,10.10,4436466,44863116,0.06,,,584,
2025-09-05,00986A,主動台新龍頭成長,twse,10.19,10.23,10.18,10.21,7221734,73637630,0.11,,,711,
2025-09-08,00986A,主動台新龍頭成長,twse,10.23,10.24,10.19,10.20,3124026,31889392,-0.01,,,746,
2025-09-09,00986A,主動台新龍頭成長,twse,10.27,10.31,10.27,10.29,4019816,41349847,0.09,,,637,
2025-09-10,00986A,主動台新龍頭成長,twse,10.32,10.43,10.32,10.42,15229320,158274197,0.13,,,1094,
2025-09-11,00986A,主動台新龍頭成長,twse,10.50,10.52,10.48,10.50,6038822,63389320,0.08,,,987,
2025-09-12,00986A,主動台新龍頭成長,twse,10.55,10.55,10.46,10.49,3382008,35458790,-0.01,,,860,
2025-09-15,00986A,主動台新龍頭成長,twse,10.48,10.48,10.45,10.47,2067036,21617634,-0.02,,,528,
2025-09-16,00986A,主動台新龍頭成長,twse,10.52,10.55,10.52,10.52,2065288,21745426,0.05,,,409,
2025-09-17,00986A,主動台新龍頭成長,twse,10.50,10.50,10.44,10.47,3473888,36340512,-0.05,,,450,
2025-09-18,00986A,主動台新龍頭成長,twse,10.50,10.52,10.47,10.49,2702091,28340062,0.02,,,602,
