date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2026-04-15,00986D,主動復華金融債息,tpex,14.88,14.97,14.88,14.90,21271000,317482620,-0.07,,230677000,1181,
2026-04-16,00986D,主動復華金融債息,tpex,14.91,14.92,14.85,14.85,3702000,55059240,-0.05,,230677000,344,
2026-04-17,00986D,主動復華金融債息,tpex,14.85,14.86,14.82,14.84,4291000,63720130,-0.01,,219677000,297,
2026-04-20,00986D,主動復華金融債息,tpex,14.84,14.91,14.83,14.88,4375000,65082400,0.04,,219677000,205,
2026-04-21,00986D,主動復華金融債息,tpex,14.88,14.92,14.88,14.90,2102000,31306660,0.02,,214677000,140,
2026-04-22,00986D,主動復華金融債息,tpex,14.90,14.91,14.88,14.89,2091000,31151590,-0.01,,212677000,158,
2026-04-23,00986D,主動復華金融債息,tpex,14.89,14.89,14.83,14.83,1919000,28498630,-0.06,,212677000,169,
2026-04-24,00986D,主動復華金融債息,tpex,14.84,14.87,14.82,14.85,1000000,14845550,0.02,,212677000,76,
2026-04-27,00986D,主動復華金融債息,tpex,14.77,14.85,14.74,14.84,2632000,39002920,-0.01,,208177000,153,
2026-04-28,00986D,主動復華金融債息,tpex,14.83,14.88,14.81,14.86,2584000,38397140,0.02,,208177000,97,
2026-04-29,00986D,主動復華金融債息,tpex,14.85,14.87,14.81,14.86,1883000,27973130,0.00,,205677000,87,
2026-04-30,00986D,主動復華金融債息,tpex,14.81,14.86,14.80,14.84,577000,8564750,-0.02,,204677000,54,
2026-05-04,00986D,主動復華金融債息,tpex,14.84,14.84,14.76,14.83,1009000,14938350,-0.01,,204677000,108,
2026-05-05,00986D,主動復華金融債息,tpex,14.82,14.82,14.76,14.78,1147000,16950640,-0.05,,204677000,111,
2026-05-06,00986D,主動復華金融債息,tpex,14.75,14.76,14.73,14.74,4624000,68182020,-0.04,,204677000,196,
2026-05-07,00986D,主動復華金融債息,tpex,14.72,14.86,14.70,14.77,3629000,53609400,0.03,,204677000,143,
2026-05-08,00986D,主動復華金融債息,tpex,14.78,14.78,14.74,14.74,1301000,19197400,-0.03,,204677000,66,
2026-05-11,00986D,主動復華金融債息,tpex,14.74,14.83,14.74,14.78,1318000,19511810,0.04,,204677000,128,
2026-05-12,00986D,主動復華金融債息,tpex,14.77,14.80,14.77,14.78,2216000,32748360,0.00,,202677000,126,
2026-05-13,00986D,主動復華金融債息,tpex,14.77,14.81,14.77,14.78,1040000,15380860,0.00,,201677000,70,
2026-05-14,00986D,主動復華金融債息,tpex,14.77,14.79,14.76,14.77,956000,14124770,-0.01,,201677000,88,
2026-05-15,00986D,主動復華金融債息,tpex,14.75,14.78,14.71,14.71,1732000,25550320,-0.06,,201677000,122,
2026-05-18,00986D,主動復華金融債息,tpex,14.71,14.71,14.65,14.68,1422000,20864660,-0.03,,200677000,65,
2026-05-19,00986D,主動復華金融債息,tpex,14.71,14.71,14.69,14.69,533000,7836420,0.01,,198677000,55,
2026-05-20,00986D,主動復華金融債息,tpex,14.71,14.71,14.65,14.65,585000,8580960,-0.04,,198677000,36,
2026-05-21,00986D,主動復華金融債息,tpex,14.66,14.68,14.65,14.66,437000,6409720,0.01,,198677000,44,
2026-05-22,00986D,主動復華金融債息,tpex,14.64,14.68,14.64,14.68,1181000,17320660,0.02,,197677000,61,
2026-05-25,00986D,主動復華金融債息,tpex,14.67,14.68,14.65,14.65,1762000,25840600,-0.03,,197677000,118,
2026-05-26,00986D,主動復華金融債息,tpex,14.60,14.69,14.60,14.69,2157000,31602970,0.04,,197677000,126,
2026-05-27,00986D,主動復華金融債息,tpex,14.69,14.72,14.69,14.71,1174000,17264280,0.02,,195677000,64,
2026-05-28,00986D,主動復華金融債息,tpex,14.70,14.75,14.70,14.71,2878000,42356540,0.00,,192677000,89,
2026-05-29,00986D,主動復華金融債息,tpex,14.70,14.76,14.70,14.74,1325000,19533250,0.03,,192177000,86,
2026-06-01,00986D,主動復華金融債息,tpex,14.72,14.73,14.71,14.71,983000,14469870,-0.03,,188177000,40,
2026-06-02,00986D,主動復華金融債息,tpex,14.71,14.80,14.71,14.80,1635000,24129020,0.09,,186177000,95,
2026-06-03,00986D,主動復華金融債息,tpex,14.80,14.80,14.75,14.75,925000,13663590,-0.05,,185177000,77,
2026-06-04,00986D,主動復華金融債息,tpex,14.80,14.82,14.74,14.74,917000,13538800,-0.01,,185177000,78,
2026-06-05,00986D,主動復華金融債息,tpex,14.74,14.79,14.70,14.79,1995000,29432180,0.05,,184177000,89,
