date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price,valid_bar
2026-01-22,00995A,主動中信台灣卓越,twse,10.05,10.18,10.03,10.17,81647568,824068156,0.33,,240035000,9645,,,1
2026-01-23,00995A,主動中信台灣卓越,twse,10.23,10.32,10.22,10.32,62711547,644654766,0.15,,287035000,8961,,,1
2026-01-26,00995A,主動中信台灣卓越,twse,10.35,10.45,10.30,10.36,50364245,522240432,0.04,,330035000,7824,,,1
2026-01-27,00995A,主動中信台灣卓越,twse,10.38,10.51,10.38,10.47,26667008,279134974,0.11,,336535000,4236,,,1
2026-01-28,00995A,主動中信台灣卓越,twse,10.56,10.63,10.53,10.58,29418008,310963581,0.11,,352535000,4745,,,1
2026-01-29,00995A,主動中信台灣卓越,twse,10.65,10.68,10.45,10.48,28808341,303285422,-0.1,,360535000,5721,,,1
2026-01-30,00995A,主動中信台灣卓越,twse,10.42,10.43,10.25,10.30,29784634,307461811,-0.18,,362535000,6710,,,1
2026-02-02,00995A,主動中信台灣卓越,twse,10.18,10.27,10.10,10.21,20788931,211337878,-0.09,,363535000,5546,,,1
2026-02-03,00995A,主動中信台灣卓越,twse,10.43,10.55,10.37,10.54,24753564,259610779,0.33,,363535000,2511,,,1
2026-02-04,00995A,主動中信台灣卓越,twse,10.51,10.64,10.45,10.64,14555705,153660013,0.1,,362035000,1921,,,1
2026-02-05,00995A,主動中信台灣卓越,twse,10.48,10.60,10.36,10.39,14331842,149839640,-0.25,,360035000,3128,,,1
2026-02-06,00995A,主動中信台灣卓越,twse,10.30,10.35,10.04,10.22,14494886,147303945,-0.17,,360035000,3753,,,1
2026-02-09,00995A,主動中信台灣卓越,twse,10.50,10.62,10.50,10.54,13472021,142307944,0.32,,352535000,1863,,,1
2026-02-10,00995A,主動中信台灣卓越,twse,10.65,10.80,10.64,10.80,17955528,192444884,0.26,,342535000,2300,,,1
2026-02-11,00995A,主動中信台灣卓越,twse,10.80,10.97,10.78,10.94,11170125,121793510,0.14,,341535000,2253,,,1
2026-02-23,00995A,主動中信台灣卓越,twse,11.00,11.18,10.91,10.91,14877605,163705110,-0.03,,341535000,2985,,,1
2026-02-24,00995A,主動中信台灣卓越,twse,10.91,11.20,10.91,11.19,16882728,187430426,0.28,,341535000,1777,,,1
2026-02-25,00995A,主動中信台灣卓越,twse,11.25,11.52,11.22,11.50,12711305,145017469,0.31,,341535000,1837,,,1
2026-02-26,00995A,主動中信台灣卓越,twse,11.55,11.65,11.45,11.63,10033020,116096540,0.13,,341535000,1906,,,1
2026-03-02,00995A,主動中信台灣卓越,twse,11.23,11.62,11.22,11.51,9843916,113290864,-0.12,,341535000,2270,,,1
2026-03-03,00995A,主動中信台灣卓越,twse,11.54,11.70,11.29,11.30,13661071,156176255,-0.21,,341535000,2866,,,1
2026-03-04,00995A,主動中信台灣卓越,twse,11.00,11.01,10.63,10.66,24860847,267578745,-0.64,,338535000,4622,,,1
2026-03-05,00995A,主動中信台灣卓越,twse,11.15,11.33,11.02,11.18,14285664,159460892,0.52,,326535000,1769,,,1
2026-03-06,00995A,主動中信台灣卓越,twse,11.13,11.42,11.06,11.29,9118504,102748552,0.11,,324535000,1575,,,1
2026-03-09,00995A,主動中信台灣卓越,twse,10.70,10.70,10.39,10.59,16445483,172334754,-0.7,,324535000,4415,,,1
2026-03-10,00995A,主動中信台灣卓越,twse,10.94,11.11,10.84,10.99,11928853,131122730,0.4,,324535000,1778,,,1
2026-03-11,00995A,主動中信台灣卓越,twse,11.21,11.62,11.21,11.56,13199826,151557092,0.57,,324035000,1830,,,1
2026-03-12,00995A,主動中信台灣卓越,twse,11.55,11.70,11.44,11.57,10443270,120848097,0.01,,320535000,1414,,,1
2026-03-13,00995A,主動中信台灣卓越,twse,11.36,11.67,11.34,11.57,7897608,91192656,0.0,,320035000,1300,,,1
2026-03-16,00995A,主動中信台灣卓越,twse,11.72,11.79,11.52,11.59,7777583,90411917,0.02,,317035000,1203,,,1
2026-03-17,00995A,主動中信台灣卓越,twse,11.80,11.98,11.79,11.91,9641305,114748913,0.32,,316035000,1633,,,1
2026-03-18,00995A,主動中信台灣卓越,twse,12.20,12.30,12.11,12.23,10870492,132574509,0.32,,316035000,1916,,,1
2026-03-19,00995A,主動中信台灣卓越,twse,12.12,12.44,12.11,12.31,17331386,212789551,0.08,,316035000,2176,,,1
2026-03-20,00995A,主動中信台灣卓越,twse,12.40,12.48,12.06,12.30,11646669,143435010,-0.01,,323535000,2032,,,1
2026-03-23,00995A,主動中信台灣卓越,twse,12.03,12.06,11.82,11.94,14189442,169527733,-0.36,,328535000,3766,,,1
2026-03-24,00995A,主動中信台灣卓越,twse,12.15,12.17,11.60,11.64,14999637,177111836,-0.3,,328535000,2735,,,1
2026-03-25,00995A,主動中信台灣卓越,twse,12.05,12.22,12.05,12.17,10196330,123869920,0.53,,327535000,1435,,,1
2026-03-26,00995A,主動中信台灣卓越,twse,12.32,12.43,12.10,12.10,9300395,114146453,-0.07,,326035000,1627,,,1
2026-03-27,00995A,主動中信台灣卓越,twse,11.90,12.11,11.77,12.10,11065599,132735866,0.0,,326035000,1512,,,1
2026-03-30,00995A,主動中信台灣卓越,twse,11.80,11.89,11.64,11.87,10026029,118057090,-0.23,,326035000,2475,,,1
2026-03-31,00995A,主動中信台灣卓越,twse,11.79,11.79,11.24,11.29,11538602,131974646,-0.58,,326035000,3506,,,1
2026-04-01,00995A,主動中信台灣卓越,twse,11.82,12.00,11.81,11.96,10493974,125160333,0.67,,324535000,1717,,,1
2026-04-02,00995A,主動中信台灣卓越,twse,12.02,12.23,11.70,11.72,10628646,127551666,-0.24,,324535000,1896,,,1
2026-04-07,00995A,主動中信台灣卓越,twse,11.90,12.18,11.90,12.01,9541718,115146811,0.29,,321035000,1429,,,1
2026-04-08,00995A,主動中信台灣卓越,twse,12.44,12.83,12.44,12.81,18119321,230958339,0.8,,316035000,2554,,,1
2026-04-09,00995A,主動中信台灣卓越,twse,12.83,13.15,12.82,13.02,11542726,150501283,0.21,,312535000,2013,,,1
2026-04-10,00995A,主動中信台灣卓越,twse,13.28,13.35,13.13,13.30,9682637,128458176,0.28,,312535000,1897,,,1
2026-04-13,00995A,主動中信台灣卓越,twse,13.30,13.38,13.20,13.26,7791004,103476620,-0.04,,312535000,1849,,,1
2026-04-14,00995A,主動中信台灣卓越,twse,13.53,13.76,13.51,13.58,9480264,129129864,0.32,,312535000,1892,,,1
2026-04-15,00995A,主動中信台灣卓越,twse,13.99,14.06,13.84,13.94,11276678,157420475,0.36,,312535000,2345,,,1
2026-04-16,00995A,主動中信台灣卓越,twse,14.06,14.30,14.04,14.30,9518226,134720080,0.36,,312035000,1996,,,1
2026-04-17,00995A,主動中信台灣卓越,twse,14.29,14.57,14.25,14.43,12620661,182300593,0.13,,312035000,2386,,,1
2026-04-20,00995A,主動中信台灣卓越,twse,14.60,14.90,14.54,14.81,10774508,159133814,0.38,,314035000,2540,,,1
2026-04-21,00995A,主動中信台灣卓越,twse,15.05,15.21,14.85,15.11,14603571,219396605,0.3,,314035000,2586,,,1
2026-04-22,00995A,主動中信台灣卓越,twse,15.17,15.49,15.17,15.37,10517112,161599222,0.26,,315535000,2636,,,1
2026-04-23,00995A,主動中信台灣卓越,twse,15.61,16.00,14.73,15.22,23164428,355061130,-0.15,,315535000,5243,,,1
2026-04-24,00995A,主動中信台灣卓越,twse,15.56,15.91,15.43,15.78,16485465,258793343,0.56,,315535000,2725,,,1
2026-04-27,00995A,主動中信台灣卓越,twse,16.32,16.32,15.63,15.82,20386141,322873946,0.04,,319035000,4472,,,1
2026-04-28,00995A,主動中信台灣卓越,twse,15.82,16.02,15.69,15.88,8043042,127580986,0.06,,321535000,2189,,,1
2026-04-29,00995A,主動中信台灣卓越,twse,15.50,15.91,15.50,15.81,8509459,133852688,-0.07,,321535000,2072,,,1
2026-04-30,00995A,主動中信台灣卓越,twse,15.90,16.25,15.90,16.11,14378224,231713609,0.3,,321535000,2422,,,1
2026-05-04,00995A,主動中信台灣卓越,twse,16.50,16.92,16.43,16.92,13492087,225708299,0.81,,323035000,2576,,,1
2026-05-05,00995A,主動中信台灣卓越,twse,16.94,17.01,16.71,16.92,8856389,149215902,0.0,,325035000,2787,,,1
2026-05-06,00995A,主動中信台灣卓越,twse,17.20,17.30,16.35,16.89,21675011,363041336,-0.03,,327035000,5315,,,1
2026-05-07,00995A,主動中信台灣卓越,twse,17.04,17.05,16.86,17.03,11373925,193007349,0.14,,327035000,2253,,,1
2026-05-08,00995A,主動中信台灣卓越,twse,16.82,17.00,16.38,16.65,11941427,199653136,-0.38,,327035000,3528,,,1
2026-05-11,00995A,主動中信台灣卓越,twse,16.67,17.25,16.67,17.22,10175912,173496011,0.57,,327035000,2184,,,1
2026-05-12,00995A,主動中信台灣卓越,twse,17.41,17.63,17.30,17.33,10890172,190064369,0.11,,327035000,2027,,,1
2026-05-13,00995A,主動中信台灣卓越,twse,17.00,17.11,16.79,17.03,11179749,189070094,-0.3,,327035000,3029,,,1
2026-05-14,00995A,主動中信台灣卓越,twse,17.34,17.41,17.06,17.06,5433356,93598747,0.03,,327035000,1530,,,1
2026-05-15,00995A,主動中信台灣卓越,twse,17.32,17.32,16.26,16.33,13384197,223063125,-0.73,,327035000,4602,,,1
2026-05-18,00995A,主動中信台灣卓越,twse,15.95,16.25,15.75,16.24,8138605,129832437,-0.09,,327035000,2183,,,1
2026-05-19,00995A,主動中信台灣卓越,twse,16.13,16.31,15.77,15.79,9119491,145690277,-0.45,,327035000,2448,,,1
2026-05-20,00995A,主動中信台灣卓越,twse,15.80,16.01,15.66,15.72,5054199,79919726,-0.07,,325535000,1515,,,1
2026-05-21,00995A,主動中信台灣卓越,twse,16.10,16.69,16.10,16.67,5818680,96463273,0.95,,325035000,1494,,,1
2026-05-22,00995A,主動中信台灣卓越,twse,17.00,17.31,16.95,17.29,11696663,200727318,0.62,,325035000,2159,,,1
2026-05-25,00995A,主動中信台灣卓越,twse,17.80,18.19,17.75,18.11,9538795,172344518,0.82,,325035000,2326,,,1
2026-05-26,00995A,主動中信台灣卓越,twse,18.18,18.28,17.86,18.14,6493236,117632793,0.03,,325035000,1849,,,1
2026-05-27,00995A,主動中信台灣卓越,twse,18.55,18.80,18.17,18.31,9205206,170689934,0.17,,325035000,1969,,,1
2026-05-28,00995A,主動中信台灣卓越,twse,18.36,18.54,17.53,17.67,16533177,297595239,-0.64,,325035000,3436,,,1
2026-05-29,00995A,主動中信台灣卓越,twse,18.14,18.25,18.00,18.15,7050966,127859319,0.48,,325035000,1469,,,1
2026-06-01,00995A,主動中信台灣卓越,twse,18.21,18.45,18.19,18.26,6744755,123631585,0.11,,325035000,1629,,,1
2026-06-02,00995A,主動中信台灣卓越,twse,18.27,18.28,17.55,17.88,8971573,160273758,-0.38,,325035000,3105,,,1
2026-06-03,00995A,主動中信台灣卓越,twse,18.10,18.38,18.10,18.21,7370157,134682442,0.33,,323035000,1617,,,1
2026-06-04,00995A,主動中信台灣卓越,twse,17.94,18.15,17.86,17.97,6532471,117711146,-0.24,,323035000,1464,,,1
2026-06-05,00995A,主動中信台灣卓越,twse,17.88,17.88,17.00,17.62,7262667,127065380,-0.35,,322535000,2303,,,1
2026-06-08,00995A,主動中信台灣卓越,twse,16.04,17.11,16.00,17.09,8468641,141203346,-0.53,,321535000,2659,,,1
2026-06-09,00995A,主動中信台灣卓越,twse,17.52,17.88,17.25,17.80,11968930,210554018,0.71,,321535000,1618,,,1
2026-06-10,00995A,主動中信台灣卓越,twse,17.77,17.97,17.01,17.03,9901885,173158133,-0.77,,321035000,2282,,,1
2026-06-11,00995A,主動中信台灣卓越,twse,17.03,17.27,16.28,16.95,9962346,167064224,-0.08,,321035000,1940,,,1
2026-06-12,00995A,主動中信台灣卓越,twse,17.50,17.90,17.28,17.36,4811175,84191716,0.41,,320535000,1241,,,1
2026-06-15,00995A,主動中信台灣卓越,twse,17.97,18.19,17.85,17.87,5171318,92707485,0.51,,320035000,1288,,,1
2026-06-16,00995A,主動中信台灣卓越,twse,18.07,18.21,17.93,17.96,6849467,123793679,0.09,,320035000,1296,,,1
2026-06-17,00995A,主動中信台灣卓越,twse,17.83,18.04,17.82,18.03,4747874,85271812,0.07,,315535000,1435,,,1
2026-06-18,00995A,主動中信台灣卓越,twse,18.21,18.45,18.21,18.41,6282015,115209152,0.38,,313535000,1602,,,1
2026-06-22,00995A,主動中信台灣卓越,twse,19.00,19.00,18.69,18.77,4621136,86870718,0.36,,313035000,1580,,,1
2026-06-23,00995A,主動中信台灣卓越,twse,18.85,18.88,18.24,18.32,5657186,104450745,-0.45,,311535000,2658,,,1
2026-06-24,00995A,主動中信台灣卓越,twse,17.92,18.18,17.68,18.04,9332031,167187495,-0.28,,311535000,2278,,,1
2026-06-25,00995A,主動中信台灣卓越,twse,18.25,18.39,18.01,18.18,7800417,142034488,0.14,,310035000,1024,,,1
2026-06-26,00995A,主動中信台灣卓越,twse,17.80,18.08,17.20,17.21,8240816,144906906,-0.97,,305035000,2819,,,1
2026-06-29,00995A,主動中信台灣卓越,twse,17.21,17.58,17.08,17.32,3832180,66378779,0.11,,305035000,1410,,,1
2026-06-30,00995A,主動中信台灣卓越,twse,17.67,18.13,17.67,18.07,5239304,94294499,0.75,,305035000,1206,,,1
2026-07-01,00995A,主動中信台灣卓越,twse,18.48,18.65,18.26,18.47,8977103,166221455,0.4,,303035000,1586,,,1
2026-07-02,00995A,主動中信台灣卓越,twse,18.14,18.55,18.00,18.52,5189970,95109804,0.05,,297535000,1246,,,1
2026-07-03,00995A,主動中信台灣卓越,twse,18.08,18.74,18.05,18.68,4017362,74270976,0.16,,297535000,1199,,,1
2026-07-06,00995A,主動中信台灣卓越,twse,18.82,18.82,17.96,18.10,6495227,118424080,-0.58,,297535000,2311,,,1
2026-07-07,00995A,主動中信台灣卓越,twse,18.10,18.10,17.13,17.17,10562580,184657684,-0.93,,297535000,2691,,,1
2026-07-08,00995A,主動中信台灣卓越,twse,17.24,17.37,16.88,17.11,5974723,102103745,-0.06,,297535000,1551,,,1
2026-07-09,00995A,主動中信台灣卓越,twse,17.28,17.69,17.20,17.30,4905622,85622562,0.19,,297535000,866,,,1
2026-07-13,00995A,主動中信台灣卓越,twse,17.64,17.68,16.92,17.04,2744154,47354294,-0.26,,296535000,1200,,,1
2026-07-14,00995A,主動中信台灣卓越,twse,16.89,17.00,15.87,16.40,11510878,188207965,-0.64,,296535000,2772,,,1
2026-07-15,00995A,主動中信台灣卓越,twse,16.74,17.12,16.60,17.07,4884465,83102862,0.67,,296535000,914,,,1
2026-07-16,00995A,主動中信台灣卓越,twse,16.83,16.94,16.53,16.77,3796161,63412992,-0.3,,296535000,1047,,,1
2026-07-17,00995A,主動中信台灣卓越,twse,16.25,16.25,15.39,15.39,10248775,160692856,-1.38,,297035000,3012,,,1
2026-07-20,00995A,主動中信台灣卓越,twse,15.40,15.42,14.68,15.08,8783524,132026450,-0.31,,300035000,1591,,,1
2026-07-21,00995A,主動中信台灣卓越,twse,15.37,16.09,15.37,16.08,3793758,60030738,1.0,,300035000,951,,,1
2026-07-22,00995A,主動中信台灣卓越,twse,16.63,16.75,16.52,16.58,3947792,65771577,0.5,,299035000,844,,,1
2026-07-23,00995A,主動中信台灣卓越,twse,16.91,16.91,16.53,16.66,2614146,43667253,0.08,,299035000,715,,,1
2026-07-24,00995A,主動中信台灣卓越,twse,16.46,16.52,15.92,15.96,3428731,55309273,-0.7,,299035000,1141,,,1
2026-07-27,00995A,主動中信台灣卓越,twse,15.99,15.99,15.50,15.93,4403156,69236056,-0.03,,299035000,1112,,,1
2026-07-28,00995A,主動中信台灣卓越,twse,15.30,15.30,14.73,14.73,7090229,106319776,-1.2,,299035000,2163,,,1
2026-07-29,00995A,主動中信台灣卓越,twse,14.73,14.80,13.46,13.74,25984695,358255909,-0.99,,299035000,3052,,,1
2026-07-30,00995A,主動中信台灣卓越,twse,13.38,14.52,13.38,13.77,11907735,165963952,0.03,,298535000,1273,,,1
2026-07-31,00995A,主動中信台灣卓越,twse,14.94,15.14,14.86,15.12,25011145,377807107,1.35,,322035000,1216,,,1
2026-08-03,00995A,主動中信台灣卓越,twse,15.13,15.85,15.13,15.79,12151002,189842521,0.67,,322035000,1108,,,1
2026-08-04,00995A,主動中信台灣卓越,twse,15.90,16.23,15.70,16.02,3844798,61373254,0.23,,303535000,852,,,1
2026-08-05,00995A,主動中信台灣卓越,twse,16.68,16.81,16.48,16.62,4796015,79828288,0.6,,303535000,975,,,1
2026-08-06,00995A,主動中信台灣卓越,twse,16.46,16.84,16.22,16.84,3707578,61543218,0.22,,301535000,829,,,1
2026-08-07,00995A,主動中信台灣卓越,twse,16.89,16.89,16.27,16.39,3624033,59809427,-0.45,,301535000,1142,,,1
2026-08-10,00995A,主動中信台灣卓越,twse,16.66,16.83,16.48,16.70,2694426,44977957,0.31,,301535000,923,,,1
2026-08-11,00995A,主動中信台灣卓越,twse,16.54,16.70,16.35,16.67,2035489,33669328,-0.03,,300535000,635,,,1
2026-08-12,00995A,主動中信台灣卓越,twse,16.79,17.09,16.79,17.06,4720601,80127677,0.39,,300035000,1238,,,1
2026-08-13,00995A,主動中信台灣卓越,twse,17.43,17.53,17.23,17.34,4326063,75363908,0.28,,298535000,1040,,,1
2026-08-14,00995A,主動中信台灣卓越,twse,17.53,17.77,17.49,17.57,5825446,102631325,0.23,,294035000,1309,,,1
2026-08-17,00995A,主動中信台灣卓越,twse,17.61,17.77,17.45,17.66,3136818,55417674,0.09,,293035000,972,,,1
2026-08-18,00995A,主動中信台灣卓越,twse,17.68,17.73,17.14,17.22,3210227,55708155,-0.44,,292035000,1146,,,1
2026-08-19,00995A,主動中信台灣卓越,twse,16.60,17.15,16.60,16.89,4132474,69865054,-0.33,,291035000,1128,,,1
2026-08-20,00995A,主動中信台灣卓越,twse,17.11,17.17,16.67,17.01,2283445,38499156,0.12,,291035000,716,,,1
2026-08-21,00995A,主動中信台灣卓越,twse,16.89,16.92,16.60,16.67,2546602,42573020,-0.34,,290535000,742,,,1
2026-08-24,00995A,主動中信台灣卓越,twse,16.72,16.81,16.48,16.49,1263037,21016734,-0.18,,290535000,656,,,1
2026-08-25,00995A,主動中信台灣卓越,twse,16.41,16.69,16.07,16.69,2169903,35328681,0.2,,290535000,871,,,1
2026-08-26,00995A,主動中信台灣卓越,twse,16.61,17.06,16.58,17.03,2253921,37911897,0.34,,283535000,745,,,1
2026-08-27,00995A,主動中信台灣卓越,twse,17.22,17.31,17.05,17.13,3018516,51976409,0.1,,281035000,722,,,1
2026-08-28,00995A,主動中信台灣卓越,twse,17.29,17.51,17.28,17.45,4339822,75690142,0.32,,280535000,1042,,,1
2026-08-31,00995A,主動中信台灣卓越,twse,17.08,17.18,16.83,17.13,3165717,53730654,-0.32,,273035000,1059,,,1
2026-09-01,00995A,主動中信台灣卓越,twse,17.30,17.87,17.30,17.77,6328896,111723807,0.64,,273035000,1405,,,1
2026-09-02,00995A,主動中信台灣卓越,twse,17.76,17.76,17.33,17.34,2747411,48045967,-0.43,,273035000,884,,,1
2026-09-03,00995A,主動中信台灣卓越,twse,17.45,17.52,16.95,17.00,4125855,71206294,-0.34,,273035000,966,,,1
2026-09-04,00995A,主動中信台灣卓越,twse,17.37,17.37,16.96,17.25,3506619,60377569,0.25,,273035000,638,,,1
2026-09-07,00995A,主動中信台灣卓越,twse,17.53,17.73,17.50,17.62,3694983,65018222,0.37,,273035000,944,,,1
2026-09-08,00995A,主動中信台灣卓越,twse,17.62,17.65,17.27,17.41,3073089,53750092,-0.21,,273035000,731,,,1
2026-09-09,00995A,主動中信台灣卓越,twse,17.55,17.80,17.38,17.42,3585663,63074413,0.01,,273035000,750,,,1
2026-09-10,00995A,主動中信台灣卓越,twse,17.27,17.39,17.16,17.38,3361533,58138416,-0.04,,273035000,840,,,1
2026-09-11,00995A,主動中信台灣卓越,twse,17.02,17.06,16.86,17.06,3641866,61833827,-0.32,,273035000,1148,,,1
