date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2022-12-05,02001S,策元大加權策略N,twse,5.01,5.03,4.99,5.01,257000,1287450,0.01,,,120,
2022-12-06,02001S,策元大加權策略N,twse,5.00,5.00,4.94,4.94,142000,707290,-0.07,,,89,
2022-12-07,02001S,策元大加權策略N,twse,4.99,4.99,4.91,4.92,214000,1055010,-0.02,,,88,
2022-12-08,02001S,策元大加權策略N,twse,4.92,4.92,4.86,4.89,178000,869950,-0.03,,,86,
2022-12-09,02001S,策元大加權策略N,twse,4.91,4.95,4.91,4.93,146000,720360,0.04,,,95,
2022-12-12,02001S,策元大加權策略N,twse,4.96,4.96,4.88,4.91,144000,706200,-0.02,,,85,
2022-12-13,02001S,策元大加權策略N,twse,4.92,4.92,4.87,4.87,124000,607020,-0.04,,,77,
2022-12-14,02001S,策元大加權策略N,twse,4.88,4.95,4.88,4.95,174000,858860,0.08,,,85,
2022-12-15,02001S,策元大加權策略N,twse,4.94,4.97,4.93,4.96,152000,752410,0.01,,,68,
2022-12-16,02001S,策元大加權策略N,twse,4.96,4.96,4.87,4.89,270000,1319700,-0.07,,,110,
2022-12-19,02001S,策元大加權策略N,twse,4.86,4.88,4.85,4.85,39000,189550,-0.04,,,26,
2022-12-20,02001S,策元大加權策略N,twse,4.85,4.85,4.77,4.77,74000,356820,-0.08,,,34,
2022-12-21,02001S,策元大加權策略N,twse,4.80,4.81,4.78,4.78,42000,201400,0.01,,,15,
2022-12-22,02001S,策元大加權策略N,twse,4.83,4.85,4.83,4.85,22000,106580,0.07,,,11,
2022-12-23,02001S,策元大加權策略N,twse,4.80,4.80,4.80,4.80,8000,38400,-0.05,down,,5,
2022-12-26,02001S,策元大加權策略N,twse,4.81,4.81,4.81,4.81,1000,4810,0.01,up,,1,
2022-12-27,02001S,策元大加權策略N,twse,4.82,4.85,4.82,4.83,16000,77330,0.02,,,7,
2022-12-28,02001S,策元大加權策略N,twse,4.80,4.80,4.76,4.76,53000,253040,-0.07,,,22,
2022-12-29,02001S,策元大加權策略N,twse,4.74,4.76,4.72,4.76,28000,132640,0.0,,,12,
2022-12-30,02001S,策元大加權策略N,twse,4.78,4.79,4.78,4.79,7000,33490,0.03,,,5,
2023-01-03,02001S,策元大加權策略N,twse,4.75,4.79,4.73,4.79,15000,71210,0.0,,,7,
2023-01-04,02001S,策元大加權策略N,twse,4.79,4.80,4.79,4.80,30000,143930,0.01,,,10,
2023-01-05,02001S,策元大加權策略N,twse,4.83,4.83,4.82,4.82,12000,57860,0.02,,,6,
2023-01-06,02001S,策元大加權策略N,twse,4.83,4.84,4.83,4.84,11000,53190,0.02,,,5,
2023-01-09,02001S,策元大加權策略N,twse,4.88,4.93,4.88,4.93,107000,525830,0.09,,,45,
2023-01-10,02001S,策元大加權策略N,twse,4.93,4.96,4.93,4.95,62000,306770,0.02,,,25,
2023-01-11,02001S,策元大加權策略N,twse,4.96,4.96,4.94,4.94,22000,108940,-0.01,,,9,
2023-01-12,02001S,策元大加權策略N,twse,4.96,4.96,4.94,4.94,137000,677040,0.0,,,13,
2023-01-13,02001S,策元大加權策略N,twse,4.98,4.99,4.97,4.97,239000,1192230,0.03,,,16,
2023-01-16,02001S,策元大加權策略N,twse,4.99,5.00,4.99,5.00,98000,489770,0.03,,,24,
2023-01-17,02001S,策元大加權策略N,twse,5.00,5.01,5.00,5.00,19000,95040,0.0,,,14,
2023-01-30,02001S,策元大加權策略N,twse,5.02,5.07,5.02,5.07,118000,596740,0.07,,,27,
2023-01-31,02001S,策元大加權策略N,twse,5.06,5.06,5.01,5.02,13000,65250,-0.05,,,5,
2023-02-01,02001S,策元大加權策略N,twse,5.05,5.05,5.04,5.04,7000,35340,0.02,,,2,
2023-02-02,02001S,策元大加權策略N,twse,5.08,5.11,5.08,5.11,18000,91810,0.07,,,10,
2023-02-03,02001S,策元大加權策略N,twse,5.10,5.11,5.10,5.11,6000,30650,0.0,,,4,
2023-02-06,02001S,策元大加權策略N,twse,5.07,5.07,5.06,5.06,4000,20270,-0.05,,,3,
2023-02-07,02001S,策元大加權策略N,twse,5.05,5.06,5.04,5.06,7000,35360,0.0,,,7,
2023-02-08,02001S,策元大加權策略N,twse,5.10,5.12,5.10,5.12,5000,25560,0.06,,,5,
2023-02-09,02001S,策元大加權策略N,twse,5.11,5.12,5.11,5.12,41000,209860,0.0,,,5,
2023-02-10,02001S,策元大加權策略N,twse,5.12,5.12,5.11,5.12,5000,25570,0.0,,,5,
2023-02-14,02001S,策元大加權策略N,twse,5.13,5.14,5.13,5.14,10000,51340,0.0,,,6,
2023-02-15,02001S,策元大加權策略N,twse,5.12,5.12,5.09,5.09,8000,40790,-0.05,,,3,
2023-02-16,02001S,策元大加權策略N,twse,5.10,5.11,5.10,5.11,6000,30650,0.02,,,2,
2023-02-20,02001S,策元大加權策略N,twse,5.09,5.11,5.09,5.10,5000,25510,0.0,,,5,
2023-02-21,02001S,策元大加權策略N,twse,5.10,5.11,5.10,5.11,13000,66320,0.01,,,10,
2023-02-22,02001S,策元大加權策略N,twse,5.05,5.07,5.05,5.06,18000,91060,-0.05,,,8,
2023-02-23,02001S,策元大加權策略N,twse,5.10,5.11,5.10,5.11,2000,10210,0.05,,,2,
2023-02-24,02001S,策元大加權策略N,twse,5.12,5.12,5.11,5.11,6000,30680,0.0,,,5,
