date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2017-02-10,2887E,台新新光戊特一,twse,51.50,51.90,51.50,51.70,6067870,313816217,0.0,,,1741,
2017-02-13,2887E,台新新光戊特一,twse,51.80,51.90,51.70,51.80,2617236,135581878,0.1,,,896,
2017-02-14,2887E,台新新光戊特一,twse,51.80,51.90,51.70,51.70,1488227,77035604,-0.1,,,486,
2017-02-15,2887E,台新新光戊特一,twse,51.70,51.80,51.60,51.60,1851604,95716898,-0.1,,,407,
2017-02-16,2887E,台新新光戊特一,twse,51.70,51.70,51.60,51.60,822240,42469368,0.0,,,369,
2017-02-17,2887E,台新新光戊特一,twse,51.70,51.80,51.70,51.70,980015,50727762,0.1,,,274,
2017-02-18,2887E,台新新光戊特一,twse,51.70,52.00,51.70,51.90,521764,27065467,0.2,,,225,
2017-02-20,2887E,台新新光戊特一,twse,51.90,52.00,51.80,51.90,472454,24526752,0.0,,,171,
2017-02-21,2887E,台新新光戊特一,twse,51.90,52.20,51.90,52.20,696028,36216156,0.3,,,280,
2017-02-22,2887E,台新新光戊特一,twse,52.20,52.30,52.10,52.10,1045548,54535527,-0.1,,,244,
2017-02-23,2887E,台新新光戊特一,twse,52.10,52.30,52.10,52.30,526478,27511484,0.2,,,177,
2017-02-24,2887E,台新新光戊特一,twse,52.30,52.40,52.20,52.40,284837,14905467,0.1,,,99,
2017-03-01,2887E,台新新光戊特一,twse,52.40,52.60,52.40,52.60,740630,38871705,0.2,,,230,
2017-03-02,2887E,台新新光戊特一,twse,52.70,53.00,52.70,53.00,927767,49063657,0.4,,,280,
2017-03-03,2887E,台新新光戊特一,twse,53.00,53.30,53.00,53.20,4816176,246751433,0.2,,,223,
2017-03-06,2887E,台新新光戊特一,twse,53.30,53.30,53.10,53.20,424395,22580735,0.0,,,158,
2017-03-07,2887E,台新新光戊特一,twse,53.20,53.20,53.10,53.10,723383,38432281,-0.1,,,105,
2017-03-08,2887E,台新新光戊特一,twse,53.10,53.10,52.60,52.80,1355031,71620928,-0.3,,,200,
2017-03-09,2887E,台新新光戊特一,twse,52.80,52.80,52.70,52.70,170902,9018032,-0.1,,,63,
