date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2019-01-08,2887F,台新新光戊特二,twse,50.90,50.90,50.30,50.50,1670312,84380163,0.0,,,867,
2019-01-09,2887F,台新新光戊特二,twse,50.50,50.50,50.40,50.40,712323,35910299,-0.1,,,425,
2019-01-10,2887F,台新新光戊特二,twse,50.50,50.50,50.40,50.40,729809,36808739,0.0,,,259,
2019-01-11,2887F,台新新光戊特二,twse,50.50,50.50,50.40,50.40,789784,39811684,0.0,,,260,
2019-01-14,2887F,台新新光戊特二,twse,50.40,50.50,50.40,50.50,9117376,458677180,0.1,,,234,
2019-01-15,2887F,台新新光戊特二,twse,50.40,50.60,50.40,50.50,6213807,312638231,0.0,,,168,
2019-01-16,2887F,台新新光戊特二,twse,50.50,50.60,50.50,50.60,614412,31086340,0.1,,,148,
2019-01-17,2887F,台新新光戊特二,twse,50.60,50.70,50.60,50.60,364718,18476996,0.0,,,115,
2019-01-18,2887F,台新新光戊特二,twse,50.60,50.70,50.60,50.70,614023,31118859,0.1,,,92,
2019-01-21,2887F,台新新光戊特二,twse,50.70,50.80,50.70,50.70,364468,18484714,0.0,,,147,
2019-01-22,2887F,台新新光戊特二,twse,50.70,50.90,50.70,50.90,605806,30797614,0.2,,,143,
2019-01-23,2887F,台新新光戊特二,twse,50.90,51.20,50.90,51.10,1077615,54995120,0.2,,,238,
2019-01-24,2887F,台新新光戊特二,twse,51.10,51.20,51.10,51.20,166066,8489676,0.1,,,65,
2019-01-25,2887F,台新新光戊特二,twse,51.20,51.20,51.10,51.20,147994,7576487,0.0,,,78,
2019-01-28,2887F,台新新光戊特二,twse,51.20,51.20,51.10,51.20,162884,8338384,0.0,,,57,
2019-01-29,2887F,台新新光戊特二,twse,51.20,51.30,51.20,51.20,198275,10152174,0.0,,,75,
2019-01-30,2887F,台新新光戊特二,twse,51.20,51.30,51.20,51.20,411774,21084321,0.0,,,78,
2019-02-11,2887F,台新新光戊特二,twse,51.20,51.30,51.20,51.30,347368,17808772,0.1,,,119,
2019-02-12,2887F,台新新光戊特二,twse,51.20,51.40,51.20,51.30,197560,10149776,0.0,,,85,
2019-02-13,2887F,台新新光戊特二,twse,51.40,51.40,51.30,51.40,165774,8519678,0.1,,,84,
2019-02-14,2887F,台新新光戊特二,twse,51.50,51.50,51.40,51.40,85364,4387902,0.0,,,49,
2019-02-15,2887F,台新新光戊特二,twse,51.40,51.60,51.30,51.60,267362,13761941,0.2,,,122,
2019-02-18,2887F,台新新光戊特二,twse,51.50,51.60,51.50,51.50,43798,2256267,-0.1,,,42,
2019-02-19,2887F,台新新光戊特二,twse,51.50,51.70,51.50,51.60,334930,17266584,0.1,,,106,
2019-02-20,2887F,台新新光戊特二,twse,51.60,51.70,51.50,51.70,309753,15983327,0.1,,,44,
2019-02-21,2887F,台新新光戊特二,twse,51.70,51.70,51.60,51.70,109286,5648383,0.0,,,48,
2019-02-22,2887F,台新新光戊特二,twse,51.70,51.80,51.60,51.80,51629,2667914,0.1,,,45,
2019-02-25,2887F,台新新光戊特二,twse,51.80,51.80,51.70,51.80,92589,4787546,0.0,,,57,
2019-02-26,2887F,台新新光戊特二,twse,51.70,51.80,51.70,51.80,40525,2095188,0.0,,,28,
2019-02-27,2887F,台新新光戊特二,twse,51.70,51.70,51.70,51.70,33058,1708891,-0.1,down,,32,
2019-03-04,2887F,台新新光戊特二,twse,51.70,51.80,51.60,51.80,367340,18991372,0.1,,,96,
2019-03-05,2887F,台新新光戊特二,twse,51.70,51.80,51.70,51.80,330767,17130376,0.0,,,102,
2019-03-06,2887F,台新新光戊特二,twse,51.70,51.80,51.70,51.80,332586,17214837,0.0,,,70,
2019-03-07,2887F,台新新光戊特二,twse,51.70,51.90,51.70,51.70,252692,13084273,-0.1,,,76,
2019-03-08,2887F,台新新光戊特二,twse,51.70,51.80,51.70,51.70,131018,6776326,0.0,,,37,
2019-03-11,2887F,台新新光戊特二,twse,51.70,51.80,51.70,51.80,40698,2104282,0.1,,,31,
2019-03-12,2887F,台新新光戊特二,twse,51.80,51.80,51.70,51.70,41469,2145197,-0.1,,,37,
2019-03-13,2887F,台新新光戊特二,twse,51.60,51.80,51.60,51.70,126500,6545599,0.0,,,51,
2019-03-14,2887F,台新新光戊特二,twse,51.70,51.80,51.60,51.80,123197,6367659,0.1,,,57,
2019-03-15,2887F,台新新光戊特二,twse,51.70,51.70,51.60,51.70,81372,4199726,-0.1,,,64,
2019-03-18,2887F,台新新光戊特二,twse,51.60,51.60,51.50,51.60,87600,4519852,-0.1,,,63,
2019-03-19,2887F,台新新光戊特二,twse,51.60,51.80,51.60,51.70,166127,8584856,0.1,,,73,
2019-03-20,2887F,台新新光戊特二,twse,51.60,51.70,51.60,51.70,106617,5511035,0.0,,,27,
2019-03-21,2887F,台新新光戊特二,twse,51.70,51.80,51.60,51.70,37665,1946970,0.0,,,42,
2019-03-22,2887F,台新新光戊特二,twse,51.70,51.70,51.60,51.70,27346,1413483,0.0,,,37,
2019-03-25,2887F,台新新光戊特二,twse,51.70,51.80,51.60,51.80,52562,2716752,0.1,,,43,
2019-03-26,2887F,台新新光戊特二,twse,51.70,51.80,51.70,51.80,20375,1053584,0.0,,,22,
2019-03-27,2887F,台新新光戊特二,twse,51.70,51.80,51.70,51.80,32706,1691098,0.0,,,29,
2019-03-28,2887F,台新新光戊特二,twse,51.80,51.80,51.70,51.80,44204,2286845,0.0,,,23,
2019-03-29,2887F,台新新光戊特二,twse,51.70,51.80,51.70,51.80,77068,3984512,0.0,,,40,
