date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price,valid_bar
2025-07-24,2887I,台新新光辛特,twse,9.00,9.00,9.00,9.00,20821646,187394814,0.0,flat,3096420552,4847,,,1
2025-07-25,2887I,台新新光辛特,twse,8.69,8.95,8.69,8.84,433074504,3784294380,-0.16,,3096420552,37488,,,1
2025-07-28,2887I,台新新光辛特,twse,8.88,8.92,8.87,8.90,115294439,1025831929,0.06,,3096420552,11524,,,1
2025-07-29,2887I,台新新光辛特,twse,8.89,8.92,8.88,8.88,105270250,936111575,-0.02,,3096420552,9619,,,1
2025-07-30,2887I,台新新光辛特,twse,8.88,8.90,8.87,8.87,84974695,754600324,-0.01,,3096420552,7191,,,1
2025-07-31,2887I,台新新光辛特,twse,8.88,8.95,8.88,8.93,77418198,690703803,0.06,,3096420552,4185,,,1
2025-08-01,2887I,台新新光辛特,twse,8.94,9.06,8.93,9.02,55529467,499455775,0.09,,3096420552,4197,,,1
2025-08-04,2887I,台新新光辛特,twse,9.05,9.15,9.04,9.12,43588744,396811235,0.1,,3096420552,4817,,,1
2025-08-05,2887I,台新新光辛特,twse,9.16,9.17,9.13,9.13,46176704,422157760,0.01,,3096420552,4925,,,1
2025-08-06,2887I,台新新光辛特,twse,9.15,9.17,9.13,9.16,34777670,318192650,0.03,,3096420552,2822,,,1
2025-08-07,2887I,台新新光辛特,twse,9.15,9.17,9.10,9.10,59852975,546706582,-0.06,,3096420552,4655,,,1
2025-08-08,2887I,台新新光辛特,twse,9.12,9.16,9.12,9.14,22060752,201737450,0.04,,3096420552,4064,,,1
2025-08-11,2887I,台新新光辛特,twse,9.11,9.15,9.11,9.13,41196290,375718639,-0.01,,3096420552,2364,,,1
2025-08-12,2887I,台新新光辛特,twse,9.13,9.15,9.13,9.14,11719752,107108705,0.01,,3096420552,2575,,,1
2025-08-13,2887I,台新新光辛特,twse,9.13,9.15,9.12,9.12,42210388,385296170,-0.02,,3096420552,2945,,,1
2025-08-14,2887I,台新新光辛特,twse,9.13,9.14,9.12,9.13,15110588,137925626,0.01,,3096420552,2104,,,1
2025-08-15,2887I,台新新光辛特,twse,9.13,9.14,9.12,9.13,47103270,430051344,0.0,,3096420552,1536,,,1
2025-08-18,2887I,台新新光辛特,twse,9.13,9.14,9.12,9.14,32653848,298174656,0.01,,3096420552,1844,,,1
2025-08-19,2887I,台新新光辛特,twse,9.14,9.14,9.12,9.14,20127225,183780847,0.0,,3096420552,1430,,,1
2025-08-20,2887I,台新新光辛特,twse,9.13,9.14,9.12,9.12,26969947,246113498,-0.02,,3096420552,1909,,,1
2025-08-21,2887I,台新新光辛特,twse,9.13,9.14,9.12,9.13,4942751,45116760,0.01,,3096420552,1191,,,1
2025-08-22,2887I,台新新光辛特,twse,9.13,9.14,9.12,9.12,13281605,121256650,-0.01,,3096420552,1591,,,1
2025-08-25,2887I,台新新光辛特,twse,9.13,9.14,9.12,9.13,7901385,72092181,0.01,,3096420552,1358,,,1
