date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis,last_price,valid_bar
2015-01-05,5386,青雲,tpex,21.40,21.40,21.40,21.40,3000,64200,0.00,flat,11702206,2,,,1
2015-01-06,5386,青雲,tpex,,,,,0,0,,,11702206,0,無成交,,0
2015-01-07,5386,青雲,tpex,22.00,22.00,21.10,22.00,7000,153100,0.60,,11702206,6,,,1
2015-01-08,5386,青雲,tpex,22.00,22.00,21.70,22.00,5000,109300,0.00,,11702206,4,,,1
2015-01-09,5386,青雲,tpex,21.80,23.50,21.80,23.50,6000,133900,1.50,,11702206,4,,,1
2015-01-12,5386,青雲,tpex,25.10,25.10,25.10,25.10,35000,878500,1.60,up,11702206,27,,,1
2015-01-13,5386,青雲,tpex,26.60,26.85,26.00,26.85,73000,1946700,1.75,,11702206,54,,,1
2015-01-14,5386,青雲,tpex,26.85,27.20,25.55,26.85,36000,938850,0.00,,11702206,30,,,1
2015-01-15,5386,青雲,tpex,26.00,26.90,26.00,26.40,24000,636850,,,11702206,16,,,1
2015-01-16,5386,青雲,tpex,26.40,26.40,25.15,26.30,11000,282850,,,11702206,11,,,1
2015-01-19,5386,青雲,tpex,26.30,26.30,25.35,25.35,5000,128350,,,11702206,5,,,1
2015-01-20,5386,青雲,tpex,24.65,26.40,24.10,26.40,36000,901250,1.05,,11702206,28,,,1
2015-01-21,5386,青雲,tpex,26.20,26.40,26.20,26.40,2000,52600,0.00,,11702206,2,,,1
2015-01-22,5386,青雲,tpex,25.50,26.20,25.25,25.25,5000,127750,,,11702206,5,,,1
2015-01-23,5386,青雲,tpex,25.50,25.50,24.50,24.50,3000,75450,,,11702206,3,,,1
2015-01-26,5386,青雲,tpex,25.20,26.20,25.20,26.20,27000,701300,1.70,,11702206,25,,,1
2015-01-27,5386,青雲,tpex,28.00,28.00,28.00,28.00,49000,1372000,1.80,up,11702206,31,,,1
2015-01-28,5386,青雲,tpex,29.90,29.90,26.20,26.20,94000,2650250,,,11702206,75,,,1
2015-01-29,5386,青雲,tpex,26.20,27.10,25.45,27.10,13000,337600,0.90,,11702206,10,,,1
2015-01-30,5386,青雲,tpex,27.15,28.00,27.10,27.70,6000,164150,0.60,,11702206,6,,,1
2015-02-02,5386,青雲,tpex,26.60,29.50,26.20,29.50,26000,703750,1.80,,11702206,22,,,1
2015-02-03,5386,青雲,tpex,29.50,29.50,28.00,28.40,27000,774500,,,11702206,17,,,1
2015-02-04,5386,青雲,tpex,28.40,29.40,27.40,27.90,38000,1070250,,,11702206,28,,,1
2015-02-05,5386,青雲,tpex,27.15,27.75,27.15,27.75,3000,82050,,,11702206,3,,,1
2015-02-06,5386,青雲,tpex,28.45,28.45,27.75,28.00,10000,278900,0.25,,11702206,9,,,1
2015-02-09,5386,青雲,tpex,27.60,28.45,27.60,28.45,3000,84050,0.45,,11702206,3,,,1
2015-02-10,5386,青雲,tpex,28.30,28.30,28.30,28.30,1000,28300,,flat,11702206,1,,,1
2015-02-11,5386,青雲,tpex,30.25,30.25,30.25,30.25,50000,1512500,1.95,up,11702206,33,,,1
2015-02-12,5386,青雲,tpex,32.35,32.35,32.35,32.35,25000,808750,2.10,up,11702206,12,,,1
2015-02-13,5386,青雲,tpex,34.60,34.60,34.60,34.60,45000,1557000,2.25,up,11702206,14,,,1
2015-02-24,5386,青雲,tpex,37.00,37.00,37.00,37.00,17000,629000,2.40,up,11702206,12,,,1
2015-02-25,5386,青雲,tpex,39.55,39.55,39.55,39.55,22000,870100,2.55,up,11702206,13,,,1
2015-02-26,5386,青雲,tpex,42.30,42.30,42.30,42.30,230000,9729000,2.75,up,11702206,145,,,1
2015-03-02,5386,青雲,tpex,45.00,45.00,40.15,40.90,135000,5639300,,,11702206,100,,,1
2015-03-03,5386,青雲,tpex,42.30,43.75,40.95,41.80,119000,5105150,0.90,,11702206,80,,,1
2015-03-04,5386,青雲,tpex,38.90,38.90,38.90,38.90,29000,1128100,,flat,11702206,25,,,1
2015-03-05,5386,青雲,tpex,36.20,36.20,36.20,36.20,46000,1665200,,flat,11702206,21,,,1
2015-03-06,5386,青雲,tpex,34.00,36.20,33.75,35.75,333000,11419650,,,11702206,191,,,1
2015-03-09,5386,青雲,tpex,34.95,35.10,34.25,34.50,89000,3083450,,,11702206,66,,,1
2015-03-10,5386,青雲,tpex,34.50,35.30,34.10,34.50,76000,2643700,0.00,,11702206,47,,,1
2015-03-11,5386,青雲,tpex,33.90,34.80,33.90,34.50,32000,1100400,0.00,,11702206,23,,,1
2015-03-12,5386,青雲,tpex,34.50,34.80,33.80,34.45,47000,1604850,,,11702206,38,,,1
2015-03-13,5386,青雲,tpex,34.90,34.90,34.00,34.45,28000,962450,0.00,,11702206,25,,,1
2015-03-16,5386,青雲,tpex,34.45,34.45,33.90,33.95,15000,511800,,,11702206,15,,,1
2015-03-17,5386,青雲,tpex,34.05,34.10,31.85,33.90,30000,997250,,,11702206,28,,,1
2015-03-18,5386,青雲,tpex,33.70,33.70,32.35,33.30,25000,825500,,,11702206,21,,,1
2015-03-19,5386,青雲,tpex,33.30,34.25,33.10,33.10,26000,871800,,,11702206,20,,,1
2015-03-20,5386,青雲,tpex,33.45,33.45,32.25,32.70,17000,558850,,,11702206,9,,,1
2015-03-23,5386,青雲,tpex,32.65,33.10,31.50,32.10,49000,1577200,,,11702206,33,,,1
2015-03-24,5386,青雲,tpex,31.60,31.95,31.15,31.15,19000,594050,,,11702206,16,,,1
2015-03-25,5386,青雲,tpex,30.35,30.80,30.00,30.50,21000,634400,,,11702206,19,,,1
2015-03-26,5386,青雲,tpex,31.10,32.60,31.10,32.60,48000,1541850,2.10,,11702206,36,,,1
2015-03-27,5386,青雲,tpex,34.50,34.50,32.20,32.60,94000,3155050,0.00,,11702206,68,,,1
2015-03-30,5386,青雲,tpex,32.20,32.20,30.35,30.50,49000,1507900,,,11702206,40,,,1
2015-03-31,5386,青雲,tpex,30.70,30.70,29.00,30.40,56000,1661750,,,11702206,40,,,1
2015-04-01,5386,青雲,tpex,30.00,30.00,29.30,29.70,11000,327300,,,11702206,11,,,1
2015-04-02,5386,青雲,tpex,30.00,30.90,30.00,30.90,12000,366300,1.20,,11702206,9,,,1
2015-04-07,5386,青雲,tpex,31.40,32.40,30.65,32.00,14000,445050,1.10,,11702206,11,,,1
