date,stock_id,name,market,open,high,low,close,volume,amount,change,limit,shares,transactions,price_basis
2015-01-05,8427,基勝-KY,twse,45.90,45.90,44.85,45.80,43000,1953150,-0.1,,,36,
2015-01-06,8427,基勝-KY,twse,45.80,45.80,45.15,45.40,22300,1012129,-0.4,,,20,
2015-01-07,8427,基勝-KY,twse,45.40,45.70,45.20,45.70,50500,2293900,0.3,,,17,
2015-01-08,8427,基勝-KY,twse,45.80,46.40,45.55,46.30,193000,8858000,0.6,,,69,
2015-01-09,8427,基勝-KY,twse,46.30,46.50,45.65,46.25,64000,2956700,-0.05,,,44,
2015-01-12,8427,基勝-KY,twse,46.25,46.35,45.55,46.10,31000,1426900,-0.15,,,27,
2015-01-13,8427,基勝-KY,twse,46.00,46.00,45.50,45.50,48000,2195950,-0.6,,,27,
2015-01-14,8427,基勝-KY,twse,45.50,45.90,45.20,45.75,46000,2096450,0.25,,,36,
2015-01-15,8427,基勝-KY,twse,45.75,45.75,45.40,45.75,17000,777150,0.0,,,12,
2015-01-16,8427,基勝-KY,twse,45.75,45.75,44.55,45.40,57000,2576050,-0.35,,,51,
2015-01-19,8427,基勝-KY,twse,45.30,45.30,44.50,45.20,18000,811600,-0.2,,,8,
2015-01-20,8427,基勝-KY,twse,45.40,45.40,44.20,45.30,28400,1280650,0.1,,,16,
2015-01-21,8427,基勝-KY,twse,45.50,46.20,44.50,46.15,170000,7719100,0.85,,,73,
2015-01-22,8427,基勝-KY,twse,46.60,46.80,46.30,46.50,113000,5264700,0.35,,,69,
2015-01-23,8427,基勝-KY,twse,46.50,48.50,46.50,48.50,192000,9110800,2.0,,,81,
2015-01-26,8427,基勝-KY,twse,48.80,49.45,48.00,48.95,303250,14812837,0.45,,,123,
2015-01-27,8427,基勝-KY,twse,49.05,51.00,48.55,50.90,188200,9364730,1.95,,,89,
2015-01-28,8427,基勝-KY,twse,50.90,50.90,49.80,50.00,101000,5108950,-0.9,,,54,
2015-01-29,8427,基勝-KY,twse,49.80,50.40,49.50,50.00,75200,3753440,0.0,,,49,
2015-01-30,8427,基勝-KY,twse,50.00,50.30,48.55,49.50,192000,9457300,-0.5,,,85,
2015-02-02,8427,基勝-KY,twse,49.30,49.90,49.00,49.25,75000,3707350,-0.25,,,60,
2015-02-03,8427,基勝-KY,twse,49.60,51.40,49.60,50.20,275500,13891899,0.95,,,134,
2015-02-04,8427,基勝-KY,twse,50.50,51.30,50.30,51.00,108000,5483200,0.8,,,54,
2015-02-05,8427,基勝-KY,twse,50.90,51.40,50.60,51.10,52000,2654900,0.1,,,34,
2015-02-06,8427,基勝-KY,twse,51.10,52.00,50.30,51.10,238000,12153800,0.0,,,92,
2015-02-09,8427,基勝-KY,twse,52.00,53.30,52.00,52.50,355000,18660600,1.4,,,203,
2015-02-10,8427,基勝-KY,twse,52.60,52.60,50.40,50.70,120120,6211272,-1.8,,,84,
2015-02-11,8427,基勝-KY,twse,50.90,51.50,50.30,50.90,173000,8779500,0.2,,,78,
2015-02-12,8427,基勝-KY,twse,50.90,51.30,50.50,51.00,145000,7370200,0.1,,,54,
2015-02-13,8427,基勝-KY,twse,51.10,51.20,50.60,51.10,90300,4609129,0.1,,,55,
2015-02-24,8427,基勝-KY,twse,51.20,51.80,51.00,51.70,127000,6545500,0.6,,,57,
2015-02-25,8427,基勝-KY,twse,51.90,52.10,51.10,51.70,112001,5781351,0.0,,,42,
2015-02-26,8427,基勝-KY,twse,51.70,51.80,51.00,51.70,66089,3406474,0.0,,,33,
2015-03-02,8427,基勝-KY,twse,51.70,51.80,50.90,50.90,80001,4110650,-0.8,,,58,
2015-03-03,8427,基勝-KY,twse,50.90,51.90,50.90,51.30,112000,5768600,0.4,,,58,
2015-03-04,8427,基勝-KY,twse,51.20,51.20,50.30,50.70,34000,1727400,-0.6,,,20,
2015-03-05,8427,基勝-KY,twse,50.70,50.90,50.30,50.60,73400,3725520,-0.1,,,32,
2015-03-06,8427,基勝-KY,twse,50.60,51.40,50.30,51.40,103000,5235200,0.8,,,47,
2015-03-09,8427,基勝-KY,twse,52.20,54.10,52.10,53.40,721000,38387900,2.0,,,411,
2015-03-10,8427,基勝-KY,twse,53.40,53.60,51.10,51.80,249000,13059600,-1.6,,,136,
2015-03-11,8427,基勝-KY,twse,51.00,51.40,50.10,50.50,125000,6350200,-1.3,,,65,
2015-03-12,8427,基勝-KY,twse,50.50,51.40,50.50,50.80,134000,6811100,0.3,,,67,
2015-03-13,8427,基勝-KY,twse,50.80,51.50,50.10,50.80,146000,7407200,0.0,,,84,
2015-03-16,8427,基勝-KY,twse,50.90,51.00,50.00,50.40,115000,5805500,-0.4,,,48,
2015-03-17,8427,基勝-KY,twse,50.40,50.70,50.30,50.60,129001,6529750,0.2,,,63,
2015-03-18,8427,基勝-KY,twse,50.60,51.50,50.30,51.50,2945000,151599300,0.9,,,64,
2015-03-19,8427,基勝-KY,twse,51.80,53.50,51.60,52.70,374052,19597730,1.2,,,195,
2015-03-20,8427,基勝-KY,twse,52.70,53.00,51.70,52.40,161500,8456050,-0.3,,,80,
2015-03-23,8427,基勝-KY,twse,52.40,53.50,51.90,52.50,171010,8992424,0.1,,,107,
2015-03-24,8427,基勝-KY,twse,52.50,52.90,51.40,52.50,158500,8278450,0.0,,,102,
2015-03-25,8427,基勝-KY,twse,52.50,53.20,51.70,52.40,147000,7733800,-0.1,,,90,
2015-03-26,8427,基勝-KY,twse,52.30,52.90,51.90,52.40,121006,6346612,0.0,,,71,
2015-03-27,8427,基勝-KY,twse,52.50,52.70,51.90,52.40,154000,8048900,0.0,,,111,
2015-03-30,8427,基勝-KY,twse,52.50,52.70,51.80,51.90,135500,7060500,-0.5,,,90,
2015-03-31,8427,基勝-KY,twse,52.00,52.10,51.40,51.40,116200,6021620,-0.5,,,79,
2015-04-01,8427,基勝-KY,twse,51.50,51.90,51.30,51.90,156000,8036100,0.5,,,80,
2015-04-02,8427,基勝-KY,twse,52.00,52.30,51.80,52.00,185200,9651740,0.1,,,113,
2015-04-07,8427,基勝-KY,twse,51.80,52.00,50.70,51.80,247000,12707000,-0.2,,,159,
2015-04-08,8427,基勝-KY,twse,52.00,52.30,51.40,51.70,276000,14322300,-0.1,,,150,
2015-04-09,8427,基勝-KY,twse,55.30,55.30,55.30,55.30,539600,29839880,3.6,up,,346,
2015-04-10,8427,基勝-KY,twse,59.10,59.10,58.60,59.10,2694509,159224279,3.8,,,1150,
2015-04-13,8427,基勝-KY,twse,63.20,63.20,61.40,63.00,2206265,138847595,3.9,,,1126,
2015-04-14,8427,基勝-KY,twse,63.00,65.00,61.50,63.70,1415236,89251336,0.7,,,840,
2015-04-15,8427,基勝-KY,twse,63.70,63.70,61.60,62.00,783450,48902064,-1.7,,,547,
2015-04-16,8427,基勝-KY,twse,63.00,63.90,61.00,61.40,1059230,66177745,-0.6,,,681,
2015-04-17,8427,基勝-KY,twse,61.40,61.90,59.50,60.10,633190,38191600,-1.3,,,377,
2015-04-20,8427,基勝-KY,twse,60.50,62.00,59.20,60.00,504005,30646700,-0.1,,,370,
2015-04-21,8427,基勝-KY,twse,61.00,61.00,55.80,56.90,819307,47070465,-3.1,,,484,
2015-04-22,8427,基勝-KY,twse,57.50,58.90,57.00,57.80,225019,13034102,0.9,,,183,
2015-04-23,8427,基勝-KY,twse,58.50,59.90,57.10,58.60,366001,21302858,0.8,,,265,
2015-04-24,8427,基勝-KY,twse,59.30,59.60,57.70,58.00,207000,12162500,-0.6,,,166,
2015-04-27,8427,基勝-KY,twse,58.50,59.00,57.60,58.60,239731,14007570,0.6,,,175,
2015-04-28,8427,基勝-KY,twse,62.70,62.70,59.50,60.50,2699068,168349340,1.9,,,1027,
2015-04-29,8427,基勝-KY,twse,59.90,60.00,56.30,57.60,939002,53689616,-2.9,,,633,
2015-04-30,8427,基勝-KY,twse,57.00,57.00,55.10,55.80,333602,18592890,-1.8,,,237,
2015-05-04,8427,基勝-KY,twse,56.90,56.90,54.00,54.00,373402,20440508,-1.8,,,223,
2015-05-05,8427,基勝-KY,twse,54.20,54.30,51.30,51.80,489227,25616358,-2.2,,,295,
2015-05-06,8427,基勝-KY,twse,50.60,51.30,49.25,51.30,449225,22510191,-0.5,,,334,
2015-05-07,8427,基勝-KY,twse,50.30,51.30,49.85,49.95,246227,12426537,-1.35,,,179,
2015-05-08,8427,基勝-KY,twse,50.00,50.20,46.55,46.85,525195,25341504,-3.1,,,330,
2015-05-11,8427,基勝-KY,twse,49.45,50.10,47.65,50.10,432600,21223510,3.25,,,247,
2015-05-12,8427,基勝-KY,twse,49.80,49.80,48.70,49.20,235405,11607047,-0.9,,,168,
2015-05-13,8427,基勝-KY,twse,48.95,51.40,48.45,50.40,147000,7375450,1.2,,,110,
2015-05-14,8427,基勝-KY,twse,50.00,51.20,50.00,50.10,64073,3233492,-0.3,,,52,
2015-05-15,8427,基勝-KY,twse,50.20,50.20,49.00,50.00,76003,3784651,-0.1,,,57,
2015-05-18,8427,基勝-KY,twse,50.30,50.60,49.55,50.30,105200,5265960,0.3,,,66,
2015-05-19,8427,基勝-KY,twse,50.30,52.00,50.30,50.80,7084627,359915151,0.5,,,83,
2015-05-20,8427,基勝-KY,twse,50.80,52.20,50.70,50.70,118000,6073700,-0.1,,,93,
2015-05-21,8427,基勝-KY,twse,50.50,50.70,50.00,50.00,106259,5342405,-0.7,,,75,
2015-05-22,8427,基勝-KY,twse,50.60,50.60,49.60,49.65,111000,5532250,-0.35,,,85,
2015-05-25,8427,基勝-KY,twse,49.65,49.90,48.00,48.00,194000,9460900,-1.65,,,110,
2015-05-26,8427,基勝-KY,twse,48.40,48.90,48.30,48.30,58200,2828020,0.3,,,44,
2015-05-27,8427,基勝-KY,twse,49.30,49.40,48.85,49.40,88200,4340070,1.1,,,66,
2015-05-28,8427,基勝-KY,twse,50.00,52.70,49.60,51.80,312100,16045180,2.4,,,229,
2015-05-29,8427,基勝-KY,twse,52.10,52.20,50.70,50.80,119074,6108996,-1.0,,,103,
2015-06-01,8427,基勝-KY,twse,51.40,52.00,48.65,49.25,147000,7371650,-1.55,,,128,
2015-06-02,8427,基勝-KY,twse,50.00,50.00,48.90,49.05,136000,6724050,-0.2,,,95,
2015-06-03,8427,基勝-KY,twse,47.00,48.80,46.50,46.50,286103,13569135,-2.55,,,180,
2015-06-04,8427,基勝-KY,twse,46.80,47.85,45.50,45.60,178000,8320250,-0.9,,,149,
2015-06-05,8427,基勝-KY,twse,46.50,46.50,45.25,45.40,123023,5632308,-0.2,,,92,
2015-06-08,8427,基勝-KY,twse,45.40,46.55,44.35,45.85,120008,5430367,0.45,,,78,
2015-06-09,8427,基勝-KY,twse,45.00,45.20,43.25,43.30,115022,5129000,-2.55,,,78,
2015-06-10,8427,基勝-KY,twse,43.60,45.90,43.60,45.85,85022,3832053,2.55,,,79,
2015-06-11,8427,基勝-KY,twse,47.00,47.00,45.50,45.70,85008,3914219,-0.15,,,70,
2015-06-12,8427,基勝-KY,twse,45.30,46.20,45.30,45.70,81000,3709800,0.0,,,58,
2015-06-15,8427,基勝-KY,twse,45.70,46.70,45.35,46.70,110200,5101840,1.0,,,76,
2015-06-16,8427,基勝-KY,twse,45.70,45.70,44.55,44.55,63050,2844577,0.0,,,49,
2015-06-17,8427,基勝-KY,twse,44.35,45.00,43.55,44.00,159000,7021600,-0.55,,,122,
2015-06-18,8427,基勝-KY,twse,43.95,44.20,43.60,44.00,74000,3246100,0.0,,,59,
2015-06-22,8427,基勝-KY,twse,44.40,44.70,43.90,44.20,82050,3626300,0.2,,,58,
2015-06-23,8427,基勝-KY,twse,44.20,44.80,44.00,44.30,53000,2354400,0.1,,,42,
2015-06-24,8427,基勝-KY,twse,44.00,44.20,43.45,43.95,81000,3538450,-0.35,,,56,
2015-06-25,8427,基勝-KY,twse,44.20,44.35,43.30,43.30,66064,2885896,-0.65,,,43,
2015-06-26,8427,基勝-KY,twse,43.40,43.70,43.15,43.60,53000,2303150,0.3,,,45,
2015-06-29,8427,基勝-KY,twse,43.00,43.30,41.50,42.60,88000,3724450,-1.0,,,67,
2015-06-30,8427,基勝-KY,twse,42.60,43.30,42.60,43.05,42000,1801050,0.45,,,37,
2015-07-01,8427,基勝-KY,twse,43.10,43.25,42.65,42.70,43000,1845850,-0.35,,,32,
2015-07-02,8427,基勝-KY,twse,42.70,43.15,42.70,43.00,54000,2318600,0.3,,,44,
2015-07-03,8427,基勝-KY,twse,42.80,42.90,41.70,42.50,78000,3288300,-0.5,,,56,
2015-07-06,8427,基勝-KY,twse,42.50,42.60,41.50,42.00,37000,1559000,-0.5,,,32,
2015-07-07,8427,基勝-KY,twse,42.50,42.50,42.00,42.25,38000,1602850,0.25,,,31,
2015-07-08,8427,基勝-KY,twse,43.80,43.90,41.90,42.00,105000,4471100,-0.25,,,82,
2015-07-09,8427,基勝-KY,twse,42.05,42.05,41.00,42.00,48000,2005950,0.0,,,41,
2015-07-13,8427,基勝-KY,twse,42.05,42.20,41.35,42.10,62000,2604050,0.1,,,42,
2015-07-14,8427,基勝-KY,twse,42.30,42.65,42.10,42.30,66000,2801500,0.2,,,55,
2015-07-15,8427,基勝-KY,twse,42.35,42.70,42.25,42.50,45000,1907950,0.2,,,42,
