stock_id,rows,first,last
00400A,109,2026-04-09,2026-09-11
00401A,108,2026-04-10,2026-09-11
00402A,67,2026-06-09,2026-09-11
00403A,87,2026-05-12,2026-09-11
00404A,67,2026-06-09,2026-09-11
00405A,67,2026-06-09,2026-09-11
00406A,65,2026-06-11,2026-09-11
00407A,57,2026-06-24,2026-09-11
00408A,43,2026-07-15,2026-09-11
00409A,8,2026-09-02,2026-09-11
00410A,30,2026-08-03,2026-09-11
00411A,13,2026-08-26,2026-09-11
0050,2845,2015-01-05,2026-09-11
0051,2850,2015-01-05,2026-09-11
0052,2845,2015-01-05,2026-09-11
0053,2850,2015-01-05,2026-09-11
0054,1805,2015-01-05,2022-05-26
0055,2850,2015-01-05,2026-09-11
0056,2850,2015-01-05,2026-09-11
0057,2850,2015-01-05,2026-09-11
0058,1210,2015-01-05,2019-12-12
0059,1216,2015-01-05,2019-12-20
0060,277,2015-01-05,2016-02-25
0061,2850,2015-01-05,2026-09-11
006201,2850,2015-01-05,2026-09-11
006203,2850,2015-01-05,2026-09-11
006204,2850,2015-01-05,2026-09-11
006205,2850,2015-01-05,2026-09-11
006206,2850,2015-01-05,2026-09-11
006207,2850,2015-01-05,2026-09-11
006208,2850,2015-01-05,2026-09-11
00625K,2338,2016-08-08,2026-09-11
00631L,2846,2015-01-05,2026-09-11
00632R,2845,2015-01-05,2026-09-11
00633L,2850,2015-01-05,2026-09-11
00634R,2850,2015-01-05,2026-09-11
00635U,2787,2015-04-15,2026-09-11
00636,2795,2015-04-01,2026-09-11
00636K,2163,2017-10-24,2026-09-11
00637L,2765,2015-05-18,2026-09-11
00638R,2765,2015-05-18,2026-09-11
00639,2749,2015-06-09,2026-09-11
00640L,2684,2015-09-10,2026-09-11
00641R,2684,2015-09-10,2026-09-11
00642U,2687,2015-09-07,2026-09-11
00643,2628,2015-12-02,2026-09-11
00643K,2352,2016-08-26,2026-09-11
00645,2646,2015-11-06,2026-09-11
00646,2620,2015-12-14,2026-09-11
00647L,2620,2015-12-14,2026-09-11
00648R,2620,2015-12-14,2026-09-11
00649,960,2016-01-27,2019-12-27
00650L,2589,2016-01-27,2026-09-11
00651R,2589,2016-01-27,2026-09-11
00652,2552,2016-03-29,2026-09-11
00653L,2552,2016-03-29,2026-09-11
00654R,2552,2016-03-29,2026-09-11
00655L,2559,2016-03-18,2026-09-11
00656R,2559,2016-03-18,2026-09-11
00657,2526,2016-05-09,2026-09-11
00657K,2163,2017-10-24,2026-09-11
00658L,915,2016-05-09,2020-02-03
00659R,915,2016-05-09,2020-02-03
00660,2500,2016-06-15,2026-09-11
00661,2500,2016-06-15,2026-09-11
00662,2498,2016-06-17,2026-09-11
00663L,2475,2016-07-14,2026-09-11
00664R,2480,2016-07-14,2026-09-11
00665L,2464,2016-08-05,2026-09-11
00666R,2463,2016-08-05,2026-09-11
00667,544,2016-10-07,2018-12-18
00668,2417,2016-10-17,2026-09-11
00668K,2163,2017-10-24,2026-09-11
00669R,2417,2016-10-17,2026-09-11
00670L,2332,2017-02-21,2026-09-11
00671R,2332,2017-02-21,2026-09-11
00672L,1005,2016-10-07,2020-11-12
00673R,2417,2016-10-07,2026-09-11
00674R,2417,2016-10-07,2026-09-11
00675L,2424,2016-10-05,2026-09-11
00676R,2419,2016-10-05,2026-09-11
00677U,1078,2016-12-30,2021-06-02
00678,2353,2017-01-16,2026-09-11
00679B,2352,2017-01-17,2026-09-11
00680L,2352,2017-01-17,2026-09-11
00681R,2348,2017-01-17,2026-09-11
00682U,2278,2017-03-14,2026-09-11
00683L,2317,2017-03-14,2026-09-11
00684R,2278,2017-03-14,2026-09-11
00685L,2303,2017-03-30,2026-09-11
00686R,2307,2017-03-30,2026-09-11
00687B,2299,2017-04-13,2026-09-11
00687C,400,2025-01-10,2026-09-11
00688L,2299,2017-04-13,2026-09-11
00689R,2298,2017-04-13,2026-09-11
00690,2306,2017-03-31,2026-09-11
00691R,896,2017-03-31,2020-11-23
00692,2276,2017-05-17,2026-09-11
00693U,2291,2017-04-25,2026-09-11
00694B,2261,2017-06-08,2026-09-11
00695B,2261,2017-06-08,2026-09-11
00696B,2261,2017-06-08,2026-09-11
00697B,2250,2017-06-23,2026-09-11
00698L,272,2017-06-23,2018-07-27
00699R,278,2017-06-23,2018-08-06
00700,2225,2017-07-28,2026-09-11
00701,2211,2017-08-17,2026-09-11
00702,2211,2017-08-17,2026-09-11
