date,stock_id,foreign,trust,dealer,total
2026-04-09,00400A,-328908,0,122459747,122130839
2026-04-10,00400A,87530,0,-89212109,-89124579
2026-04-13,00400A,32350,0,-61869270,-61836920
2026-04-14,00400A,7495,0,-24169399,-24161904
2026-04-15,00400A,20447,0,-34463943,-34443496
2026-04-16,00400A,-8573042,0,-33372357,-41945399
2026-04-17,00400A,-4411920,0,-100441076,-104852996
2026-04-20,00400A,-12734950,0,-70435883,-83170833
2026-04-21,00400A,-1715399,0,-73183221,-74898620
2026-04-22,00400A,2287798,0,-110133644,-107845846
2026-04-23,00400A,-5660212,0,-69468318,-75128530
2026-04-24,00400A,-899437,0,-2857172,-3756609
2026-04-27,00400A,-6918337,0,-27720668,-34639005
2026-04-28,00400A,8229319,0,-13528680,-5299361
2026-04-29,00400A,-3079000,0,3133906,54906
2026-04-30,00400A,722000,0,16735879,17457879
2026-05-04,00400A,4336900,0,-16154743,-11817843
2026-05-05,00400A,-15656800,0,-20553967,-36210767
2026-05-06,00400A,-26610928,0,-17797082,-44408010
2026-05-07,00400A,-3062000,0,-33579486,-36641486
2026-05-08,00400A,1605418,0,-18895031,-17289613
2026-05-11,00400A,5914002,0,-10464689,-4550687
2026-05-12,00400A,-11861350,0,1821953,-10039397
2026-05-13,00400A,-2302750,0,-1906470,-4209220
2026-05-14,00400A,1751843,0,-2964759,-1212916
2026-05-15,00400A,8808113,0,8537705,17345818
2026-05-18,00400A,13371432,0,3557507,16928939
2026-05-19,00400A,-3431800,0,-1275295,-4707095
2026-05-20,00400A,2650677,0,702976,3353653
2026-05-21,00400A,6615700,0,-529695,6086005
2026-05-22,00400A,2320250,0,11160787,13481037
2026-05-25,00400A,15195290,0,231300,15426590
2026-05-26,00400A,5080900,0,4329323,9410223
2026-05-27,00400A,-7325400,0,1455300,-5870100
2026-05-28,00400A,-5108108,0,-180192,-5288300
2026-05-29,00400A,6862977,0,-6613357,249620
2026-06-01,00400A,15539500,0,-8468194,7071306
2026-06-02,00400A,2125050,0,-9707424,-7582374
2026-06-03,00400A,12763000,0,1822895,14585895
2026-06-04,00400A,-12162350,0,443298,-11719052
2026-06-05,00400A,-9990500,0,-3039701,-13030201
2026-06-08,00400A,1988390,0,2156873,4145263
2026-06-09,00400A,7103000,0,1153593,8256593
2026-06-10,00400A,-329501,0,-1754026,-2083527
2026-06-11,00400A,787850,0,-2032918,-1245068
2026-06-12,00400A,5004760,0,6071273,11076033
2026-06-15,00400A,8497750,0,8163751,16661501
2026-06-16,00400A,15485491,0,2754931,18240422
2026-06-17,00400A,2598000,0,14451805,17049805
2026-06-18,00400A,14604500,0,5276695,19881195
2026-06-22,00400A,-12419946,0,-25711438,-38131384
2026-06-23,00400A,-17646280,0,-43804751,-61451031
2026-06-24,00400A,-23598740,0,-38284343,-61883083
2026-06-25,00400A,-3102800,0,-8445427,-11548227
2026-06-26,00400A,-31060731,0,-47742398,-78803129
2026-06-29,00400A,1801100,0,-20109174,-18308074
2026-06-30,00400A,7495012,0,-2986343,4508669
2026-07-01,00400A,26617000,0,-2734971,23882029
2026-07-02,00400A,-3067000,0,-1278437,-4345437
2026-07-03,00400A,-322750,0,1202633,879883
2026-07-06,00400A,-16001200,0,-25372687,-41373887
2026-07-07,00400A,-34760464,0,-49885912,-84646376
2026-07-08,00400A,-8163365,0,-31201683,-39365048
2026-07-09,00400A,7740100,0,-9148077,-1407977
2026-07-13,00400A,-2073950,0,-8680277,-10754227
2026-07-14,00400A,-14691400,0,-30383337,-45074737
2026-07-15,00400A,7190000,0,-1233950,5956050
2026-07-16,00400A,1323650,0,-5389857,-4066207
2026-07-17,00400A,-19225792,0,-28911510,-48137302
2026-07-20,00400A,-1648990,0,-6422645,-8071635
2026-07-21,00400A,11046200,0,-11916727,-870527
2026-07-22,00400A,4895572,0,4868608,9764180
2026-07-23,00400A,2414000,0,-3208318,-794318
2026-07-24,00400A,-10801250,0,-21124439,-31925689
2026-07-27,00400A,-1531670,0,-11775934,-13307604
2026-07-28,00400A,-13764000,0,-37755150,-51519150
2026-07-29,00400A,-14100630,0,-27962195,-42062825
2026-07-30,00400A,6123860,0,-16418840,-10294980
2026-07-31,00400A,50511000,0,-56974175,-6463175
2026-08-03,00400A,14355080,0,-8770704,5584376
2026-08-04,00400A,2739238,0,-8945838,-6206600
2026-08-05,00400A,12034380,0,7236409,19270789
2026-08-06,00400A,6386181,0,14982508,21368689
2026-08-07,00400A,-1380929,0,-3278469,-4659398
2026-08-10,00400A,5687000,0,16641604,22328604
2026-08-11,00400A,276500,0,5280160,5556660
2026-08-12,00400A,12067000,0,16894708,28961708
2026-08-13,00400A,11802750,0,17067724,28870474
2026-08-14,00400A,6096064,0,24572792,30668856
2026-08-17,00400A,13896500,0,22575629,36472129
2026-08-18,00400A,71250,0,3756081,3827331
2026-08-19,00400A,2536350,0,-6743246,-4206896
2026-08-20,00400A,-1868100,0,-5114663,-6982763
2026-08-21,00400A,-7746900,0,-11239724,-18986624
2026-08-24,00400A,-5176800,0,68132,-5108668
2026-08-25,00400A,-9700300,0,-5483488,-15183788
2026-08-26,00400A,4168635,0,7254053,11422688
2026-08-27,00400A,13974500,0,308709,14283209
2026-08-28,00400A,16607000,0,7860551,24467551
2026-08-31,00400A,-7613889,0,4112528,-3501361
2026-09-01,00400A,22485150,0,14548072,37033222
2026-09-02,00400A,-7030900,0,-3601501,-10632401
2026-09-03,00400A,-5138850,0,-14529619,-19668469
