date,stock_id,foreign,trust,dealer,total
2024-09-23,00643K,0,0,14000,14000
2024-09-24,00643K,0,0,2000,2000
2024-09-25,00643K,0,0,4000,4000
2024-09-26,00643K,0,0,5000,5000
2024-11-08,00643K,0,0,0,0
2024-12-02,00643K,0,0,0,0
2025-03-19,00643K,0,0,0,0
2025-03-31,00643K,0,0,0,0
2025-04-10,00643K,0,0,0,0
2025-05-02,00643K,0,0,0,0
2025-05-05,00643K,0,0,0,0
2025-05-06,00643K,0,0,0,0
2025-08-01,00643K,0,0,0,0
2025-08-07,00643K,0,0,0,0
2025-08-13,00643K,0,0,0,0
2025-08-25,00643K,0,0,0,0
2025-09-12,00643K,0,0,0,0
2025-09-25,00643K,0,0,0,0
2025-10-27,00643K,0,0,0,0
2025-10-31,00643K,0,0,0,0
2025-11-20,00643K,0,0,0,0
2025-11-21,00643K,0,0,0,0
2025-11-26,00643K,0,0,0,0
2025-11-27,00643K,0,0,0,0
2025-12-02,00643K,0,0,0,0
2025-12-04,00643K,0,0,0,0
2025-12-22,00643K,0,0,0,0
2025-12-26,00643K,0,0,0,0
2025-12-31,00643K,0,0,0,0
2026-01-05,00643K,0,0,0,0
2026-01-06,00643K,0,0,0,0
2026-01-14,00643K,0,0,0,0
2026-01-15,00643K,0,0,0,0
2026-01-20,00643K,0,0,0,0
2026-01-21,00643K,0,0,0,0
2026-01-22,00643K,0,0,0,0
2026-01-26,00643K,0,0,0,0
2026-01-27,00643K,0,0,0,0
2026-01-30,00643K,0,0,0,0
2026-02-06,00643K,0,0,0,0
2026-02-09,00643K,0,0,0,0
2026-02-25,00643K,0,0,0,0
2026-02-26,00643K,0,0,0,0
2026-03-02,00643K,0,0,0,0
2026-03-03,00643K,0,0,0,0
2026-03-04,00643K,0,0,0,0
2026-03-05,00643K,0,0,0,0
2026-03-20,00643K,0,0,0,0
2026-03-23,00643K,0,0,0,0
2026-03-24,00643K,0,0,0,0
2026-04-01,00643K,0,0,0,0
2026-04-07,00643K,0,0,0,0
2026-04-08,00643K,0,0,0,0
2026-05-05,00643K,0,0,0,0
2026-05-06,00643K,0,0,0,0
2026-05-12,00643K,0,0,0,0
2026-05-25,00643K,0,0,0,0
2026-06-01,00643K,0,0,0,0
2026-06-08,00643K,0,0,0,0
2026-06-10,00643K,0,0,0,0
2026-06-11,00643K,0,0,0,0
2026-06-16,00643K,0,0,0,0
2026-06-23,00643K,0,0,0,0
2026-06-24,00643K,0,0,0,0
2026-06-25,00643K,0,0,0,0
2026-06-26,00643K,0,0,0,0
2026-06-29,00643K,0,0,0,0
2026-06-30,00643K,0,0,0,0
2026-07-01,00643K,0,0,0,0
2026-07-02,00643K,0,0,0,0
2026-07-03,00643K,0,0,0,0
2026-07-06,00643K,0,0,0,0
2026-07-08,00643K,0,0,0,0
2026-07-09,00643K,0,0,0,0
2026-07-13,00643K,0,0,0,0
2026-07-14,00643K,0,0,0,0
2026-07-16,00643K,0,0,0,0
2026-07-17,00643K,0,0,0,0
2026-07-21,00643K,0,0,0,0
2026-07-22,00643K,0,0,0,0
2026-07-24,00643K,0,0,0,0
2026-07-27,00643K,0,0,0,0
2026-07-28,00643K,0,0,0,0
2026-08-06,00643K,0,0,0,0
2026-08-07,00643K,0,0,0,0
2026-08-13,00643K,0,0,0,0
2026-08-14,00643K,0,0,0,0
2026-08-19,00643K,0,0,0,0
2026-08-21,00643K,0,0,0,0
2026-08-25,00643K,0,0,0,0
2026-08-26,00643K,0,0,0,0
2026-08-27,00643K,0,0,0,0
2026-08-31,00643K,0,0,0,0
2026-09-01,00643K,0,0,0,0
2026-09-02,00643K,0,0,0,0
