date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2015-12-14,00647L,0,0,27000,27000,-200000,227000
2015-12-15,00647L,0,0,11000,11000,-550000,561000
2015-12-16,00647L,0,0,293000,293000,0,293000
2015-12-17,00647L,0,0,873000,873000,0,873000
2015-12-18,00647L,0,0,-1486000,-1486000,0,-1486000
2015-12-21,00647L,0,0,-2015000,-2015000,0,-2015000
2015-12-22,00647L,0,0,1255000,1255000,0,1255000
2015-12-23,00647L,0,0,874000,874000,0,874000
2015-12-24,00647L,0,0,1744000,1744000,0,1744000
2015-12-25,00647L,0,0,59000,59000,0,59000
2015-12-28,00647L,0,0,149000,149000,0,149000
2015-12-29,00647L,0,0,139000,139000,0,139000
2015-12-30,00647L,0,0,1425000,1425000,0,1425000
2015-12-31,00647L,0,0,-118000,-118000,0,-118000
2016-01-04,00647L,0,0,-185000,-185000,0,-185000
2016-01-05,00647L,0,0,-860000,-860000,0,-860000
2016-01-06,00647L,0,0,-442000,-442000,0,-442000
2016-01-07,00647L,0,0,135000,135000,0,135000
2016-01-08,00647L,0,0,-2425000,-2425000,0,-2425000
2016-01-11,00647L,0,0,-532000,-532000,0,-532000
2016-01-12,00647L,0,0,584000,584000,0,584000
2016-01-13,00647L,0,0,-187000,-187000,0,-187000
2016-01-14,00647L,0,0,-122000,-122000,300000,-422000
2016-01-15,00647L,0,0,403000,403000,0,403000
2016-01-18,00647L,0,0,-876000,-876000,0,-876000
2016-01-19,00647L,0,0,-739000,-739000,0,-739000
2016-01-20,00647L,0,0,383000,383000,-300000,683000
2016-01-21,00647L,0,0,871000,871000,0,871000
2016-01-22,00647L,0,0,-64000,-64000,0,-64000
2016-01-25,00647L,0,0,-298000,-298000,282000,-580000
2016-01-26,00647L,0,0,-415000,-415000,18000,-433000
2016-01-27,00647L,0,0,396000,396000,0,396000
2016-01-28,00647L,0,0,-355000,-355000,250000,-605000
2016-01-29,00647L,0,0,-305000,-305000,0,-305000
2016-01-30,00647L,0,0,691000,691000,0,691000
2016-02-01,00647L,0,0,86000,86000,0,86000
2016-02-02,00647L,0,0,-161000,-161000,0,-161000
2016-02-03,00647L,0,0,419000,419000,-250000,669000
2016-02-15,00647L,0,0,-1056000,-1056000,0,-1056000
2016-02-16,00647L,0,0,-569000,-569000,200000,-769000
