date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2016-07-14,00664R,0,0,-195000,-195000,-300000,105000
2016-07-15,00664R,0,0,-2026000,-2026000,50000,-2076000
2016-07-18,00664R,0,0,-2168000,-2168000,80000,-2248000
2016-07-19,00664R,0,0,-2516000,-2516000,400000,-2916000
2016-07-20,00664R,0,0,-2027000,-2027000,100000,-2127000
2016-07-21,00664R,0,0,-2104000,-2104000,200000,-2304000
2016-07-22,00664R,0,0,-839000,-839000,150000,-989000
2016-07-25,00664R,6000,0,-1395000,-1389000,220000,-1615000
2016-07-26,00664R,-200000,0,-1210000,-1410000,0,-1210000
2016-07-27,00664R,168000,0,-3703000,-3535000,30000,-3733000
2016-07-28,00664R,0,0,-2162000,-2162000,340000,-2502000
2016-07-29,00664R,0,0,-669000,-669000,160000,-829000
2016-08-01,00664R,-41000,0,-3000000,-3041000,50000,-3050000
2016-08-02,00664R,0,0,634000,634000,150000,484000
2016-08-03,00664R,0,0,-925000,-925000,-300000,-625000
2016-08-04,00664R,0,0,-117000,-117000,20000,-137000
2016-08-05,00664R,396000,0,-4309000,-3913000,50000,-4359000
2016-08-08,00664R,15000,0,-2236000,-2221000,50000,-2286000
2016-08-09,00664R,50000,0,-1866000,-1816000,50000,-1916000
2016-08-10,00664R,292000,0,-1649000,-1357000,0,-1649000
2016-08-11,00664R,625000,0,-613000,12000,-100000,-513000
2016-08-12,00664R,56000,0,-1698000,-1642000,20000,-1718000
2016-08-15,00664R,-67000,0,-1427000,-1494000,-50000,-1377000
2016-08-16,00664R,-26000,0,-1491000,-1517000,-20000,-1471000
2016-08-17,00664R,92000,0,-2989000,-2897000,700000,-3689000
2016-08-18,00664R,0,0,-1176000,-1176000,85000,-1261000
2016-08-19,00664R,-2977000,0,-771000,-3748000,125000,-896000
2016-08-22,00664R,441000,0,1325000,1766000,190000,1135000
2016-08-23,00664R,-3557000,0,-3392000,-6949000,185000,-3577000
2016-08-24,00664R,-671000,0,-661000,-1332000,5000,-666000
2016-08-25,00664R,-2748000,0,-4592000,-7340000,-800000,-3792000
2016-08-26,00664R,-6240000,0,774000,-5466000,690000,84000
2016-08-29,00664R,-1908000,0,2787000,879000,450000,2337000
2016-08-30,00664R,-758000,0,-713000,-1471000,345000,-1058000
2016-08-31,00664R,-526000,0,791000,265000,693000,98000
2016-09-01,00664R,3575000,0,1567000,5142000,550000,1017000
2016-09-02,00664R,249000,0,-1793000,-1544000,-130000,-1663000
2016-09-05,00664R,-2756000,0,-2364000,-5120000,844000,-3208000
2016-09-06,00664R,-1216000,0,-3501000,-4717000,-371000,-3130000
2016-09-07,00664R,-1497000,0,-3535000,-5032000,-582000,-2953000
2016-09-08,00664R,567000,0,-238000,329000,30000,-268000
2016-09-09,00664R,-3708000,0,6832000,3124000,1750000,5082000
2016-09-10,00664R,4150000,0,-1989000,2161000,907000,-2896000
2016-09-12,00664R,1475000,0,2179000,3654000,-1855000,4034000
2016-09-13,00664R,329000,0,1503000,1832000,416000,1087000
2016-09-14,00664R,21000,0,-194000,-173000,666000,-860000
2016-09-19,00664R,-2344000,0,-8166000,-10510000,775000,-8941000
2016-09-20,00664R,-2694000,0,354000,-2340000,71000,283000
2016-09-21,00664R,-1367000,0,-1701000,-3068000,-303000,-1398000
2016-09-22,00664R,-116000,0,-2471000,-2587000,-1019000,-1452000
2016-09-23,00664R,-110000,0,-5429000,-5539000,-280000,-5149000
2016-09-26,00664R,-1860000,0,784000,-1076000,115000,669000
2016-09-29,00664R,-346000,0,-4644000,-4990000,270000,-4914000
2016-09-30,00664R,148000,0,5607000,5755000,319000,5288000
2016-10-03,00664R,-58000,0,-439000,-497000,45000,-484000
2016-10-04,00664R,-235000,0,-5848000,-6083000,200000,-6048000
2016-10-05,00664R,-6604000,0,5204000,-1400000,5000,5199000
2016-10-06,00664R,213000,0,396000,609000,1005000,-609000
2016-10-07,00664R,-4000,0,-779000,-783000,300000,-1079000
2016-10-11,00664R,0,0,1952000,1952000,435000,1517000
2016-10-12,00664R,-6092000,0,1607000,-4485000,1600000,7000
2016-10-13,00664R,-1303000,0,1485000,182000,-1535000,3020000
2016-10-14,00664R,-1825000,0,1143000,-682000,-465000,1608000
2016-10-17,00664R,347000,0,1784000,2131000,665000,1119000
2016-10-18,00664R,-477000,0,-3214000,-3691000,430000,-3644000
2016-10-19,00664R,-9000,0,-5417000,-5426000,-416000,-5001000
2016-10-20,00664R,2369000,0,-4671000,-2302000,-2072000,-2599000
2016-10-21,00664R,-345000,0,-2328000,-2673000,-1397000,-931000
2016-10-24,00664R,-5892000,0,-1222000,-7114000,-1000,-1221000
2016-10-25,00664R,-6126000,0,2471000,-3655000,100000,2371000
2016-10-26,00664R,-32000,0,53000,21000,-250000,303000
2016-10-27,00664R,-3170000,0,3684000,514000,-205000,3889000
2016-10-28,00664R,-1666000,0,1284000,-382000,400000,884000
2016-10-31,00664R,1132000,0,669000,1801000,0,669000
2016-11-01,00664R,-452000,0,574000,122000,0,574000
2016-11-02,00664R,-4594000,0,11373000,6779000,-112000,11485000
2016-11-03,00664R,136000,0,6083000,6219000,289000,5794000
2016-11-04,00664R,1766000,0,4986000,6752000,-129000,5115000
2016-11-07,00664R,-187000,0,-1392000,-1579000,-47000,-1345000
2016-11-08,00664R,46000,0,-1041000,-995000,-146000,-895000
2016-11-09,00664R,3655000,0,13178000,16833000,1672000,11506000
2016-11-10,00664R,-2271000,0,-878000,-3149000,-640000,-238000
2016-11-11,00664R,4675000,200000,5828000,10703000,179000,5649000
