date,stock_id,foreign,trust,dealer,total
2025-01-10,00687C,0,0,-10300,-10300
2025-01-13,00687C,0,0,9600,9600
2025-01-14,00687C,0,0,100,100
2025-01-15,00687C,0,0,0,0
2025-01-16,00687C,0,0,1000,1000
2025-01-17,00687C,0,0,0,0
2025-01-20,00687C,0,0,0,0
2025-01-21,00687C,0,0,0,0
2025-01-22,00687C,0,0,-1500,-1500
2025-02-03,00687C,0,0,2099,2099
2025-02-04,00687C,0,0,-2500,-2500
2025-02-05,00687C,0,0,1000,1000
2025-02-06,00687C,0,0,-1,-1
2025-02-07,00687C,0,0,0,0
2025-02-10,00687C,0,0,-2000,-2000
2025-02-11,00687C,0,0,-1000,-1000
2025-02-12,00687C,0,0,-2000,-2000
2025-02-13,00687C,0,0,-500,-500
2025-02-14,00687C,0,0,0,0
2025-02-17,00687C,0,0,0,0
2025-02-18,00687C,0,0,-1000,-1000
2025-02-19,00687C,0,0,900,900
2025-02-20,00687C,0,0,0,0
2025-02-21,00687C,0,0,0,0
2025-02-24,00687C,0,0,200,200
2025-02-25,00687C,0,0,0,0
2025-02-26,00687C,0,0,200,200
2025-02-27,00687C,0,0,100,100
2025-03-03,00687C,0,0,0,0
2025-03-04,00687C,0,0,300,300
2025-03-05,00687C,0,0,300,300
2025-03-06,00687C,0,0,0,0
2025-03-07,00687C,0,0,400,400
2025-03-10,00687C,0,0,0,0
2025-03-11,00687C,0,0,-1700,-1700
2025-03-12,00687C,0,0,0,0
2025-03-13,00687C,0,0,0,0
2025-03-14,00687C,0,0,0,0
2025-03-17,00687C,0,0,0,0
2025-03-18,00687C,0,0,0,0
2025-03-19,00687C,0,0,-200,-200
2025-03-20,00687C,0,0,0,0
2025-03-21,00687C,0,0,0,0
2025-03-24,00687C,0,0,-400,-400
2025-03-25,00687C,0,0,-300,-300
2025-03-26,00687C,0,0,-600,-600
2025-03-27,00687C,0,0,-300,-300
2025-03-28,00687C,0,0,-200,-200
2025-03-31,00687C,0,0,-300,-300
2025-04-01,00687C,0,0,0,0
2025-04-02,00687C,0,0,0,0
2025-04-08,00687C,0,0,-300,-300
2025-04-09,00687C,0,0,700,700
2025-04-10,00687C,0,0,0,0
2025-04-11,00687C,0,0,-100,-100
2025-04-14,00687C,0,0,-500,-500
2025-04-15,00687C,0,0,0,0
2025-04-16,00687C,0,0,800,800
2025-04-17,00687C,0,0,0,0
2025-04-18,00687C,0,0,0,0
2025-04-21,00687C,0,0,1400,1400
2025-04-22,00687C,0,0,0,0
2025-04-23,00687C,0,0,0,0
2025-04-24,00687C,0,0,0,0
2025-04-25,00687C,0,0,0,0
2025-04-28,00687C,0,0,0,0
2025-04-29,00687C,0,0,0,0
2025-04-30,00687C,0,0,0,0
2025-05-02,00687C,0,0,0,0
2025-05-05,00687C,0,0,0,0
2025-05-06,00687C,0,0,-300,-300
2025-05-07,00687C,0,0,-300,-300
2025-05-08,00687C,0,0,0,0
2025-05-09,00687C,0,0,0,0
2025-05-12,00687C,0,0,0,0
2025-05-13,00687C,0,0,-500,-500
2025-05-14,00687C,0,0,-200,-200
2025-05-15,00687C,0,0,-50800,-50800
2025-05-16,00687C,0,0,0,0
2025-05-19,00687C,0,0,0,0
2025-05-20,00687C,0,0,0,0
2025-05-21,00687C,0,0,-500,-500
2025-05-22,00687C,0,0,-300,-300
2025-05-23,00687C,0,0,-600,-600
2025-05-26,00687C,0,0,-300,-300
2025-05-27,00687C,0,0,0,0
2025-05-28,00687C,0,0,0,0
2025-05-29,00687C,0,0,0,0
2025-06-02,00687C,0,0,0,0
2025-06-03,00687C,0,0,800,800
2025-06-04,00687C,0,0,0,0
2025-06-05,00687C,0,0,0,0
2025-06-06,00687C,0,0,-100,-100
2025-06-09,00687C,0,0,-400,-400
2025-06-10,00687C,0,0,0,0
2025-06-11,00687C,0,0,0,0
2025-06-12,00687C,0,0,0,0
2025-06-13,00687C,0,0,0,0
2025-06-16,00687C,0,0,0,0
2025-06-17,00687C,0,0,-500,-500
2025-06-18,00687C,0,0,0,0
2025-06-19,00687C,0,0,0,0
2025-06-20,00687C,0,0,0,0
2025-06-23,00687C,0,0,-2500,-2500
2025-06-24,00687C,0,0,-1000,-1000
2025-06-25,00687C,0,0,-1000,-1000
2025-06-26,00687C,0,0,0,0
2025-06-27,00687C,0,0,-1000,-1000
2025-06-30,00687C,0,0,-5000,-5000
2025-07-01,00687C,0,0,-900,-900
2025-07-02,00687C,0,0,-400000,-400000
2025-07-03,00687C,0,0,-598700,-598700
2025-07-04,00687C,0,0,0,0
2025-07-07,00687C,0,0,0,0
2025-07-08,00687C,0,0,-70700,-70700
2025-07-09,00687C,0,0,-300000,-300000
2025-07-10,00687C,0,0,0,0
2025-07-11,00687C,0,0,0,0
2025-07-14,00687C,0,0,-400600,-400600
2025-07-15,00687C,0,0,0,0
2025-07-16,00687C,0,0,-2400,-2400
2025-07-17,00687C,0,0,0,0
2025-07-18,00687C,0,0,-1000,-1000
2025-07-21,00687C,0,0,-1800,-1800
2025-07-22,00687C,0,0,-300,-300
2025-07-23,00687C,0,0,-500,-500
2025-07-24,00687C,0,0,0,0
2025-07-25,00687C,0,0,0,0
2025-07-28,00687C,0,0,0,0
