date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2018-02-01,00720B,0,0,200000,200000,0,200000
2018-02-02,00720B,0,0,7000,7000,0,7000
2018-02-05,00720B,0,0,5000,5000,0,5000
2018-02-06,00720B,0,0,64000,64000,0,64000
2018-02-07,00720B,0,0,-18000,-18000,0,-18000
2018-02-08,00720B,0,0,8000,8000,0,8000
2018-02-09,00720B,0,0,1000,1000,0,1000
2018-02-12,00720B,0,0,0,0,0,0
2018-02-21,00720B,0,0,3000,3000,0,3000
2018-02-22,00720B,0,0,-13000,-13000,0,-13000
2018-02-23,00720B,0,0,237000,237000,0,237000
2018-02-26,00720B,0,0,5000,5000,0,5000
2018-02-27,00720B,0,0,2000,2000,0,2000
2018-03-01,00720B,0,0,0,0,0,0
2018-03-02,00720B,0,0,0,0,0,0
2018-03-05,00720B,0,0,2000,2000,0,2000
2018-03-06,00720B,0,0,-2000,-2000,0,-2000
2018-03-07,00720B,0,0,-26019000,-26019000,0,-26019000
2018-03-08,00720B,0,0,-11000,-11000,0,-11000
2018-03-09,00720B,0,0,-25001000,-25001000,0,-25001000
2018-03-12,00720B,0,0,-11000,-11000,0,-11000
2018-03-13,00720B,0,0,-1000,-1000,0,-1000
2018-03-14,00720B,0,0,0,0,0,0
2018-03-15,00720B,0,0,-25004000,-25004000,0,-25004000
2018-03-16,00720B,0,0,-4000,-4000,0,-4000
2018-03-19,00720B,0,0,0,0,0,0
2018-03-20,00720B,0,0,-1000,-1000,0,-1000
2018-03-21,00720B,0,0,5000,5000,0,5000
2018-03-22,00720B,0,0,2000,2000,0,2000
2018-03-23,00720B,0,0,1000,1000,0,1000
2018-03-26,00720B,0,0,-7500000,-7500000,0,-7500000
2018-03-27,00720B,0,0,-1000,-1000,0,-1000
2018-03-28,00720B,0,0,4000,4000,0,4000
2018-03-29,00720B,0,0,1000,1000,0,1000
2018-03-30,00720B,0,0,1000,1000,0,1000
2018-03-31,00720B,0,0,0,0,0,0
2018-04-02,00720B,0,0,0,0,0,0
2018-04-03,00720B,0,0,2000,2000,0,2000
2018-04-09,00720B,0,0,-35000,-35000,0,-35000
2018-04-10,00720B,0,0,-1000,-1000,0,-1000
2018-04-11,00720B,0,0,-10000,-10000,0,-10000
2018-04-12,00720B,0,0,-20000,-20000,0,-20000
2018-04-13,00720B,0,0,-13000,-13000,0,-13000
2018-04-16,00720B,0,0,-20000,-20000,0,-20000
2018-04-17,00720B,0,0,-26000,-26000,0,-26000
2018-04-18,00720B,0,0,-6000,-6000,0,-6000
2018-04-19,00720B,0,0,-1000,-1000,0,-1000
2018-04-20,00720B,0,0,-14000,-14000,0,-14000
2018-04-23,00720B,0,0,-3000,-3000,0,-3000
2018-04-24,00720B,0,0,0,0,0,0
2018-04-25,00720B,0,0,-281000,-281000,0,-281000
2018-04-26,00720B,0,0,-4000,-4000,0,-4000
2018-04-27,00720B,0,0,1000,1000,0,1000
2018-04-30,00720B,0,0,-7000,-7000,0,-7000
2018-05-02,00720B,0,0,-2000,-2000,0,-2000
2018-05-03,00720B,0,0,-3000,-3000,0,-3000
2018-05-04,00720B,0,0,-49000,-49000,0,-49000
2018-05-07,00720B,0,0,-10000,-10000,0,-10000
2018-05-08,00720B,0,0,0,0,0,0
2018-05-09,00720B,0,0,-4000,-4000,0,-4000
2018-05-10,00720B,0,0,-1000,-1000,0,-1000
2018-05-11,00720B,0,0,0,0,0,0
2018-05-14,00720B,0,0,-6000,-6000,0,-6000
2018-05-15,00720B,0,0,0,0,0,0
2018-05-16,00720B,0,0,-26000,-26000,0,-26000
2018-05-17,00720B,0,0,1000,1000,0,1000
2018-05-18,00720B,0,0,-45000,-45000,0,-45000
2018-05-21,00720B,0,0,8000,8000,0,8000
2018-05-22,00720B,0,0,-7000,-7000,0,-7000
2018-05-23,00720B,0,0,0,0,0,0
2018-05-24,00720B,-12500000,0,31000,-12469000,0,31000
2018-05-25,00720B,0,0,-1000,-1000,0,-1000
2018-05-28,00720B,0,0,24000,24000,0,24000
2018-05-29,00720B,0,0,-5000,-5000,0,-5000
2018-05-30,00720B,0,0,21000,21000,0,21000
2018-05-31,00720B,0,0,0,0,0,0
2018-06-01,00720B,0,0,0,0,0,0
2018-06-04,00720B,0,0,-3000,-3000,0,-3000
2018-06-05,00720B,0,0,-4000,-4000,0,-4000
2018-06-06,00720B,0,0,-1000,-1000,0,-1000
2018-06-07,00720B,0,0,-8000,-8000,0,-8000
2018-06-08,00720B,0,0,4000,4000,0,4000
2018-06-11,00720B,0,0,-12000,-12000,0,-12000
2018-06-12,00720B,0,0,-1510000,-1510000,0,-1510000
2018-06-13,00720B,0,0,2000,2000,0,2000
2018-06-14,00720B,0,0,35000,35000,0,35000
2018-06-15,00720B,0,0,5000,5000,0,5000
2018-06-19,00720B,0,0,-1000,-1000,0,-1000
2018-06-20,00720B,0,0,-7000,-7000,0,-7000
2018-06-21,00720B,0,0,-506000,-506000,0,-506000
2018-06-22,00720B,0,0,-2000,-2000,0,-2000
2018-06-25,00720B,0,0,-20000,-20000,0,-20000
2018-06-26,00720B,0,0,-1000,-1000,0,-1000
2018-06-27,00720B,0,0,-1000,-1000,0,-1000
2018-06-28,00720B,0,0,-98000,-98000,0,-98000
2018-06-29,00720B,0,0,-745000,-745000,0,-745000
2018-07-02,00720B,0,0,10000,10000,0,10000
2018-07-03,00720B,0,0,113000,113000,0,113000
2018-07-04,00720B,0,0,-84000,-84000,0,-84000
2018-07-05,00720B,0,0,0,0,0,0
2018-07-06,00720B,0,0,-81000,-81000,0,-81000
2018-07-09,00720B,0,0,-152000,-152000,0,-152000
2018-07-10,00720B,0,0,0,0,0,0
2018-07-11,00720B,0,0,-12848000,-12848000,0,-12848000
2018-07-12,00720B,0,0,-200000,-200000,0,-200000
2018-07-13,00720B,0,0,0,0,0,0
2018-07-16,00720B,0,0,8000,8000,0,8000
2018-07-17,00720B,0,0,-581000,-581000,0,-581000
2018-07-18,00720B,0,0,55000,55000,0,55000
2018-07-19,00720B,0,0,-2000,-2000,0,-2000
2018-07-20,00720B,0,0,14000,14000,0,14000
2018-07-23,00720B,0,0,-6000,-6000,0,-6000
2018-07-24,00720B,0,0,-2502000,-2502000,0,-2502000
2018-07-25,00720B,0,0,-26007000,-26007000,0,-26007000
2018-07-26,00720B,-13000000,0,-3000,-13003000,0,-3000
2018-07-27,00720B,0,0,12000,12000,0,12000
2018-07-30,00720B,0,0,-5000,-5000,0,-5000
2018-07-31,00720B,0,0,0,0,0,0
2018-08-01,00720B,0,0,-6000,-6000,0,-6000
2018-08-02,00720B,0,0,-1000,-1000,0,-1000
2018-08-03,00720B,0,0,-1000,-1000,0,-1000
2018-08-06,00720B,0,0,0,0,0,0
2018-08-07,00720B,0,0,-2000,-2000,0,-2000
2018-08-08,00720B,0,0,-1000,-1000,0,-1000
2018-08-09,00720B,0,0,-11000,-11000,0,-11000
2018-08-10,00720B,0,0,1000,1000,0,1000
2018-08-13,00720B,0,0,-2000,-2000,0,-2000
2018-08-14,00720B,0,0,-7505000,-7505000,0,-7505000
2018-08-15,00720B,0,0,0,0,0,0
2018-08-16,00720B,0,0,30000,30000,0,30000
2018-08-17,00720B,0,0,2000,2000,0,2000
2018-08-20,00720B,0,0,0,0,0,0
2018-08-21,00720B,0,0,-8000,-8000,0,-8000
2018-08-22,00720B,0,0,-29000,-29000,0,-29000
2018-08-23,00720B,0,0,0,0,0,0
2018-08-24,00720B,0,0,16000,16000,0,16000
2018-08-27,00720B,0,0,-4000,-4000,0,-4000
2018-08-28,00720B,0,0,-25000,-25000,0,-25000
2018-08-29,00720B,0,0,-19000,-19000,0,-19000
2018-08-30,00720B,0,0,-1000,-1000,0,-1000
2018-08-31,00720B,0,0,0,0,0,0
2018-09-03,00720B,0,0,-5000,-5000,0,-5000
2018-09-04,00720B,0,0,0,0,0,0
2018-09-05,00720B,0,0,-1037000,-1037000,0,-1037000
2018-09-06,00720B,0,0,-12000,-12000,0,-12000
2018-09-07,00720B,0,0,20000,20000,0,20000
2018-09-10,00720B,0,0,-13001000,-13001000,0,-13001000
2018-09-11,00720B,0,0,0,0,0,0
2018-09-12,00720B,0,0,0,0,0,0
2018-09-13,00720B,0,0,36000,36000,0,36000
2018-09-14,00720B,0,0,0,0,0,0
2018-09-17,00720B,0,0,0,0,0,0
2018-09-18,00720B,0,0,0,0,0,0
2018-09-19,00720B,0,0,-3064000,-3064000,0,-3064000
2018-09-20,00720B,0,0,0,0,0,0
2018-09-21,00720B,0,0,-1000,-1000,0,-1000
2018-09-25,00720B,0,0,-17000,-17000,0,-17000
2018-09-26,00720B,0,0,0,0,0,0
2018-09-27,00720B,0,0,-1053000,-1053000,0,-1053000
2018-09-28,00720B,0,0,0,0,0,0
2018-10-01,00720B,0,0,-62000,-62000,0,-62000
2018-10-02,00720B,0,0,0,0,0,0
2018-10-03,00720B,0,0,-5000,-5000,0,-5000
2018-10-04,00720B,0,0,-10559000,-10559000,0,-10559000
2018-10-05,00720B,0,0,4000,4000,0,4000
2018-10-08,00720B,0,0,-7499000,-7499000,0,-7499000
2018-10-09,00720B,0,0,0,0,0,0
2018-10-11,00720B,0,0,-7561000,-7561000,0,-7561000
2018-10-12,00720B,0,0,-62000,-62000,0,-62000
2018-10-15,00720B,0,0,-112000,-112000,0,-112000
2018-10-16,00720B,0,0,-66000,-66000,0,-66000
2018-10-17,00720B,0,0,-67000,-67000,0,-67000
2018-10-18,00720B,0,0,-67000,-67000,0,-67000
2018-10-19,00720B,0,0,-1390000,-1390000,0,-1390000
2018-10-22,00720B,0,0,-123000,-123000,0,-123000
2018-10-23,00720B,0,0,-18000,-18000,0,-18000
2018-10-24,00720B,0,0,-12000,-12000,0,-12000
2018-10-25,00720B,0,0,-1000,-1000,0,-1000
2018-10-26,00720B,0,0,0,0,0,0
2018-10-29,00720B,0,0,-2000,-2000,0,-2000
2018-10-30,00720B,0,0,-2000,-2000,0,-2000
2018-10-31,00720B,0,0,90000,90000,0,90000
2018-11-01,00720B,0,0,-21000,-21000,0,-21000
2018-11-02,00720B,0,0,-50000,-50000,0,-50000
2018-11-05,00720B,0,0,-1000,-1000,0,-1000
2018-11-06,00720B,0,0,1000,1000,0,1000
2018-11-07,00720B,0,0,1000,1000,0,1000
2018-11-08,00720B,0,0,0,0,0,0
2018-11-09,00720B,0,0,2000,2000,0,2000
2018-11-12,00720B,0,0,0,0,0,0
2018-11-13,00720B,0,0,-56000,-56000,0,-56000
2018-11-14,00720B,0,0,0,0,0,0
2018-11-15,00720B,0,0,-2000,-2000,0,-2000
2018-11-16,00720B,0,0,-8000,-8000,0,-8000
2018-11-19,00720B,0,0,-36000,-36000,0,-36000
2018-11-20,00720B,0,0,-5000,-5000,0,-5000
2018-11-21,00720B,0,0,-34000,-34000,0,-34000
2018-11-22,00720B,0,0,1000,1000,0,1000
2018-11-23,00720B,0,0,-1000,-1000,0,-1000
2018-11-26,00720B,0,0,0,0,0,0
2018-11-27,00720B,0,0,-35000,-35000,0,-35000
2018-11-28,00720B,0,0,-22000,-22000,0,-22000
2018-11-29,00720B,0,0,-14000,-14000,0,-14000
2018-11-30,00720B,0,0,-2000,-2000,0,-2000
2018-12-03,00720B,0,0,-6000,-6000,0,-6000
2018-12-04,00720B,0,0,-14000,-14000,0,-14000
2018-12-05,00720B,0,0,0,0,0,0
2018-12-06,00720B,0,0,28000,28000,0,28000
2018-12-07,00720B,0,0,-10000,-10000,0,-10000
2018-12-10,00720B,0,0,-1000,-1000,0,-1000
2018-12-11,00720B,0,0,2000,2000,0,2000
2018-12-12,00720B,0,0,0,0,0,0
2018-12-13,00720B,0,0,0,0,0,0
2018-12-14,00720B,0,0,1000,1000,0,1000
2018-12-17,00720B,0,0,-24001000,-24001000,0,-24001000
2018-12-18,00720B,0,0,4194000,4194000,0,4194000
2018-12-19,00720B,0,0,-24000000,-24000000,0,-24000000
2018-12-20,00720B,0,0,-5478000,-5478000,0,-5478000
2018-12-21,00720B,2422000,0,1548000,3970000,0,1548000
2018-12-22,00720B,0,0,0,0,0,0
2018-12-24,00720B,0,0,-40000,-40000,0,-40000
2018-12-25,00720B,0,0,-5000,-5000,0,-5000
2018-12-26,00720B,0,0,-8000,-8000,0,-8000
2018-12-27,00720B,0,0,-13000,-13000,0,-13000
2018-12-28,00720B,0,0,-8000,-8000,0,-8000
2019-01-02,00720B,0,0,3000,3000,0,3000
2019-01-03,00720B,0,0,8000,8000,0,8000
2019-01-04,00720B,0,0,-19000,-19000,0,-19000
2019-01-07,00720B,0,0,-53009000,-53009000,0,-53009000
2019-01-08,00720B,0,0,-3000,-3000,0,-3000
2019-01-09,00720B,0,0,-12000,-12000,0,-12000
