date,stock_id,foreign,trust,dealer,total
2019-06-14,00842B,0,0,4000,4000
2019-06-17,00842B,0,0,-3000,-3000
2019-06-18,00842B,0,0,1000,1000
2019-06-19,00842B,0,0,-6000,-6000
2019-06-20,00842B,0,0,-25000,-25000
2019-06-21,00842B,0,0,-2000,-2000
2019-06-24,00842B,0,0,-6000,-6000
2019-06-25,00842B,0,0,-8000,-8000
2019-06-26,00842B,0,0,-5000,-5000
2019-06-27,00842B,0,0,-22000,-22000
2019-06-28,00842B,0,0,1000,1000
2019-07-01,00842B,0,0,-2000,-2000
2019-07-02,00842B,0,0,-1000,-1000
2019-07-03,00842B,0,0,0,0
2019-07-04,00842B,0,0,-6000,-6000
2019-07-05,00842B,0,0,-3000,-3000
2019-07-08,00842B,0,0,-1000,-1000
2019-07-09,00842B,0,0,0,0
2019-07-10,00842B,0,0,-2000,-2000
2019-07-11,00842B,0,0,-6000,-6000
2019-07-12,00842B,0,0,-3000,-3000
2019-07-15,00842B,0,0,0,0
2019-07-16,00842B,0,0,2000,2000
2019-07-17,00842B,0,0,0,0
2019-07-18,00842B,0,0,1000,1000
2019-07-19,00842B,0,0,0,0
2019-07-22,00842B,0,0,2000,2000
2019-07-23,00842B,0,0,0,0
2019-07-24,00842B,0,0,0,0
2019-07-25,00842B,0,0,1000,1000
2019-07-26,00842B,0,0,0,0
2019-07-29,00842B,0,0,-1000,-1000
2019-07-30,00842B,0,0,0,0
2019-07-31,00842B,0,0,0,0
2019-08-01,00842B,0,0,20000,20000
2019-08-02,00842B,0,0,8000,8000
2019-08-05,00842B,0,0,12000,12000
2019-08-06,00842B,0,0,0,0
2019-08-07,00842B,0,0,0,0
2019-08-08,00842B,0,0,0,0
2019-08-12,00842B,0,0,3000,3000
2019-08-13,00842B,0,0,-1000,-1000
2019-08-14,00842B,0,0,0,0
2019-08-15,00842B,0,0,1000,1000
2019-08-16,00842B,0,0,26000,26000
2019-08-19,00842B,0,0,0,0
2019-08-20,00842B,0,0,0,0
2019-08-21,00842B,0,0,0,0
2019-08-22,00842B,0,0,-1000,-1000
2019-08-23,00842B,0,0,1000,1000
2019-08-26,00842B,0,0,2000,2000
2019-08-27,00842B,0,0,-1000,-1000
2019-08-28,00842B,0,0,0,0
2019-08-29,00842B,0,0,-1000,-1000
2019-08-30,00842B,0,0,0,0
2019-09-02,00842B,0,0,-1000,-1000
2019-09-03,00842B,0,0,0,0
2019-09-04,00842B,0,0,-1000,-1000
2019-09-05,00842B,0,0,0,0
2019-09-06,00842B,0,0,0,0
2019-09-09,00842B,0,0,0,0
2019-09-10,00842B,0,0,-1000,-1000
2019-09-11,00842B,0,0,3000,3000
2019-09-12,00842B,0,0,0,0
2019-09-16,00842B,0,0,0,0
2019-09-17,00842B,0,0,-1000,-1000
2019-09-18,00842B,0,0,0,0
2019-09-19,00842B,0,0,2000,2000
2019-09-20,00842B,0,0,1000,1000
2019-09-23,00842B,0,0,-1000,-1000
2019-09-24,00842B,0,0,0,0
2019-09-25,00842B,0,0,0,0
2019-09-26,00842B,0,0,0,0
2019-09-27,00842B,0,0,0,0
2019-10-01,00842B,0,0,1000,1000
2019-10-02,00842B,0,0,0,0
2019-10-03,00842B,0,0,0,0
2019-10-04,00842B,0,0,0,0
2019-10-07,00842B,0,0,-2000,-2000
2019-10-08,00842B,0,0,-2000,-2000
2019-10-09,00842B,0,0,1000,1000
2019-10-14,00842B,0,0,-13000,-13000
2019-10-15,00842B,0,0,0,0
2019-10-16,00842B,0,0,1000,1000
2019-10-17,00842B,0,0,0,0
2019-10-18,00842B,0,0,-1000,-1000
2019-10-21,00842B,0,0,-12000,-12000
2019-10-22,00842B,0,0,4000,4000
2019-10-23,00842B,0,0,1000,1000
2019-10-24,00842B,0,0,1000,1000
2019-10-25,00842B,0,0,0,0
2019-10-28,00842B,0,0,0,0
2019-10-29,00842B,0,0,1000,1000
2019-10-30,00842B,0,0,-9000,-9000
2019-10-31,00842B,0,0,-2000,-2000
2019-11-01,00842B,0,0,-13000,-13000
2019-11-04,00842B,0,0,-3937000,-3937000
2019-11-05,00842B,0,0,-1713000,-1713000
2019-11-06,00842B,0,0,-2301000,-2301000
2019-11-07,00842B,0,0,-2853000,-2853000
2019-11-08,00842B,0,0,-1221000,-1221000
2019-11-11,00842B,0,0,-1966000,-1966000
2019-11-12,00842B,0,0,-247000,-247000
2019-11-13,00842B,0,0,-250000,-250000
2019-11-14,00842B,0,0,-385000,-385000
2019-11-15,00842B,0,0,-130000,-130000
2019-11-18,00842B,0,0,-461000,-461000
2019-11-19,00842B,0,0,14000,14000
2019-11-20,00842B,0,0,107000,107000
2019-11-21,00842B,0,0,-898000,-898000
2019-11-22,00842B,0,0,307000,307000
2019-11-25,00842B,0,0,309000,309000
2019-11-26,00842B,0,0,8000,8000
2019-11-27,00842B,0,0,112000,112000
2019-11-28,00842B,0,0,178000,178000
2019-11-29,00842B,0,0,615000,615000
2019-12-02,00842B,0,0,301000,301000
2019-12-03,00842B,0,0,216000,216000
2019-12-04,00842B,0,0,98000,98000
2019-12-05,00842B,0,0,197000,197000
2019-12-06,00842B,0,0,285000,285000
2019-12-09,00842B,0,0,60000,60000
2019-12-10,00842B,0,0,82000,82000
2019-12-11,00842B,0,0,625000,625000
2019-12-12,00842B,0,0,242000,242000
2019-12-13,00842B,0,0,63000,63000
2019-12-16,00842B,0,0,139000,139000
2019-12-17,00842B,0,0,37000,37000
2019-12-18,00842B,0,0,100000,100000
2019-12-19,00842B,0,0,195000,195000
2019-12-20,00842B,0,0,94000,94000
2019-12-23,00842B,0,0,169000,169000
