date,stock_id,foreign,trust,dealer,total
2025-09-24,00981T,-299000,0,29119900,28820900
2025-09-25,00981T,0,0,-4156521,-4156521
2025-09-26,00981T,100000,0,-5103059,-5003059
2025-09-30,00981T,0,0,-149455,-149455
2025-10-01,00981T,2000,0,4188866,4190866
2025-10-02,00981T,0,0,24573000,24573000
2025-10-03,00981T,0,0,9777887,9777887
2025-10-07,00981T,0,0,4355341,4355341
2025-10-08,00981T,0,0,2113822,2113822
2025-10-09,00981T,5000,0,2038211,2043211
2025-10-13,00981T,0,0,962404,962404
2025-10-14,00981T,0,0,2763657,2763657
2025-10-15,00981T,0,0,1065899,1065899
2025-10-16,00981T,0,0,1072969,1072969
2025-10-17,00981T,0,0,341853,341853
2025-10-20,00981T,0,0,526122,526122
2025-10-21,00981T,2000,0,206797,208797
2025-10-22,00981T,-4000,0,-1127557,-1131557
2025-10-23,00981T,0,0,-328249,-328249
2025-10-27,00981T,1000,0,1286349,1287349
2025-10-28,00981T,2000,0,841358,843358
2025-10-29,00981T,0,0,934029,934029
2025-10-30,00981T,0,0,631210,631210
2025-10-31,00981T,0,0,81769,81769
2025-11-03,00981T,0,0,2709962,2709962
2025-11-04,00981T,0,0,2646917,2646917
2025-11-05,00981T,0,0,991858,991858
2025-11-06,00981T,0,0,609876,609876
2025-11-07,00981T,0,0,591118,591118
2025-11-10,00981T,149000,0,132680,281680
2025-11-11,00981T,0,0,300350,300350
2025-11-12,00981T,214000,0,1434252,1648252
2025-11-13,00981T,20000,0,984860,1004860
2025-11-14,00981T,-40000,0,782230,742230
2025-11-17,00981T,-35000,0,1241978,1206978
2025-11-18,00981T,-25000,0,1174842,1149842
2025-11-19,00981T,-28000,0,1790883,1762883
2025-11-20,00981T,0,0,1345178,1345178
2025-11-21,00981T,-13000,0,1787558,1774558
2025-11-24,00981T,-16000,0,830984,814984
2025-11-25,00981T,-6000,0,160007,154007
2025-11-26,00981T,-23000,0,1748006,1725006
2025-11-27,00981T,-23000,0,1902877,1879877
2025-11-28,00981T,132000,0,-460092,-328092
2025-12-01,00981T,0,0,1131577,1131577
2025-12-02,00981T,-23000,0,645551,622551
2025-12-03,00981T,-10000,0,676852,666852
2025-12-04,00981T,-21000,0,671582,650582
2025-12-05,00981T,-19000,0,494000,475000
2025-12-08,00981T,-10000,0,178154,168154
2025-12-09,00981T,-8000,0,12390,4390
2025-12-10,00981T,12000,0,658670,670670
2025-12-11,00981T,92000,0,2133748,2225748
