date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2025-10-14,00983D,0,0,44399000,44399000,0,44399000
2025-10-15,00983D,36000,0,-146109,-110109,0,-146109
2025-10-16,00983D,93000,0,-468500,-375500,0,-468500
2025-10-17,00983D,56000,0,-683145,-627145,0,-683145
2025-10-20,00983D,-241000,0,-858241,-1099241,0,-858241
2025-10-21,00983D,-1000,0,1026884,1025884,0,1026884
2025-10-22,00983D,0,0,894723,894723,0,894723
2025-10-23,00983D,37000,0,-291310,-254310,0,-291310
2025-10-27,00983D,0,0,107074,107074,0,107074
2025-10-28,00983D,-845000,0,668949,-176051,0,668949
2025-10-29,00983D,664000,0,-1003848,-339848,0,-1003848
2025-10-30,00983D,1156000,0,-132941,1023059,0,-132941
2025-10-31,00983D,-3000,0,1013975,1010975,0,1013975
2025-11-03,00983D,159000,0,973871,1132871,0,973871
2025-11-04,00983D,108000,0,517731,625731,0,517731
2025-11-05,00983D,506000,0,632074,1138074,0,632074
2025-11-06,00983D,0,0,527789,527789,0,527789
2025-11-07,00983D,61000,0,785059,846059,0,785059
2025-11-10,00983D,38000,0,542598,580598,0,542598
2025-11-11,00983D,90000,0,598860,688860,0,598860
2025-11-12,00983D,69000,0,797016,866016,0,797016
2025-11-13,00983D,424000,0,339000,763000,0,339000
2025-11-14,00983D,322000,0,1439918,1761918,0,1439918
2025-11-17,00983D,0,0,326685,326685,0,326685
2025-11-18,00983D,190000,0,1255408,1445408,0,1255408
2025-11-19,00983D,94000,0,1044000,1138000,0,1044000
2025-11-20,00983D,86000,0,1359979,1445979,0,1359979
2025-11-21,00983D,5000,0,1550476,1555476,0,1550476
2025-11-24,00983D,962000,0,55159,1017159,0,55159
2025-11-25,00983D,650000,0,175053,825053,0,175053
2025-11-26,00983D,476000,0,259909,735909,0,259909
2025-11-27,00983D,615000,0,313893,928893,0,313893
2025-11-28,00983D,0,0,-23068,-23068,0,-23068
2025-12-01,00983D,-52000,0,233928,181928,0,233928
2025-12-02,00983D,0,0,211731,211731,0,211731
2025-12-03,00983D,0,0,-99909,-99909,0,-99909
2025-12-04,00983D,0,0,82174,82174,0,82174
2025-12-05,00983D,-96000,0,295705,199705,0,295705
2025-12-08,00983D,-18000,0,306637,288637,0,306637
2025-12-09,00983D,-163000,0,-262386,-425386,0,-262386
2025-12-10,00983D,97000,0,173309,270309,0,173309
2025-12-11,00983D,0,0,254369,254369,0,254369
2025-12-12,00983D,-11000,0,375857,364857,0,375857
2025-12-15,00983D,-26000,0,282081,256081,0,282081
2025-12-16,00983D,10000,0,412629,422629,0,412629
2025-12-17,00983D,194000,0,-117000,77000,0,-117000
2025-12-18,00983D,-456000,0,1779389,1323389,0,1779389
2025-12-19,00983D,-9000,0,-140968,-149968,0,-140968
2025-12-22,00983D,565000,0,-460400,104600,0,-460400
2025-12-23,00983D,12000,0,126216,138216,0,126216
2025-12-24,00983D,-17000,0,-393769,-410769,0,-393769
2025-12-26,00983D,49000,0,824659,873659,0,824659
2025-12-29,00983D,-15000,0,-345600,-360600,0,-345600
2025-12-30,00983D,-1317000,0,1265508,-51492,0,1265508
2025-12-31,00983D,0,0,-17303,-17303,0,-17303
2026-01-02,00983D,-7000,0,34535,27535,0,34535
2026-01-05,00983D,392000,0,-365833,26167,0,-365833
2026-01-06,00983D,217000,0,210754,427754,0,210754
2026-01-07,00983D,-6000,0,-359031,-365031,0,-359031
2026-01-08,00983D,105000,0,-87326,17674,0,-87326
2026-01-09,00983D,4000,0,238185,242185,0,238185
2026-01-12,00983D,-49000,0,360493,311493,0,360493
2026-01-13,00983D,-28000,0,-949213,-977213,0,-949213
2026-01-14,00983D,229000,0,264997,493997,0,264997
2026-01-15,00983D,-702000,0,278905,-423095,0,278905
2026-01-16,00983D,-484000,0,-517975,-1001975,0,-517975
2026-01-19,00983D,-546000,0,-1410395,-1956395,0,-1410395
2026-01-20,00983D,1304000,0,1574404,2878404,0,1574404
2026-01-21,00983D,361000,0,-98064,262936,0,-98064
2026-01-22,00983D,-1000,0,174059,173059,0,174059
2026-01-23,00983D,-7000,0,511122,504122,0,511122
2026-01-26,00983D,-458000,0,566808,108808,0,566808
2026-01-27,00983D,-408000,0,652503,244503,0,652503
2026-01-28,00983D,-213000,0,-79198,-292198,0,-79198
2026-01-29,00983D,0,0,4453,4453,0,4453
2026-01-30,00983D,108000,0,134808,242808,0,134808
2026-02-02,00983D,1199000,0,-240023,958977,0,-240023
2026-02-03,00983D,-122000,0,149119,27119,0,149119
2026-02-04,00983D,-178000,0,-68391,-246391,0,-68391
2026-02-05,00983D,9000,0,21686,30686,0,21686
2026-02-06,00983D,128000,0,800161,928161,0,800161
2026-02-09,00983D,-335000,0,-285964,-620964,0,-285964
2026-02-10,00983D,24000,0,-137759,-113759,0,-137759
2026-02-11,00983D,-430000,0,318475,-111525,0,318475
2026-02-23,00983D,1223000,0,-1675272,-452272,0,-1675272
2026-02-24,00983D,-175989,0,-474826,-650815,0,-474826
2026-02-25,00983D,-428000,0,-285613,-713613,0,-285613
2026-02-26,00983D,-354000,0,-440975,-794975,0,-440975
2026-03-02,00983D,555000,0,-187509,367491,0,-187509
2026-03-03,00983D,16989,0,610263,627252,0,610263
