date,stock_id,foreign,trust,dealer,total
2026-04-15,00986D,-70000,0,16658000,16588000
2026-04-16,00986D,0,0,2451000,2451000
2026-04-17,00986D,0,0,1832000,1832000
2026-04-20,00986D,132000,0,3600999,3732999
2026-04-21,00986D,1169000,0,-269801,899199
2026-04-22,00986D,0,0,1384525,1384525
2026-04-23,00986D,10000,0,1613799,1623799
2026-04-24,00986D,0,0,807000,807000
2026-04-27,00986D,350000,0,1016000,1366000
2026-04-28,00986D,0,0,1731000,1731000
2026-04-29,00986D,0,0,863200,863200
2026-04-30,00986D,0,0,172199,172199
2026-05-04,00986D,58000,0,376999,434999
2026-05-05,00986D,0,0,590135,590135
2026-05-06,00986D,2636000,0,-77108,2558892
2026-05-07,00986D,981000,0,2146099,3127099
2026-05-08,00986D,0,0,1182949,1182949
2026-05-11,00986D,0,0,1096325,1096325
2026-05-12,00986D,0,0,1748169,1748169
2026-05-13,00986D,0,0,842743,842743
2026-05-14,00986D,6000,0,683999,689999
2026-05-15,00986D,0,0,1371992,1371992
2026-05-18,00986D,0,0,1370574,1370574
2026-05-19,00986D,-4000,0,384190,380190
2026-05-20,00986D,-6000,0,152804,146804
2026-05-21,00986D,0,0,380639,380639
2026-05-22,00986D,0,0,1157200,1157200
2026-05-25,00986D,0,0,931695,931695
2026-05-26,00986D,958000,0,1125999,2083999
2026-05-27,00986D,0,0,736275,736275
2026-05-28,00986D,0,0,1637999,1637999
2026-05-29,00986D,138000,0,457799,595799
2026-06-01,00986D,0,0,852999,852999
2026-06-02,00986D,101000,0,623199,724199
2026-06-03,00986D,0,0,389984,389984
2026-06-04,00986D,0,0,599964,599964
2026-06-05,00986D,364000,0,1001001,1365001
2026-06-08,00986D,4000,0,65200,69200
2026-06-09,00986D,0,0,167462,167462
2026-06-10,00986D,0,0,2038001,2038001
2026-06-11,00986D,0,0,1185559,1185559
2026-06-12,00986D,1000,0,621254,622254
2026-06-15,00986D,53000,0,103999,156999
2026-06-16,00986D,0,0,679409,679409
2026-06-17,00986D,0,0,258856,258856
2026-06-18,00986D,930000,0,-205159,724841
2026-06-22,00986D,154000,0,434197,588197
2026-06-23,00986D,178000,0,-3197,174803
2026-06-24,00986D,856000,0,-300000,556000
2026-06-25,00986D,185000,0,370242,555242
2026-06-26,00986D,8000,0,1088162,1096162
2026-06-29,00986D,0,0,722795,722795
2026-06-30,00986D,0,0,44793,44793
2026-07-01,00986D,-756000,0,1144633,388633
2026-07-02,00986D,0,0,-31530,-31530
2026-07-03,00986D,113000,0,-383800,-270800
2026-07-06,00986D,-1000,0,453202,452202
2026-07-07,00986D,0,0,91999,91999
2026-07-08,00986D,-3000,0,-203020,-206020
2026-07-09,00986D,0,0,-69000,-69000
2026-07-13,00986D,-82000,0,-234201,-316201
2026-07-14,00986D,0,0,39299,39299
2026-07-15,00986D,2000,0,43784,45784
2026-07-16,00986D,70000,0,937270,1007270
2026-07-17,00986D,1660000,0,-434931,1225069
2026-07-20,00986D,374000,0,-318027,55973
2026-07-21,00986D,-26000,0,-108951,-134951
2026-07-22,00986D,-385000,0,738019,353019
2026-07-23,00986D,-26000,0,-152801,-178801
2026-07-24,00986D,-28000,0,-4529,-32529
2026-07-27,00986D,79000,0,75000,154000
2026-07-28,00986D,267000,0,575199,842199
2026-07-29,00986D,735000,0,133000,868000
2026-07-30,00986D,-4000,0,108640,104640
2026-07-31,00986D,13000,0,2312097,2325097
2026-08-03,00986D,-59000,0,-276832,-335832
2026-08-04,00986D,-11000,0,578004,567004
2026-08-05,00986D,-7000,0,804900,797900
2026-08-06,00986D,0,0,1102738,1102738
2026-08-07,00986D,-11000,0,-411417,-422417
2026-08-10,00986D,-14000,0,1368999,1354999
2026-08-11,00986D,0,0,268532,268532
2026-08-12,00986D,1000,0,-94395,-93395
2026-08-13,00986D,-1000,0,360414,359414
2026-08-14,00986D,0,0,-506395,-506395
2026-08-17,00986D,-43000,0,-136794,-179794
2026-08-18,00986D,-43000,0,-113137,-156137
2026-08-19,00986D,-8000,0,-3777,-11777
2026-08-20,00986D,0,0,363462,363462
2026-08-21,00986D,-6000,0,32886,26886
2026-08-24,00986D,-1000,0,-171715,-172715
2026-08-25,00986D,3000,0,96001,99001
2026-08-26,00986D,10000,0,-5001,4999
2026-08-27,00986D,2000,0,21000,23000
2026-08-28,00986D,2000,0,250000,252000
2026-08-31,00986D,71000,0,-24064,46936
2026-09-01,00986D,-7000,0,-122496,-129496
2026-09-02,00986D,326000,0,64951,390951
2026-09-03,00986D,-57000,0,206000,149000
2026-09-04,00986D,-50000,0,103000,53000
