date,stock_id,foreign,trust,dealer,total
2022-12-05,02001S,0,0,-257000,-257000
2022-12-06,02001S,0,0,-116000,-116000
2022-12-07,02001S,0,0,-136000,-136000
2022-12-08,02001S,0,0,-138000,-138000
2022-12-09,02001S,0,0,1000,1000
2022-12-12,02001S,0,0,-36000,-36000
2022-12-13,02001S,0,0,-82000,-82000
2022-12-14,02001S,0,0,66000,66000
2022-12-15,02001S,1000,0,-61000,-60000
2022-12-16,02001S,0,0,-240000,-240000
2022-12-19,02001S,0,0,-11000,-11000
2022-12-20,02001S,-1000,0,-37000,-38000
2022-12-21,02001S,0,0,3000,3000
2022-12-22,02001S,0,0,20000,20000
2022-12-23,02001S,0,0,-2000,-2000
2022-12-26,02001S,0,0,1000,1000
2022-12-27,02001S,0,0,16000,16000
2022-12-28,02001S,0,0,-31000,-31000
2022-12-29,02001S,0,0,-18000,-18000
2022-12-30,02001S,0,0,3000,3000
2023-01-03,02001S,0,0,-7000,-7000
2023-01-04,02001S,0,0,20000,20000
2023-01-05,02001S,0,0,4000,4000
2023-01-06,02001S,0,0,11000,11000
2023-01-09,02001S,0,0,106000,106000
2023-01-10,02001S,0,0,58000,58000
2023-01-11,02001S,0,0,20000,20000
2023-01-12,02001S,0,0,-63000,-63000
2023-01-13,02001S,0,0,233000,233000
2023-01-16,02001S,0,0,96000,96000
2023-01-17,02001S,0,0,19000,19000
2023-01-30,02001S,0,0,111000,111000
2023-01-31,02001S,0,0,9000,9000
2023-02-01,02001S,0,0,7000,7000
2023-02-02,02001S,0,0,8000,8000
2023-02-03,02001S,0,0,6000,6000
2023-02-06,02001S,0,0,2000,2000
2023-02-07,02001S,0,0,1000,1000
2023-02-08,02001S,0,0,3000,3000
2023-02-09,02001S,0,0,41000,41000
2023-02-10,02001S,0,0,3000,3000
2023-02-14,02001S,0,0,-2000,-2000
2023-02-15,02001S,0,0,-8000,-8000
2023-02-16,02001S,0,0,6000,6000
2023-02-20,02001S,0,0,1000,1000
2023-02-21,02001S,0,0,11000,11000
2023-02-22,02001S,0,0,6000,6000
2023-02-23,02001S,0,0,2000,2000
2023-02-24,02001S,0,0,2000,2000
2023-03-01,02001S,0,0,11000,11000
2023-03-03,02001S,0,0,10000,10000
2023-03-07,02001S,0,0,59000,59000
2023-03-10,02001S,0,0,6000,6000
2023-03-13,02001S,0,0,7000,7000
2023-03-14,02001S,0,0,1000,1000
2023-03-15,02001S,0,0,7000,7000
2023-03-16,02001S,0,0,0,0
2023-03-17,02001S,0,0,2000,2000
2023-03-21,02001S,0,0,-1000,-1000
2023-03-22,02001S,0,0,12000,12000
2023-03-23,02001S,0,0,5000,5000
2023-03-27,02001S,0,0,-2000,-2000
2023-03-28,02001S,0,0,1000,1000
2023-03-29,02001S,0,0,10000,10000
2023-03-31,02001S,0,0,3000,3000
2023-04-06,02001S,0,0,5000,5000
2023-04-11,02001S,0,0,-1000,-1000
2023-04-12,02001S,0,0,1000,1000
2023-04-13,02001S,0,0,-1000,-1000
2023-04-14,02001S,0,0,1000,1000
2023-04-19,02001S,0,0,-3000,-3000
2023-04-20,02001S,0,0,-1000,-1000
2023-04-21,02001S,0,0,-7000,-7000
2023-04-24,02001S,0,0,-8000,-8000
2023-04-25,02001S,0,0,-2000,-2000
2023-04-26,02001S,0,0,-16000,-16000
2023-04-28,02001S,0,0,-5000,-5000
2023-05-02,02001S,0,0,1000,1000
2023-05-03,02001S,0,0,-1000,-1000
2023-05-04,02001S,0,0,-1000,-1000
2023-05-05,02001S,0,0,1000,1000
2023-05-09,02001S,0,0,-1000,-1000
2023-05-10,02001S,0,0,0,0
2023-05-11,02001S,0,0,7000,7000
2023-05-12,02001S,0,0,-1000,-1000
2023-05-16,02001S,0,0,18000,18000
2023-05-17,02001S,0,0,8000,8000
2023-05-18,02001S,0,0,3000,3000
2023-05-19,02001S,0,0,-1000,-1000
2023-05-22,02001S,0,0,5000,5000
2023-05-23,02001S,0,0,12000,12000
2023-05-25,02001S,0,0,14000,14000
2023-05-26,02001S,0,0,2000,2000
2023-05-29,02001S,0,0,7000,7000
2023-05-31,02001S,0,0,-1000,-1000
2023-06-01,02001S,0,0,-1000,-1000
2023-06-05,02001S,0,0,0,0
2023-06-06,02001S,0,0,1000,1000
2023-06-08,02001S,0,0,-1000,-1000
2023-06-12,02001S,0,0,-4000,-4000
2023-06-13,02001S,0,0,3000,3000
2023-06-14,02001S,0,0,-7000,-7000
2023-06-16,02001S,0,0,-4000,-4000
2023-06-20,02001S,0,0,3000,3000
2023-06-26,02001S,0,0,16000,16000
2023-06-29,02001S,0,0,4000,4000
2023-07-03,02001S,0,0,-1000,-1000
2023-07-04,02001S,0,0,-1000,-1000
2023-07-05,02001S,0,0,4000,4000
2023-07-06,02001S,0,0,0,0
2023-07-07,02001S,0,0,0,0
2023-07-10,02001S,0,0,-11000,-11000
2023-07-11,02001S,0,0,11000,11000
2023-07-13,02001S,0,0,1000,1000
2023-07-14,02001S,0,0,1000,1000
2023-07-17,02001S,0,0,-20000,-20000
2023-07-18,02001S,0,0,-4000,-4000
2023-07-19,02001S,0,0,1000,1000
2023-07-20,02001S,0,0,-10000,-10000
2023-07-21,02001S,0,0,-1000,-1000
2023-07-24,02001S,0,0,-11000,-11000
2023-07-25,02001S,0,0,1000,1000
2023-07-26,02001S,0,0,33000,33000
2023-07-27,02001S,0,0,1000,1000
2023-07-28,02001S,0,0,-1000,-1000
2023-07-31,02001S,0,0,-4000,-4000
2023-08-02,02001S,0,0,-6000,-6000
2023-08-04,02001S,0,0,-4000,-4000
2023-08-07,02001S,0,0,2000,2000
2023-08-09,02001S,0,0,-6000,-6000
2023-08-10,02001S,0,0,-3000,-3000
2023-08-14,02001S,0,0,4000,4000
2023-08-16,02001S,0,0,2000,2000
2023-08-24,02001S,0,0,6000,6000
2023-08-28,02001S,0,0,9000,9000
2023-09-04,02001S,0,0,1000,1000
2023-09-06,02001S,0,0,-3000,-3000
2023-09-11,02001S,0,0,1000,1000
2023-09-12,02001S,0,0,-1000,-1000
2023-09-14,02001S,0,0,1000,1000
2023-09-20,02001S,0,0,-1000,-1000
2023-09-22,02001S,0,0,-10000,-10000
2023-09-28,02001S,0,0,5000,5000
2023-10-03,02001S,0,0,-1000,-1000
2023-10-04,02001S,0,0,1000,1000
2023-10-16,02001S,0,0,-1000,-1000
2023-10-19,02001S,0,0,-4000,-4000
2023-10-20,02001S,0,0,-54000,-54000
2023-10-23,02001S,0,0,44000,44000
2023-10-25,02001S,0,0,1000,1000
2023-10-26,02001S,0,0,-7000,-7000
2023-10-31,02001S,0,0,-11000,-11000
2023-11-06,02001S,0,0,3000,3000
2023-11-09,02001S,0,0,3000,3000
2023-11-10,02001S,0,0,-2000,-2000
2023-11-13,02001S,0,0,6000,6000
2023-11-15,02001S,0,0,3000,3000
2023-11-16,02001S,0,0,1000,1000
2023-11-17,02001S,0,0,2000,2000
2023-11-20,02001S,0,0,13000,13000
2023-11-21,02001S,0,0,5000,5000
2023-11-22,02001S,0,0,-13000,-13000
2023-11-23,02001S,0,0,-2000,-2000
2023-11-24,02001S,0,0,1000,1000
2023-11-27,02001S,0,0,-5000,-5000
2023-11-28,02001S,0,0,5000,5000
2023-11-29,02001S,0,0,-4000,-4000
2023-12-04,02001S,0,0,1000,1000
2023-12-05,02001S,0,0,-10000,-10000
2023-12-14,02001S,0,0,-1000,-1000
2023-12-15,02001S,0,0,0,0
2023-12-19,02001S,0,0,-4000,-4000
2023-12-21,02001S,0,0,-1000,-1000
2023-12-22,02001S,0,0,-5000,-5000
2023-12-25,02001S,0,0,0,0
2023-12-26,02001S,0,0,1000,1000
2023-12-29,02001S,0,0,-2000,-2000
