date,stock_id,foreign,trust,dealer,total,dealer_self,dealer_hedge
2015-01-05,1307,-74000,0,0,-74000,0,0
2015-01-06,1307,-13000,0,-1000,-14000,-1000,0
2015-01-07,1307,-28000,0,0,-28000,0,0
2015-01-08,1307,-27000,0,0,-27000,0,0
2015-01-09,1307,7000,-36000,0,-29000,0,0
2015-01-12,1307,3000,-25000,0,-22000,0,0
2015-01-13,1307,24000,0,3000,27000,3000,0
2015-01-14,1307,-15445,0,0,-15445,0,0
2015-01-15,1307,30000,0,0,30000,0,0
2015-01-16,1307,-42668,0,-2000,-44668,-2000,0
2015-01-19,1307,0,0,0,0,0,0
2015-01-20,1307,30020,0,50000,80020,50000,0
2015-01-21,1307,17000,5000,20000,42000,20000,0
2015-01-22,1307,52000,5000,5000,62000,5000,0
2015-01-23,1307,-43000,0,75000,32000,75000,0
2015-01-26,1307,-106000,0,0,-106000,0,0
2015-01-27,1307,-19000,0,-10000,-29000,-10000,0
2015-01-28,1307,80000,-25000,11000,66000,11000,0
2015-01-29,1307,59000,0,27000,86000,27000,0
2015-01-30,1307,18000,-1000,-13000,4000,-13000,0
2015-02-02,1307,71000,20000,-55000,36000,-55000,0
2015-02-03,1307,58000,0,-30000,28000,-30000,0
2015-02-04,1307,121000,10000,0,131000,0,0
2015-02-05,1307,-19000,0,-80000,-99000,-80000,0
2015-02-06,1307,83000,0,0,83000,0,0
2015-02-09,1307,9000,0,0,9000,0,0
2015-02-10,1307,72000,0,11000,83000,11000,0
2015-02-11,1307,61000,0,0,61000,0,0
2015-02-12,1307,128000,50000,0,178000,0,0
2015-02-13,1307,252792,295000,-2000,545792,-2000,0
2015-02-24,1307,198000,339000,57000,594000,57000,0
2015-02-25,1307,112000,283000,433000,828000,433000,0
2015-02-26,1307,37000,0,53000,90000,53000,0
2015-03-02,1307,188000,0,163000,351000,163000,0
2015-03-03,1307,-12000,150000,-55000,83000,-55000,0
2015-03-04,1307,90000,2000,31000,123000,31000,0
2015-03-05,1307,64000,-1000,4000,67000,4000,0
2015-03-06,1307,-12000,100000,-33000,55000,-33000,0
2015-03-09,1307,42000,0,-49000,-7000,-49000,0
2015-03-10,1307,460000,-30000,-5000,425000,-5000,0
2015-03-11,1307,117000,100000,7000,224000,7000,0
2015-03-12,1307,472000,56832,-170060,358772,-170060,0
2015-03-13,1307,6000,0,-8000,-2000,-8000,0
2015-03-16,1307,-54000,-1000,6000,-49000,6000,0
2015-03-17,1307,322000,0,-23000,299000,-23000,0
2015-03-18,1307,189599,-20000,3000,172599,3000,0
2015-03-19,1307,220000,0,-4000,216000,-4000,0
2015-03-20,1307,158000,0,-3000,155000,-3000,0
2015-03-23,1307,-21000,-150000,7000,-164000,7000,0
2015-03-24,1307,121000,-150000,10000,-19000,10000,0
2015-03-25,1307,-25000,0,13000,-12000,13000,0
2015-03-26,1307,82000,-50000,0,32000,0,0
2015-03-27,1307,252000,0,-109000,143000,-109000,0
2015-03-30,1307,68000,-33000,-47000,-12000,-47000,0
2015-03-31,1307,59000,-33000,-161000,-135000,-161000,0
2015-04-01,1307,55000,0,-2000,53000,-2000,0
2015-04-02,1307,78000,0,9000,87000,9000,0
2015-04-07,1307,180000,215000,-92000,303000,-92000,0
2015-04-08,1307,-144000,0,-3000,-147000,-3000,0
2015-04-09,1307,232000,0,-2000,230000,-2000,0
2015-04-10,1307,33430,0,23000,56430,23000,0
2015-04-13,1307,36741,0,23000,59741,23000,0
2015-04-14,1307,-28000,0,8000,-20000,8000,0
2015-04-15,1307,-47000,43000,-5000,-9000,-5000,0
2015-04-16,1307,339000,0,-17000,322000,-17000,0
2015-04-17,1307,191000,0,-10000,181000,-10000,0
2015-04-20,1307,310000,-51000,-2000,257000,-2000,0
2015-04-21,1307,564000,0,0,564000,0,0
2015-04-22,1307,74000,0,11000,85000,11000,0
2015-04-23,1307,183000,0,5000,188000,5000,0
2015-04-24,1307,299000,0,22000,321000,22000,0
2015-04-27,1307,402000,0,5000,407000,5000,0
2015-04-28,1307,471011,-2000,9000,478011,9000,0
2015-04-29,1307,146000,-1000,29000,174000,29000,0
2015-04-30,1307,209000,0,-11000,198000,-11000,0
2015-05-04,1307,44000,0,-24000,20000,-24000,0
2015-05-05,1307,-193000,-252000,-54000,-499000,-54000,0
2015-05-06,1307,461000,-180000,-194000,87000,-194000,0
2015-05-07,1307,30000,-38000,7000,-1000,7000,0
2015-05-08,1307,403000,-200000,2000,205000,2000,0
2015-05-11,1307,435000,-108000,-3000,324000,-3000,0
2015-05-12,1307,287970,12000,-19000,280970,-19000,0
2015-05-13,1307,-371280,100000,-5000,-276280,-5000,0
2015-05-14,1307,-377351,-200000,-9000,-586351,-9000,0
2015-05-15,1307,-75000,0,-2000,-77000,-2000,0
2015-05-18,1307,164732,0,-6000,158732,-6000,0
2015-05-19,1307,-20000,0,-4000,-24000,-4000,0
2015-05-20,1307,-48000,0,-4000,-52000,-4000,0
2015-05-21,1307,-56000,0,-6000,-62000,-6000,0
2015-05-22,1307,278000,0,14000,292000,14000,0
2015-05-25,1307,188000,-290000,-2000,-104000,-2000,0
2015-05-26,1307,116000,0,-4000,112000,-4000,0
2015-05-27,1307,101000,0,-1000,100000,-1000,0
2015-05-28,1307,-42000,1000,-8000,-49000,-8000,0
2015-05-29,1307,-138000,-272000,-4000,-414000,-4000,0
2015-06-01,1307,144682,-199767,1000,-54085,1000,0
2015-06-02,1307,-114000,0,5000,-109000,5000,0
2015-06-03,1307,2000,0,-1000,1000,-1000,0
2015-06-04,1307,214000,-12907,-4000,197093,-4000,0
2015-06-05,1307,365000,0,-12000,353000,-12000,0
2015-06-08,1307,-55000,0,18000,-37000,18000,0
2015-06-09,1307,-54000,0,-7000,-61000,-7000,0
2015-06-10,1307,117000,88000,-18000,187000,-18000,0
2015-06-11,1307,-105274,0,6000,-99274,6000,0
2015-06-12,1307,51000,0,0,51000,0,0
2015-06-15,1307,138000,15000,0,153000,0,0
2015-06-16,1307,-97074,0,2000,-95074,2000,0
2015-06-17,1307,-128000,0,-7000,-135000,-7000,0
2015-06-18,1307,-14000,0,0,-14000,0,0
2015-06-22,1307,20000,-2120,-1000,16880,-1000,0
2015-06-23,1307,-24000,52000,1000,29000,1000,0
2015-06-24,1307,104000,0,0,104000,0,0
2015-06-25,1307,5000,0,0,5000,0,0
2015-06-26,1307,-41000,0,0,-41000,0,0
2015-06-29,1307,-370000,0,-3000,-373000,-3000,0
2015-06-30,1307,-13070,0,0,-13070,0,0
2015-07-01,1307,15000,0,0,15000,0,0
2015-07-02,1307,-106000,0,16000,-90000,16000,0
2015-07-03,1307,55000,0,-2000,53000,-2000,0
2015-07-06,1307,-10000,0,-7000,-17000,-7000,0
2015-07-07,1307,167856,-40000,-6000,121856,-6000,0
2015-07-08,1307,132000,0,8000,140000,8000,0
2015-07-09,1307,36000,0,1000,37000,1000,0
2015-07-13,1307,42000,30000,-3000,69000,-3000,0
2015-07-14,1307,-10000,0,17000,7000,17000,0
2015-07-15,1307,41000,-47000,0,-6000,0,0
2015-07-16,1307,153000,0,-1000,152000,-1000,0
2015-07-17,1307,89000,-10000,3000,82000,-2000,5000
2015-07-20,1307,50000,0,5000,55000,5000,0
2015-07-21,1307,45000,0,-3000,42000,0,-3000
2015-07-22,1307,172000,0,84000,256000,18000,66000
2015-07-23,1307,191970,0,-34000,157970,-8000,-26000
2015-07-24,1307,37000,1000,-20000,18000,-5000,-15000
