date,stock_id,foreign,trust,dealer,total
2017-02-10,2887E,-53138,0,-494000,-547138
2017-02-13,2887E,0,0,-500000,-500000
2017-02-14,2887E,-74000,0,-300000,-374000
2017-02-15,2887E,-85293,0,-450000,-535293
2017-02-16,2887E,-212021,0,0,-212021
2017-07-12,2887E,0,-41000,0,-41000
2017-07-13,2887E,0,-33933,0,-33933
2017-08-25,2887E,-1000,0,0,-1000
2017-08-30,2887E,-3000,0,0,-3000
2017-08-31,2887E,-3000,0,0,-3000
2017-09-01,2887E,-2000,0,0,-2000
2017-09-04,2887E,-4000,0,0,-4000
2017-09-06,2887E,-3000,0,0,-3000
2017-09-07,2887E,-3000,0,0,-3000
2017-09-08,2887E,-3000,0,0,-3000
2017-09-11,2887E,-4000,0,0,-4000
2017-09-14,2887E,-5000,0,0,-5000
2017-09-15,2887E,-3000,0,0,-3000
2017-09-18,2887E,-4000,0,0,-4000
2017-09-19,2887E,-5000,0,0,-5000
2017-09-21,2887E,-4000,0,0,-4000
2017-09-22,2887E,-4000,0,0,-4000
2017-09-25,2887E,-4000,0,0,-4000
2017-09-28,2887E,-2000,0,0,-2000
2017-09-29,2887E,-1793,0,0,-1793
2018-01-12,2887E,0,0,26000,26000
2018-01-15,2887E,0,0,30000,30000
2018-01-16,2887E,0,0,26000,26000
2018-01-17,2887E,0,0,15000,15000
2018-01-18,2887E,0,0,25000,25000
2018-01-19,2887E,0,0,32000,32000
2018-01-22,2887E,0,0,26000,26000
2018-01-23,2887E,0,0,30000,30000
2018-01-24,2887E,0,0,38000,38000
2018-01-25,2887E,0,0,36000,36000
2018-01-26,2887E,0,0,24000,24000
2018-01-30,2887E,0,0,1000,1000
2018-01-31,2887E,0,0,10000,10000
2018-02-01,2887E,0,0,23000,23000
2018-02-02,2887E,0,0,23000,23000
2018-02-05,2887E,0,0,23000,23000
2018-02-06,2887E,0,0,15000,15000
2018-02-07,2887E,0,0,31000,31000
2018-02-08,2887E,0,0,20000,20000
2018-02-09,2887E,0,0,-28000,-28000
2018-02-12,2887E,0,0,-44000,-44000
2018-02-23,2887E,2000,0,0,2000
2018-03-06,2887E,0,0,37000,37000
2018-03-07,2887E,0,0,44000,44000
2018-03-08,2887E,0,0,27000,27000
2018-03-09,2887E,0,0,10000,10000
2018-03-26,2887E,7000,0,0,7000
2018-03-27,2887E,8000,0,0,8000
2018-03-30,2887E,0,67000,0,67000
2018-03-31,2887E,0,100000,0,100000
2018-04-02,2887E,0,200000,0,200000
2018-04-09,2887E,0,80000,0,80000
2018-04-25,2887E,0,2000,0,2000
2018-05-02,2887E,0,103000,0,103000
2018-05-03,2887E,0,17000,0,17000
2018-05-04,2887E,0,200000,0,200000
2018-05-07,2887E,0,300000,0,300000
2018-05-08,2887E,0,300000,0,300000
2018-05-09,2887E,0,300000,0,300000
2018-06-04,2887E,0,73000,0,73000
2018-06-05,2887E,0,2000,0,2000
2018-06-06,2887E,-3000,0,0,-3000
2018-06-07,2887E,-2000,0,0,-2000
2018-06-08,2887E,-10000,0,0,-10000
2018-06-11,2887E,-2000,55000,0,53000
2018-06-15,2887E,0,282000,0,282000
2018-06-19,2887E,0,200000,0,200000
2018-07-31,2887E,0,0,-47000,-47000
2018-08-01,2887E,0,0,-25000,-25000
2018-08-02,2887E,0,0,-30000,-30000
2018-08-03,2887E,0,0,-22000,-22000
2018-08-06,2887E,0,0,-40000,-40000
2018-08-07,2887E,0,0,-50000,-50000
2018-08-08,2887E,0,0,-70000,-70000
2018-08-09,2887E,0,0,-4000,-4000
