date,stock_id,foreign,trust,dealer,total
2022-07-26,2887Z1,-2085000,0,-700000,-2785000
2022-07-27,2887Z1,-11988,0,-200000,-211988
2022-07-28,2887Z1,-388,0,-417000,-417388
2022-07-29,2887Z1,-154826,0,-200000,-354826
2022-08-01,2887Z1,0,0,-200000,-200000
2022-08-03,2887Z1,-11665,0,-200000,-211665
2022-08-04,2887Z1,0,0,-458000,-458000
2022-08-05,2887Z1,0,0,-350000,-350000
2022-08-08,2887Z1,0,0,-850000,-850000
2022-08-10,2887Z1,0,0,-180000,-180000
2022-08-11,2887Z1,0,0,-100000,-100000
2022-08-12,2887Z1,-802000,0,0,-802000
2022-08-16,2887Z1,-200000,0,0,-200000
2022-08-17,2887Z1,-599000,0,0,-599000
2022-08-18,2887Z1,-300000,0,0,-300000
2022-08-19,2887Z1,-602000,0,0,-602000
2022-08-22,2887Z1,-304000,0,0,-304000
2022-08-23,2887Z1,-1000,0,0,-1000
2022-08-25,2887Z1,-800000,0,0,-800000
2022-09-01,2887Z1,279,0,0,279
2022-09-02,2887Z1,-18716,0,0,-18716
2022-09-13,2887Z1,-400000,-400000,0,-800000
2022-09-15,2887Z1,-979,0,0,-979
2022-09-16,2887Z1,2000,0,0,2000
2022-09-19,2887Z1,-406824,-700000,0,-1106824
2022-09-22,2887Z1,-5812000,0,0,-5812000
2022-09-23,2887Z1,-1801000,0,0,-1801000
2022-10-04,2887Z1,-26,0,0,-26
2022-11-07,2887Z1,0,-599000,0,-599000
2022-11-14,2887Z1,4,0,0,4
2022-11-18,2887Z1,-2141000,0,0,-2141000
2022-12-12,2887Z1,-6,0,0,-6
2023-03-02,2887Z1,5000,0,0,5000
2023-04-06,2887Z1,-2918,0,0,-2918
2023-05-24,2887Z1,3000,0,0,3000
2023-07-25,2887Z1,-19,0,0,-19
2023-08-23,2887Z1,1734,0,0,1734
2023-11-06,2887Z1,1000,0,0,1000
2023-11-21,2887Z1,3000,0,0,3000
2023-11-28,2887Z1,2000,0,0,2000
2023-11-29,2887Z1,-1000,0,0,-1000
2023-12-08,2887Z1,-1000,0,0,-1000
2023-12-14,2887Z1,1000,0,0,1000
