date,stock_id,foreign,trust,dealer,total
2019-01-17,8104,0,0,-5254,-5254
2019-01-18,8104,19000,0,-34156,-15156
2019-01-21,8104,-1000,0,0,-1000
2019-01-23,8104,17000,0,0,17000
2019-01-24,8104,20000,0,-1007,18993
2019-01-25,8104,16000,0,-721,15279
2019-01-28,8104,15000,0,0,15000
2019-01-29,8104,13000,0,0,13000
2019-01-30,8104,0,0,-7863,-7863
2019-02-12,8104,-15000,0,0,-15000
2019-02-13,8104,16000,0,-15000,1000
2019-02-14,8104,-10000,0,-9000,-19000
2019-02-15,8104,-14000,0,-6000,-20000
2019-02-18,8104,0,0,-5000,-5000
2019-02-19,8104,12000,0,-49000,-37000
2019-02-20,8104,-80000,0,-12144,-92144
2019-02-21,8104,-9390,0,-6000,-15390
2019-02-22,8104,-40000,0,0,-40000
2019-02-25,8104,-16000,0,-1000,-17000
2019-02-26,8104,-10000,0,-11000,-21000
2019-02-27,8104,-18000,0,0,-18000
2019-03-04,8104,1000,0,0,1000
2019-03-05,8104,-5000,0,0,-5000
2019-03-07,8104,11000,0,0,11000
2019-03-08,8104,15000,0,0,15000
2019-03-11,8104,22000,0,0,22000
2019-03-12,8104,5000,0,0,5000
2019-03-13,8104,-15000,0,0,-15000
2019-03-14,8104,16000,0,0,16000
2019-03-15,8104,-12000,0,0,-12000
2019-03-18,8104,3000,0,0,3000
2019-03-19,8104,-4000,0,0,-4000
2019-03-20,8104,3000,0,0,3000
2019-03-21,8104,-3000,0,0,-3000
2019-03-22,8104,4000,0,0,4000
2019-03-25,8104,4000,0,0,4000
2019-03-26,8104,12000,0,0,12000
2019-03-27,8104,-16000,0,0,-16000
2019-03-28,8104,-8000,0,0,-8000
2019-03-29,8104,-2000,0,0,-2000
2019-04-01,8104,1000,0,0,1000
2019-04-02,8104,-10000,0,0,-10000
2019-04-03,8104,-7000,0,0,-7000
2019-04-08,8104,-3000,0,0,-3000
2019-04-09,8104,1000,0,0,1000
2019-04-10,8104,-1000,0,0,-1000
2019-04-11,8104,-1000,0,0,-1000
2019-04-12,8104,-2000,0,0,-2000
2019-04-15,8104,33000,0,0,33000
2019-04-16,8104,13000,0,0,13000
2019-04-17,8104,14000,0,104000,118000
2019-04-18,8104,-34000,0,33000,-1000
2019-04-19,8104,3000,0,-81000,-78000
2019-04-22,8104,0,0,-14000,-14000
2019-04-23,8104,-21000,0,-42000,-63000
2019-04-25,8104,2000,0,0,2000
2019-04-26,8104,-3000,0,0,-3000
2019-04-29,8104,1000,0,0,1000
2019-04-30,8104,-1000,0,0,-1000
2019-05-06,8104,22000,0,0,22000
2019-05-07,8104,-3000,0,0,-3000
2019-05-08,8104,3000,0,0,3000
2019-05-09,8104,-22000,0,0,-22000
2019-05-10,8104,4000,0,0,4000
2019-05-13,8104,0,0,1000,1000
2019-05-14,8104,-1000,0,1000,0
2019-05-15,8104,7000,0,0,7000
2019-05-16,8104,18000,0,0,18000
2019-05-17,8104,-18000,100000,0,82000
2019-05-20,8104,9000,33000,0,42000
2019-05-22,8104,-5000,0,0,-5000
2019-05-23,8104,-1000,0,0,-1000
2019-05-24,8104,-1000,0,0,-1000
2019-05-27,8104,-5000,0,0,-5000
2019-05-28,8104,1000,0,0,1000
2019-05-29,8104,3000,0,0,3000
2019-05-31,8104,1000,0,-1000,0
2019-06-03,8104,4000,0,0,4000
2019-06-04,8104,2000,0,-1000,1000
2019-06-10,8104,15000,0,0,15000
2019-06-11,8104,-4000,0,0,-4000
2019-06-13,8104,-1012,0,0,-1012
2019-06-14,8104,1000,0,0,1000
2019-06-17,8104,16000,0,0,16000
2019-06-18,8104,-70000,0,0,-70000
2019-06-19,8104,3000,0,0,3000
2019-06-20,8104,7000,0,1000,8000
2019-06-21,8104,5000,0,0,5000
2019-06-24,8104,10000,0,0,10000
2019-06-25,8104,-18000,0,0,-18000
2019-06-26,8104,-1000,0,0,-1000
2019-06-27,8104,5000,0,0,5000
2019-06-28,8104,1000,0,0,1000
2019-07-01,8104,11000,0,0,11000
2019-07-02,8104,-3000,0,0,-3000
2019-07-03,8104,-8000,0,0,-8000
2019-07-04,8104,-5000,0,0,-5000
2019-07-05,8104,1000,0,0,1000
2019-07-08,8104,-4000,0,-1000,-5000
2019-07-09,8104,2000,0,0,2000
2019-07-10,8104,-3000,0,0,-3000
2019-07-11,8104,10000,0,-26522,-16522
2019-07-12,8104,-7000,0,0,-7000
2019-07-15,8104,15000,0,0,15000
2019-07-16,8104,-4000,0,0,-4000
2019-07-17,8104,-4000,0,0,-4000
2019-07-18,8104,-3000,0,0,-3000
2019-07-19,8104,-17000,0,0,-17000
2019-07-23,8104,-11000,0,0,-11000
2019-07-24,8104,-13000,0,0,-13000
2019-07-25,8104,-13000,0,0,-13000
2019-07-26,8104,-24000,0,0,-24000
2019-07-29,8104,0,0,0,0
2019-07-30,8104,6000,0,0,6000
2019-07-31,8104,7000,0,0,7000
2019-08-01,8104,-11000,0,0,-11000
2019-08-02,8104,-1000,0,0,-1000
2019-08-05,8104,-24000,0,0,-24000
2019-08-06,8104,16000,0,0,16000
2019-08-07,8104,-51000,0,0,-51000
2019-08-08,8104,34000,0,0,34000
2019-08-12,8104,1000,0,-1000,0
2019-08-13,8104,-39000,0,-1000,-40000
2019-08-14,8104,-23000,0,0,-23000
2019-08-15,8104,-11000,0,0,-11000
2019-08-16,8104,8000,0,1000,9000
2019-08-19,8104,-10000,0,-1000,-11000
2019-08-20,8104,-7000,0,0,-7000
2019-08-21,8104,-17000,0,0,-17000
2019-08-22,8104,13000,0,-1000,12000
2019-08-23,8104,-36000,0,0,-36000
2019-08-26,8104,-1000,0,-1000,-2000
2019-08-27,8104,-14000,0,0,-14000
2019-08-28,8104,-23000,0,0,-23000
2019-08-29,8104,-5000,0,0,-5000
2019-08-30,8104,-16000,0,1000,-15000
2019-09-02,8104,19000,0,0,19000
2019-09-03,8104,-37000,0,0,-37000
2019-09-04,8104,6000,0,0,6000
2019-09-05,8104,-28000,0,0,-28000
2019-09-06,8104,-6000,0,0,-6000
2019-09-09,8104,-16000,0,0,-16000
2019-09-10,8104,-29000,0,0,-29000
2019-09-11,8104,-24000,0,0,-24000
2019-09-12,8104,-16000,0,0,-16000
2019-09-16,8104,-3000,0,-1000,-4000
2019-09-17,8104,-10000,0,0,-10000
2019-09-18,8104,15000,0,0,15000
2019-09-19,8104,-14000,0,0,-14000
2019-09-20,8104,-8000,0,0,-8000
2019-09-23,8104,9000,0,0,9000
2019-09-24,8104,-38000,0,0,-38000
2019-09-25,8104,-12000,0,0,-12000
2019-09-26,8104,-8000,0,0,-8000
2019-09-27,8104,-26000,0,0,-26000
2019-10-01,8104,-8000,0,0,-8000
2019-10-02,8104,-8000,0,0,-8000
2019-10-03,8104,1000,0,0,1000
2019-10-04,8104,-7000,0,0,-7000
2019-10-07,8104,-1000,0,0,-1000
2019-10-08,8104,6000,0,0,6000
2019-10-09,8104,-18000,0,0,-18000
2019-10-14,8104,4000,0,1000,5000
2019-10-15,8104,15000,0,0,15000
2019-10-16,8104,2000,0,0,2000
2019-10-17,8104,5000,0,0,5000
2019-10-18,8104,9000,0,1000,10000
2019-10-21,8104,-43000,0,-2000,-45000
2019-10-22,8104,-4000,0,0,-4000
2019-10-23,8104,23000,0,0,23000
2019-10-24,8104,-9000,0,0,-9000
2019-10-25,8104,-26000,0,0,-26000
2019-10-28,8104,-3000,0,0,-3000
2019-10-29,8104,-4000,0,0,-4000
2019-10-30,8104,-7000,0,0,-7000
2019-10-31,8104,-8000,0,0,-8000
2019-11-01,8104,34000,0,0,34000
2019-11-04,8104,17000,0,0,17000
2019-11-05,8104,-4000,0,0,-4000
2019-11-06,8104,-20000,0,0,-20000
2019-11-07,8104,-12000,0,0,-12000
2019-11-08,8104,-5000,0,1000,-4000
2019-11-11,8104,-43000,0,-1000,-44000
2019-11-12,8104,-7000,0,0,-7000
2019-11-13,8104,9000,0,1000,10000
2019-11-14,8104,17000,0,-1000,16000
2019-11-15,8104,-11000,0,0,-11000
2019-11-18,8104,-4000,0,0,-4000
2019-11-19,8104,-1000,0,0,-1000
2019-11-20,8104,-3000,0,0,-3000
2019-11-21,8104,2000,0,0,2000
2019-11-22,8104,-4000,0,0,-4000
2019-11-25,8104,16000,0,0,16000
2019-11-26,8104,4000,0,0,4000
2019-11-27,8104,-1000,0,0,-1000
2019-11-28,8104,-4000,0,0,-4000
2019-11-29,8104,-15000,0,0,-15000
2019-12-02,8104,-2000,0,0,-2000
2019-12-03,8104,0,0,0,0
2019-12-04,8104,13000,0,0,13000
2019-12-05,8104,5000,0,0,5000
2019-12-06,8104,78000,0,0,78000
2019-12-09,8104,-101000,0,0,-101000
2019-12-10,8104,5000,0,0,5000
2019-12-11,8104,-48000,0,0,-48000
2019-12-12,8104,-8000,0,1000,-7000
2019-12-13,8104,-10000,0,0,-10000
2019-12-16,8104,74000,0,0,74000
2019-12-17,8104,59000,0,0,59000
2019-12-18,8104,48000,0,1000,49000
2019-12-19,8104,726000,0,0,726000
2019-12-20,8104,-179000,0,0,-179000
2019-12-23,8104,-784000,0,0,-784000
2019-12-24,8104,-55000,0,0,-55000
2019-12-25,8104,-13000,0,0,-13000
2019-12-26,8104,-48000,0,0,-48000
2019-12-27,8104,-22000,0,0,-22000
2019-12-30,8104,2000,0,0,2000
2019-12-31,8104,-42000,0,-1000,-43000
2024-01-02,8104,10000,0,0,10000
2024-01-03,8104,-1000,0,0,-1000
2024-01-04,8104,-11000,0,0,-11000
2024-01-05,8104,-14000,0,0,-14000
2024-01-08,8104,-15000,0,0,-15000
2024-01-09,8104,-2000,0,0,-2000
2024-01-10,8104,-11000,0,0,-11000
2024-01-11,8104,-6000,0,2000,-4000
2024-01-12,8104,-11800,0,0,-11800
2024-01-15,8104,-11000,0,0,-11000
2024-01-16,8104,-15000,0,-1000,-16000
2024-01-17,8104,-26000,0,0,-26000
2024-01-18,8104,-5000,0,0,-5000
2024-01-19,8104,-5000,0,0,-5000
2024-01-22,8104,17000,0,0,17000
2024-01-23,8104,15000,0,0,15000
