stock_id,rows,first,last
00400A,103,2026-04-09,2026-09-03
00401A,102,2026-04-10,2026-09-03
00402A,61,2026-06-09,2026-09-03
00403A,81,2026-05-12,2026-09-03
00404A,61,2026-06-09,2026-09-03
00405A,61,2026-06-09,2026-09-03
00406A,59,2026-06-11,2026-09-03
00407A,51,2026-06-24,2026-09-03
00408A,37,2026-07-15,2026-09-03
00409A,2,2026-09-02,2026-09-03
00410A,24,2026-08-03,2026-09-03
0050,2839,2015-01-05,2026-09-03
0051,2765,2015-01-05,2026-09-03
0052,2766,2015-01-05,2026-09-03
0053,2764,2015-01-05,2026-09-03
0054,1646,2015-01-05,2022-05-26
0055,2755,2015-01-05,2026-09-03
0056,2825,2015-01-05,2026-09-03
0057,2749,2015-01-05,2026-09-03
0058,1020,2015-01-05,2019-12-12
0059,1010,2015-01-05,2019-12-19
0060,245,2015-01-05,2016-02-25
0061,2844,2015-01-05,2026-09-03
006203,2432,2015-01-05,2026-09-03
006204,2522,2015-01-05,2026-09-03
006205,2844,2015-01-05,2026-09-03
006206,2843,2015-01-05,2026-09-03
006207,2844,2015-01-05,2026-09-03
006208,2665,2015-01-05,2026-09-03
00625K,1135,2016-08-08,2023-11-14
00631L,2840,2015-01-05,2026-09-03
00632R,2839,2015-01-05,2026-09-03
00633L,2844,2015-01-05,2026-09-03
00634R,2843,2015-01-05,2026-09-03
00635U,2780,2015-04-15,2026-09-03
00636,2789,2015-04-01,2026-09-03
00636K,2113,2017-10-24,2026-09-03
00637L,2759,2015-05-18,2026-09-03
00638R,2745,2015-05-18,2026-09-03
00639,2743,2015-06-09,2026-09-03
00640L,2678,2015-09-10,2026-09-03
00641R,2670,2015-09-10,2026-09-03
00642U,2681,2015-09-07,2026-09-03
00643,2622,2015-12-02,2026-09-03
00643K,279,2016-08-26,2026-09-02
00645,2638,2015-11-06,2026-09-03
00646,2602,2015-12-14,2026-09-03
00647L,2565,2015-12-14,2026-09-03
00648R,2611,2015-12-14,2026-09-03
