date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance
2026-04-09,00401A,0,0,0,64848,0,0,0
2026-04-10,00401A,968,0,968,63848,0,0,0
2026-04-13,00401A,276,920,324,62223,0,0,0
2026-04-14,00401A,2068,56,2336,60723,0,0,0
2026-04-15,00401A,202,85,2453,60723,0,0,0
2026-04-16,00401A,414,1325,1541,61098,0,0,0
2026-04-17,00401A,114,3,1652,61598,0,0,0
2026-04-20,00401A,147,94,1705,62098,0,0,0
2026-04-21,00401A,147,72,1780,63098,0,0,0
2026-04-22,00401A,390,72,2098,63473,0,0,0
2026-04-23,00401A,75,1126,1046,65223,0,0,0
2026-04-24,00401A,55,33,1068,65223,0,0,0
2026-04-27,00401A,74,84,1058,67098,0,0,0
2026-04-28,00401A,80,31,1107,68348,0,0,0
2026-04-29,00401A,98,40,1165,68348,0,0,0
2026-04-30,00401A,488,56,1597,68348,0,0,0
2026-05-04,00401A,141,51,1687,69473,0,0,0
2026-05-05,00401A,75,59,1703,72348,0,0,0
2026-05-06,00401A,209,319,1593,72348,0,0,0
2026-05-07,00401A,30,132,1491,72348,0,0,0
2026-05-08,00401A,24,390,1125,72348,0,0,0
2026-05-11,00401A,35,37,1123,69348,0,0,0
2026-05-12,00401A,246,26,1343,68348,0,0,0
2026-05-13,00401A,36,242,1135,68348,0,0,0
2026-05-14,00401A,97,83,1149,66848,0,0,0
2026-05-15,00401A,8,24,1133,66848,0,0,0
2026-05-18,00401A,4,237,900,66098,0,0,0
2026-05-19,00401A,5,107,798,65848,0,0,0
2026-05-20,00401A,110,2,901,64848,0,0,0
2026-05-21,00401A,4,13,892,63098,0,0,0
2026-05-22,00401A,7,13,886,62348,0,0,0
2026-05-25,00401A,177,4,1059,63223,0,0,0
2026-05-26,00401A,4,11,1052,63223,0,0,0
2026-05-27,00401A,38,65,1025,64473,0,0,0
2026-05-28,00401A,77,231,871,65348,0,0,0
2026-05-29,00401A,88,51,908,65348,0,0,0
2026-06-01,00401A,53,19,942,65348,0,0,0
2026-06-02,00401A,6,1,947,63223,0,0,0
2026-06-03,00401A,90,41,996,63223,0,0,0
2026-06-04,00401A,6,85,917,63223,0,0,0
2026-06-05,00401A,20,56,881,63223,0,0,0
2026-06-08,00401A,69,0,950,62598,0,0,0
2026-06-09,00401A,33,42,941,62598,0,0,0
2026-06-10,00401A,26,70,897,62348,0,0,0
2026-06-11,00401A,1,3,895,64348,0,3,3
2026-06-12,00401A,33,17,911,64098,0,0,3
2026-06-15,00401A,2,37,873,64598,0,0,3
2026-06-16,00401A,27,4,896,64598,0,0,3
2026-06-17,00401A,55,22,929,62598,0,0,3
2026-06-18,00401A,67,18,978,62598,0,0,3
2026-06-22,00401A,73,22,1029,62598,0,0,3
2026-06-23,00401A,10,12,1027,62598,2,0,1
2026-06-24,00401A,17,1,1043,60723,1,0,0
2026-06-25,00401A,11,5,1049,60723,0,1,1
2026-06-26,00401A,12,23,1038,60848,0,0,1
2026-06-29,00401A,62,1,1099,60848,0,0,1
2026-06-30,00401A,19,16,1102,60473,0,0,1
2026-07-01,00401A,27,0,1129,60473,0,0,1
2026-07-02,00401A,6,4,1131,60348,0,1,2
2026-07-03,00401A,6,3,1133,60348,0,0,2
2026-07-06,00401A,8,11,1130,60223,0,0,2
2026-07-07,00401A,16,18,1128,60223,0,0,2
2026-07-08,00401A,5,11,1122,60223,0,0,2
2026-07-09,00401A,7,28,1101,60223,0,0,2
2026-07-13,00401A,24,6,1119,60223,0,0,2
2026-07-14,00401A,23,15,1127,60223,0,0,2
2026-07-15,00401A,5,12,1120,60223,0,0,2
2026-07-16,00401A,5,16,1109,58348,0,0,2
2026-07-17,00401A,43,22,1130,58348,0,0,2
2026-07-20,00401A,4,9,1125,60723,2,0,0
2026-07-21,00401A,0,7,1118,60723,0,2,2
2026-07-22,00401A,2,13,1107,57598,0,0,2
2026-07-23,00401A,50,13,1144,57598,0,0,2
2026-07-24,00401A,24,1,1167,57598,0,0,2
2026-07-27,00401A,10,9,1168,57598,0,1,3
2026-07-28,00401A,56,1,1223,57598,1,0,2
2026-07-29,00401A,125,36,1312,57598,0,1,3
2026-07-30,00401A,9,7,1314,57598,2,0,1
2026-07-31,00401A,52,9,1357,58848,0,1,2
2026-08-03,00401A,28,248,1137,57598,0,0,2
2026-08-04,00401A,45,10,1172,54973,0,0,2
2026-08-05,00401A,26,55,1143,54973,0,0,2
2026-08-06,00401A,197,3,1337,56598,0,0,2
2026-08-07,00401A,63,1,1399,56598,1,0,1
2026-08-10,00401A,163,124,1438,57848,0,0,1
2026-08-11,00401A,335,0,1773,59848,0,0,0
2026-08-12,00401A,82,376,1479,59848,0,0,0
2026-08-13,00401A,477,41,1915,59848,0,0,0
2026-08-14,00401A,11,294,1631,59848,0,0,0
2026-08-17,00401A,7,82,1556,59848,0,0,0
2026-08-18,00401A,50,10,1592,59848,0,3,3
2026-08-19,00401A,26,25,1593,59723,0,0,3
2026-08-20,00401A,1,6,1588,59723,0,0,3
2026-08-21,00401A,4,2,1590,59723,0,0,3
2026-08-24,00401A,26,0,1616,59723,0,0,3
2026-08-25,00401A,18,23,1611,59723,1,0,2
2026-08-26,00401A,37,12,1636,59723,2,0,0
2026-08-27,00401A,105,57,1684,57598,0,0,0
2026-08-28,00401A,13,8,1689,57473,0,0,0
2026-08-31,00401A,40,154,1575,56973,0,0,0
2026-09-01,00401A,178,419,1334,57598,0,0,0
2026-09-02,00401A,126,100,1360,56223,0,0,0
2026-09-03,00401A,68,98,1330,56223,0,0,0
2026-09-04,00401A,27,7,1350,57348,0,0,0
2026-09-08,00401A,203,59,1537,57848,0,0,0
