date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret
2026-06-08,00405A,0,0,0,323186,0,0,0,,,,
2026-06-09,00405A,12963,0,12963,427061,0,0,0,,,,
2026-06-10,00405A,10529,1500,21992,485811,0,7947,7947,,,,
2026-06-11,00405A,12449,1464,32975,614436,1436,110,6621,,,,
2026-06-12,00405A,2786,3279,32422,614811,0,18,6639,,,,
2026-06-15,00405A,2138,7682,26575,612311,110,12,30,,,,
2026-06-16,00405A,1878,5647,22793,612311,0,27,57,,,,
2026-06-17,00405A,1834,1102,23513,612311,22,0,35,,,,
2026-06-18,00405A,5530,3933,25042,606936,0,184,219,,,,
2026-06-22,00405A,5870,8957,21927,621186,155,26,90,,,,
2026-06-23,00405A,1870,2504,21282,623061,15,2,77,,,,
2026-06-24,00405A,2657,2232,21707,638936,64,3,16,,,,
2026-06-25,00405A,3490,2215,22982,638936,0,80,96,,,,
2026-06-26,00405A,2886,4182,21671,651186,75,310,331,,,,
2026-06-29,00405A,2259,3171,20698,672061,6,0,325,,,,
2026-06-30,00405A,676,2960,18413,670561,138,65,252,,,,
2026-07-01,00405A,1353,1626,18138,661436,0,25,277,,,,
2026-07-02,00405A,1566,982,18711,657436,55,0,222,,,,
2026-07-03,00405A,743,446,19008,657436,95,54,181,,,,
2026-07-06,00405A,1762,735,20035,672186,29,0,152,,,,
2026-07-07,00405A,3647,508,23172,705436,106,523,569,,,,
2026-07-08,00405A,1890,501,24551,737686,220,71,420,,,,
2026-07-09,00405A,727,2159,23114,737936,150,425,695,,,,
2026-07-13,00405A,1582,652,24044,744561,49,23,669,,,,
2026-07-14,00405A,4564,2611,25992,779936,551,85,203,,,,
2026-07-15,00405A,1976,1155,26793,778561,87,86,202,,,,
2026-07-16,00405A,1536,1411,26918,778811,51,3,154,,,,
2026-07-17,00405A,4179,2876,28194,816186,30,311,435,,,,
2026-07-20,00405A,1846,1320,28639,827061,372,443,506,,,,
2026-07-21,00405A,740,1232,28143,829561,419,173,260,,,,
2026-07-22,00405A,532,2868,25784,825061,13,119,366,,,,
2026-07-23,00405A,587,1189,25116,825061,173,4,197,,,,
2026-07-24,00405A,4414,406,29122,832061,85,397,509,,,,
2026-07-27,00405A,1328,526,29921,834186,417,35,127,,,,
2026-07-28,00405A,4573,470,33997,852936,8,370,489,,,,
2026-07-29,00405A,9054,6529,36369,873061,366,4783,4906,,,,
2026-07-30,00405A,2997,3496,35762,877186,4281,269,894,,,,
2026-07-31,00405A,9128,3728,41083,918186,282,87,699,,,,
2026-08-03,00405A,3672,3881,40690,934061,31,266,434,,,,
2026-08-04,00405A,4353,4659,40375,939811,3,174,605,,,,
2026-08-05,00405A,3758,5591,38439,937436,142,95,558,,,,
2026-08-06,00405A,1448,5159,34728,931311,4,115,669,,,,
2026-08-07,00405A,4145,4804,34068,930936,161,53,561,,,,
2026-08-10,00405A,1173,6951,28282,918311,62,39,538,,,,
2026-08-11,00405A,760,808,28147,916186,23,77,592,,,,
2026-08-12,00405A,1509,3318,26131,908186,11,512,1093,,,,
2026-08-13,00405A,7598,2005,31723,901436,5,70,1158,,,,
2026-08-14,00405A,2226,2986,30958,893936,5,126,1279,,,,
2026-08-17,00405A,1029,2675,29307,887311,82,77,1274,,,,
2026-08-18,00405A,1065,7982,22369,874686,114,58,1218,,,,
2026-08-19,00405A,1548,831,23083,869061,170,84,1128,,,,
2026-08-20,00405A,1218,191,24070,866061,290,32,870,,,,
2026-08-21,00405A,1043,999,24084,862561,18,52,904,,,,
2026-08-24,00405A,1456,1817,23713,861936,252,29,681,,,,
2026-08-25,00405A,2047,1161,24599,861936,17,62,726,,,,
2026-08-26,00405A,10591,3125,32054,860686,45,104,785,,,,
2026-08-27,00405A,678,1459,31269,855311,41,84,828,,,,
2026-08-28,00405A,1116,1516,30857,831811,5,37,860,,,,
2026-08-31,00405A,596,10631,20795,813686,82,81,859,,,,
2026-09-01,00405A,1896,1531,21158,811061,57,99,901,,,,
2026-09-02,00405A,720,961,20917,796436,105,0,796,,,,
2026-09-03,00405A,1096,1036,20977,794811,142,11,665,,,,
2026-09-04,00405A,230,638,20527,795811,41,14,638,,,,
2026-09-07,00405A,906,830,20587,790436,0,37,675,20527,16,638,0
2026-09-08,00405A,1187,190,21580,786561,36,11,650,,,,
2026-09-09,00405A,359,579,21349,781561,0,5,655,21580,11,650,0
