date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret
2015-01-05,00632R,371,324,6617,25037,0,0,15,,,,
2015-01-06,00632R,996,1235,6378,25037,0,0,15,,,,
2015-01-07,00632R,443,255,6566,25037,0,0,15,,,,
2015-01-08,00632R,865,941,6490,21037,0,8,23,,,,
2015-01-09,00632R,397,250,6637,21162,1,13,35,,,,
2015-01-12,00632R,202,285,6554,21537,0,14,49,,,,
2015-01-13,00632R,319,325,6548,26287,17,0,32,,,,
2015-01-14,00632R,166,270,6444,32287,0,4,36,,,,
2015-01-15,00632R,738,74,7108,32537,2,1,35,,,,
2015-01-16,00632R,701,810,6999,33037,1,9,43,,,,
2015-01-19,00632R,1263,284,7978,34162,6,20,57,,,,
2015-01-20,00632R,469,238,8209,36037,25,0,32,,,,
2015-01-21,00632R,1088,277,9020,38162,11,0,21,,,,
2015-01-22,00632R,907,213,9714,41037,0,2,23,,,,
2015-01-23,00632R,1106,354,10413,43037,0,0,23,,,,
2015-01-26,00632R,376,1786,9003,43787,0,2,25,,,,
2015-01-27,00632R,436,331,9100,44912,3,0,22,,,,
2015-01-28,00632R,567,138,9529,47412,0,0,21,,,,
2015-01-29,00632R,669,372,9826,48787,0,2,23,,,,
2015-01-30,00632R,810,527,10109,48912,0,2,25,,,,
2015-02-02,00632R,282,932,9459,49412,0,0,25,,,,
2015-02-03,00632R,370,317,9511,44787,1,0,24,,,,
2015-02-04,00632R,370,267,9607,45787,3,0,21,,,,
2015-02-05,00632R,135,184,9558,46662,0,0,21,,,,
2015-02-06,00632R,256,172,9642,46662,0,0,21,,,,
2015-02-09,00632R,81,289,9429,46662,0,2,23,,,,
2015-02-10,00632R,62,156,9330,47037,0,1,24,,,,
2015-02-11,00632R,93,756,8667,47162,1,0,23,,,,
2015-02-12,00632R,48,231,8479,47162,0,0,23,,,,
2015-02-13,00632R,396,223,8652,47162,2,0,21,,,,
2015-02-24,00632R,930,168,9414,49787,0,0,21,,,,
2015-02-25,00632R,1111,882,9643,50412,0,0,21,,,,
2015-02-26,00632R,362,245,9760,51037,0,0,21,,,,
2015-03-02,00632R,394,403,9751,51037,0,2,23,,,,
2015-03-03,00632R,60,353,9458,51037,1,0,22,,,,
2015-03-04,00632R,205,72,9591,51037,0,0,22,,,,
2015-03-05,00632R,1146,489,10248,51287,21,10,11,,,,
2015-03-06,00632R,125,74,10299,51412,10,3,4,,,,
2015-03-09,00632R,244,226,10317,51787,3,10,11,,,,
2015-03-10,00632R,1119,537,10899,52037,1,0,10,,,,
2015-03-11,00632R,468,306,11061,52787,0,1,11,,,,
2015-03-12,00632R,468,142,11387,52787,0,0,11,,,,
2015-03-13,00632R,387,33,11741,52912,11,0,0,,,,
2015-03-16,00632R,239,236,11743,53912,0,0,0,,,,
2015-03-17,00632R,770,890,11623,54912,0,1,1,,,,
2015-03-18,00632R,931,184,12370,55537,0,0,1,,,,
2015-03-19,00632R,1594,753,13211,58662,0,3,4,,,,
