date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret
2015-01-05,00633L,2914,3593,32365,37239,549,1912,4932,,,,
2015-01-06,00633L,4546,3778,33133,37489,895,658,4691,,,,
2015-01-07,00633L,2060,1151,34042,38739,385,276,4521,,,,
2015-01-08,00633L,3494,3063,34471,38739,1437,339,3414,,,,
2015-01-09,00633L,5486,1684,38273,45989,582,444,3266,,,,
2015-01-12,00633L,4605,2312,40566,47739,1435,351,2179,,,,
2015-01-13,00633L,2937,1037,41767,49489,327,364,2215,,,,
2015-01-14,00633L,2689,889,43566,50864,388,289,2116,,,,
2015-01-15,00633L,2445,1171,44835,51989,274,241,2080,,,,
2015-01-16,00633L,3927,4226,44536,51989,512,217,1785,,,,
2015-01-19,00633L,8592,10951,42170,55239,1065,320,1037,,,,
2015-01-20,00633L,14353,2129,54378,62489,327,681,1391,,,,
2015-01-21,00633L,4096,5817,52656,64489,362,1629,2657,,,,
2015-01-22,00633L,4704,4353,53005,64489,444,322,2535,,,,
2015-01-23,00633L,4557,4419,53043,64489,446,501,2578,,,,
2015-01-26,00633L,3423,2816,53650,64489,595,201,2184,,,,
2015-01-27,00633L,4665,5801,52514,64489,608,853,2429,,,,
2015-01-28,00633L,3199,1918,53761,64489,516,354,2266,,,,
2015-01-29,00633L,4169,1774,55330,64489,1141,755,1875,,,,
2015-01-30,00633L,4025,2866,56488,64489,485,314,1703,,,,
2015-02-02,00633L,3534,3076,56943,64489,670,671,1700,,,,
2015-02-03,00633L,3761,950,59753,65114,481,167,1386,,,,
2015-02-04,00633L,3059,4359,58431,65114,358,387,1406,,,,
2015-02-05,00633L,5129,3787,59773,66239,319,668,1753,,,,
2015-02-06,00633L,4054,2347,60894,70489,690,434,1490,,,,
2015-02-09,00633L,3103,2359,61612,71989,443,576,1609,,,,
2015-02-10,00633L,1850,3113,60323,72989,135,597,2067,,,,
2015-02-11,00633L,2286,2083,60360,72989,211,189,2024,,,,
2015-02-12,00633L,1965,1562,60412,72989,113,538,2446,,,,
2015-02-13,00633L,3151,5084,58262,72989,606,535,2372,,,,
2015-02-24,00633L,4436,1871,60458,72989,74,267,2551,,,,
2015-02-25,00633L,5915,2536,63826,74239,416,567,2692,,,,
2015-02-26,00633L,4017,3803,63989,75489,869,683,2506,,,,
2015-03-02,00633L,6660,4737,65912,75489,406,340,2432,,,,
2015-03-03,00633L,5205,2231,68886,76739,544,115,1863,,,,
2015-03-04,00633L,4618,1897,71607,80239,604,370,1629,,,,
2015-03-05,00633L,5774,1200,76178,86614,516,291,1402,,,,
2015-03-06,00633L,3128,1673,77621,87114,317,164,1219,,,,
2015-03-09,00633L,4266,2923,78962,90364,423,66,862,,,,
2015-03-10,00633L,3502,4760,77623,90364,200,328,987,,,,
2015-03-11,00633L,3117,4911,75769,90364,191,498,1293,,,,
2015-03-12,00633L,3999,8163,71605,90364,197,1428,2520,,,,
2015-03-13,00633L,6479,6185,71899,90364,221,763,3061,,,,
2015-03-16,00633L,5051,5557,71393,90364,294,999,3760,,,,
2015-03-17,00633L,7877,13120,66150,90364,195,1373,4938,,,,
2015-03-18,00633L,5462,6526,65086,89864,365,1919,6489,,,,
2015-03-19,00633L,7555,7050,65589,89864,414,1358,7433,,,,
2015-03-20,00633L,6405,5508,66463,89864,541,1323,8215,,,,
2015-03-23,00633L,4898,8224,63135,89864,1133,1827,8907,,,,
2015-03-24,00633L,9774,9492,63270,89864,1329,1197,8749,,,,
2015-03-25,00633L,6492,5609,64153,89864,1661,803,7891,,,,
2015-03-26,00633L,5599,10329,59420,89864,661,3268,10498,,,,
2015-03-27,00633L,2487,4676,57229,89864,855,995,10638,,,,
2015-03-30,00633L,4756,7514,54471,89864,986,2299,11951,,,,
2015-03-31,00633L,10253,10051,54673,89864,1118,1228,12061,,,,
2015-04-01,00633L,5793,3664,56775,89864,613,1352,12800,,,,
2015-04-02,00633L,5971,5732,57014,89739,797,551,12554,,,,
2015-04-07,00633L,4085,9010,52089,89739,333,1980,14186,,,,
2015-04-08,00633L,5988,7216,50859,89614,524,2134,15794,,,,
2015-04-09,00633L,9548,9736,50671,89614,1062,1313,16045,,,,
2015-04-10,00633L,4334,6854,48151,89614,988,1392,16449,,,,
2015-04-13,00633L,7871,8979,47043,89364,1190,1478,16737,,,,
2015-04-14,00633L,7866,6601,48288,89114,1027,2314,18024,,,,
2015-04-15,00633L,6573,9413,45448,87489,740,2316,19600,,,,
2015-04-16,00633L,7581,9280,43749,86114,2284,2133,19444,,,,
2015-04-17,00633L,9892,6949,46692,84739,1886,1844,19400,,,,
2015-04-20,00633L,8107,8821,45698,83489,1607,1639,19425,,,,
2015-04-21,00633L,8444,6186,47956,82364,2017,662,18070,,,,
2015-04-22,00633L,8244,5140,51059,81364,617,1295,18748,,,,
2015-04-23,00633L,10729,9036,52752,80239,1245,994,18445,,,,
2015-04-24,00633L,10065,9430,53386,79364,2548,577,16473,,,,
2015-04-27,00633L,6261,7225,52370,78239,611,1937,17797,,,,
2015-04-28,00633L,7366,8793,50939,77239,1486,1305,17615,,,,
2015-04-29,00633L,6602,4811,52721,75989,434,1745,18921,,,,
2015-04-30,00633L,3476,3415,52622,75989,758,510,18673,,,,
2015-05-04,00633L,4605,2768,53958,73864,1315,847,18204,,,,
2015-05-05,00633L,7126,5769,55315,72614,1840,1420,17784,,,,
2015-05-06,00633L,5989,5339,55915,71739,1285,1752,18251,,,,
2015-05-07,00633L,13973,6349,63454,70864,6777,466,11935,,,,
2015-05-08,00633L,4066,4593,62918,69864,1570,2657,13018,,,,
2015-05-11,00633L,4239,6301,60851,69239,983,3059,15093,,,,
2015-05-12,00633L,3612,4657,59806,68239,492,1367,15964,,,,
2015-05-13,00633L,4433,3550,60651,67364,1476,734,15193,,,,
2015-05-14,00633L,3654,2816,61488,66614,1192,364,14341,,,,
2015-05-15,00633L,3437,4327,59753,65739,1383,1644,14590,,,,
2015-05-18,00633L,1065,5212,55592,64364,1566,939,13950,,,,
2015-05-19,00633L,5097,4683,55986,63239,2834,1393,12497,,,,
2015-05-20,00633L,3031,3681,55336,61864,2152,1601,11946,,,,
2015-05-21,00633L,1810,3583,53060,60864,528,1017,12430,,,,
2015-05-22,00633L,2942,8667,47326,59614,535,3881,15770,,,,
2015-05-25,00633L,4530,7606,44250,58364,1787,2070,16053,,,,
2015-05-26,00633L,8101,6948,45400,55739,2325,2181,15898,,,,
2015-05-27,00633L,5334,5146,45286,54239,2757,979,14119,,,,
2015-05-28,00633L,4086,5918,43292,53114,1966,956,13103,,,,
2015-05-29,00633L,6787,3432,46587,53114,4393,536,9244,,,,
2015-06-01,00633L,2480,2713,46047,51364,658,1556,10126,,,,
2015-06-02,00633L,3596,3568,46075,50864,882,1497,10740,,,,
2015-06-03,00633L,3065,3609,45222,50114,695,1322,11367,,,,
2015-06-04,00633L,5429,6722,43929,49614,1891,2169,11615,,,,
2015-06-05,00633L,4372,8866,39435,48989,920,3681,14376,,,,
