date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret
2015-04-14,00635U,0,0,0,20378,0,0,0,,,,
2015-04-15,00635U,128,0,128,20378,0,0,0,,,,
2015-04-16,00635U,209,54,283,19753,0,0,0,,,,
2015-04-17,00635U,192,12,463,19753,0,0,0,,,,
2015-04-20,00635U,31,32,462,19753,0,0,0,,,,
2015-04-21,00635U,72,6,528,19753,0,0,0,,,,
2015-04-22,00635U,30,10,548,19753,0,4,4,,,,
2015-04-23,00635U,47,23,572,19753,0,10,14,,,,
2015-04-24,00635U,42,127,487,19753,0,6,20,,,,
2015-04-27,00635U,66,30,523,19753,0,7,27,,,,
2015-04-28,00635U,161,42,642,19753,21,0,6,,,,
2015-04-29,00635U,44,176,510,19753,0,0,6,,,,
2015-04-30,00635U,314,3,821,19753,0,1,7,,,,
2015-05-04,00635U,35,5,851,19753,1,0,6,,,,
2015-05-05,00635U,42,7,886,19753,0,4,10,,,,
2015-05-06,00635U,25,22,889,19753,0,2,12,,,,
2015-05-07,00635U,78,100,867,19753,0,0,12,,,,
2015-05-08,00635U,54,7,914,19753,1,4,15,,,,
2015-05-11,00635U,0,1,913,19753,1,4,18,,,,
2015-05-12,00635U,35,4,944,19753,0,2,20,,,,
2015-05-13,00635U,2,16,930,19753,0,1,21,,,,
2015-05-14,00635U,25,299,656,19128,8,48,61,,,,
2015-05-15,00635U,33,72,617,18628,0,0,61,,,,
2015-05-18,00635U,79,57,639,17003,0,10,71,,,,
2015-05-19,00635U,17,37,619,15753,0,1,72,,,,
2015-05-20,00635U,28,51,596,15503,1,0,71,,,,
2015-05-21,00635U,8,108,496,15503,0,2,73,,,,
2015-05-22,00635U,34,3,527,15503,42,2,33,,,,
2015-05-25,00635U,58,22,563,15503,1,3,35,,,,
2015-05-26,00635U,73,6,630,15503,10,2,27,,,,
2015-05-27,00635U,87,17,700,15128,0,0,27,,,,
2015-05-28,00635U,38,2,736,14753,0,0,27,,,,
2015-05-29,00635U,31,1,766,14753,0,2,29,,,,
2015-06-01,00635U,11,16,761,14753,0,0,29,,,,
2015-06-02,00635U,118,9,870,14753,0,0,29,,,,
2015-06-03,00635U,9,145,734,14753,0,0,29,,,,
2015-06-04,00635U,72,1,805,14753,3,1,27,,,,
2015-06-05,00635U,115,86,834,14753,2,4,29,,,,
2015-06-08,00635U,113,10,937,14753,0,5,34,,,,
2015-06-09,00635U,21,66,892,14753,0,0,34,,,,
2015-06-10,00635U,15,104,803,14753,0,1,35,,,,
2015-06-11,00635U,2,68,737,14753,0,4,39,,,,
2015-06-12,00635U,39,6,770,14753,0,4,43,,,,
2015-06-15,00635U,16,2,784,14753,2,4,45,,,,
2015-06-16,00635U,1,57,728,14753,0,4,49,,,,
2015-06-17,00635U,30,1,757,14753,0,0,49,,,,
2015-06-18,00635U,1,50,708,14753,17,0,32,,,,
2015-06-22,00635U,0,76,632,14753,1,0,31,,,,
2015-06-23,00635U,15,2,645,14753,1,1,31,,,,
2015-06-24,00635U,102,5,742,14753,0,4,35,,,,
2015-06-25,00635U,21,0,763,14753,1,0,34,,,,
2015-06-26,00635U,35,0,798,14753,0,0,34,,,,
2015-06-29,00635U,18,106,710,14503,0,4,38,,,,
2015-06-30,00635U,13,2,721,14503,0,0,38,,,,
2015-07-01,00635U,16,82,655,14503,0,0,38,,,,
2015-07-02,00635U,46,0,701,14503,0,4,42,,,,
2015-07-03,00635U,24,36,689,14503,1,2,43,,,,
2015-07-06,00635U,50,10,729,14503,0,0,43,,,,
2015-07-07,00635U,23,4,748,14503,0,0,43,,,,
2015-07-08,00635U,38,35,751,14503,2,0,41,,,,
2015-07-09,00635U,36,21,766,14503,0,4,45,,,,
2015-07-13,00635U,2,25,743,14503,0,0,45,,,,
2015-07-14,00635U,5,0,748,14503,0,0,45,,,,
2015-07-15,00635U,1,1,748,14503,1,0,44,,,,
2015-07-16,00635U,33,0,781,14503,0,9,53,,,,
2015-07-17,00635U,3,1,783,14503,0,7,60,,,,
2015-07-20,00635U,64,12,835,14503,5,5,60,,,,
2015-07-21,00635U,6,15,825,14503,0,27,87,,,,
2015-07-22,00635U,33,37,815,14503,0,49,136,,,,
2015-07-23,00635U,1,48,768,14253,20,3,119,,,,
2015-07-24,00635U,25,13,780,14128,0,6,125,,,,
2015-07-27,00635U,24,126,678,13878,3,2,124,,,,
2015-07-28,00635U,3,1,680,13878,28,8,104,,,,
2015-07-29,00635U,0,33,647,13878,12,1,93,,,,
2015-07-30,00635U,0,10,637,13878,8,0,85,,,,
2015-07-31,00635U,11,3,645,13878,6,2,81,,,,
2015-08-03,00635U,2,12,635,13628,0,1,82,,,,
2015-08-04,00635U,14,1,648,13628,0,0,82,,,,
2015-08-05,00635U,1,2,647,13628,0,2,84,,,,
2015-08-06,00635U,0,3,644,13628,1,2,85,,,,
2015-08-07,00635U,1,9,636,13253,0,4,89,,,,
2015-08-10,00635U,3,30,609,13253,13,4,80,,,,
2015-08-11,00635U,7,20,596,12753,1,5,84,,,,
2015-08-12,00635U,104,17,680,12253,23,0,61,,,,
2015-08-13,00635U,22,24,678,12003,5,8,64,,,,
2015-08-14,00635U,12,110,580,12003,4,4,64,,,,
2015-08-17,00635U,6,2,584,12003,0,4,68,,,,
2015-08-18,00635U,0,2,582,12003,0,0,68,,,,
2015-08-19,00635U,17,0,599,12003,0,4,72,,,,
2015-08-20,00635U,55,19,635,12003,4,4,72,,,,
2015-08-21,00635U,225,50,805,12003,21,4,55,,,,
2015-08-24,00635U,513,68,1250,12003,2,1,54,,,,
2015-08-25,00635U,2,209,1043,12003,3,15,66,,,,
2015-08-26,00635U,47,34,1056,12003,2,39,103,,,,
2015-08-27,00635U,7,32,1031,12003,14,1,90,,,,
2015-08-28,00635U,31,125,937,12003,12,1,79,,,,
2015-08-31,00635U,50,9,978,12003,1,3,81,,,,
2015-09-01,00635U,3,34,947,12003,6,1,76,,,,
2015-09-02,00635U,5,58,894,12003,0,0,76,,,,
2015-09-03,00635U,1,0,895,12003,0,0,76,,,,
2015-09-04,00635U,24,1,918,12003,5,1,72,,,,
2015-09-07,00635U,3,65,856,12003,0,0,72,,,,
2015-09-08,00635U,101,50,907,12003,0,0,72,,,,
2015-09-09,00635U,12,0,918,12003,17,0,54,,,,
2015-09-10,00635U,30,41,907,12003,0,13,67,,,,
2015-09-11,00635U,102,53,956,12003,0,0,67,,,,
2015-09-14,00635U,1,2,955,12003,1,16,82,,,,
2015-09-15,00635U,1,12,944,12003,0,14,96,,,,
2015-09-16,00635U,6,70,880,12003,27,2,71,,,,
2015-09-17,00635U,53,159,774,12003,0,2,73,,,,
