date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2015-12-11,00648R,0,0,0,9672,0,0,0,0,0,0,0,
2015-12-14,00648R,145,0,145,9672,0,0,0,0,0,0,0,
2015-12-15,00648R,153,11,287,9672,0,0,0,145,0,0,0,
2015-12-16,00648R,328,15,600,9672,0,0,0,287,0,0,0,
2015-12-17,00648R,192,43,749,9797,0,0,0,600,0,0,0,
2015-12-18,00648R,208,112,845,9797,0,3,3,749,0,0,0,
2015-12-21,00648R,185,226,804,9797,0,0,3,845,0,3,0,
2015-12-22,00648R,276,15,1065,9797,0,0,3,804,0,3,0,
2015-12-23,00648R,245,51,1259,9922,0,1,4,1065,0,3,0,
2015-12-24,00648R,480,65,1674,10047,3,0,1,1259,0,4,0,
2015-12-25,00648R,6,29,1651,10047,0,0,1,1674,0,1,0,
2015-12-28,00648R,15,282,1384,10047,0,2,3,1651,0,1,0,
2015-12-29,00648R,78,52,1410,10297,1,0,2,1384,0,3,0,
2015-12-30,00648R,226,54,1582,10297,0,0,2,1410,0,2,0,
2015-12-31,00648R,69,65,1556,10422,2,0,0,1582,30,2,0,
2016-01-04,00648R,602,244,1914,10422,0,0,0,1556,0,0,0,
2016-01-05,00648R,62,638,1338,10422,0,0,0,1914,0,0,0,
2016-01-06,00648R,275,122,1491,10297,0,0,0,1338,0,0,0,
2016-01-07,00648R,1134,367,2258,10172,0,0,0,1491,0,0,0,
2016-01-08,00648R,69,1358,969,9922,0,0,0,2258,0,0,0,
2016-01-11,00648R,661,113,1517,9547,0,2,2,969,0,0,0,
2016-01-12,00648R,430,351,1596,9547,0,0,2,1517,0,2,0,
2016-01-13,00648R,340,215,1721,9422,1,3,4,1596,0,2,0,
2016-01-14,00648R,544,164,2101,9297,4,1,1,1721,0,4,0,
2016-01-15,00648R,1387,66,3422,9297,1,1,1,2101,0,1,0,
2016-01-18,00648R,695,795,3322,9297,0,20,21,3422,0,1,0,
2016-01-19,00648R,122,768,2676,9297,0,5,26,3322,0,21,0,
2016-01-20,00648R,1413,62,4027,9297,5,10,31,2676,0,26,0,
2016-01-21,00648R,931,502,4456,9672,0,1,32,4027,0,31,0,
2016-01-22,00648R,791,259,4988,9672,1,6,37,4456,0,32,0,
2016-01-25,00648R,293,285,4996,9922,36,1,2,4988,0,37,0,
2016-01-26,00648R,496,225,5267,9922,0,25,27,4996,0,2,0,
2016-01-27,00648R,661,119,5809,9922,25,0,2,5267,0,27,0,
2016-01-28,00648R,183,319,5653,9922,0,2,4,5809,20,2,0,
2016-01-29,00648R,87,656,4984,9922,0,0,4,5653,100,4,0,
2016-01-30,00648R,194,219,4959,9922,0,1,5,4984,0,4,0,
2016-02-01,00648R,278,214,4993,9922,2,3,6,4959,30,5,0,
2016-02-02,00648R,373,281,5085,9922,0,0,6,4993,0,6,0,
2016-02-03,00648R,604,389,5300,9922,5,0,1,5085,0,6,0,
2016-02-15,00648R,544,782,5062,9922,0,0,1,5300,0,1,0,
2016-02-16,00648R,142,388,4816,10422,0,0,1,5062,0,1,0,
2016-02-17,00648R,362,91,5087,10422,0,0,1,4816,0,1,0,
2016-02-18,00648R,351,445,4993,10672,0,2,3,5087,0,1,0,
2016-02-19,00648R,327,64,5256,10672,0,0,3,4993,0,3,0,
2016-02-22,00648R,207,571,4892,10672,0,0,3,5256,0,3,0,
2016-02-23,00648R,106,133,4565,10672,0,0,3,4892,300,3,0,
2016-02-24,00648R,1030,76,5519,11172,0,0,3,4565,0,3,0,
2016-02-25,00648R,634,99,6054,12172,0,0,3,5519,0,3,0,
2016-02-26,00648R,360,117,6297,12797,0,0,3,6054,0,3,0,
2016-03-01,00648R,74,308,6063,12797,0,0,3,6297,0,3,0,
2016-03-02,00648R,488,982,5569,12922,0,3,6,6063,0,3,0,
2016-03-03,00648R,132,251,5450,12922,1,0,5,5569,0,6,0,
2016-03-04,00648R,322,162,5610,12922,0,0,5,5450,0,5,0,
2016-03-07,00648R,232,30,5811,12922,3,1,3,5610,1,5,0,
2016-03-08,00648R,285,20,6076,12922,0,0,3,5811,0,3,0,
2016-03-09,00648R,327,164,6239,12922,0,0,3,6076,0,3,0,
2016-03-10,00648R,113,393,5959,13047,0,0,3,6239,0,3,0,
2016-03-11,00648R,196,329,5826,13047,0,0,3,5959,0,3,0,
2016-03-14,00648R,185,286,5674,13047,0,0,3,5826,51,3,0,
2016-03-15,00648R,610,99,6185,13047,0,0,3,5674,0,3,0,
2016-03-16,00648R,192,27,6350,13172,0,0,3,6185,0,3,0,
2016-03-17,00648R,386,139,6597,13172,0,0,3,6350,0,3,0,
2016-03-18,00648R,280,202,6675,13672,1,0,2,6597,0,3,0,
2016-03-21,00648R,526,206,6995,14297,0,0,2,6675,0,2,0,
2016-03-22,00648R,675,43,7627,14797,0,0,2,6995,0,2,0,
2016-03-23,00648R,299,129,7797,17297,0,0,2,7627,0,2,0,
2016-03-24,00648R,171,281,7687,17547,0,5,7,7797,0,2,0,
2016-03-25,00648R,139,180,7608,17547,0,0,7,7687,38,7,0,
2016-03-28,00648R,396,131,7873,17672,0,0,7,7608,0,7,0,
2016-03-29,00648R,387,146,8114,17672,0,0,7,7873,0,7,0,
2016-03-30,00648R,251,476,7878,18297,0,0,7,8114,11,7,0,
2016-03-31,00648R,521,147,8202,18547,0,0,7,7878,50,7,0,
2016-04-01,00648R,1352,54,9500,18547,0,0,7,8202,0,7,0,
2016-04-06,00648R,765,144,10121,19797,0,50,57,9500,0,7,0,
2016-04-07,00648R,1125,226,11020,20172,0,0,57,10121,0,57,0,
2016-04-08,00648R,2130,463,12687,21547,6,0,51,11020,0,57,0,
2016-04-11,00648R,892,126,13453,22422,0,0,51,12687,0,51,0,
2016-04-12,00648R,1133,46,14540,22422,1,0,50,13453,0,51,0,
2016-04-13,00648R,1416,672,15284,24547,0,0,50,14540,0,50,0,
2016-04-14,00648R,565,205,15644,24797,50,15,15,15284,0,50,0,
2016-04-15,00648R,452,32,16064,25297,0,0,15,15644,0,15,0,
2016-04-18,00648R,355,771,15648,25297,15,0,0,16064,0,15,0,
2016-04-19,00648R,775,217,16181,25922,0,0,0,15648,25,0,0,
2016-04-20,00648R,2297,298,17780,26797,0,0,0,16181,400,0,0,
2016-04-21,00648R,2033,812,18979,29547,0,0,0,17780,22,0,0,
2016-04-22,00648R,360,485,18854,29547,0,0,0,18979,0,0,0,
2016-04-25,00648R,246,243,18857,29547,0,0,0,18854,0,0,0,
2016-04-26,00648R,183,489,18551,29547,0,0,0,18857,0,0,0,
2016-04-27,00648R,256,145,18662,29547,0,0,0,18551,0,0,0,
2016-04-28,00648R,2009,137,20534,31172,0,0,0,18662,0,0,0,
2016-04-29,00648R,1604,1151,20987,32047,0,0,0,20534,0,0,0,
2016-05-03,00648R,754,1060,20601,32047,0,0,0,20987,80,0,0,
2016-05-04,00648R,1838,1578,20861,32672,0,0,0,20601,0,0,0,
2016-05-05,00648R,722,1252,20331,34547,0,0,0,20861,0,0,0,
2016-05-06,00648R,542,414,20459,34547,0,0,0,20331,0,0,0,
2016-05-09,00648R,1000,2162,19297,34547,0,0,0,20459,0,0,0,
2016-05-10,00648R,589,593,19289,34547,0,2,2,19297,4,0,0,
2016-05-11,00648R,1256,496,20004,34672,0,1,3,19289,45,2,0,
2016-05-12,00648R,962,285,20681,35297,0,0,3,20004,0,3,0,
2016-05-13,00648R,3490,236,23935,35922,3,10,10,20681,0,3,0,
2016-05-16,00648R,2343,1367,24911,38422,10,0,0,23935,0,10,0,
2016-05-17,00648R,1760,304,26367,41047,0,0,0,24911,0,0,0,
2016-05-18,00648R,1907,592,27672,42672,0,0,0,26367,10,0,0,
2016-05-19,00648R,1201,245,28618,44297,0,0,0,27672,10,0,0,
2016-05-20,00648R,2628,580,30666,46797,0,2,2,28618,0,0,0,
2016-05-23,00648R,643,1369,29940,47047,1,2,3,30666,0,2,0,
2016-05-24,00648R,309,1010,29239,47047,0,0,3,29940,0,3,0,
2016-05-25,00648R,2913,2352,29800,47047,0,0,3,29239,0,3,0,
