date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2016-07-13,00663L,0,0,0,4827,0,0,0,0,0,0,0,
2016-07-14,00663L,115,0,115,4827,0,0,0,0,0,0,0,
2016-07-15,00663L,184,60,239,4702,0,1,1,115,0,0,0,
2016-07-18,00663L,62,58,243,4577,0,4,5,239,0,1,0,
2016-07-19,00663L,184,163,264,4452,2,3,6,243,0,5,0,
2016-07-20,00663L,90,41,313,4452,4,0,2,264,0,6,0,
2016-07-21,00663L,328,78,563,4452,0,14,16,313,0,2,0,
2016-07-22,00663L,245,32,776,4452,2,6,20,563,0,16,0,
2016-07-25,00663L,144,325,595,4452,4,2,18,776,0,20,0,
2016-07-26,00663L,178,48,725,4452,0,72,90,595,0,18,0,
2016-07-27,00663L,135,188,672,4327,2,10,98,725,0,90,0,
2016-07-28,00663L,220,113,779,4327,1,8,105,672,0,98,0,
2016-07-29,00663L,105,34,850,4327,6,1,100,779,0,105,0,
2016-08-01,00663L,39,174,715,4202,0,125,225,850,0,100,0,
2016-08-02,00663L,69,53,731,4202,7,18,236,715,0,225,0,
2016-08-03,00663L,63,220,574,4202,28,26,234,731,0,236,0,
2016-08-04,00663L,29,69,534,4202,2,38,270,574,0,234,0,
2016-08-05,00663L,57,59,532,4202,14,8,264,534,0,270,0,
2016-08-08,00663L,115,85,562,4202,63,8,209,532,0,264,0,
2016-08-09,00663L,19,107,474,4202,3,33,239,562,0,209,0,
2016-08-10,00663L,72,19,527,4202,1,9,247,474,0,239,0,
2016-08-11,00663L,467,77,917,4202,36,9,220,527,0,247,0,
2016-08-12,00663L,97,451,563,4202,0,53,273,917,0,220,0,
2016-08-15,00663L,79,94,548,4202,1,1,273,563,0,273,0,
2016-08-16,00663L,134,120,562,4202,35,0,238,548,0,273,0,
2016-08-17,00663L,26,57,531,4202,0,29,267,562,0,238,0,
2016-08-18,00663L,116,9,638,4202,60,1,208,531,0,267,0,
2016-08-19,00663L,295,222,711,4202,3,5,210,638,0,208,0,
2016-08-22,00663L,130,168,673,4202,6,2,206,711,0,210,0,
2016-08-23,00663L,27,360,340,4202,0,50,256,673,0,206,0,
2016-08-24,00663L,57,45,352,4202,3,0,253,340,0,256,0,
2016-08-25,00663L,43,80,315,4202,99,0,154,352,0,253,0,
2016-08-26,00663L,36,11,340,4202,14,2,142,315,0,154,0,
2016-08-29,00663L,63,39,364,4327,25,0,117,340,0,142,0,
2016-08-30,00663L,94,56,402,4327,0,3,120,364,0,117,0,
2016-08-31,00663L,210,39,573,4327,10,2,112,402,0,120,0,
2016-09-01,00663L,95,141,527,4327,4,5,113,573,0,112,0,
2016-09-02,00663L,76,89,514,4327,0,19,132,527,0,113,0,
2016-09-05,00663L,13,215,312,4327,3,25,154,514,0,132,0,
2016-09-06,00663L,38,234,116,4327,2,2,154,312,0,154,0,X
2016-09-07,00663L,139,14,241,4327,12,0,142,116,0,154,0,
2016-09-08,00663L,156,60,337,4327,65,42,119,241,0,142,0,
2016-09-09,00663L,244,138,443,4327,14,0,105,337,0,119,0,
2016-09-10,00663L,845,119,1169,4327,17,2,90,443,0,105,0,
2016-09-12,00663L,1023,36,2156,4577,1,0,89,1169,0,90,0,
2016-09-13,00663L,534,1139,1551,4577,1,22,110,2156,0,89,0,
2016-09-14,00663L,208,444,1315,4577,5,24,129,1551,0,110,0,
2016-09-19,00663L,9,1073,251,4577,2,56,183,1315,0,129,0,
2016-09-20,00663L,23,50,224,4577,13,0,170,251,0,183,0,
