date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance
2018-01-31,00719B,0,0,0,1753,0,0,0
2018-02-01,00719B,0,0,0,1753,0,0,0
2018-02-02,00719B,0,0,0,1628,0,0,0
2018-02-05,00719B,0,0,0,1378,0,0,0
2018-02-06,00719B,0,0,0,1378,0,0,0
2018-02-07,00719B,0,0,0,1378,0,0,0
2018-02-08,00719B,0,0,0,1378,0,0,0
2018-02-09,00719B,0,0,0,1378,0,0,0
2018-02-12,00719B,0,0,0,1128,0,0,0
2018-02-21,00719B,0,0,0,1128,0,0,0
2018-02-22,00719B,0,0,0,1128,0,0,0
2018-02-23,00719B,0,0,0,1128,0,0,0
2018-02-26,00719B,0,0,0,1128,0,0,0
2018-02-27,00719B,0,0,0,1128,0,0,0
2018-03-01,00719B,0,0,0,1128,0,0,0
2018-03-02,00719B,0,0,0,1128,0,0,0
2018-03-05,00719B,0,0,0,1128,0,0,0
2018-03-06,00719B,0,0,0,1128,0,0,0
2018-03-07,00719B,0,0,0,1128,0,0,0
2018-03-08,00719B,0,0,0,1128,0,0,0
2018-03-09,00719B,0,0,0,1128,0,0,0
2018-03-12,00719B,0,0,0,1128,0,0,0
2018-03-13,00719B,0,0,0,1128,0,0,0
2018-03-14,00719B,0,0,0,1128,0,0,0
2018-03-15,00719B,0,0,0,1128,0,0,0
2018-03-16,00719B,0,0,0,1128,0,0,0
2018-03-19,00719B,0,0,0,1128,0,0,0
2018-03-20,00719B,0,0,0,1128,0,0,0
2018-03-21,00719B,0,0,0,1128,0,0,0
2018-03-22,00719B,0,0,0,1128,0,0,0
2018-03-23,00719B,0,0,0,1128,0,0,0
2018-03-26,00719B,0,0,0,1128,0,0,0
2018-03-27,00719B,0,0,0,1128,0,0,0
2018-03-28,00719B,0,0,0,1128,0,0,0
2018-03-29,00719B,0,0,0,1128,0,0,0
2018-03-30,00719B,0,0,0,1128,0,0,0
2018-03-31,00719B,0,0,0,1128,0,0,0
2018-04-02,00719B,0,0,0,1128,0,0,0
2018-04-03,00719B,0,0,0,1128,0,0,0
2018-04-09,00719B,0,0,0,1128,0,0,0
2018-04-10,00719B,0,0,0,1128,0,0,0
2018-04-11,00719B,0,0,0,1128,0,0,0
2018-04-12,00719B,0,0,0,1128,0,0,0
2018-04-13,00719B,0,0,0,1128,0,0,0
2018-04-16,00719B,0,0,0,1128,0,0,0
2018-04-17,00719B,0,0,0,1128,0,0,0
2018-04-18,00719B,0,0,0,1128,0,0,0
2018-04-19,00719B,0,0,0,1128,0,0,0
2018-04-20,00719B,0,0,0,1128,0,0,0
2018-04-23,00719B,0,0,0,1128,0,0,0
2018-04-24,00719B,0,0,0,1128,0,0,0
2018-04-25,00719B,0,0,0,1128,0,0,0
2018-04-26,00719B,0,0,0,1003,0,0,0
2018-04-27,00719B,0,0,0,1003,0,0,0
2018-04-30,00719B,0,0,0,1003,0,0,0
2018-05-02,00719B,0,0,0,1003,0,0,0
2018-05-03,00719B,0,0,0,1003,0,0,0
2018-05-04,00719B,0,0,0,1003,0,0,0
2018-05-07,00719B,0,0,0,1003,0,0,0
