date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2017-12-14,00724B,0,0,0,1943,0,0,0,,,,,
2017-12-15,00724B,0,0,0,1943,0,0,0,,,,,
2017-12-18,00724B,0,0,0,1943,0,0,0,,,,,
2017-12-19,00724B,0,0,0,1943,0,0,0,,,,,
2017-12-20,00724B,0,0,0,1943,0,0,0,,,,,
2017-12-21,00724B,0,0,0,1943,0,0,0,,,,,
2017-12-22,00724B,0,0,0,1943,0,0,0,,,,,
2017-12-25,00724B,0,0,0,1943,0,0,0,,,,,
2017-12-26,00724B,0,0,0,1943,0,0,0,,,,,
2017-12-27,00724B,0,0,0,1943,0,0,0,,,,,
2017-12-28,00724B,0,0,0,1943,0,0,0,,,,,
2017-12-29,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-02,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-03,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-04,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-05,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-08,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-09,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-10,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-11,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-12,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-15,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-16,00724B,1,0,1,1943,0,0,0,,,,,
2018-01-17,00724B,0,0,1,1943,0,0,0,,,,,
2018-01-18,00724B,0,1,0,1943,0,0,0,,,,,
2018-01-19,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-22,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-23,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-24,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-25,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-26,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-29,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-30,00724B,0,0,0,1943,0,0,0,,,,,
2018-01-31,00724B,0,0,0,1943,0,0,0,,,,,
2018-02-01,00724B,0,0,0,1943,0,0,0,,,,,
2018-02-02,00724B,0,0,0,1943,0,0,0,,,,,
2018-02-05,00724B,0,0,0,1943,0,0,0,,,,,
2018-02-06,00724B,0,0,0,1943,0,0,0,,,,,
2018-02-07,00724B,0,0,0,1943,0,0,0,,,,,
2018-02-08,00724B,0,0,0,1943,0,0,0,,,,,
2018-02-09,00724B,0,0,0,1943,0,0,0,,,,,
2018-02-12,00724B,0,0,0,1943,0,0,0,,,,,
2018-02-21,00724B,0,0,0,13193,0,0,0,,,,,
2018-02-22,00724B,0,0,0,13193,0,0,0,,,,,
2018-02-23,00724B,1,0,1,13193,0,0,0,,,,,
2018-02-26,00724B,0,1,0,22568,0,0,0,,,,,
2018-02-27,00724B,0,0,0,22568,0,0,0,,,,,
2018-03-01,00724B,1,0,1,22443,0,0,0,,,,,
2018-03-02,00724B,0,0,1,22443,0,0,0,,,,,
2018-03-05,00724B,0,0,1,22443,0,0,0,,,,,
2018-03-06,00724B,0,0,1,22443,0,0,0,,,,,
2018-03-07,00724B,0,0,1,28693,0,0,0,,,,,
2018-03-08,00724B,0,0,1,28693,0,0,0,,,,,
2018-03-09,00724B,0,0,1,37068,0,0,0,,,,,
2018-03-12,00724B,0,0,1,37318,0,0,0,,,,,
2018-03-13,00724B,0,0,1,37318,0,0,0,,,,,
2018-03-14,00724B,0,0,1,37318,0,0,0,,,,,
2018-03-15,00724B,0,0,1,43943,0,0,0,,,,,
2018-03-16,00724B,0,0,1,43943,0,0,0,,,,,
2018-03-19,00724B,0,0,1,43943,0,0,0,,,,,
2018-03-20,00724B,0,0,1,43943,0,0,0,,,,,
2018-03-21,00724B,0,0,1,43943,0,0,0,,,,,
2018-03-22,00724B,0,1,0,43943,0,0,0,,,,,
2018-03-23,00724B,0,0,0,50818,0,0,0,,,,,
2018-03-26,00724B,0,0,0,50818,0,0,0,,,,,
2018-03-27,00724B,0,0,0,51193,0,0,0,,,,,
2018-03-28,00724B,0,0,0,51193,0,0,0,,,,,
2018-03-29,00724B,0,0,0,58068,0,0,0,,,,,
2018-03-30,00724B,0,0,0,58068,0,0,0,,,,,
2018-03-31,00724B,0,0,0,58068,0,0,0,,,,,
2018-04-02,00724B,0,0,0,58068,0,0,0,,,,,
2018-04-03,00724B,0,0,0,58068,0,0,0,,,,,
2018-04-09,00724B,0,0,0,64818,0,0,0,,,,,
2018-04-10,00724B,0,0,0,71568,0,0,0,,,,,
2018-04-11,00724B,0,0,0,71568,0,0,0,,,,,
2018-04-12,00724B,0,0,0,71568,0,0,0,,,,,
2018-04-13,00724B,0,0,0,71568,0,0,0,,,,,
2018-04-16,00724B,0,0,0,71568,0,0,0,,,,,
2018-04-17,00724B,0,0,0,71568,0,0,0,,,,,
2018-04-18,00724B,0,0,0,71568,0,0,0,,,,,
2018-04-19,00724B,0,0,0,71568,0,0,0,,,,,
2018-04-20,00724B,0,0,0,72193,0,0,0,,,,,
2018-04-23,00724B,0,0,0,72193,0,0,0,,,,,
2018-04-24,00724B,0,0,0,72193,0,0,0,,,,,
2018-04-25,00724B,0,0,0,72193,0,0,0,,,,,
2018-04-26,00724B,0,0,0,72193,0,0,0,,,,,
2018-04-27,00724B,0,0,0,72193,0,0,0,,,,,
2018-04-30,00724B,0,0,0,72193,0,0,0,,,,,
2018-05-02,00724B,0,0,0,72443,0,0,0,,,,,
2018-05-03,00724B,0,0,0,72443,0,0,0,,,,,
2018-05-04,00724B,0,0,0,72443,0,0,0,,,,,
2018-05-07,00724B,0,0,0,79318,0,0,0,,,,,
2018-05-08,00724B,0,0,0,86193,0,0,0,,,,,
2018-05-09,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-10,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-11,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-14,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-15,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-16,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-17,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-18,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-21,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-22,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-23,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-24,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-25,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-28,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-29,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-30,00724B,0,0,0,86818,0,0,0,,,,,
2018-05-31,00724B,0,0,0,86818,0,0,0,,,,,
2018-06-01,00724B,0,0,0,84943,0,0,0,,,,,
2018-06-04,00724B,0,0,0,84943,0,0,0,,,,,
2018-06-05,00724B,0,0,0,84943,0,0,0,,,,,
2018-06-06,00724B,0,0,0,84943,0,0,0,,,,,
2018-06-07,00724B,0,0,0,84943,0,0,0,,,,,
2018-06-08,00724B,0,0,0,85568,0,0,0,,,,,
2018-06-11,00724B,0,0,0,85818,0,0,0,,,,,
2018-06-12,00724B,0,0,0,85818,0,0,0,,,,,
2018-06-13,00724B,0,0,0,92693,0,0,0,,,,,
2018-06-14,00724B,0,0,0,92693,0,0,0,,,,,
2018-06-15,00724B,0,0,0,99568,0,0,0,,,,,
2018-06-19,00724B,0,0,0,106318,0,0,0,,,,,
