date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance
2019-01-22,00766L,0,0,0,7236,0,0,0
2019-01-23,00766L,80,0,80,6986,0,0,0
2019-01-24,00766L,70,1,149,6986,0,0,0
2019-01-25,00766L,47,88,108,6986,0,0,0
2019-01-28,00766L,55,71,92,6986,0,0,0
2019-01-29,00766L,37,0,129,6486,0,0,0
2019-01-30,00766L,20,5,144,6486,0,0,0
2019-02-11,00766L,44,14,164,6486,0,0,0
2019-02-12,00766L,1,46,129,6486,0,0,0
2019-02-13,00766L,145,7,267,6486,0,0,0
2019-02-14,00766L,1316,128,1455,6486,0,0,0
2019-02-15,00766L,730,42,2143,6236,0,0,0
2019-02-18,00766L,366,60,2449,6236,0,0,0
2019-02-19,00766L,1246,0,3695,6236,0,0,0
2019-02-20,00766L,15,99,3611,6236,0,0,0
2019-02-21,00766L,12,56,3567,6236,0,0,0
2019-02-22,00766L,67,4,3630,6236,0,0,0
2019-02-25,00766L,35,1186,2479,6236,0,0,0
2019-02-26,00766L,35,104,2410,6236,0,0,0
2019-02-27,00766L,34,16,2428,6236,0,0,0
2019-03-04,00766L,280,41,2667,6236,0,0,0
2019-03-05,00766L,81,37,2711,6236,0,0,0
2019-03-06,00766L,22,161,2572,6236,0,0,0
2019-03-07,00766L,60,55,2577,6236,0,0,0
2019-03-08,00766L,48,24,2601,6236,0,0,0
2019-03-11,00766L,627,44,3184,5486,0,0,0
2019-03-12,00766L,2108,836,4456,5736,0,2,2
2019-03-13,00766L,521,150,4827,5986,0,13,15
2019-03-14,00766L,286,819,4294,6486,0,0,15
2019-03-15,00766L,286,245,4335,6486,10,4,9
2019-03-18,00766L,344,821,3858,6486,3,2,8
2019-03-19,00766L,142,648,3352,6486,0,0,8
2019-03-20,00766L,123,167,3308,6486,0,0,8
2019-03-21,00766L,124,950,2482,6486,0,1,9
2019-03-22,00766L,201,54,2629,6486,9,0,0
2019-03-25,00766L,183,27,2785,6486,0,10,10
2019-03-26,00766L,205,22,2968,6486,0,0,10
2019-03-27,00766L,129,625,2472,6486,10,0,0
2019-03-28,00766L,54,208,2318,6486,0,0,0
2019-03-29,00766L,151,139,2330,6486,0,1,1
2019-04-01,00766L,262,405,2187,6236,0,8,9
2019-04-02,00766L,165,113,2239,6236,8,0,1
2019-04-03,00766L,39,515,1763,6236,0,0,1
2019-04-08,00766L,156,455,1464,6236,0,0,1
2019-04-09,00766L,10,158,1316,5736,0,0,1
2019-04-10,00766L,87,93,1310,5736,0,0,1
2019-04-11,00766L,206,139,1377,5736,0,0,1
2019-04-12,00766L,100,371,1106,5736,0,0,1
2019-04-15,00766L,58,238,926,5736,0,0,1
2019-04-16,00766L,169,37,1058,5736,0,0,1
2019-04-17,00766L,132,258,932,5736,0,0,1
2019-04-18,00766L,34,89,877,5736,0,0,1
2019-04-19,00766L,42,49,870,5736,0,0,1
2019-04-22,00766L,259,171,958,5736,1,0,0
2019-04-23,00766L,50,25,983,5736,0,0,0
2019-04-24,00766L,119,60,1042,5736,0,0,0
2019-04-25,00766L,35,0,1077,5736,0,0,0
2019-04-26,00766L,31,38,1070,5736,0,0,0
2019-04-29,00766L,9,171,908,5736,0,0,0
2019-04-30,00766L,7,0,915,5736,0,0,0
2019-05-02,00766L,27,1,941,5736,0,0,0
2019-05-03,00766L,7,1,947,5736,0,0,0
2019-05-06,00766L,86,116,917,5736,0,0,0
2019-05-07,00766L,40,18,939,5736,0,0,0
2019-05-08,00766L,4,5,938,5736,0,0,0
2019-05-09,00766L,81,28,991,5736,0,0,0
2019-05-10,00766L,62,21,1032,5736,0,0,0
2019-05-13,00766L,38,6,1064,5736,0,0,0
2019-05-14,00766L,132,2,1194,5736,0,0,0
2019-05-15,00766L,49,16,1227,5736,0,0,0
2019-05-16,00766L,59,7,1279,5736,0,0,0
2019-05-17,00766L,100,12,1367,5736,0,0,0
2019-05-20,00766L,149,31,1485,5736,0,0,0
2019-05-21,00766L,366,8,1843,5736,0,0,0
2019-05-22,00766L,89,0,1932,5736,0,0,0
2019-05-23,00766L,91,49,1974,5736,0,0,0
2019-05-24,00766L,38,10,1898,5736,0,0,0
2019-05-27,00766L,21,6,1863,5736,0,0,0
2019-05-28,00766L,29,23,1859,5486,0,0,0
2019-05-29,00766L,15,1,1873,5486,0,0,0
2019-05-30,00766L,6,0,1879,5486,0,2,2
2019-05-31,00766L,0,21,1858,5486,0,1,3
2019-06-03,00766L,0,23,1835,5486,3,0,0
2019-06-04,00766L,29,0,1864,5486,0,60,60
2019-06-05,00766L,3,45,1822,5486,0,0,60
2019-06-06,00766L,10,5,1827,5486,60,0,0
2019-06-10,00766L,42,42,1827,5486,0,0,0
2019-06-11,00766L,26,53,1800,5486,0,2,2
2019-06-12,00766L,18,226,1592,5486,2,0,0
2019-06-13,00766L,30,10,1612,5486,0,0,0
2019-06-14,00766L,6,4,1614,5486,0,5,5
2019-06-17,00766L,0,38,1576,5486,5,0,0
2019-06-18,00766L,0,10,1566,5486,0,0,0
2019-06-19,00766L,86,496,1156,5486,0,3,3
2019-06-20,00766L,108,208,1056,5486,3,1,1
2019-06-21,00766L,57,142,971,5486,1,2,2
2019-06-24,00766L,59,11,1019,5486,0,2,4
2019-06-25,00766L,7,63,963,5486,4,0,0
2019-06-26,00766L,36,0,999,5486,0,0,0
2019-06-27,00766L,118,95,1022,5486,0,0,0
2019-06-28,00766L,20,14,1028,5486,0,0,0
2019-07-01,00766L,258,200,1086,5486,0,0,0
2019-07-02,00766L,16,174,928,5236,0,0,0
2019-07-03,00766L,40,9,959,5236,0,0,0
2019-07-04,00766L,30,21,968,5236,0,4,4
2019-07-05,00766L,11,0,979,5236,4,0,0
2019-07-08,00766L,25,1,1003,5236,0,0,0
2019-07-09,00766L,73,1,1075,5236,0,0,0
2019-07-10,00766L,11,36,1050,5236,0,0,0
2019-07-11,00766L,119,47,1122,5236,0,0,0
2019-07-12,00766L,20,3,1139,5236,0,0,0
2019-07-15,00766L,7,22,1124,5236,0,0,0
2019-07-16,00766L,4,20,1108,5236,0,0,0
2019-07-17,00766L,11,1,1118,5236,0,0,0
2019-07-18,00766L,11,0,1129,5236,0,0,0
2019-07-19,00766L,6,5,1130,5236,0,0,0
2019-07-22,00766L,44,0,1174,5236,0,0,0
2019-07-23,00766L,16,9,1181,5236,0,0,0
2019-07-24,00766L,22,24,1179,5236,0,0,0
2019-07-25,00766L,1,22,1158,5236,0,0,0
2019-07-26,00766L,25,0,1084,5236,0,0,0
2019-07-29,00766L,26,0,1110,5236,0,0,0
2019-07-30,00766L,4,23,1091,5236,0,0,0
2019-07-31,00766L,135,3,1223,5236,0,0,0
2019-08-01,00766L,7,1,1229,5236,0,0,0
2019-08-02,00766L,95,60,1264,5236,0,0,0
2019-08-05,00766L,917,3,2178,5236,0,0,0
2019-08-06,00766L,78,26,2230,5486,0,0,0
2019-08-07,00766L,29,20,2239,5486,0,0,0
2019-08-08,00766L,27,4,2262,5486,0,0,0
2019-08-12,00766L,10,6,2266,5486,0,0,0
2019-08-13,00766L,87,0,2353,5486,0,0,0
2019-08-14,00766L,18,85,2286,5486,0,0,0
2019-08-15,00766L,36,13,2309,5486,0,0,0
2019-08-16,00766L,1,7,2303,5486,0,0,0
2019-08-19,00766L,29,287,2045,5486,0,0,0
2019-08-20,00766L,27,68,2004,5486,0,3,3
2019-08-21,00766L,3,16,1991,5486,3,0,0
2019-08-22,00766L,18,5,2004,5486,0,0,0
2019-08-23,00766L,48,3,2049,5486,0,0,0
2019-08-26,00766L,733,15,2767,5486,0,0,0
2019-08-27,00766L,51,683,2135,5486,0,0,0
2019-08-28,00766L,26,11,2150,5486,0,0,0
2019-08-29,00766L,26,15,2161,5486,0,0,0
2019-08-30,00766L,56,207,2010,5486,0,0,0
2019-09-02,00766L,95,1,2104,5486,0,0,0
2019-09-03,00766L,38,6,2136,5486,0,5,5
2019-09-04,00766L,5,167,1974,5486,0,1,6
2019-09-05,00766L,14,204,1784,5486,0,0,6
2019-09-06,00766L,4,45,1743,5486,0,6,12
2019-09-09,00766L,21,54,1710,5486,0,1,13
2019-09-10,00766L,72,460,1322,5486,0,2,15
2019-09-11,00766L,10,71,1261,5486,0,0,15
2019-09-12,00766L,47,24,1284,5486,0,0,15
2019-09-16,00766L,26,13,1297,5486,0,0,15
2019-09-17,00766L,93,85,1305,5486,0,0,15
2019-09-18,00766L,6,90,1221,5486,0,0,15
2019-09-19,00766L,340,18,1543,5486,0,0,15
2019-09-20,00766L,51,1,1593,5486,2,0,13
2019-09-23,00766L,24,0,1617,5486,0,0,13
2019-09-24,00766L,42,1,1658,5486,3,0,10
2019-09-25,00766L,63,18,1703,5486,0,0,10
2019-09-26,00766L,42,21,1724,5486,0,0,10
2019-09-27,00766L,2,0,1726,5486,0,0,10
2019-10-01,00766L,6,0,1732,5486,8,0,2
2019-10-02,00766L,14,2,1743,5486,0,0,2
2019-10-03,00766L,14,325,1432,5486,1,0,1
2019-10-04,00766L,2,2,1432,5486,0,0,1
2019-10-07,00766L,2,0,1434,5486,0,0,1
2019-10-08,00766L,33,7,1460,5486,0,0,1
2019-10-09,00766L,32,0,1492,5486,0,0,1
2019-10-14,00766L,26,36,1482,5486,0,3,4
2019-10-15,00766L,0,84,1398,5486,0,0,4
2019-10-16,00766L,0,64,1334,5486,0,0,4
2019-10-17,00766L,0,28,1306,5486,0,3,7
2019-10-18,00766L,31,37,1300,5486,3,0,4
2019-10-21,00766L,20,87,1233,5486,3,0,1
2019-10-22,00766L,0,2,1231,5486,0,0,1
2019-10-23,00766L,43,0,1274,5486,0,0,1
2019-10-24,00766L,8,24,1258,5486,0,0,1
2019-10-25,00766L,14,11,1261,5486,0,0,1
2019-10-28,00766L,38,27,1272,5486,0,0,1
2019-10-29,00766L,80,57,1295,5486,0,0,1
2019-10-30,00766L,10,1,1304,5486,0,0,1
2019-10-31,00766L,16,6,1314,5486,0,0,1
2019-11-01,00766L,46,17,1343,5486,0,0,1
2019-11-04,00766L,34,191,1186,5486,0,20,21
2019-11-05,00766L,175,77,1284,5486,0,0,21
2019-11-06,00766L,55,162,1177,5486,0,0,21
