date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2025-10-13,00982D,0,0,0,43057,0,0,0,0,0,0,0,
2025-10-14,00982D,3,0,3,43057,0,0,0,0,0,0,0,
2025-10-15,00982D,1,0,4,43057,0,0,0,3,0,0,0,
2025-10-16,00982D,0,0,4,39182,0,0,0,4,0,0,0,
2025-10-17,00982D,1,0,5,37307,0,0,0,4,0,0,0,
2025-10-20,00982D,0,0,5,35932,0,0,0,5,0,0,0,
2025-10-21,00982D,0,0,5,34807,0,0,0,5,0,0,0,
2025-10-22,00982D,2,1,6,34432,0,0,0,5,0,0,0,
2025-10-23,00982D,5,0,11,34307,0,0,0,6,0,0,0,
2025-10-27,00982D,3,0,14,33057,0,0,0,11,0,0,0,
2025-10-28,00982D,0,3,11,33057,0,0,0,14,0,0,0,
2025-10-29,00982D,6,5,12,33057,0,0,0,11,0,0,0,
2025-10-30,00982D,4,1,15,32307,0,0,0,12,0,0,0,
2025-10-31,00982D,0,2,13,32307,0,0,0,15,0,0,0,
2025-11-03,00982D,2,0,15,32307,0,0,0,13,0,0,0,
2025-11-04,00982D,0,2,13,32307,0,0,0,15,0,0,0,
2025-11-05,00982D,1,5,9,32307,0,0,0,13,0,0,0,
2025-11-06,00982D,1,3,7,32557,0,0,0,9,0,0,0,
2025-11-07,00982D,3,2,8,32557,0,0,0,7,0,0,0,
2025-11-10,00982D,3,3,8,32307,0,0,0,8,0,0,0,
2025-11-11,00982D,0,1,7,32307,0,0,0,8,0,0,0,
2025-11-12,00982D,2,0,9,32557,0,0,0,7,0,0,0,
2025-11-13,00982D,2,2,7,32057,0,0,0,9,2,0,0,
2025-11-14,00982D,0,0,7,31807,0,0,0,7,0,0,0,
2025-11-17,00982D,0,4,3,31307,0,0,0,7,0,0,0,
2025-11-18,00982D,20,0,23,30557,0,0,0,3,0,0,0,
2025-11-19,00982D,1,0,24,30057,0,0,0,23,0,0,0,
2025-11-20,00982D,0,11,13,30057,0,0,0,24,0,0,0,
2025-11-21,00982D,0,0,13,29307,0,0,0,13,0,0,0,
2025-11-24,00982D,0,0,13,29307,0,0,0,13,0,0,0,
2025-11-25,00982D,0,0,13,28682,0,0,0,13,0,0,0,
2025-11-26,00982D,0,10,3,27807,0,0,0,13,0,0,0,
2025-11-27,00982D,0,0,3,27807,0,0,0,3,0,0,0,
2025-11-28,00982D,0,0,3,27807,0,0,0,3,0,0,0,
2025-12-01,00982D,0,0,3,27807,0,0,0,3,0,0,0,
2025-12-02,00982D,0,0,3,27807,0,0,0,3,0,0,0,
2025-12-03,00982D,0,0,3,27307,0,0,0,3,0,0,0,
2025-12-04,00982D,100,0,103,26932,0,0,0,3,0,0,0,
2025-12-05,00982D,0,0,103,26932,0,0,0,103,0,0,0,
2025-12-08,00982D,0,0,103,26932,0,0,0,103,0,0,0,
2025-12-09,00982D,0,0,103,26932,0,0,0,103,0,0,0,
2025-12-10,00982D,0,0,103,26932,0,0,0,103,0,0,0,
2025-12-11,00982D,0,0,103,26932,0,0,0,103,0,0,0,
2025-12-12,00982D,1,0,104,26932,0,0,0,103,0,0,0,
2025-12-15,00982D,0,1,103,26932,0,0,0,104,0,0,0,
