date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance
2026-03-27,00985D,0,0,0,22308,0,0,0
2026-03-30,00985D,2,0,2,22308,0,0,0
2026-03-31,00985D,20,0,22,22308,0,0,0
2026-04-01,00985D,0,0,22,22183,0,0,0
2026-04-02,00985D,0,0,22,22933,0,0,0
2026-04-07,00985D,0,22,0,22933,0,0,0
2026-04-08,00985D,1,0,1,21808,0,0,0
2026-04-09,00985D,0,1,0,21808,0,0,0
2026-04-10,00985D,1,0,1,21808,0,0,0
2026-04-13,00985D,0,0,1,22433,0,0,0
2026-04-14,00985D,0,0,1,22433,0,0,0
2026-04-15,00985D,0,0,1,22433,0,0,0
2026-04-16,00985D,0,0,1,22433,0,0,0
2026-04-17,00985D,0,0,1,22433,0,0,0
2026-04-20,00985D,0,0,1,22433,0,0,0
2026-04-21,00985D,0,0,1,22433,0,0,0
2026-04-22,00985D,0,0,1,22433,0,0,0
2026-04-23,00985D,0,0,1,22433,0,0,0
2026-04-24,00985D,0,0,1,22308,0,0,0
2026-04-27,00985D,0,0,1,22308,0,0,0
2026-04-28,00985D,0,0,1,22308,0,0,0
2026-04-29,00985D,0,0,1,22308,0,0,0
2026-04-30,00985D,0,0,1,22308,0,0,0
2026-05-04,00985D,0,0,1,22308,0,0,0
2026-05-05,00985D,0,0,1,22308,0,0,0
2026-05-06,00985D,3,0,4,22308,0,0,0
2026-05-07,00985D,0,3,1,22308,0,0,0
2026-05-08,00985D,3,0,4,22308,0,0,0
2026-05-11,00985D,0,3,1,18183,0,0,0
2026-05-12,00985D,0,0,1,18183,0,0,0
2026-05-13,00985D,0,0,1,18183,0,0,0
2026-05-14,00985D,0,0,1,18183,0,0,0
2026-05-15,00985D,0,0,1,18183,0,0,0
2026-05-18,00985D,0,0,1,18183,0,0,0
2026-05-19,00985D,0,0,1,18183,0,0,0
2026-05-20,00985D,0,0,1,18183,0,0,0
2026-05-21,00985D,0,0,1,18183,0,0,0
2026-05-22,00985D,0,0,1,18183,0,0,0
2026-05-25,00985D,0,0,1,18183,0,0,0
2026-05-26,00985D,0,0,1,18058,0,0,0
2026-05-27,00985D,0,0,1,18058,0,0,0
2026-05-28,00985D,0,0,1,18183,0,0,0
2026-05-29,00985D,0,0,1,18183,0,0,0
2026-06-01,00985D,0,0,1,18183,0,0,0
2026-06-02,00985D,0,0,1,18183,0,0,0
2026-06-03,00985D,0,0,1,18183,0,0,0
2026-06-04,00985D,0,0,1,18183,0,0,0
2026-06-05,00985D,0,0,1,18183,0,0,0
2026-06-08,00985D,0,0,1,18183,0,0,0
2026-06-09,00985D,0,0,1,18183,0,0,0
2026-06-10,00985D,60,0,61,17933,0,0,0
2026-06-11,00985D,2,60,3,17933,0,0,0
2026-06-12,00985D,3,0,6,17933,0,0,0
2026-06-15,00985D,0,4,2,18433,0,0,0
2026-06-16,00985D,10,0,12,19308,0,0,0
2026-06-17,00985D,0,0,12,19308,0,0,0
2026-06-18,00985D,0,0,12,19308,0,0,0
2026-06-22,00985D,0,0,12,19308,0,0,0
2026-06-23,00985D,0,0,12,19308,0,0,0
2026-06-24,00985D,0,0,12,19308,0,0,0
2026-06-25,00985D,0,0,12,19308,0,0,0
2026-06-26,00985D,0,10,2,19308,0,0,0
2026-06-29,00985D,0,0,2,19308,0,0,0
2026-06-30,00985D,0,0,2,19308,0,0,0
2026-07-01,00985D,0,0,2,19308,0,0,0
2026-07-02,00985D,0,0,2,19433,0,0,0
2026-07-03,00985D,0,0,2,19433,0,0,0
2026-07-06,00985D,0,0,2,19433,0,0,0
2026-07-07,00985D,0,0,2,19433,0,0,0
2026-07-08,00985D,0,0,2,19558,0,0,0
2026-07-09,00985D,0,0,2,19808,0,0,0
2026-07-13,00985D,0,0,2,20308,0,0,0
2026-07-14,00985D,0,0,2,20433,0,0,0
2026-07-15,00985D,60,0,61,20433,0,0,0
2026-07-16,00985D,47,0,108,20558,0,0,0
2026-07-17,00985D,0,0,108,20558,0,0,0
2026-07-20,00985D,0,0,108,20558,0,0,0
2026-07-21,00985D,12,0,120,20933,0,0,0
2026-07-22,00985D,0,0,120,20933,0,0,0
2026-07-23,00985D,0,7,113,21058,0,0,0
2026-07-24,00985D,0,6,107,21183,0,0,0
2026-07-27,00985D,0,0,107,21183,0,0,0
2026-07-28,00985D,0,104,3,21183,0,0,0
2026-07-29,00985D,0,0,3,21058,0,0,0
2026-07-30,00985D,0,0,3,21308,0,0,0
2026-07-31,00985D,0,0,3,21308,0,0,0
2026-08-03,00985D,0,0,3,21433,0,0,0
2026-08-04,00985D,4,0,7,21433,0,0,0
2026-08-05,00985D,0,4,3,21433,0,0,0
2026-08-06,00985D,0,0,3,21933,0,0,0
2026-08-07,00985D,3,0,6,22183,0,0,0
2026-08-10,00985D,0,0,6,22183,0,0,0
2026-08-11,00985D,0,0,6,23308,0,0,0
2026-08-12,00985D,0,0,6,23433,0,0,0
2026-08-13,00985D,10,0,16,23558,0,0,0
2026-08-14,00985D,8,0,24,23933,0,0,0
2026-08-17,00985D,2,0,26,25058,0,0,0
2026-08-18,00985D,1,0,27,25433,0,0,0
2026-08-19,00985D,6,0,33,25433,0,0,0
2026-08-20,00985D,3,0,36,25433,0,0,0
2026-08-21,00985D,0,0,36,25433,0,0,0
2026-08-24,00985D,0,0,36,25433,0,0,0
2026-08-25,00985D,0,0,36,25308,0,0,0
2026-08-26,00985D,0,0,36,25308,0,0,0
2026-08-27,00985D,0,0,36,25308,0,0,0
2026-08-28,00985D,1,0,37,25308,0,0,0
2026-08-31,00985D,0,0,37,25308,0,0,0
2026-09-01,00985D,1,0,38,25558,0,0,0
2026-09-02,00985D,1,0,39,25558,0,0,0
2026-09-03,00985D,0,0,39,26308,0,0,0
2026-09-04,00985D,0,0,39,26308,0,0,0
2026-09-08,00985D,0,0,39,26808,0,0,0
