date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2025-10-21,00989A,0,0,0,25404,0,0,0,0,0,0,0,
2025-10-22,00989A,65,0,65,25154,0,0,0,0,0,0,0,
2025-10-23,00989A,66,2,129,26029,0,0,0,65,0,0,0,
2025-10-27,00989A,356,20,465,26154,0,0,0,129,0,0,0,
2025-10-28,00989A,243,14,694,31779,0,53,53,465,0,0,0,
2025-10-29,00989A,312,228,778,36404,8,0,45,694,0,53,0,
2025-10-30,00989A,214,39,953,36404,0,0,45,778,0,45,0,
2025-10-31,00989A,11,199,765,36779,0,0,45,953,0,45,0,
2025-11-03,00989A,29,53,741,36779,0,0,20,765,0,45,25,
2025-11-04,00989A,26,42,725,35904,0,5,5,741,0,20,20,
2025-11-05,00989A,244,195,774,35904,5,0,0,725,0,5,0,
2025-11-06,00989A,11,101,684,35779,0,0,0,774,0,0,0,
2025-11-07,00989A,35,112,607,35779,0,0,0,684,0,0,0,
2025-11-10,00989A,1,15,593,36029,0,0,0,607,0,0,0,
2025-11-11,00989A,21,10,604,36029,0,0,0,593,0,0,0,
2025-11-12,00989A,7,13,598,36029,0,0,0,604,0,0,0,
2025-11-13,00989A,16,14,600,36029,0,0,0,598,0,0,0,
2025-11-14,00989A,48,8,640,36279,0,0,0,600,0,0,0,
2025-11-17,00989A,19,10,648,36779,0,0,0,640,1,0,0,
2025-11-18,00989A,46,13,681,37529,0,0,0,648,0,0,0,
2025-11-19,00989A,8,16,673,37654,0,0,0,681,0,0,0,
2025-11-20,00989A,47,58,662,37904,0,0,0,673,0,0,0,
2025-11-21,00989A,16,61,617,38904,0,0,0,662,0,0,0,
2025-11-24,00989A,7,103,521,38904,0,0,0,617,0,0,0,
2025-11-25,00989A,5,5,521,38904,0,0,0,521,0,0,0,
2025-11-26,00989A,16,16,521,38904,0,0,0,521,0,0,0,
2025-11-27,00989A,14,11,524,38904,0,0,0,521,0,0,0,
2025-11-28,00989A,5,11,518,38904,0,0,0,524,0,0,0,
2025-12-01,00989A,20,20,518,38904,0,0,0,518,0,0,0,
2025-12-02,00989A,1,25,494,38279,0,0,0,518,0,0,0,
2025-12-03,00989A,4,0,498,38279,0,0,0,494,0,0,0,
2025-12-04,00989A,2,27,473,38154,0,0,0,498,0,0,0,
2025-12-05,00989A,10,11,472,37904,0,0,0,473,0,0,0,
2025-12-08,00989A,14,1,484,37904,0,0,0,472,1,0,0,
2025-12-09,00989A,5,2,487,37779,0,0,0,484,0,0,0,
2025-12-10,00989A,10,17,480,37404,0,0,0,487,0,0,0,
2025-12-11,00989A,18,11,487,37279,0,0,0,480,0,0,0,
2025-12-12,00989A,45,5,527,37154,0,0,0,487,0,0,0,
2025-12-15,00989A,22,5,544,37154,0,0,0,527,0,0,0,
2025-12-16,00989A,86,17,613,37154,0,0,0,544,0,0,0,
2025-12-17,00989A,13,3,623,37154,0,0,0,613,0,0,0,
2025-12-18,00989A,23,2,644,37154,0,0,0,623,0,0,0,
2025-12-19,00989A,11,29,626,37154,0,0,0,644,0,0,0,
2025-12-22,00989A,4,20,610,37154,0,0,0,626,0,0,0,
2025-12-23,00989A,3,5,608,36529,0,24,24,610,0,0,0,
2025-12-24,00989A,5,10,603,36529,0,4,28,608,0,24,0,
2025-12-26,00989A,3,12,594,36279,0,0,28,603,0,28,0,
2025-12-29,00989A,1,9,586,36279,0,0,28,594,0,28,0,
2025-12-30,00989A,12,0,598,35779,0,4,32,586,0,28,0,
2025-12-31,00989A,6,10,594,35779,0,0,32,598,0,32,0,
2026-01-02,00989A,3,30,567,35779,32,0,0,594,0,32,0,
2026-01-05,00989A,9,3,573,34904,0,0,0,567,0,0,0,
2026-01-06,00989A,36,30,579,34029,0,0,0,573,0,0,0,
2026-01-07,00989A,0,44,535,33529,0,0,0,579,0,0,0,
2026-01-08,00989A,0,86,449,32904,0,28,28,535,0,0,0,
2026-01-09,00989A,12,8,453,32904,28,0,0,449,0,28,0,
2026-01-12,00989A,5,13,445,32779,0,30,30,453,0,0,0,
2026-01-13,00989A,34,0,479,30904,2,4,32,445,0,30,0,
2026-01-14,00989A,3,3,479,30904,0,8,40,479,0,32,0,
2026-01-15,00989A,15,63,431,30904,0,4,44,479,0,40,0,
2026-01-16,00989A,1,3,429,30654,0,4,48,431,0,44,0,
2026-01-19,00989A,39,20,448,30654,0,4,52,429,0,48,0,
2026-01-20,00989A,3,1,450,30654,0,4,56,448,0,52,0,
2026-01-21,00989A,7,11,446,30654,0,0,56,450,0,56,0,
2026-01-22,00989A,22,1,467,30654,0,0,56,446,0,56,0,
2026-01-23,00989A,1,46,422,30654,0,0,56,467,0,56,0,
2026-01-26,00989A,28,10,440,30654,0,0,56,422,0,56,0,
