date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance,m_prev,m_ret,s_prev,s_ret,note
2015-01-05,3691,192,157,4337,15223,5,9,484,,,,,
2015-01-06,3691,407,244,4500,15223,65,45,464,,,,,
2015-01-07,3691,251,174,4577,15223,13,40,491,,,,,
2015-01-08,3691,188,238,4527,15223,5,10,486,,,,,
2015-01-09,3691,142,147,4520,15223,28,5,463,,,,,
2015-01-12,3691,138,105,4553,15223,16,2,449,,,,,
2015-01-13,3691,72,119,4506,15223,16,6,439,,,,,
2015-01-14,3691,281,375,4408,15223,48,34,425,,,,,
2015-01-15,3691,179,142,4444,15223,23,3,405,,,,,
2015-01-16,3691,228,164,4508,15223,39,16,382,,,,,
2015-01-19,3691,133,89,4549,15223,12,7,377,,,,,
2015-01-20,3691,226,157,4618,15223,4,19,392,,,,,
2015-01-21,3691,103,94,4627,15223,4,9,397,,,,,
2015-01-22,3691,151,110,4654,15223,25,15,387,,,,,
2015-01-23,3691,186,184,4656,15223,20,15,382,,,,,
2015-01-26,3691,157,44,4767,15223,19,6,353,,,,,
2015-01-27,3691,101,116,4752,15223,4,4,343,,,,,
2015-01-28,3691,446,458,4738,15223,13,59,388,,,,,
2015-01-29,3691,357,443,4652,15223,35,83,406,,,,,
2015-01-30,3691,337,273,4716,15223,73,2,335,,,,,
2015-02-02,3691,172,193,4691,15223,10,14,339,,,,,
2015-02-03,3691,332,456,4557,15223,10,27,356,,,,,
2015-02-04,3691,352,350,4558,15223,8,9,357,,,,,
2015-02-05,3691,159,129,4554,15223,12,7,352,,,,,
2015-02-06,3691,165,192,4526,15223,12,2,342,,,,,
2015-02-09,3691,138,118,4543,15223,12,9,337,,,,,
2015-02-10,3691,89,57,4574,15223,13,5,329,,,,,
2015-02-11,3691,85,65,4593,15223,10,2,321,,,,,
2015-02-12,3691,52,54,4589,15223,7,1,315,,,,,
2015-02-13,3691,120,166,4525,15223,7,0,308,,,,,
2015-02-24,3691,109,70,4564,15223,18,17,307,,,,,
2015-02-25,3691,131,66,4629,15223,34,8,261,,,,,
2015-02-26,3691,243,320,4549,15223,24,23,260,,,,,
2015-03-02,3691,283,109,4722,15223,17,1,244,,,,,
2015-03-03,3691,100,108,4705,15223,19,2,227,,,,,
2015-03-04,3691,137,105,4735,15223,9,2,220,,,,,
2015-03-05,3691,68,104,4699,15223,8,3,215,,,,,
2015-03-06,3691,183,237,4639,15223,6,30,239,,,,,
2015-03-09,3691,375,390,4623,15223,14,15,240,,,,,
2015-03-10,3691,97,136,4582,15223,9,7,238,,,,,
