date,stock_id,m_buy,m_sell,m_balance,m_limit,s_buy,s_sell,s_balance
2015-01-05,5491,793,816,27907,54282,88,8,2395
2015-01-06,5491,573,889,27591,54282,17,1,2369
2015-01-07,5491,372,895,27068,54282,14,2,2357
2015-01-08,5491,459,508,27019,54282,1,0,2307
2015-01-09,5491,346,902,26463,54282,0,1,2308
2015-01-12,5491,660,924,26179,54282,140,1,2169
2015-01-13,5491,275,317,26136,54282,4,34,2199
2015-01-14,5491,261,252,26145,54341,34,0,2165
2015-01-15,5491,311,146,26310,54341,25,10,2150
2015-01-16,5491,368,435,26243,54341,78,5,2077
2015-01-19,5491,191,262,26172,54341,108,0,1969
2015-01-20,5491,317,152,26336,54341,10,1,1960
2015-01-21,5491,186,220,26302,54341,0,1,1961
2015-01-22,5491,410,552,26140,54341,0,13,1974
2015-01-23,5491,324,466,25995,54341,9,20,1985
2015-01-26,5491,82,119,25958,54341,2,0,1982
2015-01-27,5491,325,256,25987,54341,1,0,1981
2015-01-28,5491,121,152,25953,54341,2,0,1979
2015-01-29,5491,198,238,25913,54341,0,10,1989
2015-01-30,5491,153,172,25894,54341,0,6,1995
2015-02-02,5491,198,205,25882,54341,20,3,1978
2015-02-03,5491,66,113,25795,54341,6,8,1980
2015-02-04,5491,88,99,25784,54341,4,2,1978
2015-02-05,5491,165,138,25810,54341,0,2,1980
2015-02-06,5491,27,41,25796,54341,0,3,1983
2015-02-09,5491,245,469,25570,54341,11,3,1975
2015-02-10,5491,61,104,25487,54341,9,23,1989
2015-02-11,5491,102,202,25387,54341,14,84,2059
2015-02-12,5491,69,90,25354,54354,12,22,2069
2015-02-13,5491,44,214,25184,54354,11,9,2067
2015-02-24,5491,102,51,25235,54354,11,4,1862
2015-02-25,5491,249,249,25234,54354,0,5,1867
2015-02-26,5491,141,156,25211,54354,2,50,1915
2015-03-02,5491,1106,1051,25008,54354,0,387,2302
2015-03-03,5491,1118,1055,25071,54354,0,203,2505
2015-03-04,5491,195,307,24949,54354,11,0,2494
2015-03-05,5491,135,202,24877,54354,134,0,609
2015-03-06,5491,218,148,24932,54354,54,0,555
2015-03-09,5491,277,219,24990,54354,30,0,515
2015-03-10,5491,1360,1085,25265,54354,0,70,585
2015-03-11,5491,361,298,25328,54354,8,0,577
2015-03-12,5491,150,376,25091,54403,1,0,576
2015-03-13,5491,605,728,24967,54403,1,26,601
2015-03-16,5491,263,232,24998,54403,25,2,568
2015-03-17,5491,675,843,24825,54403,0,0,568
2015-03-18,5491,268,357,24736,54403,0,0,567
2015-03-19,5491,2244,1787,25193,54403,0,119,686
2015-03-20,5491,1577,1099,25671,54403,22,9,673
2015-03-23,5491,1828,2147,25351,54403,19,0,654
2015-03-24,5491,620,950,25020,54403,12,2,644
2015-03-25,5491,331,360,24985,54403,12,13,575
2015-03-26,5491,112,346,24746,54403,80,0,492
2015-03-27,5491,325,423,24638,54403,52,20,460
2015-03-30,5491,336,431,24543,54403,36,6,417
2015-03-31,5491,632,576,24599,54403,0,127,544
2015-04-01,5491,224,162,24661,54403,43,10,511
2015-04-02,5491,430,302,24789,54403,62,1,450
2015-04-07,5491,524,861,24452,54403,59,0,391
2015-04-08,5491,266,342,24373,54403,88,0,253
2015-04-09,5491,127,129,24367,54403,170,0,24
2015-04-10,5491,386,441,24311,54403,24,0,0
2015-04-13,5491,166,170,24307,54403,0,0,0
2015-04-14,5491,158,417,24048,54881,0,0,0
2015-04-15,5491,244,171,24066,54881,0,0,0
2015-04-16,5491,225,181,24110,54881,0,23,23
2015-04-17,5491,130,96,24144,54881,0,2,25
2015-04-20,5491,515,281,24378,54881,0,132,157
2015-04-21,5491,199,280,24292,54881,31,4,130
2015-04-22,5491,354,270,24376,54881,0,178,308
2015-04-23,5491,148,149,24375,54881,11,0,297
2015-04-24,5491,222,336,24261,54881,0,122,419
2015-04-27,5491,181,225,24217,54881,4,1,416
2015-04-28,5491,170,131,24253,54881,179,0,237
2015-04-29,5491,37,93,24197,54881,4,0,233
2015-04-30,5491,98,110,24185,54881,2,30,261
2015-05-04,5491,45,138,24087,54881,2,25,284
2015-05-05,5491,463,1104,23446,54881,0,204,488
2015-05-06,5491,159,340,23257,54881,75,3,416
2015-05-07,5491,190,88,23339,54881,31,3,388
2015-05-08,5491,84,254,23147,54881,212,28,204
2015-05-11,5491,316,804,22617,54881,72,3,135
2015-05-12,5491,387,987,21794,54881,5,0,130
2015-05-13,5491,91,168,21694,54881,5,29,154
2015-05-14,5491,142,134,21292,54893,8,1,147
2015-05-15,5491,124,99,21312,54893,25,6,128
2015-05-18,5491,184,572,20847,54893,20,0,107
2015-05-19,5491,42,173,20641,54893,6,0,101
2015-05-20,5491,175,184,20620,54893,20,0,81
2015-05-21,5491,105,56,20656,54893,1,0,80
2015-05-22,5491,64,148,20279,54893,1,0,79
2015-05-25,5491,34,82,20221,54893,0,6,85
2015-05-26,5491,41,109,20148,54893,6,0,79
2015-05-27,5491,267,79,20336,54893,0,0,79
2015-05-28,5491,218,182,20372,54893,0,2,81
2015-05-29,5491,73,182,20263,54893,0,0,81
2015-06-01,5491,7,30,20237,54893,22,0,59
2015-06-02,5491,82,187,20124,54893,0,0,59
2015-06-03,5491,135,243,20016,54893,20,0,39
2015-06-04,5491,162,360,19772,54893,20,0,19
2015-06-05,5491,439,588,19590,54893,19,0,0
2015-06-08,5491,681,1462,18740,54893,0,46,46
2015-06-09,5491,547,1363,17764,54893,37,4,13
2015-06-10,5491,160,544,17117,54893,9,9,13
2015-06-11,5491,115,258,16860,54893,4,4,13
2015-06-12,5491,78,36,16902,54893,1,0,12
2015-06-15,5491,27,79,16813,54893,2,0,9
2015-06-16,5491,12,80,16740,54893,4,0,5
2015-06-17,5491,62,75,16727,54893,1,3,7
2015-06-18,5491,136,150,16711,54893,3,10,14
2015-06-22,5491,79,85,16705,54893,0,1,15
2015-06-23,5491,25,47,16683,54893,0,0,15
2015-06-24,5491,57,50,16690,54893,0,5,20
2015-06-25,5491,6,4,16692,54893,5,0,15
2015-06-26,5491,48,25,16715,54893,0,0,15
2015-06-29,5491,16,16,16715,54893,7,0,8
2015-06-30,5491,13,16,16692,54893,5,0,3
2015-07-01,5491,32,19,16705,54893,0,0,3
2015-07-02,5491,34,45,16694,54893,0,0,3
2015-07-03,5491,24,4,16684,54893,0,0,3
2015-07-06,5491,33,43,16674,54893,0,0,3
2015-07-07,5491,70,70,16674,54893,0,0,3
2015-07-08,5491,144,563,16255,54893,1,5,7
2015-07-09,5491,26,91,16146,54893,5,0,2
2015-07-13,5491,15,83,16078,54893,0,0,2
2015-07-14,5491,52,16,16114,54893,0,0,2
2015-07-15,5491,75,14,16175,54893,0,0,2
2015-07-16,5491,40,28,16177,54893,0,0,2
2015-07-17,5491,41,21,16197,54893,0,0,2
2015-07-20,5491,17,51,16152,54893,0,0,2
2015-07-21,5491,70,118,16093,54893,0,0,2
2015-07-22,5491,7,65,16025,54893,0,0,2
2015-07-23,5491,135,157,15973,54893,0,8,10
2015-07-24,5491,42,80,15933,54893,0,13,23
2015-07-27,5491,314,974,15144,54893,10,1,14
2015-07-28,5491,115,328,14904,54893,1,0,13
2015-07-29,5491,178,344,14713,54893,0,17,30
2015-07-30,5491,83,176,14617,54893,22,15,23
2015-07-31,5491,14,39,14587,54893,0,0,23
2015-08-03,5491,101,45,14640,54893,0,40,63
2015-08-04,5491,76,201,14512,54893,6,0,57
2015-08-05,5491,55,113,14422,54893,15,3,45
2015-08-06,5491,11,90,14343,54893,1,0,44
2015-08-07,5491,127,120,14334,54893,0,0,44
2015-08-10,5491,50,52,14308,54893,3,17,58
2015-08-11,5491,8,70,14244,54893,0,2,60
2015-08-12,5491,1,13,14211,54893,0,4,64
2015-08-13,5491,261,169,14163,54893,15,11,60
2015-08-14,5491,102,213,14052,54893,0,1,61
2015-08-17,5491,64,86,14010,54893,1,0,60
2015-08-18,5491,92,74,14026,54893,0,3,63
2015-08-19,5491,20,84,13957,54893,0,0,63
2015-08-20,5491,23,198,13774,54893,1,0,62
2015-08-21,5491,52,314,13505,54893,7,0,55
2015-08-24,5491,160,833,12824,54893,42,0,13
2015-08-25,5491,117,137,12688,54893,11,1,2
2015-08-26,5491,42,28,12676,54893,0,0,2
2015-08-27,5491,141,120,12697,54893,0,0,2
2015-08-28,5491,80,42,12734,54893,0,0,2
2015-08-31,5491,43,99,12678,54893,0,0,2
2015-09-01,5491,86,67,12696,54893,0,0,2
2015-09-02,5491,26,43,12661,54893,0,0,2
2015-09-03,5491,73,54,12679,54893,0,0,2
2015-09-04,5491,86,232,12532,54893,0,1,3
2015-09-07,5491,160,154,12538,54893,1,7,9
2015-09-08,5491,47,96,12489,54893,4,0,5
2015-09-09,5491,94,70,12497,54893,4,0,1
2015-09-10,5491,86,59,12489,54893,0,1,2
2015-09-11,5491,86,35,12510,54893,0,0,2
2015-09-14,5491,160,153,12517,54893,0,0,1
2015-09-15,5491,21,104,12421,54893,0,3,4
2015-09-16,5491,37,57,12398,54893,0,0,4
2015-09-17,5491,51,109,12333,54893,0,2,6
2015-09-18,5491,62,75,12308,54893,5,0,1
2015-09-21,5491,15,18,12275,54893,0,1,2
2015-09-22,5491,56,65,12265,54893,1,1,2
2015-09-23,5491,154,214,12204,54893,1,2,3
2015-09-24,5491,116,173,12145,54893,0,6,9
2015-09-25,5491,146,169,12122,54893,4,4,9
2015-09-30,5491,142,201,12061,54893,2,0,7
2015-10-01,5491,69,323,11802,54893,2,31,36
2015-10-02,5491,231,142,11891,54893,2,4,38
2015-10-05,5491,130,207,11812,54893,0,19,57
2015-10-06,5491,223,244,11761,54893,3,21,75
2015-10-07,5491,167,604,11324,54893,5,93,163
2015-10-08,5491,87,245,11166,54893,10,0,152
2015-10-12,5491,85,347,10903,54893,0,116,268
2015-10-13,5491,270,576,10582,54893,100,7,175
2015-10-14,5491,205,297,10470,54893,54,0,121
2015-10-15,5491,19,83,10406,54893,20,0,101
2015-10-16,5491,29,25,10410,54893,58,4,47
2015-10-19,5491,37,87,10360,54893,16,0,31
2015-10-20,5491,143,20,10453,54893,0,2,33
2015-10-21,5491,91,107,10425,54893,0,0,33
2015-10-22,5491,48,40,10433,54893,0,0,33
2015-10-23,5491,106,50,10489,54893,0,0,33
2015-10-26,5491,81,32,10538,54893,0,0,33
2015-10-27,5491,37,16,10557,54893,0,0,33
2015-10-28,5491,77,97,10537,54893,0,0,33
2015-10-29,5491,75,4,10608,54893,14,0,19
2015-10-30,5491,8,31,10575,54893,11,0,8
2015-11-02,5491,24,8,10591,54893,0,0,8
2015-11-03,5491,41,43,10567,54893,1,0,7
2015-11-04,5491,57,46,10577,54893,0,2,9
2015-11-05,5491,69,28,10618,54893,2,0,7
2015-11-06,5491,11,46,10523,54893,0,0,7
2015-11-09,5491,35,2,10556,54893,4,0,3
2015-11-10,5491,41,10,10587,54893,0,0,3
2015-11-11,5491,39,53,10573,54893,0,1,4
2015-11-12,5491,3,12,10564,54893,0,0,4
2015-11-13,5491,6,8,10562,54893,0,0,4
2015-11-16,5491,16,4,10574,54893,2,0,2
2015-11-17,5491,12,13,10573,54893,0,0,2
2015-11-18,5491,4,83,10494,54893,0,0,2
2015-11-19,5491,26,48,10472,54893,0,0,2
2015-11-20,5491,71,43,10500,54893,0,0,2
2015-11-23,5491,5,3,10502,54893,0,0,2
2015-11-24,5491,90,16,10576,54893,0,0,2
2015-11-25,5491,57,8,10625,54893,0,0,2
2015-11-26,5491,27,8,10644,51822,0,0,2
2015-11-27,5491,13,13,10634,51822,0,0,2
2015-11-30,5491,20,8,10646,51822,0,14,16
2015-12-01,5491,13,25,10634,51822,0,0,16
2015-12-02,5491,11,6,10639,51822,0,0,16
2015-12-03,5491,19,15,10643,51822,0,0,16
2015-12-04,5491,11,10,10644,51822,0,0,16
2015-12-07,5491,23,2,10665,51822,0,0,16
2015-12-08,5491,65,40,10690,51822,0,0,16
2015-12-09,5491,34,47,10675,51822,0,0,16
2015-12-10,5491,22,35,10662,51822,0,0,16
2015-12-11,5491,48,17,10693,51822,0,0,16
2015-12-14,5491,8,65,10586,51822,0,10,26
2015-12-15,5491,0,11,10575,51822,0,0,26
2015-12-16,5491,5,15,10565,51822,0,0,26
2015-12-17,5491,48,17,10596,51822,0,0,26
2015-12-18,5491,81,39,10622,51822,0,0,26
2015-12-21,5491,670,486,10806,51822,10,517,533
2015-12-22,5491,395,611,10590,51822,129,103,507
2015-12-23,5491,44,180,10454,51822,222,0,285
2015-12-24,5491,54,173,10335,51822,161,0,124
2015-12-25,5491,11,15,10271,51822,24,0,100
2015-12-28,5491,3,10,10264,51822,26,0,74
2015-12-29,5491,31,4,10243,51822,53,0,21
2015-12-30,5491,9,19,10233,51822,5,5,21
2015-12-31,5491,208,214,10222,51822,0,2,23
2016-01-04,5491,35,7,10236,51822,0,0,23
2016-01-05,5491,29,13,10242,51822,0,0,23
2016-01-06,5491,18,6,10254,51822,1,0,22
2016-01-07,5491,11,25,10240,51822,0,11,33
2016-01-08,5491,38,8,10265,51822,1,0,32
2016-01-11,5491,20,23,10260,51822,0,0,32
2016-01-12,5491,3,29,10180,51822,0,0,32
2016-01-13,5491,29,7,10192,51822,0,0,32
2016-01-14,5491,68,67,10193,51822,5,0,27
2016-01-15,5491,25,41,10177,51822,0,0,27
2016-01-18,5491,34,75,10136,51822,0,0,27
2016-01-19,5491,11,5,10142,51822,6,0,21
2016-01-20,5491,17,8,10151,51822,0,0,21
2016-01-21,5491,100,9,10242,51822,3,32,50
2016-01-22,5491,28,29,10241,51822,9,0,41
2016-01-25,5491,13,8,10246,51822,10,0,31
2016-01-26,5491,1,21,10226,51822,10,0,21
2016-01-27,5491,24,115,10135,51822,19,0,2
2016-01-28,5491,0,42,10053,51822,0,0,2
2016-01-29,5491,33,42,10044,51822,0,0,2
2016-01-30,5491,46,35,10055,51822,0,0,2
2016-02-01,5491,23,49,10016,51822,0,0,2
2016-02-02,5491,1,10,10007,51822,0,0,2
2016-02-03,5491,21,6,10022,51822,0,0,2
2016-02-15,5491,30,46,6281,51822,0,0,2
2016-02-16,5491,89,44,6326,51822,0,0,2
2016-02-17,5491,11,2,6305,51822,0,0,2
2016-02-18,5491,20,6,6319,51822,0,0,2
2016-02-19,5491,49,46,6320,51822,0,0,2
2016-02-22,5491,89,98,6258,51822,0,0,2
2016-02-23,5491,68,26,6300,51822,0,0,2
2016-02-24,5491,11,25,6266,51822,0,0,2
2016-02-25,5491,42,19,6289,51822,0,0,2
2016-02-26,5491,30,25,6294,51822,0,0,2
2016-03-01,5491,41,18,6312,51822,0,0,2
2016-03-02,5491,495,286,6519,51822,0,0,2
2016-03-03,5491,165,332,6352,51822,2,0,0
2016-03-04,5491,64,135,6275,51822,0,0,0
2016-03-07,5491,135,127,6283,51822,0,1,1
2016-03-08,5491,110,29,6347,51822,0,0,1
2016-03-09,5491,10,12,6345,51822,0,0,0
2016-03-10,5491,111,63,6393,51822,0,0,0
2016-03-11,5491,140,22,6511,51822,0,1,1
2016-03-14,5491,130,174,6467,51822,0,0,1
2016-03-15,5491,105,154,6418,51822,0,0,1
2016-03-16,5491,353,371,6399,51822,0,0,1
2016-03-17,5491,36,73,6362,51822,0,0,1
2016-03-18,5491,51,83,6326,51822,0,0,0
2016-03-21,5491,44,115,6255,51822,0,0,0
2016-03-22,5491,39,34,6220,51822,0,0,0
2016-03-23,5491,47,0,6247,51822,0,0,0
2016-03-24,5491,7,0,6117,51822,0,0,0
2016-03-25,5491,17,17,6117,51822,0,0,0
2016-03-28,5491,23,47,6093,51822,0,0,0
2016-03-29,5491,273,267,6099,51822,0,0,0
2016-03-30,5491,2,3,6068,51822,0,0,0
2016-03-31,5491,7,33,6042,51822,0,0,0
2016-04-01,5491,6,13,6035,51822,0,0,0
2016-04-06,5491,24,0,6059,51822,0,0,0
2016-04-07,5491,62,15,6106,51822,0,0,0
2016-04-08,5491,20,2,6124,51822,0,0,0
2016-04-11,5491,18,2,6140,51822,0,0,0
