stock_id,rows,first,last
00400A,109,2026-04-08,2026-09-10
00401A,108,2026-04-09,2026-09-10
00402A,67,2026-06-08,2026-09-10
00403A,87,2026-05-11,2026-09-10
00404A,67,2026-06-08,2026-09-10
00405A,67,2026-06-08,2026-09-10
00406A,65,2026-06-10,2026-09-10
00407A,57,2026-06-23,2026-09-10
00408A,43,2026-07-14,2026-09-10
00409A,8,2026-09-01,2026-09-10
00410A,30,2026-07-31,2026-09-10
00411A,13,2026-08-25,2026-09-10
0050,2849,2015-01-05,2026-09-10
0051,2849,2015-01-05,2026-09-10
0052,2849,2015-01-05,2026-09-10
0053,2849,2015-01-05,2026-09-10
0054,1805,2015-01-05,2022-05-26
0055,2849,2015-01-05,2026-09-10
0056,2849,2015-01-05,2026-09-10
0057,2849,2015-01-05,2026-09-10
0058,1210,2015-01-05,2019-12-12
0059,1216,2015-01-05,2019-12-20
0060,277,2015-01-05,2016-02-25
0061,2849,2015-01-05,2026-09-10
006201,2848,2015-01-05,2026-09-10
006203,2849,2015-01-05,2026-09-10
006204,2849,2015-01-05,2026-09-10
006205,2849,2015-01-05,2026-09-10
006206,2849,2015-01-05,2026-09-10
006207,2849,2015-01-05,2026-09-10
006208,2849,2015-01-05,2026-09-10
00631L,2849,2015-01-05,2026-09-10
00632R,2849,2015-01-05,2026-09-10
00633L,2849,2015-01-05,2026-09-10
00634R,2849,2015-01-05,2026-09-10
00635U,2787,2015-04-14,2026-09-10
00636,2795,2015-03-31,2026-09-10
00637L,2765,2015-05-15,2026-09-10
00638R,2765,2015-05-15,2026-09-10
00639,2749,2015-06-08,2026-09-10
00640L,2684,2015-09-09,2026-09-10
00641R,2684,2015-09-09,2026-09-10
00642U,2687,2015-09-04,2026-09-10
00643,2628,2015-12-01,2026-09-10
00645,2646,2015-11-05,2026-09-10
00646,2620,2015-12-11,2026-09-10
00647L,2620,2015-12-11,2026-09-10
00648R,2620,2015-12-11,2026-09-10
00649,961,2016-01-26,2019-12-27
00650L,2589,2016-01-26,2026-09-10
00651R,2589,2016-01-26,2026-09-10
00652,2552,2016-03-28,2026-09-10
00653L,2552,2016-03-28,2026-09-10
00654R,2552,2016-03-28,2026-09-10
00655L,2559,2016-03-17,2026-09-10
00656R,2559,2016-03-17,2026-09-10
00657,2526,2016-05-06,2026-09-10
00658L,916,2016-05-06,2020-02-03
00659R,916,2016-05-06,2020-02-03
00660,2500,2016-06-14,2026-09-10
00661,2500,2016-06-14,2026-09-10
00662,2498,2016-06-16,2026-09-10
00663L,2480,2016-07-13,2026-09-10
00664R,2480,2016-07-13,2026-09-10
00665L,2464,2016-08-04,2026-09-10
00666R,2464,2016-08-04,2026-09-10
00667,545,2016-10-06,2018-12-18
00668,2417,2016-10-14,2026-09-10
00669R,2417,2016-10-14,2026-09-10
00670L,2332,2017-02-20,2026-09-10
00671R,2332,2017-02-20,2026-09-10
00672L,1006,2016-10-06,2020-11-12
00673R,2422,2016-10-06,2026-09-10
00674R,2422,2016-10-06,2026-09-10
00675L,2424,2016-10-04,2026-09-10
00676R,2424,2016-10-04,2026-09-10
00677U,1079,2016-12-29,2021-06-02
00678,2353,2017-01-13,2026-09-10
00679B,2352,2017-01-16,2026-09-10
00680L,2352,2017-01-16,2026-09-10
00681R,2352,2017-01-16,2026-09-10
00682U,2319,2017-03-13,2026-09-10
00683L,2319,2017-03-13,2026-09-10
00684R,2319,2017-03-13,2026-09-10
00685L,2307,2017-03-29,2026-09-10
00686R,2307,2017-03-29,2026-09-10
00687B,2299,2017-04-12,2026-09-10
00688L,2299,2017-04-12,2026-09-10
00689R,2299,2017-04-12,2026-09-10
00690,2306,2017-03-30,2026-09-10
00691R,897,2017-03-30,2020-11-23
00692,2276,2017-05-16,2026-09-10
00693U,2291,2017-04-24,2026-09-10
00694B,2261,2017-06-07,2026-09-10
00695B,2261,2017-06-07,2026-09-10
00696B,2261,2017-06-07,2026-09-10
00697B,2250,2017-06-22,2026-09-10
00698L,273,2017-06-22,2018-07-27
00699R,279,2017-06-22,2018-08-06
00700,2225,2017-07-27,2026-09-10
00701,2211,2017-08-16,2026-09-10
00702,2211,2017-08-16,2026-09-10
00703,2216,2017-08-09,2026-09-10
00704L,326,2017-08-09,2018-11-29
00705R,323,2017-08-09,2018-11-26
00706L,2200,2017-08-31,2026-09-10
00707R,2200,2017-08-31,2026-09-10
00708L,2200,2017-08-31,2026-09-10
00709,2213,2017-08-14,2026-09-10
00710B,2209,2017-08-18,2026-09-10
00711B,2209,2017-08-18,2026-09-10
00712,2209,2017-08-18,2026-09-10
00713,2182,2017-09-26,2026-09-10
00714,2162,2017-10-26,2026-09-10
00715L,2148,2017-11-15,2026-09-10
00716R,423,2017-11-15,2019-08-07
00717,2139,2017-11-28,2026-09-10
00718B,1786,2018-02-07,2025-06-17
00719B,2094,2018-01-31,2026-09-10
00720B,2094,2018-01-31,2026-09-10
00721B,1628,2018-01-31,2024-10-11
00722B,2127,2017-12-14,2026-09-10
00723B,2127,2017-12-14,2026-09-10
00724B,2127,2017-12-14,2026-09-10
00725B,2090,2018-02-06,2026-09-10
00726B,2090,2018-02-06,2026-09-10
00727B,2090,2018-02-06,2026-09-10
00728,2049,2018-04-17,2026-09-10
00729R,292,2018-04-17,2019-06-24
00730,2089,2018-02-07,2026-09-10
00731,2047,2018-04-19,2026-09-10
00732,1206,2018-05-11,2023-04-20
00733,2029,2018-05-16,2026-09-10
00734B,2024,2018-05-23,2026-09-10
00735,2012,2018-06-08,2026-09-10
00736,2012,2018-06-08,2026-09-10
00737,2012,2018-06-08,2026-09-10
00738U,2018,2018-05-31,2026-09-10
00739,2001,2018-06-26,2026-09-10
00740B,2013,2018-06-07,2026-09-10
00741B,2013,2018-06-07,2026-09-10
00742,954,2018-06-21,2022-05-18
00743,1017,2018-08-02,2022-09-28
00744B,1292,2018-08-02,2023-11-17
00745B,1059,2018-08-14,2022-12-08
00746B,1966,2018-08-14,2026-09-10
00747B,1056,2018-09-03,2022-12-23
00748B,1075,2018-09-19,2023-02-17
00749B,1940,2018-09-19,2026-09-10
00750B,1940,2018-09-19,2026-09-10
00751B,1932,2018-10-02,2026-09-10
00752,1913,2018-10-30,2026-09-10
00753L,1913,2018-10-30,2026-09-10
00754B,1920,2018-10-19,2026-09-10
00755B,1920,2018-10-19,2026-09-10
00756B,1920,2018-10-19,2026-09-10
00757,1887,2018-12-05,2026-09-10
00758B,1903,2018-11-13,2026-09-10
00759B,1903,2018-11-13,2026-09-10
00760B,1903,2018-11-13,2026-09-10
00761B,1891,2018-11-29,2026-09-10
