date,stock_id,close,yield_pct,dividend_year,per,pbr,fs_quarter
2021-01-04,3713,,0.00,109,,7.04,
2021-01-05,3713,,0.00,109,,7.02,
2021-01-06,3713,,0.00,109,,7.03,
2021-01-07,3713,,0.00,109,,7.33,
2021-01-08,3713,,0.00,109,,7.33,
2021-01-11,3713,,0.00,109,,7.30,
2021-01-12,3713,,0.00,109,,7.06,
2021-01-13,3713,,0.00,109,,6.99,
2021-01-14,3713,,0.00,109,,7.02,
2021-01-15,3713,,0.00,109,,7.02,
2021-01-18,3713,,0.00,109,,7.05,
2021-01-19,3713,,0.00,109,,7.12,
2021-01-20,3713,,0.00,109,,7.13,
2021-01-21,3713,,0.00,109,,7.33,
2021-01-22,3713,,0.00,109,,7.47,
2021-01-25,3713,,0.00,109,,7.46,
2021-01-26,3713,,0.00,109,,7.49,
2021-01-27,3713,,0.00,109,,7.47,
2021-01-28,3713,,0.00,109,,7.27,
2021-01-29,3713,,0.00,109,,7.31,
2021-02-01,3713,,0.00,109,,7.30,
2021-02-02,3713,,0.00,109,,7.47,
2021-02-03,3713,,0.00,109,,7.80,
2021-02-04,3713,,0.00,109,,8.00,
2021-02-05,3713,,0.00,109,,8.21,
2021-02-17,3713,,0.00,109,,8.78,
2021-02-18,3713,,0.00,109,,9.12,
2021-02-19,3713,,0.00,109,,9.09,
2021-02-22,3713,,0.00,109,,8.83,
2021-02-23,3713,,0.00,109,,8.74,
2021-02-24,3713,,0.00,109,,8.74,
2021-02-25,3713,,0.00,109,,9.52,
2021-02-26,3713,,0.00,109,,9.42,
2021-03-02,3713,,0.00,109,,9.22,
2021-03-03,3713,,0.00,109,,9.25,
2021-03-04,3713,,0.00,109,,9.28,
2021-03-05,3713,,0.00,109,,9.20,
2021-03-08,3713,,0.00,109,,9.46,
2021-03-09,3713,,0.00,109,,9.36,
2021-03-10,3713,,0.00,109,,9.28,
2021-03-11,3713,,0.00,109,,9.20,
2021-03-12,3713,,0.00,109,,9.04,
2021-03-15,3713,,0.00,109,,8.93,
2021-03-16,3713,,0.00,109,,8.61,
2021-03-17,3713,,0.00,109,,8.29,
2021-03-18,3713,,0.00,109,,8.45,
2021-03-19,3713,,0.00,109,,8.43,
2021-03-22,3713,,0.00,109,,8.69,
2021-03-23,3713,,0.00,109,,8.43,
2021-03-24,3713,,0.00,109,,8.34,
2021-03-25,3713,,0.00,109,,8.21,
2021-03-26,3713,,0.00,109,,8.11,
2021-03-29,3713,,0.00,109,,8.21,
2021-03-30,3713,,0.00,109,730.00,8.07,
2021-03-31,3713,,0.00,109,722.86,7.99,
2021-04-01,3713,,0.00,109,734.29,8.12,
2021-04-06,3713,,0.00,109,755.71,8.36,
2021-04-07,3713,,0.00,109,747.14,8.26,
2021-04-08,3713,,0.00,109,742.86,8.21,
2021-04-09,3713,,0.00,109,737.14,8.15,
2021-04-12,3713,,0.00,109,730.00,8.07,
2021-04-13,3713,,0.00,109,728.57,8.06,
